Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,24,-0.6909,44,0.31954,44,0.27940,36,-0.0612,43,0.22319,40,0.12793,38,0.02938,22,-0.7826,36,-0.0464
ENSG00000188976,NOC2L,29,-0.6277,50,0.28527,63,0.62218,43,0.01285,63,0.63555,50,0.24274,30,-0.5729,30,-0.5333,20,-1.1290
ENSG00000188290,HES4,29,-0.7400,48,0.03809,31,-0.6334,56,0.27544,51,0.14136,36,-0.4236,66,0.55832,76,0.78661,28,-0.7778
ENSG00000187608,ISG15,29,-0.0690,38,0.44167,37,0.33532,30,0.02151,21,-0.5076,12,-1.3609,23,-0.3887,48,0.78519,22,-0.4846
ENSG00000188157,AGRN,6,-1.1662,19,0.62819,19,0.49275,9,-0.6551,8,-0.8218,22,0.72621,11,-0.4047,21,0.66987,4,-1.7989
ENSG00000078808,SDF4,60,-0.1727,70,0.07426,95,0.57326,60,-0.1643,68,0.03254,61,-0.1583,64,-0.0813,81,0.30734,41,-0.7659
ENSG00000176022,B3GALT6,13,-0.7780,31,0.62966,33,0.67823,18,-0.3013,25,0.19573,11,-1.0129,14,-0.6780,31,0.53442,13,-0.8534
ENSG00000160087,UBE2J2,21,-0.9322,56,0.67022,42,0.09402,34,-0.2364,32,-0.2964,30,-0.4321,22,-0.9191,59,0.65159,41,0.07856
ENSG00000131584,ACAP3,56,-0.3591,107,0.80943,66,-0.0883,51,-0.5043,36,-1.0206,63,-0.1814,105,0.65543,78,0.17065,33,-1.1684
ENSG00000127054,INTS11,30,-0.5834,53,0.35668,47,0.11113,49,0.17308,32,-0.4961,63,0.60836,36,-0.2951,40,-0.1405,34,-0.4030
ENSG00000224051,CPTP,26,0.28609,26,0.29391,23,0.09727,24,0.13086,22,0.00917,14,-0.7154,22,0.00383,25,0.24054,11,-1.0431
ENSG00000107404,DVL1,62,0.23420,90,1.00780,37,-0.5789,24,-1.2278,30,-0.8919,35,-0.6541,51,-0.0627,65,0.32315,51,-0.0868
ENSG00000175756,AURKAIP1,98,-0.5538,190,0.58960,157,0.19672,97,-0.5723,146,0.07493,81,-0.8358,109,-0.3779,219,0.74516,104,-0.4621
ENSG00000221978,CCNL2,54,-0.4127,85,0.33946,96,0.50214,79,0.18798,45,-0.6999,61,-0.2125,80,0.20221,63,-0.1850,56,-0.3449
ENSG00000242485,MRPL20,169,0.07332,191,0.31215,156,-0.0480,129,-0.3551,118,-0.4945,152,-0.0879,142,-0.1990,179,0.16987,184,0.21733
ENSG00000235098,ANKRD65,15,0.01039,19,0.41854,12,-0.3283,12,-0.3351,13,-0.2192,10,-0.6488,19,0.37109,20,0.46040,11,-0.4528
ENSG00000179403,VWA1,91,2.31380,8,-1.7484,9,-1.5887,8,-1.7668,9,-1.4911,5,-2.3124,32,0.40157,49,1.12547,31,0.35792
ENSG00000205090,TMEM240,20,-0.5851,53,1.16337,34,0.20294,26,-0.2220,18,-0.7351,21,-0.5398,15,-1.0379,24,-0.3039,31,0.06667
ENSG00000160075,SSU72,130,-0.2700,199,0.47466,201,0.42629,115,-0.4587,132,-0.2447,124,-0.3418,130,-0.2685,189,0.32518,124,-0.3514
ENSG00000228594,FNDC10,8,-1.5650,21,-0.2805,31,0.39260,26,0.09710,38,0.72152,26,0.12706,25,0.03503,32,0.44255,15,-0.7210
ENSG00000272106,AL691432.2,18,-0.4607,43,1.18207,16,-0.5764,10,-1.3446,18,-0.3844,13,-0.9004,24,-0.0045,39,0.83231,12,-1.0010
ENSG00000197530,MIB2,14,-1.1399,42,0.66258,32,0.14096,24,-0.2885,24,-0.2920,54,1.01693,21,-0.5310,29,-0.0312,11,-1.4264
ENSG00000248333,CDK11B,51,1.17525,27,0.12679,11,-1.3016,19,-0.4157,9,-1.5839,25,-0.0064,33,0.42943,5,-2.3542,45,0.96459
ENSG00000189339,SLC35E2B,17,-0.5413,24,0.01527,31,0.38087,13,-0.8939,29,0.26850,29,0.31539,29,0.27601,25,0.03837,20,-0.2762
ENSG00000215790,SLC35E2A,15,-1.2623,31,-0.2004,35,-0.0115,21,-0.8259,35,-0.0267,34,-0.0447,45,0.40333,62,0.93749,42,0.29019
ENSG00000008130,NADK,31,0.57769,21,-0.0776,26,0.30811,16,-0.4160,29,0.47477,15,-0.5366,16,-0.4480,34,0.73144,7,-1.7276
ENSG00000078369,GNB1,360,-0.7681,608,0.05941,424,-0.5153,528,-0.1724,717,0.32074,640,0.13598,545,-0.1210,722,0.33247,730,0.35068
ENSG00000187730,GABRD,17,-3.5293,252,0.61154,326,0.96994,205,0.18685,222,0.31843,191,0.08026,124,-0.6083,148,-0.3323,86,-1.1648
ENSG00000067606,PRKCZ,97,-0.9514,241,0.55584,182,0.02504,177,-0.0184,248,0.53153,198,0.16266,100,-0.9116,168,-0.1033,140,-0.3934
ENSG00000162585,FAAP20,36,0.06221,23,-0.6669,22,-0.6731,34,-0.0466,44,0.39110,18,-1.0144,35,0.02090,65,1.05477,45,0.42210
ENSG00000157933,SKI,41,0.09574,51,0.52058,25,-0.7048,18,-1.2037,39,0.02394,29,-0.4251,58,0.65767,41,0.08948,34,-0.2167
ENSG00000157916,RER1,73,0.31446,67,0.21419,65,0.12724,65,0.11840,55,-0.1221,53,-0.1847,63,0.07627,53,-0.1975,38,-0.7234
ENSG00000157911,PEX10,30,0.46440,15,-0.6985,17,-0.4324,24,0.08806,20,-0.1572,11,-1.0773,28,0.36133,51,1.37724,14,-0.7403
ENSG00000157881,PANK4,9,-0.7990,15,0.09180,23,0.75647,20,0.47243,11,-0.3762,13,-0.1960,13,-0.1888,15,0.06576,11,-0.3989
ENSG00000157870,PRXL2B,40,-0.5950,78,0.51587,79,0.48356,42,-0.5322,51,-0.2246,44,-0.4573,40,-0.5975,78,0.46900,58,-0.0171
ENSG00000177133,PRDM16-DT,17,-0.4698,16,-0.6959,8,-1.5188,25,0.11026,18,-0.4358,13,-0.8991,26,0.14367,75,2.05626,21,-0.1662
ENSG00000158109,TPRG1L,58,-1.6992,184,0.07787,277,0.74289,192,0.13000,246,0.54195,176,-0.0061,118,-0.6270,200,0.20070,130,-0.4812
ENSG00000130764,LRRC47,31,-1.3786,92,0.33495,116,0.67668,98,0.38919,70,-0.1585,72,-0.1081,50,-0.6864,77,-0.0063,72,-0.1115
ENSG00000116198,CEP104,53,0.99395,20,-0.6720,20,-0.6125,33,0.22019,30,0.06638,20,-0.5673,47,0.79519,12,-1.3373,36,0.33726
ENSG00000198912,C1orf174,19,0.36362,10,-0.7385,27,0.92485,10,-0.6214,21,0.53246,11,-0.5225,16,0.07619,16,0.06601,13,-0.2816
ENSG00000196581,AJAP1,21,-1.3100,67,0.59075,56,0.21287,47,-0.0651,54,0.14001,50,0.02840,41,-0.2682,34,-0.5782,54,0.13725
ENSG00000069424,KCNAB2,75,-1.5043,211,0.10643,261,0.44430,190,-0.0711,206,0.05792,189,-0.0833,148,-0.4667,252,0.38535,246,0.34296
ENSG00000116254,CHD5,99,-1.0313,194,0.00926,177,-0.1401,188,-0.0455,186,-0.0656,288,0.65244,184,-0.0782,168,-0.2250,255,0.45182
ENSG00000116251,RPL22,956,0.82657,611,0.09289,314,-0.9563,349,-0.7967,349,-0.7935,476,-0.3146,442,-0.4305,702,0.30880,994,0.89476
ENSG00000116237,ICMT,26,-0.5583,35,-0.0837,61,0.80688,45,0.30869,43,0.22009,24,-0.6595,31,-0.2745,46,0.35382,24,-0.6420
ENSG00000097021,ACOT7,60,-1.9623,218,0.00570,474,1.32666,203,-0.1072,344,0.75961,251,0.23626,110,-1.0531,175,-0.3388,118,-0.9457
ENSG00000215788,TNFRSF25,10,-1.5787,64,1.62916,37,0.38782,23,-0.4034,10,-1.5392,35,0.30267,22,-0.4751,18,-0.7271,8,-1.8772
ENSG00000171680,PLEKHG5,6,-2.3611,42,0.59824,43,0.53903,24,-0.3592,13,-1.3196,39,0.40505,30,-0.0405,47,0.69419,20,-0.6813
ENSG00000162408,NOL9,36,0.06587,24,-0.5700,40,0.26842,30,-0.1896,28,-0.3149,40,0.26821,35,0.04681,44,0.41603,39,0.19430
ENSG00000162413,KLHL21,28,-0.2812,27,-0.4072,54,0.76158,33,-0.0563,20,-0.8196,16,-1.1486,36,0.10837,63,1.01296,36,0.08584
ENSG00000041988,THAP3,7,-1.0276,25,0.96467,21,0.52298,9,-0.7867,20,0.50248,7,-1.0995,14,-0.1357,8,-0.8888,13,-0.1950
ENSG00000007923,DNAJC11,20,-0.8718,34,-0.0597,38,0.11829,27,-0.4068,41,0.25880,48,0.51553,44,0.34494,37,0.06685,29,-0.3144
ENSG00000171735,CAMTA1,282,-0.5557,328,-0.3535,280,-0.5655,523,0.42925,470,0.25410,644,0.78036,438,0.14167,234,-0.8447,487,0.31429
ENSG00000049245,VAMP3,91,1.82125,18,-0.9808,17,-0.9624,37,0.21401,10,-1.6860,16,-1.0300,31,-0.0648,47,0.63150,35,0.14860
ENSG00000049246,PER3,42,0.17736,32,-0.2901,31,-0.3257,40,0.08194,21,-0.8958,34,-0.1886,56,0.62351,53,0.53509,39,0.03088
ENSG00000116288,PARK7,232,-0.5852,417,0.39604,349,0.05801,343,0.02992,366,0.13089,190,-0.8915,298,-0.1940,460,0.50890,296,-0.2049
ENSG00000116285,ERRFI1,18,-0.7389,33,0.23968,43,0.64256,33,0.22984,40,0.52591,21,-0.5189,17,-0.8294,28,-0.0171,23,-0.3750
ENSG00000162426,SLC45A1,9,-1.5556,35,0.50623,53,1.12927,33,0.33751,34,0.37582,28,0.05668,6,-2.0962,22,-0.3226,12,-1.1921
ENSG00000142599,RERE,149,0.22203,128,-0.0215,102,-0.3777,152,0.25402,102,-0.3804,128,-0.0214,207,0.77620,90,-0.5690,110,-0.2580
ENSG00000074800,ENO1,406,-0.3615,393,-0.4588,519,0.02506,543,0.09997,512,0.00314,329,-0.6913,799,0.73966,846,0.83788,366,-0.5234
ENSG00000171612,SLC25A33,24,-0.9316,31,-0.5790,25,-0.8880,62,0.56917,37,-0.2691,22,-1.0467,72,0.82474,88,1.17378,45,0.04921
ENSG00000171603,CLSTN1,302,-1.2748,829,0.34645,1132,0.82578,780,0.20400,880,0.40171,716,0.06531,553,-0.3456,525,-0.4264,330,-1.1405
ENSG00000178585,CTNNBIP1,31,-0.1993,24,-0.6320,35,-0.0078,19,-0.9064,57,0.78099,29,-0.2779,42,0.28517,37,0.08256,53,0.65156
ENSG00000162441,LZIC,94,0.93332,33,-0.8011,26,-1.0755,46,-0.2246,49,-0.1173,32,-0.7954,86,0.77839,71,0.47157,62,0.23884
ENSG00000130939,UBE4B,36,-0.3053,35,-0.4082,52,0.27161,65,0.64583,63,0.59769,35,-0.3451,44,0.00457,19,-1.2746,55,0.34997
ENSG00000054523,KIF1B,529,0.43248,362,-0.2025,291,-0.5230,323,-0.3625,587,0.60554,436,0.11313,386,-0.0783,285,-0.5557,497,0.32811
ENSG00000142657,PGD,52,-0.1460,47,-0.3473,60,0.07387,82,0.60399,90,0.75046,42,-0.4851,53,-0.1083,52,-0.1511,45,-0.3556
ENSG00000241563,CORT,12,-2.5359,81,0.37113,41,-0.7262,75,0.19043,157,1.47598,21,-1.7293,84,0.39484,67,0.01730,42,-0.6926
ENSG00000160049,DFFA,75,0.89584,34,-0.4140,34,-0.3855,39,-0.1840,32,-0.5077,22,-1.0840,62,0.56525,59,0.48203,46,0.08449
ENSG00000142655,PEX14,20,-0.1167,27,0.40935,34,0.78150,16,-0.4356,18,-0.2896,19,-0.2058,12,-0.8056,21,-0.0092,19,-0.1482
ENSG00000120948,TARDBP,90,-0.0319,113,0.39110,87,-0.0735,99,0.12061,93,0.02032,96,0.08295,89,-0.0353,83,-0.1494,51,-0.8960
ENSG00000271895,AL109811.2,17,-0.0505,20,0.16088,32,0.94683,14,-0.3289,18,0.02071,20,0.19624,16,-0.1478,15,-0.2379,6,-1.5930
ENSG00000116649,SRM,34,-1.0287,88,0.54395,62,-0.1028,58,-0.1847,49,-0.4713,66,0.01225,66,0.01940,94,0.58211,52,-0.3612
ENSG00000171824,EXOSC10,33,0.12911,35,0.27311,35,0.24476,34,0.19494,24,-0.3491,27,-0.1838,30,-0.0110,36,0.29050,12,-1.3350
ENSG00000198793,MTOR,23,-0.9527,41,-0.0698,43,0.03627,61,0.58125,60,0.55277,44,0.07588,45,0.08692,32,-0.4301,35,-0.3188
ENSG00000116661,FBXO2,162,-0.1537,179,0.01222,177,-0.0101,145,-0.3248,138,-0.4053,83,-1.1807,256,0.59701,309,0.91757,152,-0.2490
ENSG00000132879,FBXO44,38,-1.3373,142,0.85766,120,0.45033,78,-0.2489,91,-0.0011,77,-0.2692,62,-0.5894,97,0.10162,63,-0.5805
ENSG00000116670,MAD2L2,21,0.44060,24,0.72952,32,1.11835,13,-0.3090,4,-1.8629,7,-1.2761,10,-0.6909,19,0.25520,7,-1.2618
ENSG00000177000,MTHFR,22,0.38622,13,-0.5072,20,0.25905,16,-0.1311,14,-0.2900,20,0.23536,23,0.47755,20,0.21577,11,-0.6321
ENSG00000011021,CLCN6,61,-0.2795,58,-0.3905,90,0.34237,75,0.04597,119,0.81633,76,0.06050,38,-1.0127,69,-0.0932,84,0.23431
ENSG00000116685,KIAA2013,40,0.52313,27,-0.1010,36,0.35659,19,-0.6375,29,-0.0083,19,-0.6650,23,-0.3422,37,0.37821,32,0.15852
ENSG00000083444,PLOD1,27,0.71711,16,-0.1007,12,-0.5372,14,-0.2744,22,0.40136,10,-0.8182,19,0.13511,21,0.30833,14,-0.2713
ENSG00000116688,MFN2,107,-0.4054,157,0.22245,148,0.09988,107,-0.4055,206,0.64896,137,-0.0232,164,0.27273,106,-0.4268,99,-0.5317
ENSG00000048707,VPS13D,41,-0.6815,54,-0.3050,92,0.58032,64,-0.0027,71,0.16306,62,-0.0445,59,-0.1249,54,-0.2747,90,0.55268
ENSG00000162496,DHRS3,52,0.84964,17,-0.9482,19,-0.7517,28,-0.1504,13,-1.2683,10,-1.7043,86,1.79209,48,0.74324,16,-0.9662
