Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,12,-1.6891,9,-2.1239,52,1.56285,16,-1.2685,25,-0.6027
ENSG00000188976,NOC2L,12,-1.8639,18,-1.2317,58,1.46550,33,-0.3197,20,-1.1670
ENSG00000188290,HES4,196,2.88937,16,-1.4237,18,-1.9502,24,-0.8047,57,0.56463
ENSG00000188157,AGRN,12,-1.2020,11,-1.3091,25,-0.1306,47,0.94282,34,0.47025
ENSG00000078808,SDF4,12,-2.1627,33,-0.6293,51,0.04321,47,-0.1034,78,0.80310
ENSG00000160087,UBE2J2,12,-1.3179,14,-1.0858,31,0.27411,24,-0.2831,39,0.57327
ENSG00000131584,ACAP3,38,-1.0240,128,0.88259,76,0.05619,32,-1.3062,83,0.20130
ENSG00000127054,INTS11,12,-1.7001,42,0.20402,42,0.46412,25,-0.5591,36,-0.0188
ENSG00000107404,DVL1,12,-2.0208,32,-0.5428,42,-0.2838,55,0.30989,77,0.98202
ENSG00000175756,AURKAIP1,228,0.81783,32,-2.2160,145,0.15362,98,-0.5391,146,0.10578
ENSG00000221978,CCNL2,204,1.67591,93,0.32764,62,-0.5715,29,-1.4831,69,-0.1686
ENSG00000242485,MRPL20,358,1.42347,77,-1.0700,144,-0.2089,143,-0.1114,126,-0.3445
ENSG00000235098,ANKRD65,12,-1.2924,1,-4.2157,23,-0.4794,62,1.33487,45,0.88812
ENSG00000179403,VWA1,12,-1.5522,80,1.47046,12,-2.2783,155,2.84863,24,-0.5343
ENSG00000205090,TMEM240,12,-1.0232,3,-3.0778,29,0.86650,2,-3.6753,32,0.56429
ENSG00000160075,SSU72,12,-3.3681,39,-1.6392,148,0.95875,100,-0.2271,115,-0.0110
ENSG00000228594,FNDC10,12,-1.1573,2,-3.3815,32,0.89865,5,-2.2234,33,0.47139
ENSG00000197530,MIB2,12,-1.2828,10,-1.5663,35,0.83308,11,-1.4139,32,0.26181
ENSG00000248333,CDK11B,12,-1.9921,132,1.85144,41,-0.2545,56,0.35341,23,-1.0727
ENSG00000008128,CDK11A,12,-1.3781,99,2.11563,21,-0.9524,35,0.29348,27,-0.1312
ENSG00000215790,SLC35E2A,12,-0.9958,31,0.51402,18,-0.6450,20,-0.1742,39,1.02703
ENSG00000078369,GNB1,267,-0.7915,88,-2.4444,512,0.48750,285,-0.6939,592,0.52213
ENSG00000187730,GABRD,12,-3.8548,30,-2.5071,254,2.34538,20,-3.0831,93,-0.9205
ENSG00000067606,PRKCZ,220,0.18296,109,-0.9122,221,0.40296,150,-0.4262,178,-0.1701
ENSG00000162585,FAAP20,12,-1.3159,23,-0.3207,22,-0.6320,34,0.29470,54,1.22326
ENSG00000157933,SKI,12,-1.8425,70,0.89301,29,-0.9085,53,0.42539,69,1.00132
ENSG00000157916,RER1,12,-1.9331,9,-2.3610,55,0.93004,44,0.03242,39,-0.1496
