Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,11,-1.8194,20,-0.9205,33,-0.1599,51,0.55606,42,0.22487,21,-0.8178,47,0.50728,45,0.35355,44,0.32848
ENSG00000188976,NOC2L,28,-0.7822,23,-1.1174,43,-0.1447,30,-0.6851,53,0.19431,66,0.57005,71,0.80196,53,0.20042,30,-0.7131
ENSG00000188290,HES4,10,-2.2652,58,0.42941,41,-0.1217,49,0.15650,26,-0.8109,40,-0.1708,32,-0.5518,142,2.06000,14,-1.7169
ENSG00000187608,ISG15,21,-0.8069,44,0.31334,35,-0.0180,60,0.84680,43,0.30635,22,-0.7429,32,-0.1905,50,0.53656,18,-1.0192
ENSG00000188157,AGRN,17,-0.6803,27,0.06517,14,-0.9085,35,0.45499,14,-0.9655,13,-1.0182,29,0.18484,80,1.94884,4,-2.8058
ENSG00000078808,SDF4,55,-0.0832,84,0.59799,84,0.58754,28,-1.1316,46,-0.3612,63,0.11724,68,0.27892,62,0.08928,25,-1.2659
ENSG00000176022,B3GALT6,13,-1.0943,20,-0.4922,36,0.47801,37,0.51337,31,0.21355,54,1.14974,31,0.26374,14,-1.0017,3,-3.3083
ENSG00000160087,UBE2J2,22,-0.6769,22,-0.6900,46,0.50037,28,-0.2841,22,-0.6538,47,0.53465,39,0.24630,60,0.94203,14,-1.3450
ENSG00000131584,ACAP3,57,-0.5832,64,-0.3881,165,1.16871,46,-0.9019,60,-0.5039,58,-0.5412,90,0.15997,158,1.09305,35,-1.3002
ENSG00000127054,INTS11,34,-0.4755,21,-1.2254,47,0.02333,23,-1.0944,47,0.01373,52,0.18857,51,0.16607,130,1.78208,9,-2.3785
