"","t_stat_FALSE","t_stat_TRUE","p_value_FALSE","p_value_TRUE","fdr_FALSE","fdr_TRUE","logFC_FALSE","logFC_TRUE","ensembl","gene"
"ENSG00000241860",1.85254142663885,-1.85254142663885,0.0688795811265197,0.06887958112652,0.14002788466757,0.14002788466757,0.666627961432904,-0.666627961432903,"ENSG00000241860","AL627309.5"
"ENSG00000237491",2.55675788909834,-2.55675788909834,0.0131190556882159,0.0131190556882159,0.0408490957367414,0.0408490957367413,0.832130576309361,-0.83213057630936,"ENSG00000237491","LINC01409"
"ENSG00000228794",0.506777992183693,-0.506777992183693,0.614172150684534,0.614172150684534,0.703023269287713,0.703023269287713,0.136613642940907,-0.136613642940907,"ENSG00000228794","LINC01128"
"ENSG00000188976",-2.36430744187236,2.36430744187236,0.0213248746023086,0.0213248746023087,0.0587281528095741,0.0587281528095744,-0.201446367818887,0.201446367818887,"ENSG00000188976","NOC2L"
"ENSG00000187961",0.865085679765651,-0.865085679765651,0.390445157976154,0.390445157976154,0.502482716479806,0.502482716479806,0.283328270773267,-0.283328270773267,"ENSG00000187961","KLHL17"
"ENSG00000188290",-0.16869732614832,0.168697326148319,0.866603401952035,0.866603401952036,0.90309324233639,0.903093242336391,-0.0184248816498994,0.0184248816498993,"ENSG00000188290","HES4"
"ENSG00000187608",-1.85670802494034,1.85670802494034,0.0682748811408458,0.068274881140846,0.139060485867049,0.139060485867049,-0.282722057043484,0.282722057043484,"ENSG00000187608","ISG15"
"ENSG00000188157",1.31604719063449,-1.31604719063449,0.193175302764103,0.193175302764103,0.298932159937928,0.298932159937927,0.342179011228229,-0.34217901122823,"ENSG00000188157","AGRN"
"ENSG00000131591",1.9532612212519,-1.95326122125189,0.0554671146359721,0.0554671146359722,0.119491691868327,0.119491691868327,0.661792758493098,-0.661792758493098,"ENSG00000131591","C1orf159"
"ENSG00000186891",1.61371587619301,-1.61371587619301,0.111848346335485,0.111848346335485,0.200653643835326,0.200653643835326,0.60904283509615,-0.60904283509615,"ENSG00000186891","TNFRSF18"
"ENSG00000078808",1.07872136509746,-1.07872136509746,0.285039155104694,0.285039155104694,0.398124905962767,0.398124905962767,0.308613368016616,-0.308613368016615,"ENSG00000078808","SDF4"
"ENSG00000176022",0.521043133450149,-0.521043133450149,0.60425879396941,0.604258793969409,0.694235947821579,0.694235947821578,0.0391671450707446,-0.0391671450707446,"ENSG00000176022","B3GALT6"
"ENSG00000160087",0.181051567698834,-0.181051567698835,0.856938663114449,0.856938663114449,0.895971455951463,0.895971455951463,0.0153850339789012,-0.0153850339789012,"ENSG00000160087","UBE2J2"
"ENSG00000162572",1.27570791405926,-1.27570791405926,0.206986581400148,0.206986581400148,0.314458353857531,0.314458353857531,0.382357963423861,-0.38235796342386,"ENSG00000162572","SCNN1D"
"ENSG00000131584",4.94541834339199,-4.94541834339199,6.47863138048821e-06,6.47863138048828e-06,0.000120505778948682,0.000120505778948683,0.38252864470198,-0.38252864470198,"ENSG00000131584","ACAP3"
"ENSG00000169972",2.0798402743648,-2.0798402743648,0.0418301429515999,0.0418301429516,0.0973336404553938,0.0973336404553941,0.739246314705343,-0.739246314705342,"ENSG00000169972","PUSL1"
"ENSG00000127054",0.623134306352117,-0.623134306352117,0.535563063725248,0.535563063725248,0.633835418734012,0.633835418734012,0.0520925233500818,-0.0520925233500818,"ENSG00000127054","INTS11"
"ENSG00000224051",0.323023101786567,-0.323023101786567,0.747803322264813,0.747803322264813,0.809291908071726,0.809291908071726,0.0810376049148947,-0.0810376049148947,"ENSG00000224051","CPTP"
"ENSG00000107404",5.11273062266951,-5.11273062266951,3.5106222286277e-06,3.51062222862767e-06,7.39812738109251e-05,7.39812738109244e-05,0.467976153452097,-0.467976153452097,"ENSG00000107404","DVL1"
"ENSG00000162576",5.36863780291407,-5.36863780291407,1.35801087760211e-06,1.35801087760212e-06,3.58741206833225e-05,3.58741206833227e-05,1.68408318280922,-1.68408318280922,"ENSG00000162576","MXRA8"
