Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000188976,NOC2L,69,1.41323,10,-1.6140,29,-0.0454,39,0.51998,24,-0.3519,21,-0.5645
ENSG00000188290,HES4,68,-0.5568,13,-2.9441,31,-1.8156,82,-0.2881,155,0.97838,132,0.62296
ENSG00000187608,ISG15,21,-1.7425,40,-0.7416,46,-0.5925,61,-0.1271,98,0.82560,73,0.21333
ENSG00000078808,SDF4,55,-0.0838,43,-0.4629,33,-0.9311,65,0.20075,62,0.13431,72,0.42685
ENSG00000160087,UBE2J2,19,-0.7905,42,0.39594,33,-0.0103,35,0.13227,29,-0.2078,36,0.17767
ENSG00000131584,ACAP3,162,1.33987,58,-0.3438,25,-1.6520,52,-0.5531,70,-0.0416,93,0.50862
ENSG00000127054,INTS11,40,0.18661,47,0.42505,27,-0.4516,29,-0.3497,29,-0.3510,47,0.54385
ENSG00000107404,DVL1,60,-0.2233,32,-1.1716,20,-1.9168,53,-0.4443,84,0.39602,112,1.03373
ENSG00000175756,AURKAIP1,87,-1.1395,63,-1.6119,149,-0.3496,213,0.26638,217,0.33675,224,0.40123
ENSG00000221978,CCNL2,151,1.67973,44,-0.3618,27,-1.1719,35,-0.7362,40,-0.5997,75,0.62390
ENSG00000242485,MRPL20,78,-1.1171,76,-1.1511,134,-0.3298,248,0.77089,187,0.27516,157,-0.0676
ENSG00000179403,VWA1,11,-1.9650,144,2.15714,23,-0.9344,18,-1.3118,24,-0.9681,62,0.84106
ENSG00000205090,TMEM240,30,0.32435,10,-1.3407,11,-1.2367,48,1.23079,28,0.24921,18,-0.5859
ENSG00000160075,SSU72,82,-0.9180,50,-1.6499,115,-0.4410,222,0.71291,200,0.58699,130,-0.2662
ENSG00000228594,FNDC10,39,0.58563,0,-7.1171,8,-1.9540,24,-0.1482,27,0.01879,46,1.14818
ENSG00000272106,AL691432.2,23,-0.1996,40,0.66856,18,-0.6413,31,0.26060,28,0.13670,24,-0.1970
ENSG00000197530,MIB2,40,0.10744,27,-0.4840,17,-1.2624,26,-0.5861,45,0.34179,54,0.74402
ENSG00000248333,CDK11B,133,1.33859,78,0.42864,77,0.45306,44,-0.4977,53,-0.1985,33,-1.0345
ENSG00000008128,CDK11A,143,2.34362,52,0.51599,40,0.11238,15,-1.4060,24,-0.8135,24,-0.7875
ENSG00000078369,GNB1,445,-0.4928,246,-1.3904,363,-0.8648,598,-0.0390,849,0.67379,726,0.34017
ENSG00000187730,GABRD,107,0.34104,9,-3.2985,36,-1.4170,221,1.87387,79,-0.1616,57,-0.7507
ENSG00000067606,PRKCZ,131,-0.3376,57,-1.5868,103,-0.7547,190,0.28104,255,0.95592,136,-0.3321
ENSG00000162585,FAAP20,31,-0.6886,26,-0.9956,36,-0.5359,34,-0.6360,76,0.89180,56,0.26238
ENSG00000157933,SKI,21,-1.0468,43,0.03685,27,-0.7124,25,-0.8681,33,-0.4158,78,1.38328
ENSG00000157916,RER1,49,-0.4344,57,-0.1876,11,-2.6695,82,0.41993,31,-1.2566,130,1.57952
ENSG00000157911,PEX10,25,-0.4179,20,-0.7536,12,-1.6263,29,-0.1893,45,0.60951,45,0.61477
ENSG00000197921,HES5,15,-1.4560,1,-5.0775,1,-4.6538,10,-2.1257,27,-0.6522,117,3.08322
ENSG00000157870,PRXL2B,71,0.76104,15,-1.6488,18,-1.4620,55,0.40312,58,0.54191,41,-0.1198
ENSG00000177133,PRDM16-DT,14,-1.5442,2,-4.2253,12,-1.8478,7,-2.6627,37,-0.1723,107,2.49967
ENSG00000158109,TPRG1L,44,-1.5695,57,-1.1791,58,-1.2223,174,0.61157,180,0.77937,126,0.03634
ENSG00000130764,LRRC47,47,-0.0751,14,-1.8895,28,-0.9164,99,1.32105,45,-0.1776,47,-0.0782
ENSG00000116198,CEP104,67,0.76682,121,1.81365,57,0.56976,12,-1.9710,21,-1.1960,36,-0.2460
ENSG00000196581,AJAP1,73,1.35627,27,-0.2813,31,-0.0422,63,1.25688,25,-0.4895,8,-2.2923
ENSG00000069424,KCNAB2,177,0.10959,49,-1.8352,29,-2.7107,175,0.10745,248,0.85005,200,0.38710
ENSG00000116254,CHD5,993,1.95840,71,-2.2462,497,0.82637,140,-1.3260,306,-0.0643,180,-1.0015
ENSG00000116251,RPL22,451,-1.0434,855,-0.0648,1359,0.76955,632,-0.5759,1086,0.39537,714,-0.4110
ENSG00000116237,ICMT,37,0.34159,42,0.52437,7,-2.1730,43,0.65596,18,-0.8650,41,0.65549
ENSG00000097021,ACOT7,54,-0.9041,28,-1.8969,21,-2.4000,307,2.44189,79,-0.3881,66,-0.7070
ENSG00000007923,DNAJC11,17,-0.7177,21,-0.3833,17,-0.7743,35,0.42022,23,-0.3617,40,0.75905
ENSG00000171735,CAMTA1,638,1.02163,204,-0.7948,285,-0.3052,347,0.03196,350,0.05144,312,-0.1698
ENSG00000049245,VAMP3,22,-1.1616,104,1.31098,44,-0.1151,24,-1.1045,41,-0.2540,59,0.48081
ENSG00000049246,PER3,49,0.22868,28,-0.6272,22,-1.0566,29,-0.6338,36,-0.2956,74,1.19414
ENSG00000116288,PARK7,202,-1.2115,232,-1.0015,352,-0.3998,507,0.22424,520,0.30271,546,0.40639
ENSG00000142599,RERE,285,1.22973,156,0.23123,167,0.37684,89,-0.6871,103,-0.4884,118,-0.2476
ENSG00000074800,ENO1,323,-1.3471,313,-1.3909,368,-1.2282,602,-0.4385,565,-0.5912,1697,1.83704
ENSG00000171612,SLC25A33,33,-1.3315,14,-2.5812,27,-1.7003,47,-0.8822,69,-0.2790,185,2.04355
ENSG00000171603,CLSTN1,480,0.48456,182,-1.0212,193,-0.9955,732,1.39311,221,-0.8511,358,0.02122
ENSG00000178585,CTNNBIP1,30,-0.7084,5,-3.3001,48,0.01189,40,-0.3021,61,0.48644,60,0.44701
ENSG00000162441,LZIC,74,-0.2108,134,0.74669,121,0.64763,53,-0.7787,62,-0.5529,90,0.12580
ENSG00000130939,UBE4B,22,-0.2509,67,1.54452,12,-1.3149,41,0.77893,10,-1.5503,30,0.27453
ENSG00000054523,KIF1B,301,0.00450,529,0.92046,394,0.48342,237,-0.3997,195,-0.7837,309,0.05533
ENSG00000142657,PGD,37,-0.1295,36,-0.1872,24,-0.8206,58,0.64153,23,-0.9540,59,0.77368
ENSG00000241563,CORT,78,-0.5011,26,-2.1224,63,-0.8827,150,0.59937,47,-1.4288,206,1.46151
ENSG00000160049,DFFA,112,0.96013,76,0.32792,30,-1.1850,45,-0.5462,53,-0.3053,83,0.58631
ENSG00000120948,TARDBP,119,0.52391,112,0.42750,57,-0.6735,108,0.40985,73,-0.2882,82,-0.0805
ENSG00000116649,SRM,54,-0.7551,28,-1.7275,35,-1.4979,95,0.11116,88,-0.0135,153,1.17925
ENSG00000171824,EXOSC10,93,1.74296,33,-0.0125,24,-0.5329,36,0.15057,22,-0.7179,28,-0.3055
ENSG00000198793,MTOR,51,0.70126,34,0.03292,13,-1.4714,49,0.70784,12,-1.6945,50,0.87410
ENSG00000116661,FBXO2,130,-1.1404,90,-1.6907,77,-2.0128,230,-0.2964,286,0.07970,533,1.49978
ENSG00000132879,FBXO44,94,0.38746,18,-2.0680,31,-1.3929,120,0.89266,58,-0.4445,99,0.59067
ENSG00000011021,CLCN6,31,-0.5491,23,-1.0169,41,-0.1434,45,0.02070,37,-0.3736,67,0.82890
ENSG00000116685,KIAA2013,33,0.15556,53,0.93335,27,-0.1888,30,-0.0101,21,-0.6343,32,0.13812
ENSG00000116688,MFN2,75,-0.0182,84,0.14924,40,-1.0615,121,0.84778,93,0.38623,52,-0.6978
ENSG00000048707,VPS13D,77,0.67753,45,-0.1690,34,-0.6428,64,0.43552,42,-0.3385,53,0.09976
ENSG00000116731,PRDM2,381,1.21900,180,-0.0091,290,0.85965,167,-0.1459,137,-0.5141,97,-1.1085
ENSG00000189337,KAZN,70,0.28340,91,0.71440,58,-0.0179,54,-0.1449,40,-0.6835,66,0.22658
ENSG00000142634,EFHD2,142,1.28996,36,-0.9204,102,0.82422,44,-0.6299,56,-0.2800,47,-0.5933
ENSG00000116786,PLEKHM2,53,-1.4860,49,-1.6070,89,-0.7624,103,-0.5216,263,1.38498,139,-0.0275
ENSG00000065526,SPEN,214,0.83751,300,1.42581,203,0.85400,72,-0.9315,75,-0.9508,79,-0.8458
ENSG00000055070,SZRD1,31,-0.2823,56,0.66514,27,-0.5132,19,-1.0649,46,0.44477,42,0.23805
ENSG00000159363,ATP13A2,58,-0.3386,31,-1.2691,24,-1.7231,104,0.65359,67,-0.1434,107,0.80675
ENSG00000117118,SDHB,23,-2.0587,68,-0.4580,34,-1.5799,130,0.63806,101,0.19815,124,0.62722
ENSG00000117115,PADI2,32,-1.5042,342,2.42652,43,-1.1440,26,-1.8771,43,-1.2213,132,0.88461
ENSG00000117154,IGSF21,63,0.13191,56,-0.0596,36,-0.7718,94,0.87720,76,0.54801,29,-1.1832
ENSG00000159423,ALDH4A1,21,-1.1276,18,-1.3466,16,-1.6773,16,-1.6853,70,0.92282,77,1.12471
ENSG00000127481,UBR4,56,0.77646,58,0.82155,33,-0.0635,28,-0.3416,26,-0.5290,33,-0.0603
ENSG00000127463,EMC1,20,-0.4621,24,-0.1925,14,-1.0391,42,0.78674,7,-2.1996,49,1.30443
ENSG00000053372,MRTO4,21,-1.2566,21,-1.2289,26,-1.0232,60,0.40726,76,0.96381,45,-0.1355
ENSG00000053371,AKR7A2,24,-1.3796,57,-0.0577,33,-0.9708,40,-0.6563,55,-0.1492,107,1.29316
ENSG00000077549,CAPZB,188,-0.3078,134,-0.8302,106,-1.2628,314,0.56139,226,-0.0263,305,0.57326
ENSG00000173436,MICOS10,245,-0.9569,232,-1.0425,638,0.59806,394,-0.2522,651,0.72695,332,-0.5901
ENSG00000158747,NBL1,163,0.07419,71,-1.1976,82,-1.0531,162,0.06711,156,0.00744,226,0.77003
