Ensembl ID,Gene,n_PEC_cell_type,PEC_cell_type,Anno_cell_type,Anno_layer_marker,Note,Probesets,Anno_cell_type_obselete,dx_deg,Literature_GWAS_based_hits,BDNF_signaling,Cell_Type_Reference
ENSG00000175899,A2M,5,"Endo, Immune, Micro, PC, SMC",NA,Layer marker,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000107331,ABCA2,1,Oligo,NA,Layer marker,NA,5,NA,NA,NA,NA,NA
ENSG00000118777,ABCG2,3,"Endo, PC, SMC",Endo,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/12958161/
ENSG00000122729,ACO1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000107796,ACTA2,2,"PC, SMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000132744,ACY3,1,Micro,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000042980,ADAM28,2,"Immune, Micro",Mic,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC6557985/
ENSG00000141433,ADCYAP1,4,"L2.3.IT, L4.IT, L6.IT, L6b",NA,Layer marker,BDNF_signaling,8,BDNF,NA,NA,BDNF,NA
ENSG00000078549,ADCYAP1R1,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000148671,ADIRF,5,"Astro, Endo, PC, SMC, VLMC",NA,NA,NA,4,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000204472,AIF1,3,"Endo, Immune, Micro",Mic,NA,both immune and microglia; but often used as a canoncal microglial marker,7,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000229425,AJ009632.2,4,"L2.3.IT, L4.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000154027,AK5,1,Oligo,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000011243,AKAP8L,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000142208,AKT1,NA,NA,NA,NA,NA,8,NA,NA,Literature,NA,NA
ENSG00000170017,ALCAM,3,"L5.6.NP, Oligo, OPC",NA,NA,"associated with endothelial cells in neuroinflammation, though",8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000165092,ALDH1A1,2,"Astro, L4.IT",Ast,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD_PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC8057636/
ENSG00000132965,ALOX5AP,2,"Immune, Micro",Mic,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.01170/full
ENSG00000011426,ANLN,1,Oligo,Oligo,NA,NA,5,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC6344079/
ENSG00000178878,APOLD1,3,"Endo, Oligo, PC",Endo,NA,assiciated with endotheliual function,8,NA,Dx_DEG_Up,NA,NA,https://pubmed.ncbi.nlm.nih.gov/36933174/
ENSG00000240583,AQP1,2,"Astro, Oligo",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000171885,AQP4,2,"Astro, Endo",Ast,NA,NA,8,Ast,NA,NA,NA,LIBD_PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC6493026/
ENSG00000130429,ARPC1B,5,"Endo, Immune, Micro, PC, SMC",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000128989,ARPP19,3,"L2.3.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
