Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,18,-0.9958,17,-1.1354,16,-1.1871,42,0.27461,46,0.45192,51,0.59651,35,-0.0075,42,0.30200,42,0.32346
ENSG00000188976,NOC2L,30,-0.9594,28,-1.0462,28,-1.0627,67,0.30148,81,0.62777,62,0.19368,44,-0.3409,66,0.29781,73,0.51969
ENSG00000188290,HES4,66,0.57107,77,0.83172,29,-0.7325,20,-1.2658,18,-1.4106,43,-0.1208,40,-0.2155,58,0.36956,56,0.34237
ENSG00000187608,ISG15,54,-0.0081,86,0.74967,26,-1.1256,45,-0.2948,65,0.27872,20,-1.5119,85,0.71498,26,-1.1313,69,0.43639
ENSG00000188157,AGRN,26,0.11671,17,-0.5375,12,-1.1173,42,0.90894,18,-0.4479,13,-0.9267,10,-1.3641,45,1.00189,30,0.38493
ENSG00000078808,SDF4,48,-0.1983,95,0.93209,18,-1.6536,43,-0.3460,44,-0.3069,50,-0.1258,37,-0.5706,83,0.70368,61,0.21259
ENSG00000176022,B3GALT6,19,-0.3167,25,0.07857,13,-0.9287,10,-1.2640,27,0.20363,24,0.04518,23,0.00430,45,1.09636,24,0.04633
ENSG00000160087,UBE2J2,27,-0.4592,28,-0.4034,27,-0.4305,21,-0.8469,40,0.19287,35,-0.0408,63,0.95177,33,-0.1377,42,0.29385
ENSG00000131584,ACAP3,63,-0.0325,53,-0.3047,61,-0.0873,121,1.05037,35,-0.9486,54,-0.2746,34,-0.9667,91,0.56752,66,0.03579
ENSG00000127054,INTS11,47,0.18722,45,0.09837,16,-1.4270,37,-0.2079,46,0.14018,39,-0.1047,31,-0.4647,40,-0.0666,59,0.64302
ENSG00000224051,CPTP,14,-0.2438,8,-0.9864,11,-0.6572,15,-0.0874,21,0.42557,11,-0.5999,8,-1.0143,22,0.45442,26,0.90053
ENSG00000107404,DVL1,97,1.28533,73,0.78644,36,-0.3630,27,-0.7828,24,-0.9814,42,-0.1066,58,0.39332,51,0.18693,22,-1.1789
ENSG00000175756,AURKAIP1,296,0.87183,165,-0.0957,102,-0.8333,101,-0.8496,160,-0.1381,67,-1.4787,147,-0.2714,150,-0.2391,280,0.91043
ENSG00000221978,CCNL2,30,-0.8129,64,0.36666,23,-1.2231,73,0.57624,59,0.23315,88,0.89831,42,-0.3072,56,0.13244,38,-0.5069
ENSG00000242485,MRPL20,220,0.57479,164,0.09451,132,-0.2485,73,-1.1525,118,-0.4178,94,-0.7788,139,-0.1685,198,0.40345,203,0.51430
ENSG00000235098,ANKRD65,66,1.40856,21,-0.4504,15,-0.9699,16,-0.9290,17,-0.7830,23,-0.3508,24,-0.2922,19,-0.6550,43,0.76595
ENSG00000179403,VWA1,32,0.33888,87,2.15316,26,-0.0141,1,-4.5997,3,-3.2452,31,0.27376,44,0.86678,11,-1.2953,13,-1.1611
ENSG00000205090,TMEM240,18,-0.4995,7,-1.9372,18,-0.4687,35,0.55950,19,-0.3794,22,-0.1671,5,-2.2960,52,1.25464,35,0.66227
ENSG00000160075,SSU72,225,0.75582,106,-0.4698,87,-0.7696,124,-0.2189,104,-0.4962,76,-0.9658,128,-0.1652,227,0.76612,174,0.36444
ENSG00000228594,FNDC10,28,-0.1091,17,-0.8707,22,-0.4715,15,-1.0847,39,0.37690,11,-1.5287,57,1.03694,50,0.81306,32,0.11618
ENSG00000197530,MIB2,33,0.08757,30,-0.0965,13,-1.3735,41,0.43701,26,-0.3114,32,0.04512,24,-0.4407,41,0.41393,38,0.32711
ENSG00000248333,CDK11B,41,-0.8085,66,-0.0620,103,0.67139,115,0.86222,87,0.39516,82,0.28642,32,-1.1749,54,-0.3655,52,-0.4729
ENSG00000008128,CDK11A,21,-1.0283,52,0.36864,38,-0.1098,73,0.95932,28,-0.5866,55,0.48280,15,-1.4911,40,-0.0555,44,0.12271
ENSG00000008130,NADK,26,0.38187,21,0.00349,22,0.07389,40,1.10167,9,-1.2131,11,-1.0085,15,-0.4627,11,-0.9119,26,0.39673
ENSG00000078369,GNB1,657,0.46144,487,-0.0267,561,0.20109,277,-0.9034,369,-0.4628,425,-0.2441,528,0.10357,546,0.15788,550,0.19343
ENSG00000187730,GABRD,67,-1.4411,50,-1.8717,50,-1.8741,159,-0.1098,254,0.65135,107,-0.7249,220,0.41333,215,0.37589,292,1.05569
ENSG00000067606,PRKCZ,211,-0.0481,97,-1.2425,193,-0.1860,183,-0.2688,267,0.33542,186,-0.2452,227,0.07435,347,0.77228,230,0.10411
ENSG00000162585,FAAP20,62,0.61226,77,0.98774,51,0.29246,8,-2.4822,21,-1.1036,27,-0.6720,51,0.29810,60,0.56125,34,-0.3969
ENSG00000157933,SKI,29,-0.1190,58,1.02223,60,1.09897,41,0.46002,11,-1.5258,41,0.44255,18,-0.8343,26,-0.2789,13,-1.3853
ENSG00000157916,RER1,57,0.15816,78,0.66292,9,-2.5446,49,-0.0849,45,-0.2378,51,-0.0213,33,-0.7042,32,-0.7726,83,0.89181
ENSG00000157911,PEX10,33,0.96450,44,1.48408,8,-1.2968,6,-1.7456,8,-1.1866,18,-0.0170,7,-1.4034,18,-0.0629,21,0.23569
ENSG00000157870,PRXL2B,54,0.30249,24,-0.9817,27,-0.7952,62,0.51910,38,-0.2636,42,-0.1047,54,0.31480,55,0.32819,46,0.05773
ENSG00000158109,TPRG1L,196,-0.0944,94,-1.2193,203,-0.0364,147,-0.5410,305,0.62941,120,-0.8600,261,0.37077,321,0.71771,215,0.06253
ENSG00000130764,LRRC47,45,-0.7671,47,-0.6755,49,-0.6307,45,-0.7620,74,0.01692,94,0.40728,83,0.20926,86,0.26210,104,0.66823
ENSG00000116198,CEP104,17,-0.9196,51,0.84019,42,0.51971,37,0.29470,30,-0.0071,46,0.65633,31,0.04911,20,-0.6407,15,-1.1217
ENSG00000196581,AJAP1,29,-0.9242,10,-2.4394,42,-0.3582,52,-0.0002,53,0.01118,116,1.35988,102,1.12826,26,-1.0930,46,-0.2137
ENSG00000069424,KCNAB2,283,0.83759,122,-0.5285,116,-0.6077,132,-0.4102,182,0.09994,135,-0.3767,159,-0.1184,190,0.17279,195,0.24286
ENSG00000116254,CHD5,204,-0.9027,178,-1.1068,590,0.79822,687,1.06515,399,0.14745,429,0.26441,372,0.03628,326,-0.1731,227,-0.8078
ENSG00000116251,RPL22,1128,1.06449,751,0.36983,967,0.79441,331,-0.9219,318,-0.9821,547,-0.1440,430,-0.5208,748,0.36319,381,-0.7762
ENSG00000116237,ICMT,35,0.23569,22,-0.5022,22,-0.5221,22,-0.5074,51,0.86286,14,-1.1175,27,-0.1722,29,-0.0580,40,0.52267
ENSG00000097021,ACOT7,119,-0.6477,45,-2.1099,46,-2.0591,166,-0.1283,282,0.74113,137,-0.4302,89,-1.0901,252,0.54979,331,1.22058
ENSG00000215788,TNFRSF25,16,-0.2854,14,-0.5031,6,-1.6644,38,1.15923,8,-1.2482,15,-0.3573,17,-0.1879,31,0.77622,23,0.31990
