Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,7,-0.3131,8,-0.1356,9,0.12703,4,-0.9643,9,0.15609,10,0.32529,8,-0.1214,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,28,-0.1746,22,-0.5688,31,-0.0028,44,0.52454,41,0.40535,27,-0.2359,42,0.47323,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,44,0.23766,21,-0.9158,50,0.46022,31,-0.2970,38,0.01921,49,0.39655,32,-0.2441,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,30,-0.6745,55,0.29210,34,-0.4671,51,0.16996,39,-0.2729,26,-0.8895,44,-0.0589,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,41,-0.3519,52,0.03047,67,0.43921,79,0.71053,21,-1.3671,31,-0.7647,79,0.71511,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,23,0.08866,19,-0.1667,22,0.01746,26,0.31717,15,-0.5893,17,-0.3292,17,-0.4061,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,13,0.57823,5,-0.8157,5,-0.6706,6,-0.6295,9,0.11831,5,-0.9170,6,-0.5741,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,56,-0.2926,67,-0.0269,108,0.76960,84,0.34403,47,-0.5736,46,-0.6069,58,-0.2376,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,27,0.31899,17,-0.4245,31,0.50259,22,0.00362,18,-0.3035,16,-0.5235,25,0.14446,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,44,0.22574,36,-0.1060,50,0.41871,38,-0.0042,50,0.44067,23,-0.7749,29,-0.4424,43,0.17199,42,0.14939
