Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,21,-0.6754,37,0.15200,21,-0.6589,13,-1.3635,21,-0.6907,37,0.17988,42,0.37869,38,0.20193,20,-0.7361,66,1.09388,35,0.06830,40,0.31609
ENSG00000188976,NOC2L,26,-0.8500,40,-0.1685,23,-1.0241,6,-2.8569,69,0.66758,70,0.68976,38,-0.2617,65,0.56855,39,-0.2407,95,1.20507,22,-1.0720,47,0.07264
ENSG00000188290,HES4,62,-0.2002,118,0.80519,44,-0.7362,17,-2.0986,205,1.76314,47,-0.6230,120,0.84053,125,0.90162,28,-1.4049,72,0.01628,25,-1.5664,30,-1.3506
ENSG00000187608,ISG15,31,-0.7416,13,-2.0335,45,-0.1504,18,-1.5101,217,2.58321,45,-0.1642,49,-0.0112,56,0.19552,37,-0.4695,29,-0.7964,17,-1.6398,45,-0.1600
ENSG00000188157,AGRN,15,-0.5476,22,-0.0092,28,0.37032,14,-0.6482,92,2.44479,14,-0.6751,10,-1.2087,21,-0.1107,3,-2.9494,52,1.35943,1,-3.7092,8,-1.4959
ENSG00000078808,SDF4,84,0.63255,51,-0.1489,46,-0.3143,28,-1.0602,129,1.34969,55,-0.0451,39,-0.5516,81,0.57696,30,-0.9736,79,0.53707,25,-1.2244,43,-0.4541
ENSG00000176022,B3GALT6,24,0.16164,35,0.75278,24,0.13294,4,-2.5600,31,0.55188,28,0.39103,15,-0.5873,34,0.69408,14,-0.6457,22,0.02129,17,-0.3832,18,-0.3268
ENSG00000160087,UBE2J2,39,-0.0095,79,1.14500,14,-1.4978,22,-0.8437,48,0.32749,31,-0.3646,58,0.62529,34,-0.2040,31,-0.3519,60,0.69285,37,-0.0863,27,-0.6275
ENSG00000131584,ACAP3,53,-0.3285,152,1.38683,48,-0.4772,38,-0.8320,112,0.87049,146,1.31159,56,-0.2264,76,0.23751,5,-3.7569,112,0.86600,14,-2.2627,18,-2.0154
ENSG00000127054,INTS11,32,-0.1271,34,-0.0450,22,-0.7142,13,-1.4059,67,1.04638,35,-0.0017,76,1.26646,31,-0.1962,13,-1.5067,56,0.74974,9,-2.0457,33,-0.0900
ENSG00000107404,DVL1,69,0.29727,224,2.36589,65,0.20584,27,-1.1067,56,-0.0206,41,-0.4916,60,0.08919,37,-0.6730,72,0.37256,51,-0.1740,22,-1.3991,8,-3.0194
ENSG00000175756,AURKAIP1,176,0.12287,198,0.30411,151,-0.1182,130,-0.3516,121,-0.4586,70,-1.2762,249,0.67546,320,1.09314,101,-0.7241,154,-0.0868,112,-0.5757,168,0.04927
ENSG00000221978,CCNL2,20,-1.6409,25,-1.2885,35,-0.8234,38,-0.6834,181,1.84902,112,1.00255,52,-0.2281,52,-0.2278,15,-2.0743,90,0.64379,34,-0.8597,63,0.08161
ENSG00000242485,MRPL20,178,0.14227,156,-0.0601,167,0.04405,125,-0.3996,118,-0.4888,90,-0.8930,287,0.91376,273,0.82887,112,-0.5659,118,-0.4954,147,-0.1551,170,0.07633
ENSG00000235098,ANKRD65,40,0.55669,36,0.39616,38,0.50334,15,-0.8929,12,-1.2853,9,-1.6891,52,0.99914,59,1.22783,34,0.32964,31,0.15331,16,-0.8123,9,-1.6677
ENSG00000205090,TMEM240,8,-2.0568,64,1.03210,20,-0.7784,8,-2.0513,36,0.12036,45,0.45332,37,0.15290,53,0.71622,16,-1.1061,56,0.82182,61,0.95493,16,-1.2008
ENSG00000160075,SSU72,147,0.04109,258,0.95046,182,0.38499,44,-1.7686,117,-0.3133,87,-0.7636,247,0.87650,156,0.13386,95,-0.6190,138,-0.0499,134,-0.0959,126,-0.2091
ENSG00000228594,FNDC10,21,-0.1016,55,1.44579,41,0.92889,1,-4.3113,7,-1.6296,41,0.95803,20,-0.1580,23,0.00370,15,-0.6503,12,-0.9837,15,-0.6238,22,-0.0715
ENSG00000197530,MIB2,33,0.00722,86,1.57043,31,-0.0939,17,-1.0337,31,-0.0977,38,0.19440,37,0.18019,62,1.00203,17,-1.0167,46,0.51010,6,-2.4996,14,-1.4104
ENSG00000248333,CDK11B,45,0.38855,20,-0.8471,57,0.76435,73,1.15252,21,-0.7806,67,1.01531,19,-0.9052,43,0.28410,20,-0.8927,33,-0.0914,38,0.12441,12,-1.6956
ENSG00000008128,CDK11A,33,0.62723,11,-1.0738,31,0.54047,46,1.15725,35,0.72132,69,1.87522,9,-1.3858,14,-0.7324,5,-2.2036,23,0.02675,5,-2.2030,5,-2.2978
ENSG00000215790,SLC35E2A,35,0.23353,50,0.80676,43,0.58718,2,-3.5887,40,0.44765,25,-0.2487,38,0.37728,32,0.08824,27,-0.1767,42,0.54073,21,-0.5642,17,-0.9028
ENSG00000008130,NADK,19,-0.6085,46,0.77643,21,-0.4327,11,-1.3762,62,1.26565,21,-0.4487,31,0.16710,44,0.70529,19,-0.6169,42,0.63808,28,-0.0259,11,-1.4503
ENSG00000078369,GNB1,599,0.11433,847,0.66757,792,0.55853,319,-0.8530,362,-0.6641,573,0.04453,584,0.07388,624,0.17881,475,-0.2485,424,-0.4230,768,0.50771,438,-0.4013
ENSG00000187730,GABRD,42,-1.8105,95,-0.5910,80,-0.8644,5,-4.6870,65,-1.1559,85,-0.7638,294,1.20440,232,0.80294,117,-0.2841,306,1.27040,146,0.06046,178,0.41516
ENSG00000067606,PRKCZ,105,-0.6809,306,1.00909,229,0.53241,68,-1.3279,104,-0.6987,209,0.38607,235,0.57530,135,-0.2989,133,-0.3199,257,0.71948,167,0.02804,90,-0.9729
ENSG00000162585,FAAP20,84,1.15281,71,0.88517,77,1.00954,48,0.23615,55,0.46526,30,-0.4959,64,0.71584,35,-0.2594,13,-1.7231,10,-2.0262,13,-1.7454,17,-1.4140
ENSG00000157933,SKI,52,0.43152,102,1.58431,52,0.45623,21,-0.9026,97,1.47963,35,-0.1485,18,-1.1367,15,-1.4447,22,-0.8644,39,-0.0059,42,0.09390,6,-2.7132
ENSG00000157916,RER1,83,0.47195,46,-0.4544,26,-1.2948,28,-1.1730,117,1.02985,43,-0.5394,96,0.70952,64,0.05951,35,-0.8490,55,-0.1855,34,-0.9147,87,0.60199
ENSG00000157911,PEX10,35,0.61102,23,-0.0158,27,0.18523,20,-0.2444,39,0.79959,33,0.53683,8,-1.6025,4,-2.4566,26,0.14921,26,0.17552,35,0.61411,15,-0.7308
ENSG00000149527,PLCH2,11,-1.1249,100,2.49517,13,-0.8569,0,-8.1805,23,-0.0607,41,0.87957,22,-0.1127,31,0.40350,5,-2.1394,34,0.55179,13,-0.8641,7,-1.7789
ENSG00000157870,PRXL2B,27,-0.5658,61,0.70807,54,0.52109,10,-2.0119,28,-0.4943,5,-2.8910,53,0.49440,88,1.33235,33,-0.2340,88,1.32954,14,-1.4693,21,-0.9539
ENSG00000177133,PRDM16-DT,135,2.93837,42,0.73600,29,0.16101,3,-2.8758,46,0.89872,9,-1.5131,17,-0.6512,28,0.09999,8,-1.7817,5,-2.3782,0,-5.2791,9,-1.6414
ENSG00000158109,TPRG1L,82,-1.0586,247,0.63882,153,-0.1235,39,-2.1727,101,-0.7525,120,-0.4929,139,-0.2681,180,0.13141,174,0.07749,203,0.31949,247,0.63945,232,0.60094
