Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8
ENSG00000237491,LINC01409,1,-2.8770,9,2.87701
ENSG00000228794,LINC01128,15,-1.2993,38,1.29937
ENSG00000188976,NOC2L,38,-0.0945,41,0.09458
ENSG00000187961,KLHL17,16,0.75140,9,-0.7514
ENSG00000188290,HES4,97,1.07897,46,-1.0789
ENSG00000187608,ISG15,62,0.76035,37,-0.7603
ENSG00000188157,AGRN,39,0.55809,26,-0.5580
ENSG00000131591,C1orf159,10,0.04675,10,-0.0467
ENSG00000078808,SDF4,106,0.56028,72,-0.5602
ENSG00000176022,B3GALT6,27,0.03222,27,-0.0322
ENSG00000160087,UBE2J2,50,0.29951,41,-0.2995
ENSG00000162572,SCNN1D,16,0.78781,9,-0.7878
ENSG00000131584,ACAP3,90,0.51417,63,-0.5141
ENSG00000169972,PUSL1,10,0.00657,10,-0.0065
ENSG00000127054,INTS11,62,0.40225,47,-0.4022
ENSG00000224051,CPTP,26,0.28487,22,-0.2848
ENSG00000107404,DVL1,78,0.54152,54,-0.5415
ENSG00000175756,AURKAIP1,154,-0.2317,181,0.23171
ENSG00000221978,CCNL2,82,-0.0402,84,0.04023
ENSG00000224870,MRPL20-AS1,17,1.17439,7,-1.1743
ENSG00000242485,MRPL20,112,-0.6759,180,0.67596
ENSG00000235098,ANKRD65,35,0.11780,32,-0.1178
ENSG00000179403,VWA1,85,2.29822,17,-2.2982
ENSG00000160072,ATAD3B,11,-0.1871,12,0.18719
ENSG00000197785,ATAD3A,16,0.14846,14,-0.1484
ENSG00000205090,TMEM240,40,0.85670,22,-0.8567
ENSG00000160075,SSU72,110,-0.2787,134,0.27878
ENSG00000228594,FNDC10,27,0.12368,25,-0.1236
ENSG00000272106,AL691432.2,25,0.26878,21,-0.2687
ENSG00000197530,MIB2,36,0.26810,30,-0.2681
ENSG00000248333,CDK11B,32,1.29268,13,-1.2926
ENSG00000189339,SLC35E2B,29,-0.4717,40,0.47174
ENSG00000008128,CDK11A,26,1.78256,7,-1.7825
ENSG00000215790,SLC35E2A,23,0.05413,23,-0.0541
ENSG00000008130,NADK,28,-0.0041,28,0.00413
ENSG00000078369,GNB1,571,0.06484,546,-0.0648
ENSG00000187730,GABRD,107,-0.7091,176,0.70910
ENSG00000067606,PRKCZ,128,-0.3014,158,0.30142
ENSG00000162585,FAAP20,64,1.10199,30,-1.1019
ENSG00000157933,SKI,57,1.83530,16,-1.8353
ENSG00000272420,AL513477.2,2,-1.7260,9,1.72602
ENSG00000157916,RER1,74,0.10726,68,-0.1072
ENSG00000157911,PEX10,41,0.89577,22,-0.8957
ENSG00000149527,PLCH2,23,0.17860,20,-0.1786
ENSG00000157881,PANK4,9,-1.0032,18,1.00327
ENSG00000197921,HES5,31,0.28688,25,-0.2868
ENSG00000157873,TNFRSF14,18,0.90855,9,-0.9085
ENSG00000157870,PRXL2B,50,0.12571,45,-0.1257
ENSG00000177133,PRDM16-DT,21,0.38970,16,-0.3897
ENSG00000142611,PRDM16,17,0.84584,9,-0.8458
ENSG00000158109,TPRG1L,126,-0.7506,212,0.75066
ENSG00000116213,WRAP73,14,-0.4830,20,0.48307
ENSG00000130764,LRRC47,83,-0.0790,88,0.07905
ENSG00000116198,CEP104,43,1.08794,20,-1.0879
ENSG00000198912,C1orf174,10,-0.7087,17,0.70879
ENSG00000196581,AJAP1,31,-0.2833,38,0.28337
ENSG00000131697,NPHP4,6,-0.6660,10,0.66603
ENSG00000069424,KCNAB2,156,-0.2210,181,0.22101
ENSG00000116254,CHD5,166,0.14348,150,-0.1434
ENSG00000116251,RPL22,636,0.29856,517,-0.2985
ENSG00000158286,RNF207,6,-0.6924,9,0.69242
ENSG00000116237,ICMT,34,-0.5420,50,0.54201
ENSG00000158292,GPR153,10,0.40696,7,-0.4069
ENSG00000097021,ACOT7,155,-0.9544,301,0.95445
ENSG00000215788,TNFRSF25,49,0.67129,30,-0.6712
ENSG00000171680,PLEKHG5,33,-0.0316,34,0.03163
ENSG00000162408,NOL9,41,0.54403,28,-0.5440
ENSG00000204859,ZBTB48,15,0.44098,11,-0.4409
ENSG00000162413,KLHL21,36,0.16565,32,-0.1656
ENSG00000116273,PHF13,23,0.56155,15,-0.5615
ENSG00000041988,THAP3,25,0.34452,20,-0.3445
ENSG00000007923,DNAJC11,35,0.30316,29,-0.3031
ENSG00000171735,CAMTA1,318,0.06727,304,-0.0672
