Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000188976,NOC2L,69,1.41323,10,-1.6140,44,0.63368,13,-1.1741,56,1.03838,23,-0.3745,36,0.32940,24,-0.3196,13,-1.2555,33,0.18078,21,-0.5094,10,-1.5316
ENSG00000188290,HES4,68,-0.5568,13,-2.9441,29,-1.8071,33,-1.6348,61,-0.7275,104,0.09845,341,2.16972,62,-0.6873,61,-0.7091,118,0.29798,122,0.35603,158,0.77293
ENSG00000187608,ISG15,21,-1.7425,40,-0.7416,18,-1.9525,74,0.19319,54,-0.2966,68,0.04719,243,2.28326,27,-1.3271,23,-1.5738,32,-1.0748,61,-0.1063,126,1.06165
ENSG00000078808,SDF4,55,-0.0838,43,-0.4629,31,-0.9256,34,-0.8111,70,0.29282,60,0.06230,107,1.00565,50,-0.2324,29,-1.0637,66,0.20618,103,0.93589,46,-0.3548
ENSG00000160087,UBE2J2,19,-0.7905,42,0.39594,18,-0.9284,48,0.58606,43,0.40994,28,-0.2280,20,-0.7722,42,0.39971,26,-0.3553,32,-0.0473,58,0.90446,19,-0.8658
ENSG00000131584,ACAP3,162,1.33987,58,-0.3438,36,-1.0543,15,-2.3190,34,-1.1478,69,-0.0534,92,0.39326,68,-0.0870,51,-0.5327,26,-1.5269,133,0.99661,119,0.81102
ENSG00000127054,INTS11,40,0.18661,47,0.42505,17,-1.1127,37,0.07230,35,-0.0273,23,-0.6781,48,0.46383,19,-0.9574,22,-0.7567,31,-0.2396,64,0.93489,46,0.40559
ENSG00000107404,DVL1,60,-0.2233,32,-1.1716,26,-1.4726,15,-2.2633,27,-1.4104,79,0.20882,111,0.76985,36,-0.9925,105,0.67816,27,-1.3934,175,1.55405,134,1.08290
ENSG00000175756,AURKAIP1,87,-1.1395,63,-1.6119,141,-0.4069,157,-0.2394,180,-0.0213,245,0.46801,138,-0.4349,267,0.60595,245,0.46800,163,-0.1846,197,0.11983,311,0.86070
ENSG00000221978,CCNL2,151,1.67973,44,-0.3618,7,-2.9600,46,-0.2728,44,-0.3393,26,-1.1199,67,0.29486,30,-0.9458,23,-1.3298,58,0.06173,75,0.48025,94,0.84236
ENSG00000242485,MRPL20,78,-1.1171,76,-1.1511,125,-0.4011,142,-0.2099,171,0.08518,325,1.13555,105,-0.6720,235,0.59143,220,0.48656,184,0.19750,124,-0.4165,162,-0.0037
ENSG00000179403,VWA1,11,-1.9650,144,2.15714,3,-3.6419,43,0.07705,14,-1.5881,22,-0.9411,21,-1.0317,13,-1.7202,38,-0.1411,76,0.99696,42,0.05176,66,0.76962
ENSG00000205090,TMEM240,30,0.32435,10,-1.3407,22,-0.1936,1,-4.3000,40,0.78762,55,1.30867,11,-1.1801,21,-0.2494,52,1.21387,27,0.13099,11,-1.1425,15,-0.7397
ENSG00000160075,SSU72,82,-0.9180,50,-1.6499,120,-0.3443,111,-0.4702,188,0.35475,257,0.87311,173,0.22356,261,0.89542,167,0.17432,155,0.05507,108,-0.5040,127,-0.2619
ENSG00000228594,FNDC10,39,0.58563,0,-7.1171,14,-0.9382,1,-4.5775,21,-0.3344,27,0.04277,24,-0.1672,30,0.19453,27,-0.0001,28,0.09300,66,1.48925,43,0.75688
ENSG00000272106,AL691432.2,23,-0.1996,40,0.66856,24,-0.1414,12,-1.2221,26,-0.0288,35,0.46460,17,-0.6727,48,0.97934,20,-0.4538,28,0.08474,22,-0.2976,22,-0.3066
ENSG00000197530,MIB2,40,0.10744,27,-0.4840,24,-0.6599,10,-1.9787,24,-0.6671,28,-0.4251,47,0.37380,39,0.08283,47,0.34904,38,0.02669,46,0.31705,78,1.18995
ENSG00000248333,CDK11B,133,1.33859,78,0.42864,117,1.10662,36,-0.7516,63,0.09323,25,-1.2976,76,0.40329,33,-0.8782,50,-0.2582,43,-0.4766,21,-1.5800,35,-0.8157
ENSG00000008128,CDK11A,143,2.34362,52,0.51599,55,0.61694,25,-0.6320,12,-1.7404,19,-0.9928,38,0.02491,14,-1.4954,19,-0.9983,28,-0.4334,33,-0.1851,11,-1.8414
ENSG00000078369,GNB1,445,-0.4928,246,-1.3904,471,-0.4064,255,-1.3355,468,-0.4170,728,0.27663,801,0.43139,836,0.49992,910,0.63929,443,-0.5001,800,0.42906,934,0.68223
ENSG00000187730,GABRD,107,0.34104,9,-3.2985,64,-0.4668,8,-3.5021,197,1.35822,244,1.74831,53,-0.7638,124,0.57426,62,-0.5218,51,-0.8055,77,-0.1857,43,-1.0558
ENSG00000067606,PRKCZ,131,-0.3376,57,-1.5868,139,-0.2440,67,-1.3394,169,0.06851,211,0.42046,227,0.53331,279,0.87687,260,0.75930,115,-0.5271,131,-0.3280,161,-0.0161
ENSG00000162585,FAAP20,31,-0.6886,26,-0.9956,69,0.52677,3,-4.0619,17,-1.5537,50,0.01221,93,1.02473,37,-0.4276,97,1.09637,41,-0.2842,83,0.83996,45,-0.1402
