Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000228794,LINC01128,51,0.45791,40,0.04075,33,-0.3836
ENSG00000188976,NOC2L,49,-0.0525,62,0.57170,37,-0.6257
ENSG00000188290,HES4,18,-1.0728,29,-0.3570,48,0.86671
ENSG00000187608,ISG15,7,-2.4795,34,0.03383,47,0.81494
ENSG00000188157,AGRN,16,-0.6811,28,0.47214,22,-0.1360
ENSG00000078808,SDF4,34,-0.9362,55,-0.1927,77,0.65880
ENSG00000176022,B3GALT6,22,-0.2473,31,0.50608,21,-0.4130
ENSG00000160087,UBE2J2,34,-0.1855,39,0.06734,39,0.04198
ENSG00000131584,ACAP3,79,0.05227,81,0.13399,71,-0.1813
ENSG00000127054,INTS11,36,-0.3781,48,0.15993,47,0.05090
ENSG00000224051,CPTP,19,-0.1872,23,0.24906,20,-0.1552
ENSG00000107404,DVL1,36,-0.6342,37,-0.8359,81,1.13474
ENSG00000175756,AURKAIP1,93,-0.9339,187,0.38616,168,0.06717
ENSG00000221978,CCNL2,65,0.17569,62,0.12897,52,-0.2630
ENSG00000242485,MRPL20,98,-0.7370,162,0.18249,165,0.20017
ENSG00000235098,ANKRD65,11,-1.6102,31,0.04180,39,0.63641
ENSG00000179403,VWA1,8,-1.3848,9,-1.6240,38,2.09045
ENSG00000205090,TMEM240,33,0.04866,36,0.34292,26,-0.4200
ENSG00000160075,SSU72,112,-0.5542,157,0.03205,174,0.27329
ENSG00000228594,FNDC10,22,-0.5296,35,0.37483,29,-0.1032
ENSG00000197530,MIB2,26,-0.5186,44,0.65152,29,-0.4232
ENSG00000248333,CDK11B,78,1.11769,33,-0.6441,39,-0.2347
ENSG00000008128,CDK11A,46,1.25140,13,-1.3304,27,0.25305
ENSG00000215790,SLC35E2A,27,-0.6803,44,0.23099,42,0.12410
ENSG00000008130,NADK,25,-0.1548,30,0.21560,26,-0.1378
ENSG00000078369,GNB1,312,-0.8130,489,-0.0874,624,0.50709
ENSG00000187730,GABRD,183,-0.3439,293,0.81655,157,-0.7299
ENSG00000067606,PRKCZ,181,-0.4253,248,0.18060,237,0.05373
ENSG00000162585,FAAP20,18,-0.9368,33,-0.0076,40,0.47561
ENSG00000157933,SKI,47,0.13862,30,-0.8564,59,0.73958
ENSG00000157916,RER1,44,-0.5049,65,0.24932,60,0.02083
ENSG00000157911,PEX10,8,-1.4323,17,-0.3780,29,0.99931
ENSG00000157870,PRXL2B,26,-0.8471,52,0.51921,41,-0.1125
ENSG00000158109,TPRG1L,175,-0.4682,266,0.40419,213,-0.1678
ENSG00000130764,LRRC47,71,-0.3323,106,0.57928,70,-0.4468
ENSG00000116198,CEP104,44,0.42785,27,-0.5611,39,0.27579
ENSG00000196581,AJAP1,71,0.31524,68,0.37197,43,-0.6679
ENSG00000069424,KCNAB2,156,-0.6436,262,0.38680,222,-0.0601
ENSG00000116254,CHD5,530,1.12906,239,-0.5126,246,-0.3863
ENSG00000116251,RPL22,290,-0.9672,400,-0.6168,775,1.07268
