Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,10,-0.0261,6,-0.7189,6,-0.6827,6,-0.8321,17,0.86583,9,-0.1178,13,0.44796,7,-0.4230,10,0.00197,15,0.61409
ENSG00000228794,LINC01128,10,-1.6266,41,0.51888,31,0.07686,35,0.23748,36,0.29588,38,0.37367,29,-0.0301,15,-1.0606,30,0.00557,34,0.18684
ENSG00000188976,NOC2L,34,-0.1980,42,0.15284,45,0.27469,41,0.11579,39,0.03683,39,0.01502,26,-0.6151,27,-0.5281,33,-0.2400,57,0.63749
ENSG00000187961,KLHL17,4,-1.0662,9,0.01583,10,0.10425,13,0.53936,7,-0.3953,8,-0.1167,3,-1.7420,9,0.03005,11,0.30244,17,0.95764
ENSG00000188290,HES4,16,-1.3634,42,0.05764,41,0.00750,21,-0.9641,19,-1.1522,18,-1.1936,97,1.49198,50,0.33291,53,0.43692,46,0.22632
ENSG00000187608,ISG15,30,-0.5010,62,0.62448,37,-0.2094,14,-1.6528,20,-1.1565,15,-1.5846,104,1.54913,56,0.47460,50,0.28428,33,-0.4001
ENSG00000188157,AGRN,49,1.41322,13,-0.7626,18,-0.2681,18,-0.2472,24,0.17015,16,-0.4285,20,-0.0872,18,-0.2559,22,0.03911,15,-0.5518
ENSG00000131591,C1orf159,15,0.64052,12,0.23111,6,-0.8572,15,0.57273,10,-0.1022,9,-0.1835,2,-1.9936,9,-0.2439,17,0.77357,8,-0.3165
ENSG00000078808,SDF4,92,0.44588,57,-0.3367,64,-0.1529,51,-0.4889,87,0.35336,62,-0.1938,63,-0.1667,72,0.02942,78,0.17486,75,0.11270
ENSG00000176022,B3GALT6,16,-0.5956,28,0.20556,15,-0.7263,21,-0.2466,16,-0.5973,22,-0.1538,27,0.13994,20,-0.3213,43,0.92986,35,0.60677
ENSG00000160087,UBE2J2,48,0.21760,41,-0.0247,33,-0.3502,34,-0.2997,34,-0.3163,29,-0.5496,41,-0.0144,32,-0.4059,54,0.43234,69,0.82861
ENSG00000162572,SCNN1D,16,0.61643,12,0.09854,8,-0.4302,10,-0.1007,9,-0.2097,9,-0.2371,2,-2.1430,4,-1.3630,20,0.97262,18,0.77018
ENSG00000131584,ACAP3,72,0.12076,80,0.28492,44,-0.6611,83,0.33912,67,0.01069,58,-0.2180,56,-0.2687,68,0.02503,60,-0.1776,81,0.30588
ENSG00000169972,PUSL1,10,-0.1441,10,-0.1633,8,-0.4240,18,0.86568,7,-0.6520,8,-0.3599,10,-0.1360,10,-0.0811,15,0.50345,11,0.07611
ENSG00000127054,INTS11,67,0.58362,59,0.36070,38,-0.3512,56,0.29030,36,-0.3962,29,-0.7221,36,-0.4204,45,-0.0788,53,0.18088,51,0.12376
ENSG00000224051,CPTP,16,-0.5789,27,0.22979,16,-0.5370,14,-0.7513,29,0.35868,21,-0.1663,12,-0.9500,18,-0.3883,36,0.73622,42,0.97083
ENSG00000107404,DVL1,55,0.31676,45,-0.0068,35,-0.4087,35,-0.3829,47,0.06720,27,-0.7827,62,0.52053,40,-0.2040,61,0.48096,45,-0.0247
ENSG00000175756,AURKAIP1,119,-0.7081,246,0.43875,172,-0.1382,211,0.18708,153,-0.3265,170,-0.1554,260,0.52938,193,0.04381,174,-0.1218,180,-0.0700
ENSG00000221978,CCNL2,106,0.55025,51,-0.6114,63,-0.2987,85,0.17192,66,-0.2240,65,-0.2451,51,-0.6078,74,-0.0456,80,0.07522,118,0.73047
ENSG00000224870,MRPL20-AS1,15,0.65929,8,-0.3744,11,0.17469,6,-0.7814,11,0.12479,5,-1.0000,8,-0.3285,11,0.11084,11,0.14729,14,0.56222
ENSG00000242485,MRPL20,121,-0.7344,257,0.46182,189,-0.0354,236,0.32390,186,-0.0599,174,-0.1680,282,0.61999,167,-0.2313,168,-0.2229,153,-0.3692
