Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.9249,13,-1.4659,16,-1.2212,20,-0.8930,41,0.24196,56,0.71826,54,0.73595,69,1.06929,27,-0.4319
ENSG00000188976,NOC2L,39,-0.4821,31,-0.8203,58,0.11571,27,-1.0257,56,0.05694,127,1.41029,70,0.46276,48,-0.1819,32,-0.8412
ENSG00000188290,HES4,15,-1.7363,65,0.50874,85,0.93166,47,-0.0025,44,-0.1441,52,0.14694,39,-0.3408,59,0.33105,41,-0.2470
ENSG00000187608,ISG15,27,-0.7084,58,0.44997,64,0.61475,52,0.29011,79,1.11946,39,-0.1549,18,-1.4484,33,-0.4319,27,-0.7728
ENSG00000188157,AGRN,22,-0.0833,11,-1.0931,20,-0.2342,12,-1.0370,27,0.26326,35,0.64347,30,0.41556,23,-0.0395,22,-0.1118
ENSG00000078808,SDF4,63,-0.2152,61,-0.2524,104,0.58036,69,-0.0822,54,-0.4979,150,1.19739,70,-0.0506,56,-0.3916,58,-0.3639
ENSG00000176022,B3GALT6,16,-0.5922,15,-0.6603,42,0.92101,23,-0.0459,22,-0.1208,6,-2.0977,35,0.69667,26,0.12226,21,-0.1809
ENSG00000160087,UBE2J2,32,-0.4423,73,0.87049,13,-1.7705,43,0.01726,41,-0.0566,67,0.71570,46,0.11779,40,-0.0813,35,-0.3463
ENSG00000131584,ACAP3,64,-0.3756,50,-0.7369,27,-1.6552,19,-2.1940,44,-1.0175,283,2.16465,89,0.15993,83,0.04088,91,0.20762
ENSG00000127054,INTS11,34,-0.6921,36,-0.6119,38,-0.5413,90,0.83765,44,-0.3377,110,1.17500,54,0.02135,51,-0.0676,44,-0.3388
ENSG00000224051,CPTP,12,-0.7432,25,0.35808,17,-0.1844,7,-1.5137,27,0.56840,13,-0.6420,21,0.08691,12,-0.6818,27,0.55075
ENSG00000107404,DVL1,24,-1.3865,106,0.88449,38,-0.7258,145,1.43160,50,-0.3487,55,-0.1616,54,-0.2152,47,-0.4025,56,-0.1642
ENSG00000175756,AURKAIP1,89,-0.7836,134,-0.1553,189,0.38432,168,0.19592,233,0.82948,172,0.23540,128,-0.2502,106,-0.5247,99,-0.6692
ENSG00000221978,CCNL2,73,0.20657,56,-0.2198,45,-0.5338,45,-0.5275,43,-0.6739,138,1.25624,68,0.09405,78,0.29997,57,-0.2048
ENSG00000242485,MRPL20,92,-0.6337,132,-0.0726,161,0.23823,202,0.60945,192,0.58786,152,0.14994,123,-0.1960,103,-0.4531,93,-0.6537
ENSG00000179403,VWA1,149,2.65080,46,0.50877,91,1.66079,35,0.05863,3,-3.6068,15,-1.2145,9,-2.0548,12,-1.5547,16,-1.1535
ENSG00000205090,TMEM240,3,-2.8115,3,-2.7793,16,-0.6382,5,-2.3950,24,-0.0267,29,0.22540,52,1.40997,28,0.17286,30,0.33814
ENSG00000160075,SSU72,82,-0.9945,104,-0.6420,183,0.23996,169,0.11953,208,0.49924,194,0.33772,151,-0.0691,97,-0.7439,169,0.12876
ENSG00000228594,FNDC10,7,-1.8026,8,-1.6691,17,-0.6201,12,-1.0570,38,0.72483,28,0.17136,27,0.11896,13,-1.0434,44,1.00999
ENSG00000272106,AL691432.2,13,-0.5245,16,-0.2364,37,1.16435,17,-0.0626,16,-0.2395,17,-0.1332,17,-0.0835,17,-0.0999,18,-0.0575
ENSG00000197530,MIB2,17,-1.0097,21,-0.7338,18,-0.9455,34,0.00507,27,-0.3729,102,1.84672,37,0.15682,32,-0.1157,28,-0.3408
ENSG00000248333,CDK11B,67,1.03385,23,-0.6224,11,-1.7270,17,-1.0857,30,-0.2674,24,-0.6037,53,0.72497,59,0.81553,28,-0.3674
