Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,21,-0.7068,48,0.64938,10,-1.7211,40,0.37815,12,-1.5325,44,0.56213,33,0.03068
ENSG00000188976,NOC2L,34,-0.5645,31,-0.7235,35,-0.5362,47,-0.0916,53,0.09957,76,0.82396,48,-0.0667
ENSG00000188290,HES4,16,-0.8717,22,-0.4280,64,1.35863,19,-0.7246,18,-0.7130,32,0.18875,32,0.24109
ENSG00000187608,ISG15,22,-0.4426,4,-2.7490,44,0.62466,24,-0.3299,26,-0.2083,21,-0.6078,55,1.21577
ENSG00000188157,AGRN,20,-0.3651,16,-0.7596,26,0.02270,25,-0.0319,8,-1.6875,25,-0.0735,43,1.01585
ENSG00000078808,SDF4,40,-0.4682,40,-0.4950,53,-0.0330,43,-0.4069,41,-0.4450,79,0.70806,63,0.26123
ENSG00000176022,B3GALT6,15,-0.7397,23,-0.0642,20,-0.2281,15,-0.7399,50,1.23418,29,0.39179,20,-0.2825
ENSG00000160087,UBE2J2,24,-0.6548,24,-0.6308,40,0.15691,33,-0.1335,16,-1.2210,59,0.96202,36,-0.0153
ENSG00000131584,ACAP3,35,-1.1079,42,-0.8118,65,-0.1373,71,0.00247,90,0.38960,74,0.07059,94,0.52391
ENSG00000127054,INTS11,16,-1.3953,20,-1.0603,43,0.08332,44,0.13810,29,-0.5384,53,0.47611,53,0.48140
ENSG00000224051,CPTP,22,0.23343,11,-0.8160,19,-0.0579,13,-0.7159,9,-1.1726,26,0.52652,28,0.67178
ENSG00000107404,DVL1,48,0.06691,46,-0.0008,87,1.04847,25,-1.0324,44,-0.0844,39,-0.2913,55,0.30148
ENSG00000175756,AURKAIP1,94,-0.9397,191,0.16493,235,0.50205,135,-0.4239,161,-0.1063,173,0.01162,213,0.38869
ENSG00000221978,CCNL2,44,-0.4528,27,-1.2053,48,-0.3090,52,-0.2045,78,0.46154,85,0.70330,58,-0.0329
ENSG00000242485,MRPL20,116,-0.4980,196,0.34183,213,0.47950,115,-0.5574,144,-0.1573,171,0.13504,173,0.15949
ENSG00000235098,ANKRD65,32,-0.1522,50,0.54966,36,0.02769,15,-1.3625,37,0.08858,25,-0.5902,59,0.98351
ENSG00000179403,VWA1,81,1.80911,42,0.62113,22,-0.4111,3,-3.1532,60,1.23992,27,-0.0852,10,-1.7151
ENSG00000197785,ATAD3A,6,-1.2613,8,-0.8413,20,0.54412,10,-0.6441,5,-1.4591,21,0.66101,22,0.76268
ENSG00000205090,TMEM240,20,-0.6131,7,-2.1117,16,-1.0154,30,-0.0293,20,-0.6178,32,0.12673,57,1.27173
ENSG00000160075,SSU72,90,-0.9028,192,0.28438,162,0.01246,113,-0.6138,151,-0.1050,157,-0.0484,238,0.74449
ENSG00000228594,FNDC10,13,-0.9963,6,-1.9432,30,0.31386,21,-0.2454,26,0.08099,33,0.53642,31,0.43324
ENSG00000272106,AL691432.2,9,-1.1925,7,-1.5356,18,-0.1139,16,-0.2856,31,0.74618,20,0.01919,29,0.73750
ENSG00000197530,MIB2,26,-0.4778,35,-0.0119,31,-0.2012,20,-0.9677,50,0.54862,35,-0.0154,51,0.68922
ENSG00000248333,CDK11B,63,0.82261,41,0.10350,16,-1.2816,50,0.50479,43,0.18682,21,-1.0046,38,0.00447
ENSG00000189339,SLC35E2B,24,-0.1402,22,-0.2651,30,0.21717,24,-0.1628,27,0.03238,36,0.54665,21,-0.4213
ENSG00000008128,CDK11A,39,1.50222,18,0.15350,14,-0.2331,20,0.41354,12,-0.3791,11,-0.6885,8,-1.1470
ENSG00000008130,NADK,20,-0.4444,21,-0.4040,33,0.32013,15,-0.9573,44,0.80125,31,0.23998,30,0.18246
ENSG00000078369,GNB1,362,-0.5189,500,-0.0134,685,0.50082,438,-0.2488,470,-0.1110,512,0.02897,561,0.19642
ENSG00000187730,GABRD,34,-2.4831,51,-1.8919,87,-1.1054,185,0.07835,109,-0.7594,237,0.54350,324,1.20024
ENSG00000067606,PRKCZ,121,-0.9113,227,0.06773,251,0.23409,190,-0.2406,213,-0.0304,258,0.32080,232,0.11978
ENSG00000162585,FAAP20,40,0.16807,43,0.29313,52,0.60782,13,-1.7031,71,1.13944,31,-0.2657,33,-0.1461
ENSG00000157933,SKI,48,0.76196,39,0.43177,37,0.34167,26,-0.2380,20,-0.6440,26,-0.2562,26,-0.2538
ENSG00000157916,RER1,34,-0.6592,36,-0.5811,39,-0.4599,45,-0.2443,25,-1.1410,87,0.98857,62,0.30984
ENSG00000157911,PEX10,20,0.04225,28,0.59481,33,0.89611,10,-1.0339,7,-1.4747,18,-0.1072,24,0.38927
ENSG00000157870,PRXL2B,16,-1.6642,38,-0.4368,60,0.30846,39,-0.4244,32,-0.6913,59,0.31613,77,0.84933
ENSG00000177133,PRDM16-DT,16,0.21505,3,-2.0017,53,2.42093,4,-2.0432,3,-2.3382,9,-0.7722,19,0.63273
ENSG00000158109,TPRG1L,114,-1.2703,357,0.52521,250,-0.0572,259,-0.0007,243,-0.1014,305,0.30020,249,-0.0687
ENSG00000130764,LRRC47,47,-1.0095,84,-0.1148,59,-0.6590,97,0.12120,103,0.20990,126,0.61957,83,-0.1514
ENSG00000116198,CEP104,62,1.11643,31,-0.0369,23,-0.4626,33,0.09557,30,-0.0721,36,0.23227,16,-1.1679
ENSG00000196581,AJAP1,41,-0.3478,54,0.10126,28,-0.9080,77,0.79712,42,-0.2841,29,-0.9671,66,0.47185
ENSG00000069424,KCNAB2,73,-1.4810,185,-0.0610,222,0.23580,162,-0.2942,127,-0.6468,248,0.48093,245,0.45700
