Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,126,1.83797,9,-2.3348,18,-1.4095,30,-0.6452,47,0.05630,30,-0.6153,42,-0.1012,35,-0.3825,67,0.66787
ENSG00000188976,NOC2L,126,1.41654,23,-1.3344,23,-1.3509,76,0.50781,42,-0.4615,24,-1.3049,38,-0.6216,59,0.09067,91,0.82177
ENSG00000188290,HES4,126,2.26239,3,-3.4301,25,-0.5914,34,-0.1154,20,-0.9342,54,0.60804,18,-1.1513,30,-0.3371,23,-0.7576
ENSG00000187608,ISG15,126,2.11327,10,-2.0356,25,-0.7020,19,-1.1318,19,-1.0996,41,0.05121,43,0.12298,42,0.10683,30,-0.4123
ENSG00000078808,SDF4,126,1.25352,31,-1.0412,41,-0.6171,56,-0.1442,39,-0.6955,48,-0.3628,96,0.77006,66,0.12431,44,-0.5175
ENSG00000160087,UBE2J2,126,1.78577,10,-2.2292,19,-1.3517,44,-0.0934,57,0.34794,38,-0.3208,27,-0.8225,40,-0.2236,54,0.26186
ENSG00000131584,ACAP3,126,0.54795,62,-0.6039,71,-0.3878,149,0.83247,114,0.37077,41,-1.2358,86,-0.0801,65,-0.5349,102,0.19947
ENSG00000127054,INTS11,126,1.52639,21,-1.4294,52,-0.0163,24,-1.2403,41,-0.3942,30,-0.8671,74,0.56173,41,-0.3819,65,0.33713
ENSG00000107404,DVL1,126,1.42615,18,-1.7188,48,-0.2396,46,-0.3152,37,-0.6275,78,0.55443,33,-0.8309,50,-0.1815,65,0.25814
ENSG00000175756,AURKAIP1,126,0.31902,39,-1.5274,60,-0.8524,63,-0.7776,28,-2.0232,187,0.99942,128,0.34657,236,1.42934,67,-0.6868
ENSG00000221978,CCNL2,126,0.93275,64,-0.2121,99,0.51847,53,-0.4982,73,0.01549,37,-1.0406,52,-0.5268,67,-0.1219,81,0.18563
ENSG00000242485,MRPL20,126,0.28746,46,-1.2972,100,-0.0873,48,-1.2210,58,-0.9547,170,0.79864,117,0.16645,194,1.02644,93,-0.2037
ENSG00000179403,VWA1,126,1.83966,43,-0.0618,123,1.79041,30,-0.6414,10,-2.2743,31,-0.5796,15,-1.6591,9,-2.4027,18,-1.4296
ENSG00000205090,TMEM240,126,2.32650,7,-2.4417,16,-1.2826,39,0.12956,11,-1.7228,7,-2.3489,40,0.17943,30,-0.2740,47,0.43842
ENSG00000160075,SSU72,126,0.05312,38,-1.7963,112,-0.1437,111,-0.1588,56,-1.2016,148,0.31539,116,-0.0774,238,1.14213,154,0.37899
ENSG00000228594,FNDC10,126,2.16565,8,-2.2976,5,-2.9089,28,-0.5039,19,-1.0900,31,-0.3275,30,-0.4130,26,-0.6401,74,1.10924
ENSG00000272106,AL691432.2,126,2.70982,10,-1.7133,26,-0.2456,11,-1.5108,4,-2.9613,28,-0.1449,4,-2.8619,49,0.78504,18,-0.8580
ENSG00000197530,MIB2,126,2.32621,14,-1.4867,13,-1.5365,42,0.23267,16,-1.2200,27,-0.4615,4,-3.2378,28,-0.4139,55,0.70842
ENSG00000248333,CDK11B,126,0.87007,237,2.09542,49,-0.6893,41,-0.9373,89,0.27391,28,-1.5182,47,-0.7247,24,-1.7647,36,-1.1389
ENSG00000189339,SLC35E2B,126,2.69884,19,-0.7325,8,-2.0384,21,-0.5697,23,-0.4337,24,-0.4290,4,-3.0773,22,-0.5469,31,0.00941
ENSG00000008128,CDK11A,126,1.69426,174,2.38902,11,-2.1710,33,-0.5930,40,-0.2861,12,-2.0760,9,-2.5785,15,-1.8057,15,-1.7436
ENSG00000215790,SLC35E2A,126,2.64688,8,-2.0638,7,-2.1589,24,-0.4045,29,-0.1565,39,0.34802,3,-3.2921,26,-0.3100,21,-0.6027
ENSG00000008130,NADK,126,2.47965,12,-1.5683,13,-1.4947,27,-0.3806,19,-0.8546,32,-0.0696,28,-0.3132,20,-0.8264,27,-0.3318
ENSG00000078369,GNB1,126,-1.5958,100,-1.9485,197,-0.9220,279,-0.3798,291,-0.3147,668,1.08342,414,0.25409,627,0.97008,485,0.52242
ENSG00000187730,GABRD,126,0.53321,15,-2.6961,2,-5.5344,45,-1.1095,36,-1.4249,96,0.07989,92,0.01166,240,1.71505,170,1.05680
ENSG00000067606,PRKCZ,126,-0.1774,57,-1.4089,83,-0.8331,134,-0.0757,105,-0.4708,185,0.45109,104,-0.4888,215,0.70085,260,1.04091
ENSG00000162585,FAAP20,126,1.77576,30,-0.7005,38,-0.3266,37,-0.3488,28,-0.7899,67,0.59602,11,-2.1204,45,-0.0447,36,-0.4013
ENSG00000157933,SKI,126,1.41068,44,-0.3696,54,-0.0536,93,0.84458,42,-0.4493,54,-0.0585,32,-0.8612,28,-1.0904,30,-0.9524
ENSG00000157916,RER1,126,1.43735,23,-1.3480,47,-0.2664,23,-1.3234,29,-1.0093,60,0.14531,73,0.46243,57,0.04587,58,0.09010
ENSG00000157911,PEX10,126,2.59596,17,-0.9543,12,-1.5179,22,-0.6181,10,-1.7647,49,0.68407,1,-4.5189,27,-0.2505,26,-0.3626
ENSG00000157870,PRXL2B,126,1.40533,13,-2.2059,14,-2.1201,63,0.19667,55,-0.0344,49,-0.2074,40,-0.5312,72,0.40392,73,0.42428
ENSG00000177133,PRDM16-DT,126,2.22271,5,-2.8743,6,-2.7916,24,-0.6978,38,0.01072,74,1.14053,30,-0.3607,24,-0.6817,12,-1.7185
ENSG00000158109,TPRG1L,126,0.12464,23,-2.4687,27,-2.2356,92,-0.3773,73,-0.7328,108,-0.1274,148,0.38958,269,1.45697,185,0.76807
ENSG00000130764,LRRC47,126,1.18774,21,-1.6652,54,-0.2515,38,-0.8033,33,-1.0029,59,-0.0977,87,0.52743,85,0.48709,64,0.03516
ENSG00000116198,CEP104,126,1.25216,130,1.30365,70,0.23013,46,-0.4422,67,0.14828,42,-0.5754,17,-1.9566,18,-1.8313,32,-1.0099
ENSG00000196581,AJAP1,126,1.33620,16,-1.9410,34,-0.8384,50,-0.2393,96,0.84406,17,-1.8946,70,0.31133,70,0.29018,44,-0.4312
ENSG00000069424,KCNAB2,126,0.08989,22,-2.5524,14,-3.1706,121,0.02692,57,-1.1554,164,0.52749,105,-0.2036,284,1.51932,180,0.68711
ENSG00000116254,CHD5,126,-1.3153,113,-1.4828,47,-2.7797,595,1.21299,713,1.55890,198,-0.6276,229,-0.3982,213,-0.5118,412,0.55968
ENSG00000116251,RPL22,126,-1.7328,547,0.57110,496,0.40471,250,-0.6954,284,-0.4949,704,1.01316,287,-0.4820,567,0.63096,231,-0.8174
ENSG00000116237,ICMT,126,2.27896,13,-1.5515,4,-3.2180,23,-0.7068,32,-0.2007,33,-0.1738,32,-0.2370,46,0.35922,21,-0.8418
ENSG00000097021,ACOT7,126,0.54414,26,-1.9322,22,-2.1562,53,-0.8423,45,-1.1013,73,-0.3493,122,0.49273,259,1.88352,92,0.01353
ENSG00000171680,PLEKHG5,126,2.54786,3,-3.2106,3,-3.5620,26,-0.3386,19,-0.8767,14,-1.2716,29,-0.2227,49,0.64988,27,-0.3328
ENSG00000162408,NOL9,126,1.77214,19,-1.3858,22,-1.1624,51,0.14425,60,0.40479,29,-0.7271,31,-0.6306,29,-0.7508,52,0.19032
ENSG00000162413,KLHL21,126,2.35068,8,-2.2573,20,-0.8968,35,-0.0450,17,-1.1386,46,0.42869,22,-0.7833,24,-0.6304,24,-0.6447
