Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,116,2.01660,19,-0.9873,9,-2.3038,24,-0.7467,46,0.38942,39,0.10791
ENSG00000188976,NOC2L,116,1.45367,52,0.07197,25,-1.1018,18,-1.6059,64,0.48734,55,0.19373
ENSG00000188290,HES4,116,2.02579,4,-3.2711,8,-2.4578,41,0.19205,51,0.60112,25,-0.6615
ENSG00000187608,ISG15,116,1.73000,4,-3.2549,30,-0.6136,46,0.12939,50,0.29016,28,-0.7441
ENSG00000188157,AGRN,116,2.38506,35,0.18902,16,-1.0655,21,-0.6516,22,-0.5571,20,-0.7285
ENSG00000078808,SDF4,116,1.02869,113,0.98057,47,-0.4870,54,-0.2465,56,-0.1961,41,-0.7319
ENSG00000176022,B3GALT6,116,2.38152,24,-0.4116,15,-1.2078,24,-0.4185,26,-0.2940,20,-0.7218
ENSG00000160087,UBE2J2,116,1.74761,62,0.61322,18,-1.4131,26,-0.8414,46,0.14503,33,-0.4120
ENSG00000131584,ACAP3,116,0.67080,121,0.73979,49,-0.7832,91,0.29963,65,-0.2824,62,-0.3864
ENSG00000127054,INTS11,116,1.45776,53,0.10368,43,-0.2362,43,-0.2537,46,-0.1164,30,-0.8246
ENSG00000224051,CPTP,116,2.71823,21,-0.3751,8,-1.8713,18,-0.6607,23,-0.2519,17,-0.8111
ENSG00000107404,DVL1,116,1.35996,35,-0.6245,30,-0.9067,73,0.62947,44,-0.2723,37,-0.5853
ENSG00000175756,AURKAIP1,116,-0.3261,161,0.19759,100,-0.6151,168,0.30775,198,0.62500,107,-0.4949
ENSG00000221978,CCNL2,116,1.14149,40,-0.5887,56,-0.0911,42,-0.5666,66,0.21966,51,-0.2434
ENSG00000242485,MRPL20,116,-0.2639,124,-0.1620,111,-0.3735,190,0.61971,153,0.20466,111,-0.3708
ENSG00000235098,ANKRD65,116,1.92226,42,0.12821,45,0.28103,37,-0.0663,26,-0.6802,6,-2.7988
ENSG00000179403,VWA1,116,0.86899,200,1.88297,142,1.49577,21,-1.8809,12,-2.7371,9,-3.1491
ENSG00000205090,TMEM240,116,2.65763,9,-1.6163,2,-3.5459,21,-0.4434,34,0.37363,18,-0.7174
ENSG00000160075,SSU72,116,-0.0056,116,-0.0072,69,-0.8944,122,0.08399,172,0.75279,102,-0.2232
ENSG00000228594,FNDC10,116,2.21841,11,-1.6560,5,-2.8980,33,-0.0446,38,0.21151,29,-0.2565
ENSG00000197530,MIB2,116,1.86718,39,-0.0344,21,-1.0785,48,0.32862,29,-0.5406,24,-0.8439
ENSG00000248333,CDK11B,116,1.10207,14,-2.1523,76,0.44568,54,-0.1986,31,-1.1060,74,0.38486
ENSG00000008128,CDK11A,116,2.34694,6,-2.4536,36,0.22661,11,-1.6960,15,-1.1893,35,0.19285
ENSG00000215790,SLC35E2A,116,1.94863,30,-0.3916,15,-1.5382,42,0.17118,39,0.01246,23,-0.8547
ENSG00000008130,NADK,116,2.26029,26,-0.3718,18,-1.0174,23,-0.6174,27,-0.3511,26,-0.3964
ENSG00000078369,GNB1,116,-1.8570,361,-0.1249,210,-1.0486,636,0.94913,491,0.42730,376,-0.0658
ENSG00000187730,GABRD,116,-0.2747,75,-0.9381,3,-5.4859,90,-0.7345,313,1.73166,187,0.57431
ENSG00000067606,PRKCZ,116,-0.7444,293,0.74334,85,-1.3145,212,0.23122,225,0.34621,207,0.18741
ENSG00000162585,FAAP20,116,1.67870,22,-1.0801,43,-0.0237,52,0.29890,27,-0.8056,28,-0.7428
ENSG00000157933,SKI,116,1.67042,34,-0.4205,44,-0.0022,40,-0.1899,22,-1.1484,40,-0.1757
ENSG00000157916,RER1,116,1.08972,93,0.71809,54,-0.2101,53,-0.2350,65,0.14256,25,-1.4278
ENSG00000157911,PEX10,116,2.39421,32,0.05599,31,0.01805,27,-0.2608,21,-0.6730,2,-3.8071
ENSG00000157870,PRXL2B,116,1.95054,3,-3.5264,12,-1.8176,30,-0.4105,58,0.80282,31,-0.3731
ENSG00000158109,TPRG1L,116,-0.5845,145,-0.2364,46,-2.0920,195,0.27383,267,0.89689,202,0.33459
ENSG00000130764,LRRC47,116,0.63058,84,0.10075,46,-0.9077,65,-0.3241,114,0.70875,68,-0.2605
ENSG00000116198,CEP104,116,1.19053,58,0.02370,102,1.15542,34,-0.8737,20,-1.7013,42,-0.5356
ENSG00000196581,AJAP1,116,1.48506,57,0.27135,23,-1.2593,24,-1.1891,49,0.03164,60,0.39664
ENSG00000069424,KCNAB2,116,-0.2367,103,-0.4263,12,-3.6913,176,0.50827,237,1.12409,137,0.03092
ENSG00000116254,CHD5,116,-0.9166,178,-0.2494,29,-3.0898,171,-0.3528,207,-0.0176,490,1.81888
ENSG00000116251,RPL22,116,-2.4251,492,-0.2417,923,0.92539,837,0.72315,394,-0.6480,407,-0.5930
ENSG00000116237,ICMT,116,1.69765,50,0.21634,17,-1.5092,37,-0.2821,49,0.23897,31,-0.5992
ENSG00000097021,ACOT7,116,-0.5737,167,0.00188,34,-2.5244,113,-0.6783,352,1.54377,194,0.27359
ENSG00000162408,NOL9,116,1.94448,40,0.07027,17,-1.3712,32,-0.3191,35,-0.1411,30,-0.4344
ENSG00000162413,KLHL21,116,1.96847,69,0.98542,28,-0.5269,16,-1.4033,30,-0.4034,23,-0.8278
ENSG00000116273,PHF13,116,2.67172,38,0.53171,8,-1.9826,15,-1.0263,19,-0.6548,19,-0.6040
ENSG00000041988,THAP3,116,2.84704,20,-0.3910,10,-1.4537,21,-0.3165,25,-0.0740,4,-2.7908
