Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000188976,NOC2L,58,-0.2558,27,-1.4349,57,-0.2978,63,-0.1323,109,0.88764,37,-0.9499,18,-2.0154,104,0.79858
ENSG00000078808,SDF4,162,1.16261,46,-0.8915,138,0.87630,81,0.00779,85,0.09317,38,-1.1489,43,-0.9682,66,-0.3665
ENSG00000160087,UBE2J2,48,-0.4113,19,-1.8230,190,1.96864,60,-0.0728,85,0.58103,32,-1.0189,26,-1.3147,39,-0.7824
ENSG00000131584,ACAP3,147,-0.0760,46,-1.8314,199,0.41633,80,-1.0201,168,0.15928,393,1.62243,24,-2.7573,157,0.03558
ENSG00000127054,INTS11,73,0.44043,32,-0.8225,119,1.29768,101,0.99991,49,-0.2174,48,-0.2172,13,-2.1800,34,-0.8024
ENSG00000107404,DVL1,98,0.79645,23,-1.4905,15,-2.0583,16,-1.9613,93,0.81491,160,1.69087,39,-0.6672,34,-0.9927
ENSG00000175756,AURKAIP1,167,0.82612,41,-1.3981,26,-2.0421,132,0.43542,138,0.58116,124,0.32845,77,-0.4247,84,-0.3185
ENSG00000221978,CCNL2,63,-0.1898,67,-0.0922,225,2.04596,44,-0.7588,61,-0.2687,34,-1.1307,21,-1.8130,67,-0.0927
ENSG00000242485,MRPL20,153,0.53021,27,-2.1076,151,0.50032,154,0.53949,142,0.45620,97,-0.2156,101,-0.1413,70,-0.7747
ENSG00000235098,ANKRD65,59,0.24311,47,-0.0955,49,-0.0432,93,1.02192,72,0.67437,33,-0.6658,43,-0.2499,18,-1.6867
ENSG00000179403,VWA1,275,2.14720,161,1.11033,161,1.11567,102,0.33904,46,-0.9884,19,-2.2502,4,-4.3643,8,-3.6663
ENSG00000160075,SSU72,94,-0.7566,81,-0.9940,156,0.02815,227,0.64719,232,0.79530,166,0.12583,75,-1.1064,134,-0.2302
ENSG00000228594,FNDC10,21,-1.2317,0,-9.5658,42,-0.1729,43,-0.1465,94,1.39345,86,0.99467,24,-1.0492,34,-0.5587
ENSG00000197530,MIB2,80,0.54503,25,-1.2891,58,0.00311,50,-0.2283,84,0.71468,106,1.01729,34,-0.7998,27,-1.2408
ENSG00000248333,CDK11B,30,-1.6935,133,0.60384,69,-0.4357,52,-0.8652,61,-0.7022,133,0.60474,72,-0.3751,152,0.99317
ENSG00000008128,CDK11A,12,-2.3668,120,1.25832,66,0.23388,27,-1.1393,41,-0.5637,54,-0.0936,24,-1.2969,92,0.93310
ENSG00000078369,GNB1,516,0.41303,119,-1.8498,152,-1.4950,243,-0.7803,497,0.40026,535,0.47274,758,1.07102,344,-0.2712
ENSG00000187730,GABRD,0,-8.6268,3,-5.4369,21,-2.9016,40,-1.9812,277,1.27057,202,0.52069,118,-0.3465,266,1.17658
ENSG00000067606,PRKCZ,157,-0.5222,121,-0.9208,333,0.69129,98,-1.2468,379,1.07888,187,-0.2493,142,-0.6782,197,-0.1885
ENSG00000162585,FAAP20,49,-0.0648,24,-1.1674,85,0.83095,53,0.04342,40,-0.4446,132,1.62009,48,-0.1020,22,-1.4193
ENSG00000157933,SKI,135,0.75660,50,-0.8315,2,-5.4359,34,-1.4126,76,-0.2018,162,1.07343,50,-0.8313,134,0.87069
ENSG00000157916,RER1,102,0.92602,35,-0.7807,86,0.64999,109,1.04924,76,0.50584,14,-2.1631,8,-2.8991,37,-0.7597
ENSG00000157870,PRXL2B,4,-3.6667,10,-2.6163,9,-2.6700,67,0.29166,105,1.25273,104,1.03947,48,-0.2249,53,-0.0865
ENSG00000177133,PRDM16-DT,9,-2.4989,1,-4.8815,1,-5.4158,226,3.04089,47,0.02111,60,0.40836,13,-1.8844,32,-0.6596
ENSG00000158109,TPRG1L,95,-0.6420,9,-4.0926,56,-1.4377,81,-0.8946,292,1.44306,113,-0.3828,165,0.21975,168,0.28516
ENSG00000130764,LRRC47,79,-0.1482,54,-0.7446,163,1.04907,65,-0.4635,106,0.36500,62,-0.5279,65,-0.4434,84,-0.0497
ENSG00000116198,CEP104,50,-0.0747,106,1.18497,29,-0.9080,23,-1.2274,51,-0.0595,60,0.22859,37,-0.5512,58,0.19535
ENSG00000196581,AJAP1,0,-7.2974,10,-2.6021,49,-0.2791,16,-1.9814,51,-0.2269,59,0.03401,70,0.30653,138,1.83308
ENSG00000069424,KCNAB2,124,-0.4076,1,-6.5425,138,-0.2344,85,-0.9834,317,1.38501,167,0.06889,154,-0.0666,150,-0.1230
ENSG00000116254,CHD5,49,-3.3125,33,-3.8530,526,0.27849,142,-1.7403,374,-0.3016,871,1.13668,363,-0.3161,850,1.31490
ENSG00000116251,RPL22,666,1.11045,409,0.27930,241,-0.5622,291,-0.2649,289,-0.3102,400,0.24291,472,0.51708,192,-0.9889
