Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.9249,16,-1.3441,41,0.24196,54,0.87853,69,1.06929,27,-0.4319
ENSG00000188976,NOC2L,39,-0.4821,39,-0.5892,56,0.05694,89,1.06394,48,-0.1819,32,-0.8412
ENSG00000188290,HES4,15,-1.7363,66,0.66333,44,-0.1441,43,-0.1759,59,0.33105,41,-0.2470
ENSG00000187608,ISG15,27,-0.7084,58,0.58085,79,1.11946,25,-0.9893,33,-0.4319,27,-0.7728
ENSG00000188157,AGRN,22,-0.0833,14,-0.8613,27,0.26326,31,0.59535,23,-0.0395,22,-0.1118
ENSG00000078808,SDF4,63,-0.2152,78,0.14745,54,-0.4979,97,0.59160,56,-0.3916,58,-0.3639
ENSG00000176022,B3GALT6,16,-0.5922,27,0.23794,22,-0.1208,25,0.11763,26,0.12226,21,-0.1809
ENSG00000160087,UBE2J2,32,-0.4423,43,0.02089,41,-0.0566,53,0.41862,40,-0.0813,35,-0.3463
ENSG00000131584,ACAP3,64,-0.3756,32,-1.5968,44,-1.0175,154,1.42441,83,0.04088,91,0.20762
ENSG00000127054,INTS11,34,-0.6921,55,0.03593,44,-0.3377,73,0.62186,51,-0.0676,44,-0.3388
ENSG00000224051,CPTP,12,-0.7432,16,-0.3327,27,0.56840,18,-0.1562,12,-0.6818,27,0.55075
ENSG00000107404,DVL1,24,-1.3865,96,0.95625,50,-0.3487,54,-0.2232,47,-0.4025,56,-0.1642
ENSG00000175756,AURKAIP1,89,-0.7836,164,0.19259,233,0.82948,143,-0.0731,106,-0.5247,99,-0.6692
ENSG00000221978,CCNL2,73,0.20657,49,-0.4993,43,-0.6739,91,0.71927,78,0.29997,57,-0.2048
ENSG00000242485,MRPL20,92,-0.6337,165,0.35029,192,0.58786,133,-0.0759,103,-0.4531,93,-0.6537
ENSG00000179403,VWA1,149,2.65080,58,1.14469,3,-3.6068,11,-1.8690,12,-1.5547,16,-1.1535
ENSG00000205090,TMEM240,3,-2.8115,8,-1.8387,24,-0.0267,44,1.25518,28,0.17286,30,0.33814
ENSG00000160075,SSU72,82,-0.9945,152,-0.0631,208,0.49924,165,0.09960,97,-0.7439,169,0.12876
ENSG00000228594,FNDC10,7,-1.8026,12,-1.2158,38,0.72483,28,0.15955,13,-1.0434,44,1.00999
ENSG00000272106,AL691432.2,13,-0.5245,23,0.50401,16,-0.2395,17,-0.1152,17,-0.0999,18,-0.0575
ENSG00000197530,MIB2,17,-1.0097,24,-0.5977,27,-0.3729,59,1.17083,32,-0.1157,28,-0.3408
ENSG00000248333,CDK11B,67,1.03385,17,-1.2414,30,-0.2674,43,0.39600,59,0.81553,28,-0.3674
ENSG00000008128,CDK11A,43,1.24906,11,-1.0460,12,-0.8147,25,0.48230,22,0.18565,20,0.03242
ENSG00000215790,SLC35E2A,11,-1.4477,25,-0.3053,23,-0.3705,39,0.60335,19,-0.6299,40,0.57600
ENSG00000008130,NADK,11,-1.3545,26,-0.0973,28,0.04294,38,0.68557,11,-1.3759,28,0.07911
ENSG00000078369,GNB1,264,-1.0332,623,0.36335,642,0.37855,445,-0.2881,335,-0.6752,569,0.16051
ENSG00000187730,GABRD,11,-3.7818,73,-1.2708,263,1.02861,210,0.66982,196,0.40845,116,-0.4451
ENSG00000067606,PRKCZ,100,-0.9654,136,-0.5928,225,0.31958,239,0.48804,122,-0.6628,227,0.33892
ENSG00000162585,FAAP20,31,-0.1600,43,0.42357,42,0.32111,18,-1.1706,34,-0.0315,43,0.36870
ENSG00000157933,SKI,46,0.27378,58,0.81947,17,-1.2839,32,-0.3303,31,-0.3346,41,0.11364
ENSG00000157916,RER1,57,-0.0955,63,0.07313,60,-0.0250,69,0.24956,47,-0.3834,54,-0.1949
ENSG00000157911,PEX10,30,0.41276,32,0.66038,33,0.58444,13,-1.0248,14,-0.7392,17,-0.5002
ENSG00000149527,PLCH2,17,0.07191,13,-0.3787,11,-0.5680,15,-0.1194,28,0.86917,21,0.43335
ENSG00000157881,PANK4,6,-1.2424,13,-0.1892,20,0.62291,21,0.78570,4,-1.7217,9,-0.7010
ENSG00000197921,HES5,1,-4.1774,37,1.87941,16,-0.0203,6,-1.6776,8,-1.0029,14,-0.2769
ENSG00000157870,PRXL2B,10,-2.4681,62,0.20588,75,0.51642,70,0.45312,21,-1.4765,47,-0.3124
ENSG00000177133,PRDM16-DT,9,-1.9942,88,2.31812,10,-1.9006,10,-2.0198,34,-0.0526,30,-0.2271
ENSG00000158109,TPRG1L,50,-1.8447,141,-0.3556,231,0.54182,210,0.41928,142,-0.2857,169,-0.0129
ENSG00000130764,LRRC47,35,-0.9848,58,-0.2732,76,0.21277,91,0.59452,55,-0.3149,60,-0.1940
ENSG00000116198,CEP104,87,1.65673,30,-0.1151,17,-1.0168,23,-0.6216,56,0.87148,25,-0.4044
ENSG00000198912,C1orf174,18,0.28121,15,-0.0023,20,0.55457,9,-0.8472,24,0.77165,12,-0.3814
ENSG00000196581,AJAP1,17,-1.3345,21,-1.1777,40,-0.0885,81,1.45257,54,0.40436,24,-0.9469
ENSG00000069424,KCNAB2,26,-2.8158,136,-0.4199,229,0.52592,198,0.29673,151,-0.1940,205,0.32276
ENSG00000116254,CHD5,82,-1.4399,136,-0.7948,172,-0.3490,294,0.67068,333,0.72702,246,0.26017
ENSG00000116251,RPL22,667,0.77115,535,0.52042,446,0.13319,287,-0.6649,151,-1.5290,392,-0.0910
ENSG00000116237,ICMT,10,-2.1858,44,0.04041,54,0.39640,47,0.16499,45,0.07659,41,-0.1006
ENSG00000097021,ACOT7,48,-1.8534,80,-1.2652,338,1.36626,215,0.53033,143,-0.2222,115,-0.6050
ENSG00000215788,TNFRSF25,0,-6.1949,12,-1.5991,11,-1.5838,72,2.07854,37,0.30465,28,-0.1643
ENSG00000171680,PLEKHG5,1,-4.5610,23,-0.5432,20,-0.7475,58,1.30912,24,-0.4469,36,0.21777
ENSG00000162408,NOL9,23,-0.5933,24,-0.6708,25,-0.5466,47,0.61793,43,0.33909,43,0.39337
ENSG00000162413,KLHL21,18,-0.7410,28,-0.1478,42,0.60232,36,0.34079,29,-0.0313,19,-0.7589
ENSG00000116273,PHF13,8,-0.9517,13,-0.2734,16,0.14236,23,0.97621,4,-1.7341,12,-0.3520
ENSG00000041988,THAP3,13,-0.3122,15,-0.1380,21,0.46071,21,0.50014,6,-1.3643,12,-0.4340
ENSG00000007923,DNAJC11,30,-0.3707,34,-0.2444,33,-0.2505,47,0.36893,51,0.43673,37,-0.0671
ENSG00000171735,CAMTA1,263,-0.5023,258,-0.6284,357,-0.0286,445,0.40350,548,0.66202,363,-0.0003
ENSG00000049245,VAMP3,106,2.08021,49,0.94292,17,-1.0195,7,-2.4561,9,-1.8810,30,-0.0636
ENSG00000049246,PER3,52,0.44239,47,0.35636,21,-0.9976,48,0.38000,34,-0.2502,30,-0.4675
ENSG00000116288,PARK7,159,-0.7559,370,0.72542,372,0.64345,201,-0.4773,102,-1.4237,202,-0.4254
ENSG00000116285,ERRFI1,21,-0.3874,28,0.04536,33,0.33698,26,-0.0895,28,0.03194,25,-0.1378
ENSG00000162426,SLC45A1,13,-1.0248,4,-2.7336,45,1.04538,41,1.02015,32,0.33855,17,-0.6815
ENSG00000142599,RERE,158,0.54549,86,-0.5027,76,-0.6475,129,0.26711,177,0.72975,109,-0.0501
ENSG00000074800,ENO1,238,-1.1114,856,1.20800,533,0.13922,429,-0.2550,194,-1.4139,273,-0.9682
ENSG00000171612,SLC25A33,16,-1.2544,72,1.41296,33,-0.2139,17,-1.3390,41,0.13207,31,-0.3093
ENSG00000171603,CLSTN1,205,-1.8244,407,-0.9269,769,0.20665,1118,1.05297,592,-0.2239,644,-0.1004
ENSG00000178585,CTNNBIP1,24,-0.3155,34,0.26845,36,0.31516,19,-0.8195,32,0.12830,35,0.29421
ENSG00000162441,LZIC,97,0.94517,59,0.17614,51,-0.0858,38,-0.6253,52,-0.0692,52,-0.0548
ENSG00000130939,UBE4B,51,0.18250,38,-0.3516,51,0.19952,52,0.26451,42,-0.1459,41,-0.1722
ENSG00000054523,KIF1B,593,0.80111,266,-0.5635,290,-0.3719,393,0.16244,461,0.38823,363,0.00691
ENSG00000142657,PGD,39,-0.6577,61,0.02932,83,0.57515,55,-0.1471,63,0.07978,51,-0.2602
ENSG00000241563,CORT,16,-0.8140,33,0.29047,58,1.36111,16,-0.9673,19,-0.6319,20,-0.5421
ENSG00000160049,DFFA,70,0.68083,59,0.53602,41,-0.1807,32,-0.6458,23,-1.0314,49,0.12233
ENSG00000142655,PEX14,5,-1.7964,17,-0.1863,26,0.58646,26,0.65595,13,-0.5200,12,-0.6507
