Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,32,-0.3194,45,0.30810,50,0.37941,27,-0.6032,30,-0.4424,27,-0.5774,34,-0.2487,34,-0.2392,59,0.64975
ENSG00000188976,NOC2L,48,0.00130,55,0.30128,71,0.62857,23,-1.0849,41,-0.2469,39,-0.3003,57,0.28352,27,-0.8489,48,0.00237
ENSG00000188290,HES4,4,-2.8587,21,-0.7773,30,-0.0245,19,-0.7131,36,0.24096,27,-0.1760,38,0.33107,86,1.72662,45,0.60953
ENSG00000187608,ISG15,85,2.04502,20,-0.5263,16,-0.7229,10,-1.4204,33,0.41409,11,-1.2071,24,-0.0894,30,0.21898,20,-0.4082
ENSG00000188157,AGRN,0,-4.5443,21,0.20807,31,0.79222,12,-0.6853,10,-0.8720,18,-0.0764,8,-1.1755,40,1.23343,22,0.27326
ENSG00000078808,SDF4,45,-0.3055,59,0.15941,61,0.18169,36,-0.6184,41,-0.4492,37,-0.5878,47,-0.2366,92,0.83220,61,0.18013
ENSG00000176022,B3GALT6,13,-0.6092,19,-0.1089,24,0.28259,19,-0.0241,19,-0.0212,14,-0.5311,22,0.15599,28,0.57507,22,0.16856
ENSG00000160087,UBE2J2,24,-0.5237,33,-0.0543,30,-0.1602,26,-0.3761,34,0.01878,26,-0.4110,23,-0.5646,46,0.52200,62,0.99194
ENSG00000131584,ACAP3,19,-1.7436,41,-0.8238,136,1.30594,34,-0.9088,54,-0.2127,64,0.06055,39,-0.6979,139,1.34058,92,0.63973
ENSG00000127054,INTS11,23,-0.6646,43,0.42155,32,-0.1656,33,-0.1288,20,-0.8966,15,-1.3357,20,-0.8505,64,0.94006,49,0.51698
ENSG00000224051,CPTP,16,-0.3873,28,0.70436,11,-0.9827,16,-0.3658,15,-0.4930,11,-0.9786,6,-1.7587,13,-0.7521,50,1.40512
ENSG00000107404,DVL1,19,-1.3017,30,-0.7904,17,-1.4848,45,-0.0038,46,0.01987,42,-0.1216,52,0.22347,120,1.63741,80,0.93030
ENSG00000175756,AURKAIP1,147,-0.4732,210,0.11257,156,-0.3830,192,-0.0587,178,-0.1777,136,-0.5887,258,0.40938,221,0.16035,266,0.45576
ENSG00000221978,CCNL2,30,-0.9927,61,0.10724,114,1.10404,42,-0.4990,49,-0.2638,38,-0.6507,31,-0.9515,74,0.39490,73,0.37661
ENSG00000242485,MRPL20,160,-0.0607,184,0.21727,70,-1.3234,183,0.14657,152,-0.1473,128,-0.4100,206,0.33844,186,0.17590,179,0.11501
ENSG00000235098,ANKRD65,14,-1.1431,21,-0.7029,18,-0.7640,54,0.93453,44,0.60687,15,-1.0035,13,-1.2585,61,1.14263,58,1.04428
ENSG00000197785,ATAD3A,3,-2.1242,16,0.00937,20,0.35953,31,1.09205,5,-1.6122,5,-1.5746,19,0.27066,32,1.15356,10,-0.7154
ENSG00000205090,TMEM240,14,-0.9170,27,0.18870,36,0.57683,16,-0.7121,24,-0.0867,13,-0.9499,17,-0.6181,45,0.92717,28,0.15609
ENSG00000160075,SSU72,156,-0.1068,169,0.02525,139,-0.2825,148,-0.1914,131,-0.3829,136,-0.3196,211,0.37311,176,0.08327,232,0.52083
ENSG00000228594,FNDC10,22,-0.5594,33,0.06992,32,0.00273,28,-0.1961,44,0.52818,12,-1.4222,40,0.38917,48,0.66118,22,-0.5124
