Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,116,2.01660,19,-0.9873,6,-2.6608,11,-1.7998,22,-0.8153,26,-0.5558,46,0.38942,39,0.10791
ENSG00000188976,NOC2L,116,1.45367,52,0.07197,29,-0.8010,22,-1.2584,19,-1.4212,17,-1.5706,64,0.48734,55,0.19373
ENSG00000188290,HES4,116,2.02579,4,-3.2711,3,-3.4663,12,-1.6774,36,-0.0249,46,0.34533,51,0.60112,25,-0.6615
ENSG00000187608,ISG15,116,1.73000,4,-3.2549,13,-1.7964,47,0.14542,34,-0.3558,58,0.48830,50,0.29016,28,-0.7441
ENSG00000188157,AGRN,116,2.38506,35,0.18902,20,-0.6786,13,-1.3491,17,-0.8849,25,-0.3430,22,-0.5571,20,-0.7285
ENSG00000078808,SDF4,116,1.02869,113,0.98057,47,-0.4405,47,-0.4401,60,-0.0723,49,-0.3838,56,-0.1961,41,-0.7319
ENSG00000176022,B3GALT6,116,2.38152,24,-0.4116,10,-1.6461,20,-0.7154,26,-0.2589,23,-0.5049,26,-0.2940,20,-0.7218
ENSG00000160087,UBE2J2,116,1.74761,62,0.61322,21,-1.0761,15,-1.5831,32,-0.4196,19,-1.2128,46,0.14503,33,-0.4120
ENSG00000131584,ACAP3,116,0.67080,121,0.73979,65,-0.2745,33,-1.3162,81,0.07565,100,0.43358,65,-0.2824,62,-0.3864
ENSG00000127054,INTS11,116,1.45776,53,0.10368,45,-0.1447,41,-0.2814,32,-0.6833,54,0.13316,46,-0.1164,30,-0.8246
ENSG00000224051,CPTP,116,2.71823,21,-0.3751,9,-1.5801,7,-1.9407,24,-0.1870,13,-1.1518,23,-0.2519,17,-0.8111
ENSG00000107404,DVL1,116,1.35996,35,-0.6245,44,-0.2569,17,-1.7220,56,0.12303,89,0.89202,44,-0.2723,37,-0.5853
ENSG00000175756,AURKAIP1,116,-0.3261,161,0.19759,87,-0.7742,113,-0.3672,173,0.31702,163,0.22205,198,0.62500,107,-0.4949
ENSG00000221978,CCNL2,116,1.14149,40,-0.5887,78,0.47343,33,-0.8936,38,-0.6838,47,-0.3590,66,0.21966,51,-0.2434
ENSG00000242485,MRPL20,116,-0.2639,124,-0.1620,109,-0.3609,112,-0.3123,187,0.51023,193,0.56178,153,0.20466,111,-0.3708
ENSG00000235098,ANKRD65,116,1.92226,42,0.12821,63,0.78487,28,-0.5113,59,0.69239,15,-1.3953,26,-0.6802,6,-2.7988
ENSG00000179403,VWA1,116,0.86899,200,1.88297,179,1.66319,105,0.70330,20,-1.8339,22,-1.6878,12,-2.7371,9,-3.1491
ENSG00000205090,TMEM240,116,2.65763,9,-1.6163,4,-2.6372,0,-5.0215,31,0.15658,12,-1.2346,34,0.37363,18,-0.7174
ENSG00000160075,SSU72,116,-0.0056,116,-0.0072,66,-0.8826,72,-0.7566,151,0.41975,93,-0.3521,172,0.75279,102,-0.2232
ENSG00000228594,FNDC10,116,2.21841,11,-1.6560,4,-3.1824,6,-2.4186,37,0.15939,28,-0.2637,38,0.21151,29,-0.2565
ENSG00000197530,MIB2,116,1.86718,39,-0.0344,15,-1.4757,27,-0.6197,57,0.59194,38,-0.0738,29,-0.5406,24,-0.8439
