Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to6,Feature log2 fold change topic 2to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,8,-2.2275,45,0.71182,30,-0.2979,33,-0.1904
ENSG00000188976,NOC2L,13,-1.6874,52,0.80635,27,-0.6394,36,-0.2577
ENSG00000188290,HES4,15,-1.9619,64,0.43142,24,-1.2955,66,0.35937
ENSG00000187608,ISG15,31,-0.2037,37,0.12095,21,-0.8304,40,0.21540
ENSG00000188157,AGRN,15,-0.5533,26,0.68403,9,-1.2177,19,-0.2297
ENSG00000078808,SDF4,46,-0.2739,66,0.61976,26,-1.1079,47,-0.2788
ENSG00000176022,B3GALT6,3,-2.6399,21,0.20961,13,-0.6377,25,0.51350
ENSG00000160087,UBE2J2,23,-0.7228,50,1.10884,11,-1.7241,27,-0.5937
ENSG00000131584,ACAP3,37,-0.8028,79,0.81718,12,-2.3980,58,-0.1291
ENSG00000127054,INTS11,28,-0.4028,45,0.62805,16,-1.2666,33,-0.2038
ENSG00000224051,CPTP,6,-1.4929,21,0.79936,7,-1.3719,16,-0.0990
ENSG00000107404,DVL1,26,-0.9623,43,-0.3192,27,-0.9058,72,0.90466
ENSG00000175756,AURKAIP1,88,-0.9312,176,0.26510,98,-0.7652,181,0.25109
ENSG00000221978,CCNL2,47,-0.0350,57,0.55443,9,-2.5264,46,-0.0810
ENSG00000242485,MRPL20,93,-0.8137,150,-0.1127,103,-0.6540,206,0.60200
ENSG00000179403,VWA1,86,1.97969,24,-0.4227,10,-1.4705,21,-0.5249
ENSG00000205090,TMEM240,2,-3.1740,32,1.00815,6,-1.9063,23,-0.0614
ENSG00000160075,SSU72,63,-1.1395,138,0.13267,97,-0.4873,156,0.36453
ENSG00000228594,FNDC10,2,-3.5339,22,-0.3730,32,0.41472,36,0.79083
ENSG00000272106,AL691432.2,8,-1.2063,20,0.36950,6,-1.6850,21,0.37336
ENSG00000197530,MIB2,9,-1.9192,39,0.68897,5,-2.7271,35,0.25120
