Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-2.2027,55,0.53659,57,0.80734,40,-0.0040,15,-1.4426,28,-0.5536
ENSG00000188976,NOC2L,50,-0.0233,90,0.96141,61,0.39941,43,-0.3261,26,-1.0322,28,-0.9011
ENSG00000188290,HES4,20,-0.8038,31,-0.1348,34,0.00588,28,-0.3899,38,0.19641,64,1.05927
ENSG00000187608,ISG15,14,-1.1302,29,-0.0007,38,0.55344,23,-0.4915,28,-0.0754,40,0.51010
ENSG00000188157,AGRN,16,-0.2156,28,0.72178,16,-0.1935,16,-0.1856,18,-0.0103,20,0.18511
ENSG00000078808,SDF4,54,-0.4101,79,0.19158,79,0.25370,62,-0.2531,64,-0.1336,81,0.23454
ENSG00000176022,B3GALT6,11,-1.2634,25,0.03816,28,0.28405,26,0.09466,26,0.07173,22,-0.1341
ENSG00000160087,UBE2J2,33,-0.3193,57,0.55245,46,0.29049,40,-0.0129,21,-0.9907,34,-0.2930
ENSG00000131584,ACAP3,113,0.16669,169,0.83418,111,0.17622,79,-0.5061,69,-0.6074,100,-0.0368
ENSG00000127054,INTS11,35,-0.1148,49,0.44281,43,0.30450,35,-0.1049,33,-0.1881,21,-0.9104
ENSG00000224051,CPTP,20,-0.2771,31,0.40803,31,0.53178,18,-0.5412,15,-0.7016,28,0.20457
ENSG00000107404,DVL1,50,-0.2333,61,0.08244,45,-0.5116,70,0.40713,74,0.39027,51,-0.2077
ENSG00000175756,AURKAIP1,87,-0.8598,113,-0.4591,146,-0.0714,195,0.55345,208,0.51878,82,-0.9501
ENSG00000221978,CCNL2,107,0.66023,65,-0.1526,88,0.43687,44,-0.9010,68,-0.0907,80,0.17516
ENSG00000242485,MRPL20,124,-0.5254,156,-0.1637,193,0.23774,188,0.18032,187,0.12669,116,-0.6222
ENSG00000235098,ANKRD65,21,-0.4760,16,-0.8787,26,-0.1652,36,0.49298,45,0.74055,17,-0.8066
ENSG00000179403,VWA1,94,2.49854,11,-1.1160,13,-1.1312,11,-1.3349,50,1.20567,12,-0.9987
ENSG00000205090,TMEM240,16,-1.1290,44,0.48590,46,0.76144,31,-0.1240,12,-1.4591,24,-0.4523
ENSG00000160075,SSU72,95,-0.9907,182,0.02911,200,0.23286,222,0.46498,139,-0.3935,108,-0.7845
ENSG00000228594,FNDC10,9,-1.9398,65,1.05561,35,0.02323,38,0.23008,24,-0.5379,26,-0.4497
ENSG00000272106,AL691432.2,29,0.19944,17,-0.6573,23,-0.2198,30,0.29976,22,-0.2706,32,0.32730
ENSG00000197530,MIB2,43,0.30889,67,1.06637,30,-0.3478,29,-0.4026,27,-0.4045,41,0.24089
ENSG00000248333,CDK11B,76,1.29167,38,0.11175,15,-1.4748,29,-0.3910,11,-1.7021,95,1.70584
