Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to9,Feature log2 fold change topic 5to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,10,-1.9249,16,-1.3441,49,0.89943,41,0.28836
ENSG00000188976,NOC2L,39,-0.4821,39,-0.5892,76,0.96830,38,-0.6559
ENSG00000188290,HES4,15,-1.7363,66,0.66333,43,-0.2142,47,-0.0243
ENSG00000187608,ISG15,27,-0.7084,58,0.58085,47,0.17651,29,-0.7239
ENSG00000188157,AGRN,22,-0.0833,14,-0.8613,30,0.65012,22,-0.0983
ENSG00000078808,SDF4,63,-0.2152,78,0.14745,80,0.24488,58,-0.4212
ENSG00000176022,B3GALT6,16,-0.5922,27,0.23794,24,0.02537,23,-0.0779
ENSG00000160087,UBE2J2,32,-0.4423,43,0.02089,48,0.30925,37,-0.2829
ENSG00000131584,ACAP3,64,-0.3756,32,-1.5968,110,0.84574,89,0.17297
ENSG00000127054,INTS11,34,-0.6921,55,0.03593,61,0.34494,46,-0.2718
ENSG00000224051,CPTP,12,-0.7432,16,-0.3327,22,0.24821,22,0.22394
ENSG00000107404,DVL1,24,-1.3865,96,0.95625,52,-0.3580,53,-0.2766
ENSG00000175756,AURKAIP1,89,-0.7836,164,0.19259,179,0.50178,101,-0.6908
ENSG00000221978,CCNL2,73,0.20657,49,-0.4993,72,0.28731,64,-0.0114
ENSG00000242485,MRPL20,92,-0.6337,165,0.35029,157,0.32010,97,-0.6515
ENSG00000179403,VWA1,149,2.65080,58,1.14469,8,-2.6881,15,-1.3948
ENSG00000205090,TMEM240,3,-2.8115,8,-1.8387,36,1.11387,29,0.32638
ENSG00000160075,SSU72,82,-0.9945,152,-0.0631,182,0.39050,145,-0.1507
ENSG00000228594,FNDC10,7,-1.8026,12,-1.2158,32,0.59935,34,0.55916
ENSG00000272106,AL691432.2,13,-0.5245,23,0.50401,16,-0.2197,17,-0.0827
ENSG00000197530,MIB2,17,-1.0097,24,-0.5977,46,0.84804,29,-0.2937
ENSG00000248333,CDK11B,67,1.03385,17,-1.2414,38,0.18057,38,0.16570
ENSG00000008128,CDK11A,43,1.24906,11,-1.0460,20,0.01862,21,0.10220
ENSG00000215790,SLC35E2A,11,-1.4477,25,-0.3053,33,0.31294,33,0.25908
ENSG00000008130,NADK,11,-1.3545,26,-0.0973,34,0.60002,22,-0.3416
ENSG00000078369,GNB1,264,-1.0332,623,0.36335,524,0.02448,491,-0.1053
ENSG00000187730,GABRD,11,-3.7818,73,-1.2708,231,1.29244,143,-0.1118
ENSG00000067606,PRKCZ,100,-0.9654,136,-0.5928,233,0.59116,192,0.04728
ENSG00000162585,FAAP20,31,-0.1600,43,0.42357,27,-0.5435,40,0.27152
ENSG00000157933,SKI,46,0.27378,58,0.81947,26,-0.8382,38,-0.0376
ENSG00000157916,RER1,57,-0.0955,63,0.07313,65,0.18473,52,-0.2929
ENSG00000157911,PEX10,30,0.41276,32,0.66038,21,-0.2733,16,-0.6467
ENSG00000149527,PLCH2,17,0.07191,13,-0.3787,14,-0.3844,23,0.72381
ENSG00000157881,PANK4,6,-1.2424,13,-0.1892,21,1.07284,7,-1.0778
ENSG00000197921,HES5,1,-4.1774,37,1.87941,10,-1.0304,12,-0.5536
ENSG00000157870,PRXL2B,10,-2.4681,62,0.20588,72,0.69230,38,-0.6990
ENSG00000177133,PRDM16-DT,9,-1.9942,88,2.31812,10,-2.2984,31,-0.1867
ENSG00000158109,TPRG1L,50,-1.8447,141,-0.3556,218,0.68090,160,-0.1192
ENSG00000130764,LRRC47,35,-0.9848,58,-0.2732,85,0.61810,59,-0.2670
ENSG00000116198,CEP104,87,1.65673,30,-0.1151,21,-0.9640,35,0.17827
ENSG00000198912,C1orf174,18,0.28121,15,-0.0023,14,-0.2002,16,0.13130
ENSG00000196581,AJAP1,17,-1.3345,21,-1.1777,65,1.28671,34,-0.4025
ENSG00000069424,KCNAB2,26,-2.8158,136,-0.4199,211,0.56676,187,0.17708
ENSG00000116254,CHD5,82,-1.4399,136,-0.7948,245,0.38368,275,0.52415
ENSG00000116251,RPL22,667,0.77115,535,0.52042,351,-0.3848,312,-0.5199
ENSG00000116237,ICMT,10,-2.1858,44,0.04041,50,0.37248,42,-0.0412
ENSG00000097021,ACOT7,48,-1.8534,80,-1.2652,264,1.47572,124,-0.5210
ENSG00000215788,TNFRSF25,0,-6.1949,12,-1.5991,48,1.36111,31,0.01835
ENSG00000171680,PLEKHG5,1,-4.5610,23,-0.5432,43,0.82627,32,0.00935
ENSG00000162408,NOL9,23,-0.5933,24,-0.6708,38,0.24750,43,0.43856
ENSG00000162413,KLHL21,18,-0.7410,28,-0.1478,38,0.65732,22,-0.5316
ENSG00000116273,PHF13,8,-0.9517,13,-0.2734,20,0.93260,9,-0.7852
ENSG00000041988,THAP3,13,-0.3122,15,-0.1380,21,0.69490,10,-0.7748
ENSG00000007923,DNAJC11,30,-0.3707,34,-0.2444,41,0.16585,42,0.14907
ENSG00000171735,CAMTA1,263,-0.5023,258,-0.6284,410,0.31164,425,0.30990
ENSG00000049245,VAMP3,106,2.08021,49,0.94292,11,-2.0506,23,-0.5570
ENSG00000049246,PER3,52,0.44239,47,0.35636,37,-0.1381,31,-0.4389
ENSG00000116288,PARK7,159,-0.7559,370,0.72542,270,0.08597,169,-0.7818
ENSG00000116285,ERRFI1,21,-0.3874,28,0.04536,29,0.13881,26,-0.0870
ENSG00000162426,SLC45A1,13,-1.0248,4,-2.7336,43,1.67727,22,-0.2921
ENSG00000142599,RERE,158,0.54549,86,-0.5027,108,-0.1024,132,0.31348
ENSG00000074800,ENO1,238,-1.1114,856,1.20800,471,-0.1064,247,-1.2127
ENSG00000171612,SLC25A33,16,-1.2544,72,1.41296,24,-0.9974,35,-0.1617
ENSG00000171603,CLSTN1,205,-1.8244,407,-0.9269,978,1.04856,627,-0.1628
ENSG00000178585,CTNNBIP1,24,-0.3155,34,0.26845,25,-0.3564,34,0.27441
ENSG00000162441,LZIC,97,0.94517,59,0.17614,44,-0.4956,52,-0.0685
ENSG00000130939,UBE4B,51,0.18250,38,-0.3516,52,0.32768,41,-0.1855
ENSG00000054523,KIF1B,593,0.80111,266,-0.5635,351,-0.0662,395,0.17672
ENSG00000142657,PGD,39,-0.6577,61,0.02932,66,0.25953,55,-0.1521
ENSG00000241563,CORT,16,-0.8140,33,0.29047,33,0.39912,20,-0.6403
ENSG00000160049,DFFA,70,0.68083,59,0.53602,35,-0.5650,40,-0.2295
ENSG00000142655,PEX14,5,-1.7964,17,-0.1863,26,0.92336,13,-0.6760
ENSG00000120948,TARDBP,138,0.84176,99,0.37083,73,-0.2662,61,-0.5440
ENSG00000271895,AL109811.2,17,-0.2081,7,-1.5543,24,0.54589,24,0.46180
ENSG00000116649,SRM,54,-0.3222,89,0.59940,69,0.11427,42,-0.8006
ENSG00000171824,EXOSC10,34,-0.1645,43,0.23600,41,0.18984,29,-0.4687
ENSG00000198793,MTOR,21,-0.9909,43,0.13979,48,0.47187,30,-0.5069
ENSG00000116661,FBXO2,110,-0.8482,304,0.97700,183,-0.1097,121,-0.8348
ENSG00000132879,FBXO44,26,-1.8958,60,-0.7302,124,0.87977,87,-0.0706
ENSG00000116670,MAD2L2,18,0.05489,27,0.86827,14,-0.4981,14,-0.4190
ENSG00000177000,MTHFR,25,0.33375,8,-1.6025,25,0.52951,24,0.29777
ENSG00000011021,CLCN6,51,-0.5915,53,-0.6513,85,0.31369,90,0.34708
ENSG00000116685,KIAA2013,44,0.50598,36,0.24863,32,0.01143,23,-0.5698
ENSG00000083444,PLOD1,22,-0.0124,31,0.65657,19,-0.3470,19,-0.2983
ENSG00000116688,MFN2,104,-0.2846,99,-0.4296,152,0.51568,114,-0.1834
ENSG00000116691,MIIP,20,0.28880,25,0.79259,13,-0.5968,14,-0.2987
ENSG00000048707,VPS13D,55,-0.3514,65,-0.1327,63,-0.2285,90,0.50806
ENSG00000162496,DHRS3,18,-0.2931,41,1.45960,11,-1.2682,19,-0.2082
ENSG00000116731,PRDM2,190,0.20650,67,-1.5750,192,0.37763,215,0.51804
ENSG00000189337,KAZN,127,1.11063,65,0.01622,46,-0.7285,73,0.24065
ENSG00000142634,EFHD2,63,-0.7581,64,-0.8334,135,0.75472,100,-0.0397
ENSG00000116138,DNAJC16,30,-0.3605,29,-0.5127,42,0.23982,44,0.27175
ENSG00000197312,DDI2,25,-0.3383,16,-1.1889,38,0.51761,37,0.36110
ENSG00000116786,PLEKHM2,73,-0.5219,107,0.08196,91,-0.2873,127,0.43368
ENSG00000065526,SPEN,264,1.74861,61,-0.7687,65,-0.8144,118,0.45431
ENSG00000116809,ZBTB17,23,0.21491,21,0.10417,23,0.32564,13,-0.7186
ENSG00000037637,FBXO42,12,-0.8696,12,-0.9880,28,0.67483,24,0.19334
ENSG00000055070,SZRD1,47,0.81764,35,0.45738,23,-0.3968,22,-0.4494
ENSG00000219481,NBPF1,33,1.09662,24,0.68317,8,-1.3701,18,0.16537
ENSG00000159363,ATP13A2,38,-1.7040,83,-0.6510,140,0.44066,145,0.40023
ENSG00000117118,SDHB,43,-0.7592,74,0.08743,86,0.53115,50,-0.6068
ENSG00000117115,PADI2,295,2.62255,110,1.00805,17,-2.5423,35,-1.1509
ENSG00000179051,RCC2,12,-0.9686,15,-0.7907,29,0.60716,25,0.17172
ENSG00000074964,ARHGEF10L,7,-1.2910,29,1.14577,14,-0.4516,13,-0.4458
ENSG00000117154,IGSF21,27,-1.6957,66,-0.3929,118,1.05700,56,-0.6774
ENSG00000159423,ALDH4A1,32,0.74749,40,1.55528,10,-1.3378,12,-0.8904
ENSG00000127481,UBR4,45,0.69440,22,-0.5136,22,-0.5701,42,0.74005
ENSG00000127463,EMC1,46,0.37140,33,-0.2028,45,0.52928,24,-0.7795
ENSG00000053372,MRTO4,29,-0.3587,31,-0.2779,43,0.43858,33,-0.1887
ENSG00000053371,AKR7A2,39,0.16835,68,1.47028,25,-0.7053,17,-1.2549
ENSG00000077549,CAPZB,98,-0.8093,157,-0.1185,209,0.60948,129,-0.4671
ENSG00000173436,MICOS10,174,-0.6598,313,0.31523,295,0.25814,205,-0.4907
ENSG00000158747,NBL1,63,-1.1288,124,-0.1098,148,0.31022,134,0.03377
ENSG00000169914,OTUD3,7,-1.5466,21,-0.0326,20,-0.0712,27,0.49300
ENSG00000162545,CAMK2N1,625,-1.2883,1930,0.57637,1471,0.03058,1222,-0.3240
ENSG00000090432,MUL1,26,0.47950,16,-0.2743,21,0.21059,17,-0.2500
ENSG00000183114,FAM43B,16,-0.2676,25,0.56306,19,-0.0059,14,-0.5623
ENSG00000158828,PINK1,179,-1.2689,372,-0.1874,517,0.62352,350,-0.2980
ENSG00000244038,DDOST,18,-0.6533,30,0.14137,34,0.49710,19,-0.6569
ENSG00000117245,KIF17,3,-2.4709,7,-1.6194,29,1.44518,16,-0.1946
ENSG00000189410,SH2D5,1,-4.8738,12,-1.4784,47,1.40937,28,-0.1160
ENSG00000127483,HP1BP3,418,0.95435,153,-0.7520,242,0.09828,234,0.01297
ENSG00000075151,EIF4G3,221,0.11124,149,-0.5975,239,0.39422,203,-0.0320
ENSG00000117298,ECE1,24,0.36497,30,0.94232,8,-1.6972,25,0.52552
ENSG00000162551,ALPL,10,-0.8020,31,1.19350,8,-1.5493,23,0.50869
ENSG00000076864,RAP1GAP,50,-1.5785,88,-0.8360,193,0.90280,136,-0.0678
ENSG00000090686,USP48,131,1.12156,34,-1.1469,65,-0.0359,78,0.31704
ENSG00000070831,CDC42,240,0.13690,171,-0.4651,277,0.61587,169,-0.4879
ENSG00000173369,C1QB,6,-1.7001,48,2.09880,14,-0.8531,8,-1.5641
ENSG00000004487,KDM1A,35,-0.4789,38,-0.4181,60,0.62138,41,-0.2785
ENSG00000169641,LUZP1,41,-1.6635,55,-1.4221,149,0.48073,181,0.76924
ENSG00000125944,HNRNPR,174,0.50151,111,-0.2544,149,0.42599,90,-0.6235
ENSG00000088280,ASAP3,29,0.67100,38,1.59326,12,-0.9450,7,-1.5609
ENSG00000117318,ID3,70,1.43294,74,2.32213,5,-3.2147,12,-1.4844
ENSG00000142676,RPL11,719,0.77066,672,0.85489,339,-0.6261,309,-0.6698
ENSG00000011007,ELOA,54,1.13535,28,0.07681,23,-0.3616,23,-0.2737
