Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,8,-2.1650,21,-0.7635,29,-0.2878,43,0.36714,35,0.02219,49,0.58619,37,0.13348,34,-0.0327,51,0.64558
ENSG00000188976,NOC2L,27,-0.7539,24,-0.9242,67,0.69665,51,0.23619,20,-1.1701,60,0.50649,55,0.41132,46,0.09084,33,-0.4373
ENSG00000188290,HES4,9,-1.7291,41,0.67238,32,0.26873,42,0.70714,35,0.37722,18,-0.6458,34,0.42228,19,-0.5627,8,-1.7392
ENSG00000187608,ISG15,39,0.66984,28,0.11611,11,-1.2457,6,-2.2289,30,0.20993,12,-1.2051,45,1.07363,24,-0.1474,20,-0.3812
ENSG00000188157,AGRN,15,-0.2266,20,0.26993,19,0.17776,21,0.37485,12,-0.4805,32,1.07936,16,-0.1271,11,-0.7115,7,-1.2772
ENSG00000078808,SDF4,46,0.09288,42,-0.0604,47,0.12332,57,0.43150,45,0.04110,45,0.06644,46,0.10898,28,-0.6861,33,-0.4399
ENSG00000176022,B3GALT6,9,-1.2227,26,0.46685,24,0.34729,16,-0.2671,13,-0.6130,18,-0.1243,23,0.29609,26,0.44197,17,-0.2247
ENSG00000160087,UBE2J2,19,-0.7307,26,-0.2717,27,-0.2220,55,0.92019,32,0.05126,33,0.07406,36,0.27681,29,-0.1171,18,-0.8280
ENSG00000131584,ACAP3,39,-0.4232,46,-0.1610,86,0.86989,104,1.20663,29,-0.8721,63,0.35194,30,-0.9029,55,0.14107,26,-1.0275
ENSG00000169972,PUSL1,12,0.34345,10,0.08298,8,-0.2452,14,0.54358,12,0.29103,12,0.31532,9,-0.1957,10,0.00750,2,-2.0991
ENSG00000127054,INTS11,30,-0.2964,43,0.26193,26,-0.5086,51,0.55155,32,-0.1946,52,0.55562,38,0.05053,41,0.19226,14,-1.4230
ENSG00000224051,CPTP,8,-0.9511,8,-1.1049,31,1.07517,11,-0.5174,12,-0.4721,21,0.41096,21,0.50240,15,-0.1252,12,-0.3941
