Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,6,-2.3731,6,-2.4218,37,0.28257,29,-0.1173,36,0.29386,42,0.64306
ENSG00000188976,NOC2L,6,-2.8383,26,-0.7853,29,-0.6027,35,-0.3658,71,1.10108,44,0.02874
ENSG00000188290,HES4,14,-0.7503,4,-2.4179,46,1.11218,35,0.78526,25,0.13321,15,-0.7782
ENSG00000187608,ISG15,6,-2.2022,20,-0.5364,19,-0.6151,57,1.38640,27,-0.0592,22,-0.4040
ENSG00000188157,AGRN,6,-1.7064,27,0.49317,40,1.13809,17,-0.2389,20,0.06795,16,-0.3621
ENSG00000078808,SDF4,6,-2.8772,49,0.17420,63,0.57512,46,0.05699,61,0.67200,31,-0.6421
ENSG00000176022,B3GALT6,86,1.93386,8,-1.8597,11,-1.4492,20,-0.5715,36,0.49025,19,-0.7117
ENSG00000160087,UBE2J2,271,3.06918,19,-1.5600,23,-1.2586,40,-0.4744,47,-0.2626,18,-1.8412
ENSG00000131584,ACAP3,82,0.38396,42,-0.6614,97,0.67617,57,-0.2149,86,0.61062,38,-0.9503
ENSG00000127054,INTS11,93,1.11683,43,-0.1341,43,-0.1371,31,-0.6828,62,0.57507,30,-0.8230
ENSG00000224051,CPTP,6,-1.2306,11,-0.3198,10,-0.5514,11,-0.3555,22,0.98369,13,-0.1908
ENSG00000107404,DVL1,6,-2.7066,26,-0.6249,47,0.27496,63,0.87246,50,0.48160,26,-0.7412
ENSG00000175756,AURKAIP1,95,-0.6233,79,-0.8968,87,-0.7651,196,0.58520,199,0.71904,105,-0.5778
ENSG00000221978,CCNL2,6,-3.1015,60,0.23949,104,1.16191,29,-0.9427,69,0.62031,44,-0.3220
ENSG00000242485,MRPL20,39,-1.7267,89,-0.4926,60,-1.0816,194,0.87359,145,0.34914,110,-0.1962
ENSG00000235098,ANKRD65,6,-2.0504,50,1.13028,10,-1.3533,31,0.37950,28,0.21880,21,-0.3192
ENSG00000179403,VWA1,6,-2.2545,181,3.69209,22,-0.3898,20,-0.5698,13,-1.3841,9,-1.9416
ENSG00000205090,TMEM240,6,-1.8894,3,-2.7323,4,-2.4780,22,0.00691,42,1.44481,21,-0.1425
