Feature ID,Feature Name,Feature count topic 1to7,Feature log2 fold change topic 1to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,41,0.17490,28,-0.5508,42,0.13096
ENSG00000188976,NOC2L,52,0.27596,40,-0.2980,44,-0.1490
ENSG00000188290,HES4,19,-1.2359,31,0.04950,56,1.32873
ENSG00000187608,ISG15,27,0.19367,22,-0.2271,24,-0.0897
ENSG00000188157,AGRN,18,-0.1403,14,-0.4632,24,0.45609
ENSG00000078808,SDF4,54,-0.0421,39,-0.5598,67,0.39210
ENSG00000176022,B3GALT6,19,-0.1688,17,-0.2802,24,0.38964
ENSG00000160087,UBE2J2,30,-0.3400,30,-0.1995,44,0.54032
ENSG00000131584,ACAP3,50,-0.6217,59,-0.0775,90,0.78161
ENSG00000127054,INTS11,37,0.14206,17,-1.1759,45,0.44157
ENSG00000224051,CPTP,22,0.24423,13,-0.7730,23,0.16037
ENSG00000107404,DVL1,29,-1.2260,44,-0.0542,84,1.37736
ENSG00000175756,AURKAIP1,191,-0.1504,157,-0.4029,248,0.43615
ENSG00000221978,CCNL2,61,0.20644,43,-0.4838,59,0.05513
ENSG00000242485,MRPL20,164,-0.0537,140,-0.2982,191,0.26404
ENSG00000235098,ANKRD65,24,-0.6393,30,-0.0175,44,0.76521
ENSG00000197785,ATAD3A,17,0.23307,5,-1.6866,20,0.49425
ENSG00000205090,TMEM240,25,-0.0143,19,-0.5013,30,0.33001
ENSG00000160075,SSU72,160,-0.1470,133,-0.3818,206,0.42099
ENSG00000228594,FNDC10,30,-0.1416,28,-0.1951,37,0.30714
ENSG00000272106,AL691432.2,11,-1.1138,14,-0.3063,31,1.39993
ENSG00000197530,MIB2,29,-0.5269,35,0.03114,46,0.61200
ENSG00000248333,CDK11B,54,0.64543,52,0.20813,23,-1.2117
ENSG00000189339,SLC35E2B,11,-0.5202,17,0.54422,14,0.22407
ENSG00000008128,CDK11A,21,0.07570,21,-0.0021,20,-0.0977
ENSG00000215790,SLC35E2A,17,-0.3320,21,0.14744,22,0.30782
ENSG00000008130,NADK,20,-0.4081,21,-0.1585,30,0.59352
ENSG00000078369,GNB1,439,-0.5284,559,0.12667,682,0.55169
ENSG00000187730,GABRD,206,0.32518,81,-1.3616,219,0.29954
ENSG00000067606,PRKCZ,193,-0.2842,212,0.01349,250,0.34350
ENSG00000162585,FAAP20,25,-0.9062,40,0.26703,52,0.86903
ENSG00000157933,SKI,16,-0.5173,28,0.75667,19,0.02263
ENSG00000157916,RER1,59,-0.0605,33,-0.9734,81,0.59223
ENSG00000157911,PEX10,19,-0.4699,21,-0.0464,29,0.59632
ENSG00000157881,PANK4,12,-0.1455,7,-0.9718,18,0.68455
ENSG00000157870,PRXL2B,41,0.17534,22,-0.8874,45,0.29244
ENSG00000158109,TPRG1L,207,0.00574,173,-0.3019,229,0.19443
ENSG00000116213,WRAP73,13,0.16570,10,-0.3461,12,0.02373
ENSG00000130764,LRRC47,74,-0.0756,54,-0.5575,93,0.42947
ENSG00000116198,CEP104,27,0.06890,38,0.64046,18,-0.7289
ENSG00000198912,C1orf174,14,-0.1576,10,-0.5582,19,0.52303
ENSG00000196581,AJAP1,33,-0.1211,30,-0.2235,39,0.29994
ENSG00000069424,KCNAB2,224,-0.0387,164,-0.5382,274,0.37738
ENSG00000116254,CHD5,231,0.16120,274,0.37939,162,-0.5702
ENSG00000116251,RPL22,420,-0.7655,873,0.87330,608,0.22416
ENSG00000116237,ICMT,46,0.36196,22,-1.0208,44,0.13181
ENSG00000097021,ACOT7,316,0.69964,124,-1.2449,242,-0.1775
ENSG00000215788,TNFRSF25,17,0.09909,6,-1.6176,23,0.62088
ENSG00000171680,PLEKHG5,24,0.44395,14,-0.6953,20,-0.1229
ENSG00000162408,NOL9,18,-0.5410,22,0.02907,29,0.62897
ENSG00000162413,KLHL21,26,0.02489,27,0.07849,24,-0.0929
ENSG00000041988,THAP3,15,-0.5670,17,-0.0668,25,0.71597
ENSG00000007923,DNAJC11,28,-0.2499,25,-0.2783,38,0.48242
ENSG00000171735,CAMTA1,385,0.20072,393,0.13401,296,-0.3852
ENSG00000049245,VAMP3,10,-0.9881,17,0.30611,23,0.92745
ENSG00000049246,PER3,25,-0.7520,45,0.59806,41,0.45538
ENSG00000116288,PARK7,392,0.04080,278,-0.5560,450,0.29367
ENSG00000116285,ERRFI1,27,0.16674,26,0.01358,23,-0.2335
ENSG00000162426,SLC45A1,40,0.86098,14,-1.3850,27,-0.3166
ENSG00000142599,RERE,99,-0.2310,130,0.35349,107,0.01919
ENSG00000074800,ENO1,506,0.27255,248,-1.0482,533,0.24669
ENSG00000171612,SLC25A33,21,-0.3808,18,-0.4188,33,0.70297
ENSG00000171603,CLSTN1,897,0.73849,358,-1.2009,656,-0.2431
ENSG00000178585,CTNNBIP1,29,-0.4973,41,0.30881,42,0.38669
ENSG00000162441,LZIC,42,-0.4274,70,0.66650,48,-0.0077
