Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,5,-3.0310,22,-0.8833,37,-0.0675,49,0.38747,16,-1.3437,45,0.26809,35,-0.1646,58,0.66324,59,0.70774,59,0.70828
ENSG00000188976,NOC2L,13,-2.0175,41,-0.2806,57,0.23041,24,-1.0809,50,0.01526,63,0.40290,47,-0.0882,89,0.97409,61,0.34071,48,-0.0310
ENSG00000188290,HES4,9,-1.7637,6,-2.2119,48,0.87101,10,-1.5239,68,1.49295,63,1.35830,25,-0.2164,15,-0.9270,12,-1.2355,26,-0.1452
ENSG00000187608,ISG15,22,-0.3822,15,-0.9963,27,-0.0856,16,-0.8948,31,0.17083,33,0.24852,66,1.44152,30,0.11654,12,-1.2707,30,0.09957
ENSG00000188157,AGRN,12,-0.5958,13,-0.4463,17,-0.0295,11,-0.6465,25,0.62357,24,0.53164,24,0.55035,12,-0.6032,20,0.22685,14,-0.2779
ENSG00000078808,SDF4,33,-0.8216,30,-0.9560,64,0.23473,40,-0.5241,81,0.60713,110,1.14472,53,-0.0837,56,0.00345,44,-0.3619,46,-0.3018
ENSG00000176022,B3GALT6,8,-1.5131,11,-1.0861,17,-0.3531,12,-0.8682,23,0.08623,50,1.40327,26,0.28396,37,0.87802,8,-1.4593,25,0.22838
ENSG00000160087,UBE2J2,21,-0.8851,27,-0.4814,49,0.46806,17,-1.2185,47,0.37869,59,0.76014,37,0.00141,49,0.46751,23,-0.7223,41,0.15046
ENSG00000131584,ACAP3,28,-1.5116,73,-0.0806,94,0.32067,25,-1.7022,76,-0.0266,183,1.48552,58,-0.4401,64,-0.2892,97,0.37612,70,-0.1362
ENSG00000127054,INTS11,19,-1.0321,16,-1.2999,33,-0.1870,8,-2.2117,57,0.70616,82,1.33192,26,-0.5422,51,0.51566,40,0.12219,39,0.07942
ENSG00000224051,CPTP,7,-1.2861,18,0.12936,10,-0.8416,5,-1.6719,10,-0.7794,24,0.55730,25,0.62030,32,1.06357,12,-0.4670,25,0.62059
ENSG00000107404,DVL1,25,-1.1127,49,-0.0718,79,0.69106,53,0.03854,43,-0.2770,88,0.87947,64,0.35635,36,-0.5478,38,-0.4642,40,-0.4017
ENSG00000175756,AURKAIP1,40,-1.5594,51,-1.1834,120,0.12766,76,-0.5754,174,0.74466,135,0.32931,219,1.14771,114,0.05368,55,-1.0871,121,0.14312
ENSG00000221978,CCNL2,49,-0.1679,12,-2.2971,61,0.19780,25,-1.2161,82,0.66820,81,0.65578,27,-1.0586,56,0.04259,79,0.60766,72,0.45333
ENSG00000242485,MRPL20,42,-1.4682,89,-0.3408,103,-0.1058,86,-0.3829,146,0.46215,205,1.03453,132,0.29662,90,-0.3279,79,-0.5161,129,0.25371
ENSG00000235098,ANKRD65,21,-0.3876,9,-1.6475,32,0.30141,20,-0.4558,32,0.29492,39,0.59266,42,0.74703,15,-0.8445,23,-0.2109,34,0.37034
ENSG00000179403,VWA1,41,1.28531,14,-0.4968,27,0.58750,9,-1.1199,34,0.98161,25,0.47190,16,-0.2666,11,-0.8280,9,-1.1814,3,-2.5526
ENSG00000205090,TMEM240,4,-2.8868,34,0.37189,18,-0.5793,20,-0.4581,25,-0.1260,58,1.31761,15,-0.8716,33,0.36321,35,0.43858,25,-0.1161
ENSG00000160075,SSU72,54,-1.4733,110,-0.3791,168,0.29173,86,-0.7526,148,0.08543,164,0.25832,195,0.54217,174,0.34973,107,-0.4185,194,0.53186
ENSG00000228594,FNDC10,2,-3.8674,22,-0.4666,54,1.00551,14,-1.1625,28,-0.0960,23,-0.4201,53,0.96373,62,1.24923,19,-0.6514,19,-0.6909
ENSG00000272106,AL691432.2,4,-2.0313,5,-1.6378,16,-0.0508,7,-1.1948,38,1.36693,25,0.64248,16,-0.0417,13,-0.4348,13,-0.3896,29,0.92075
ENSG00000197530,MIB2,7,-2.0480,8,-1.7534,43,0.76591,12,-1.2200,38,0.56326,62,1.39215,18,-0.6113,39,0.59001,27,-0.0145,16,-0.7870
ENSG00000248333,CDK11B,141,1.44633,69,0.22128,40,-0.6337,90,0.66368,44,-0.4962,47,-0.3714,32,-0.9521,27,-1.2081,68,0.19189,43,-0.5296
ENSG00000189339,SLC35E2B,14,-0.6484,11,-1.0179,21,0.02212,20,-0.0555,23,0.13947,21,0.01019,25,0.26076,22,0.10166,29,0.51726,24,0.19617
ENSG00000008128,CDK11A,101,2.44977,5,-2.5004,21,-0.3264,14,-0.9597,17,-0.6421,18,-0.5992,16,-0.7625,16,-0.7620,39,0.64978,16,-0.7650
