Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,14,0.34901,17,0.81925,0,-5.4068,8,-0.5119,10,-0.1651,8,-0.5078,13,0.21210,11,-0.1012
ENSG00000228794,LINC01128,35,0.08577,50,0.98596,8,-2.1074,24,-0.4729,29,-0.1810,42,0.41155,21,-0.6857,17,-0.9748
ENSG00000188976,NOC2L,81,0.77077,63,0.45865,28,-0.8985,42,-0.3160,50,-0.0425,45,-0.2105,30,-0.8099,44,-0.2181
ENSG00000188290,HES4,19,-0.3665,26,0.21405,6,-2.0752,47,1.13117,39,0.78814,24,0.04140,14,-0.7665,10,-1.3318
ENSG00000187608,ISG15,1,-4.5552,43,0.69144,2,-4.0385,40,0.38476,50,0.75779,37,0.24987,34,0.12540,22,-0.5640
ENSG00000188157,AGRN,19,-0.5656,28,0.01429,19,-0.5756,45,0.77106,29,0.06699,19,-0.5985,34,0.30149,30,0.09746
ENSG00000078808,SDF4,46,-0.4091,61,0.03439,35,-0.8348,75,0.36030,64,0.11276,53,-0.1981,78,0.42928,65,0.13256
ENSG00000176022,B3GALT6,33,0.59731,23,0.07684,9,-1.3568,25,0.19062,25,0.18157,22,-0.0425,25,0.19203,15,-0.5897
ENSG00000160087,UBE2J2,32,-0.1655,40,0.23217,39,0.10818,71,1.13073,17,-1.1340,29,-0.3286,24,-0.6423,27,-0.4246
ENSG00000131584,ACAP3,105,0.53140,72,-0.1099,65,-0.2245,87,0.23525,49,-0.6717,54,-0.5224,94,0.35148,86,0.20770
ENSG00000127054,INTS11,25,-0.4627,40,0.38226,19,-0.9041,43,0.39594,36,0.08208,22,-0.6386,31,-0.1489,41,0.30177
ENSG00000224051,CPTP,16,0.08696,17,0.28867,11,-0.4240,10,-0.5735,24,0.75943,9,-0.8490,17,0.19011,11,-0.4349
ENSG00000107404,DVL1,39,-0.2252,39,-0.2803,21,-1.1770,66,0.63105,50,0.18155,31,-0.5526,84,1.04628,40,-0.1724
ENSG00000175756,AURKAIP1,115,-0.4641,205,0.61838,89,-0.8663,138,-0.1886,193,0.35423,178,0.22706,137,-0.1986,84,-0.9435
ENSG00000221978,CCNL2,75,0.41367,64,0.19411,25,-1.2769,52,-0.1629,40,-0.5689,37,-0.7094,73,0.37202,87,0.65525
ENSG00000242485,MRPL20,85,-0.6922,141,0.13460,117,-0.1947,134,0.02017,191,0.60464,169,0.39346,92,-0.5699,112,-0.2690
ENSG00000235098,ANKRD65,14,-1.1204,28,-0.1426,29,-0.0435,21,-0.5521,46,0.70290,54,0.97572,17,-0.8812,34,0.22004
ENSG00000179403,VWA1,12,-1.5318,10,-2.1520,43,0.35276,36,0.07013,28,-0.3278,8,-2.1969,47,0.48984,142,2.62320
ENSG00000197785,ATAD3A,24,0.90556,16,0.27726,7,-1.0477,7,-0.9438,11,-0.3312,13,-0.0899,16,0.19336,13,-0.1353
ENSG00000205090,TMEM240,45,0.94624,32,0.46725,40,0.74635,22,-0.2538,16,-0.7567,20,-0.4100,8,-1.6585,9,-1.5569
ENSG00000160075,SSU72,104,-0.3377,148,0.29816,98,-0.4291,129,0.00124,220,0.88472,129,-0.0037,87,-0.6202,78,-0.7905
ENSG00000228594,FNDC10,27,-0.0663,37,0.54539,7,-2.1268,46,0.77309,37,0.40529,25,-0.2129,30,0.06562,4,-2.8712
ENSG00000272106,AL691432.2,17,-0.1321,19,0.07680,17,-0.0932,9,-0.9894,23,0.37196,25,0.53298,11,-0.7836,23,0.35563
ENSG00000197530,MIB2,27,-0.4068,28,-0.4282,58,0.85915,50,0.58801,35,0.02047,50,0.59835,17,-1.0900,26,-0.4471
ENSG00000248333,CDK11B,72,0.42401,47,-0.3154,75,0.50609,38,-0.5881,17,-1.7361,39,-0.5345,64,0.24363,105,1.07053
ENSG00000189339,SLC35E2B,36,0.86140,23,0.13639,12,-0.8743,25,0.23046,21,-0.0197,31,0.59609,1,-3.7727,19,-0.1908
ENSG00000008128,CDK11A,32,0.84842,12,-0.9233,9,-1.1726,15,-0.3320,6,-1.7206,14,-0.4610,27,0.57504,53,1.74645
ENSG00000008130,NADK,22,-0.0936,17,-0.6181,24,-0.0040,31,0.41149,50,1.23674,26,0.16306,10,-1.3498,24,-0.0162
ENSG00000078369,GNB1,348,-0.3885,451,0.02770,405,-0.1498,496,0.17403,656,0.63790,578,0.42425,418,-0.1002,196,-1.2643
ENSG00000187730,GABRD,177,0.14004,287,1.40523,49,-1.8311,113,-0.5686,165,0.02561,165,0.03222,72,-1.2480,17,-3.3240
ENSG00000067606,PRKCZ,285,0.29427,272,0.28821,237,-0.0031,274,0.23451,268,0.19845,206,-0.2245,152,-0.7021,136,-0.8707
ENSG00000162585,FAAP20,19,-1.0301,26,-0.7051,52,0.50722,42,0.15810,75,1.12125,35,-0.1160,37,-0.0547,42,0.14293
ENSG00000157933,SKI,32,0.19410,19,-0.7107,29,0.05952,48,0.87387,13,-1.2151,24,-0.2228,36,0.39723,42,0.62754
ENSG00000157916,RER1,32,-0.7078,62,0.45281,42,-0.2625,43,-0.2471,73,0.61553,39,-0.4042,30,-0.8031,57,0.20332
ENSG00000157911,PEX10,9,-1.0112,18,0.08158,11,-0.6172,26,0.69037,16,-0.0834,12,-0.4729,20,0.25147,22,0.43140
ENSG00000157870,PRXL2B,39,-0.1313,54,0.55261,25,-0.8205,52,0.33211,43,0.02466,41,-0.0246,38,-0.1680,21,-1.0778
ENSG00000177133,PRDM16-DT,12,-0.7125,10,-1.2799,0,-4.8552,32,0.76173,39,1.08689,23,0.19320,52,1.63256,13,-0.6948
ENSG00000142611,PRDM16,15,-0.0271,5,-1.7939,17,0.09244,25,0.77127,11,-0.5086,8,-0.9916,50,2.01796,14,-0.1566
ENSG00000158109,TPRG1L,211,0.31747,240,0.73045,108,-0.7323,142,-0.3101,215,0.34787,188,0.12808,93,-0.9741,55,-1.7408
ENSG00000116213,WRAP73,5,-1.1775,17,0.71722,0,-5.2552,18,0.61052,21,0.82796,9,-0.4035,2,-2.4215,16,0.41896
ENSG00000130764,LRRC47,57,-0.3736,91,0.51129,44,-0.7453,81,0.19929,71,-0.0111,103,0.59004,28,-1.4226,60,-0.2748
ENSG00000116198,CEP104,49,0.22618,21,-1.3172,67,0.73916,34,-0.3457,31,-0.5148,20,-1.1618,52,0.32123,112,1.66101
ENSG00000198912,C1orf174,2,-2.5313,18,1.10410,0,-6.3245,11,0.01773,19,0.87409,9,-0.2295,3,-2.0083,13,0.24700
ENSG00000196581,AJAP1,51,0.52244,44,0.34082,53,0.56649,56,0.68013,35,-0.1139,14,-1.4714,15,-1.3890,17,-1.2111
ENSG00000069424,KCNAB2,151,-0.0455,185,0.37221,171,0.15621,159,0.03595,253,0.80646,145,-0.1108,93,-0.8059,27,-2.6151
ENSG00000116254,CHD5,529,1.32211,228,-0.1267,383,0.75063,281,0.23817,166,-0.5977,167,-0.5860,148,-0.7714,70,-1.9004
ENSG00000116251,RPL22,317,-0.6586,345,-0.6484,686,0.57975,481,-0.0024,505,0.07666,663,0.52095,587,0.31933,545,0.19895
ENSG00000116237,ICMT,22,-0.7979,54,0.78996,12,-1.7518,38,0.01234,43,0.23318,53,0.56054,17,-1.1868,29,-0.3783
ENSG00000097021,ACOT7,154,-0.2431,325,1.46199,124,-0.5819,94,-1.0087,204,0.20349,149,-0.2972,61,-1.6482,37,-2.3913
ENSG00000215788,TNFRSF25,34,1.29939,23,0.86879,7,-1.2212,8,-1.0422,20,0.41311,3,-2.5390,8,-1.0918,8,-1.0080
ENSG00000171680,PLEKHG5,5,-1.7134,21,0.70753,7,-1.1264,33,1.23456,25,0.75803,10,-0.6059,7,-1.1074,3,-2.1417
ENSG00000162408,NOL9,35,0.22418,31,0.01815,23,-0.4169,28,-0.1395,28,-0.1240,31,0.03524,43,0.53394,25,-0.3401
ENSG00000162413,KLHL21,22,-0.3607,29,0.04401,23,-0.3288,33,0.23036,34,0.28100,21,-0.4454,28,-0.0212,35,0.35283
ENSG00000116273,PHF13,9,-0.6246,16,0.19011,28,1.09606,14,-0.0044,16,0.16216,11,-0.4591,0,-5.1454,18,0.35269
ENSG00000041988,THAP3,11,-0.4911,18,0.36893,11,-0.4647,7,-1.1617,26,0.87235,12,-0.3033,12,-0.3712,18,0.26662
ENSG00000007923,DNAJC11,32,0.11515,46,0.98383,13,-1.2384,18,-0.7633,35,0.24726,16,-0.9965,17,-0.8515,30,0.00232
ENSG00000171735,CAMTA1,624,0.69010,444,0.16366,349,-0.2586,492,0.29481,397,-0.0518,369,-0.1673,320,-0.3927,221,-0.9658
ENSG00000049245,VAMP3,7,-1.9982,11,-1.7079,27,-0.0991,22,-0.4121,37,0.40846,25,-0.1785,36,0.40103,98,2.21334
ENSG00000049246,PER3,51,-0.3909,36,-1.0853,56,-0.2173,46,-0.5317,73,0.20058,34,-1.0162,184,1.82854,96,0.63280
ENSG00000116288,PARK7,124,-1.1072,316,0.48310,155,-0.7665,218,-0.2315,419,0.83810,365,0.60326,154,-0.7737,145,-0.8672
ENSG00000116285,ERRFI1,22,-0.2559,39,0.96943,17,-0.6083,22,-0.2653,29,0.20104,13,-1.0088,24,-0.0937,12,-1.1995
ENSG00000162426,SLC45A1,21,-0.1941,41,1.25727,16,-0.6256,10,-1.3743,36,0.67126,8,-1.5644,11,-1.1003,14,-0.7656
ENSG00000142599,RERE,162,0.49530,99,-0.3687,78,-0.6586,117,-0.0312,114,-0.0698,122,0.03826,118,-0.0155,184,0.71656
ENSG00000074800,ENO1,244,-0.9306,525,0.36345,252,-0.8821,313,-0.5488,728,0.82231,362,-0.3225,732,0.83179,227,-1.0435
ENSG00000171612,SLC25A33,10,-1.7267,26,-0.3444,2,-4.0282,48,0.71909,64,1.22746,39,0.36660,48,0.71094,21,-0.6039
ENSG00000188807,TMEM201,17,0.63423,9,-0.5954,8,-0.5803,13,0.10334,11,-0.1285,11,-0.1622,15,0.39062,17,0.62636
ENSG00000171603,CLSTN1,690,0.08391,1030,1.05783,587,-0.1759,598,-0.1456,667,0.02942,385,-0.8291,326,-1.0864,208,-1.7548
ENSG00000178585,CTNNBIP1,20,-0.5668,19,-0.8136,50,0.90490,30,0.09389,35,0.34445,48,0.85094,10,-1.5786,37,0.42119
ENSG00000162441,LZIC,34,-0.8962,50,-0.4094,60,-0.0380,44,-0.5406,38,-0.7351,60,-0.0378,95,0.71462,134,1.31550
ENSG00000130939,UBE4B,33,-0.3040,51,0.49615,37,-0.1503,33,-0.3046,44,0.11426,28,-0.5597,19,-1.1300,58,0.56750
ENSG00000054523,KIF1B,634,0.26480,417,-0.4990,721,0.47595,640,0.28078,382,-0.5403,494,-0.1372,506,-0.0987,754,0.55117
ENSG00000142657,PGD,38,-0.5939,86,1.01399,49,-0.2085,21,-1.4873,68,0.32064,34,-0.7775,43,-0.4096,45,-0.3200
ENSG00000241563,CORT,5,-3.6967,27,-1.5883,461,4.31043,5,-3.6702,75,0.18106,15,-2.2217,19,-1.8931,4,-4.2085
ENSG00000160049,DFFA,50,0.05336,33,-0.7016,30,-0.7425,48,-0.0023,52,0.10692,27,-0.8952,87,0.97336,89,1.01722
ENSG00000142655,PEX14,10,-0.6897,20,0.50480,10,-0.7831,24,0.63628,12,-0.4080,14,-0.2305,19,0.26596,11,-0.6102
ENSG00000120948,TARDBP,77,-0.0364,92,0.33189,59,-0.4687,65,-0.3088,71,-0.1762,54,-0.6066,85,0.12622,102,0.42128
ENSG00000271895,AL109811.2,25,0.53571,19,0.13135,2,-3.0371,7,-1.4613,34,1.08548,9,-0.9730,29,0.81858,14,-0.3255
ENSG00000116649,SRM,19,-1.6027,73,0.66813,18,-1.6582,27,-1.0844,84,0.71359,59,0.14649,71,0.44406,44,-0.3371
ENSG00000171824,EXOSC10,28,-0.3049,40,0.36672,15,-1.2535,26,-0.4313,47,0.52362,13,-1.4277,38,0.16549,52,0.69788
ENSG00000198793,MTOR,45,0.35189,46,0.50828,7,-2.3305,42,0.22952,61,0.85451,25,-0.6038,14,-1.4745,31,-0.2335
ENSG00000116661,FBXO2,73,-1.1965,172,0.16565,78,-1.1089,148,-0.1154,248,0.73084,192,0.30646,238,0.66095,97,-0.7700
ENSG00000132879,FBXO44,112,0.52607,107,0.59078,45,-0.9281,61,-0.4433,87,0.09979,78,-0.0652,77,-0.0847,34,-1.3469
ENSG00000116670,MAD2L2,7,-1.1005,11,-0.4631,30,1.20442,15,0.05489,10,-0.4869,6,-1.2710,16,0.11634,27,0.99472
ENSG00000177000,MTHFR,34,0.43916,23,-0.2359,45,0.90106,41,0.75132,11,-1.3201,6,-2.0996,23,-0.1807,30,0.23581
ENSG00000011021,CLCN6,76,0.03633,92,0.44704,66,-0.2038,81,0.12417,76,0.01977,86,0.22008,42,-0.8813,45,-0.7944
ENSG00000116685,KIAA2013,28,-0.3711,33,-0.1455,49,0.52900,17,-1.1305,38,0.11013,28,-0.3572,42,0.27998,54,0.66059
ENSG00000083444,PLOD1,11,-0.6946,16,-0.0643,7,-1.2822,35,1.21346,9,-0.9661,10,-0.7638,35,1.20738,13,-0.4123
ENSG00000116688,MFN2,108,-0.0382,139,0.49083,75,-0.6214,107,-0.0586,123,0.16602,107,-0.0603,94,-0.2647,79,-0.5414
ENSG00000116691,MIIP,19,0.69639,10,-0.3680,5,-1.2738,12,-0.0029,21,0.83519,5,-1.3956,20,0.74956,11,-0.1499
ENSG00000048707,VPS13D,96,0.45281,94,0.54938,47,-0.6742,71,-0.0426,84,0.22680,54,-0.4606,37,-1.0427,58,-0.3706
ENSG00000162496,DHRS3,18,-0.2357,20,-0.0858,0,-7.2234,12,-0.8208,29,0.49983,14,-0.6678,59,1.74638,20,-0.1074
ENSG00000116731,PRDM2,414,0.95249,196,-0.3527,441,1.06418,192,-0.3130,122,-1.0055,194,-0.2940,202,-0.2305,185,-0.3717
ENSG00000189337,KAZN,51,-0.2986,64,0.10260,39,-0.7053,56,-0.1355,59,-0.0625,57,-0.1212,55,-0.1682,103,0.85681
ENSG00000142634,EFHD2,163,0.83700,88,-0.2305,211,1.29527,137,0.53887,64,-0.6650,59,-0.7847,50,-1.0459,36,-1.5542
ENSG00000116138,DNAJC16,54,0.66031,43,0.40901,18,-1.0559,33,-0.1221,38,0.11961,20,-0.9245,31,-0.2115,34,-0.0985
ENSG00000197312,DDI2,58,0.64604,49,0.48727,22,-0.8880,47,0.29827,17,-1.2125,33,-0.2342,31,-0.3523,34,-0.2104
ENSG00000116786,PLEKHM2,65,-0.7860,80,-0.5589,113,0.09103,151,0.55851,128,0.29644,160,0.65645,137,0.39745,76,-0.5423
ENSG00000065526,SPEN,310,0.80884,114,-0.9649,280,0.63472,166,-0.2167,65,-1.6403,155,-0.3190,176,-0.1259,407,1.29324
ENSG00000116809,ZBTB17,20,-0.3327,16,-0.8314,43,0.88347,19,-0.4346,19,-0.4594,16,-0.6386,56,1.35686,29,0.23781
ENSG00000037637,FBXO42,23,0.34450,20,0.10063,2,-2.8357,25,0.42073,24,0.37639,14,-0.4082,24,0.37241,16,-0.2097
ENSG00000055070,SZRD1,20,-0.1923,14,-0.8401,0,-5.0224,35,0.69563,33,0.61356,11,-1.0590,27,0.27803,57,1.56679
ENSG00000157191,NECAP2,10,-0.6260,4,-2.0149,8,-0.8864,9,-0.7206,19,0.38388,10,-0.6107,52,2.27477,26,0.91255
ENSG00000219481,NBPF1,22,-0.0808,10,-1.4491,40,0.88116,22,-0.1151,11,-1.1347,21,-0.1586,25,0.08965,62,1.67521
