Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to12,Feature log2 fold change topic 6to12
ENSG00000228794,LINC01128,58,0.72761,14,-1.4361,18,-1.1889,45,0.80004
ENSG00000188976,NOC2L,58,0.35297,21,-1.2130,28,-0.8995,56,0.78285
ENSG00000188290,HES4,58,0.18427,54,0.07726,78,0.87332,39,-0.8349
ENSG00000187608,ISG15,58,-0.3037,150,1.23894,111,0.97091,43,-1.3181
ENSG00000188157,AGRN,58,1.14068,34,0.25422,23,-0.3930,26,-0.2961
ENSG00000078808,SDF4,58,-0.0374,54,-0.1387,58,-0.0428,61,0.08682
ENSG00000160087,UBE2J2,58,0.86497,14,-1.2833,38,0.21225,31,-0.2345
ENSG00000131584,ACAP3,66,-0.1410,85,0.27224,69,-0.0856,72,0.01509
ENSG00000127054,INTS11,58,0.71041,35,-0.0748,30,-0.3708,37,0.01650
ENSG00000107404,DVL1,58,0.29060,10,-2.2457,74,0.91549,41,-0.5137
ENSG00000175756,AURKAIP1,58,-1.4525,75,-1.0575,213,0.71141,148,-0.0616
ENSG00000221978,CCNL2,58,-0.0765,77,0.36859,32,-1.1138,71,0.61614
ENSG00000242485,MRPL20,85,-1.0523,59,-1.5822,205,0.39613,180,0.24312
ENSG00000235098,ANKRD65,58,1.07050,55,0.97481,30,-0.0105,22,-0.8364
ENSG00000205090,TMEM240,58,1.38706,4,-2.5547,19,-0.5086,26,0.11667
ENSG00000160075,SSU72,58,-1.4588,66,-1.2583,176,0.29820,166,0.34879
ENSG00000228594,FNDC10,58,0.87597,7,-2.3257,50,0.81436,27,-0.6607
ENSG00000197530,MIB2,58,0.93447,27,-0.2576,33,0.05499,29,-0.3462
ENSG00000248333,CDK11B,58,0.00989,134,1.40077,55,-0.0826,47,-0.5826
ENSG00000008128,CDK11A,58,0.54245,95,1.38107,45,0.18863,29,-0.9729
ENSG00000215790,SLC35E2A,58,1.04157,22,-0.5064,41,0.59571,23,-0.7911
ENSG00000008130,NADK,58,1.29040,16,-0.7290,28,0.13313,22,-0.4946
ENSG00000078369,GNB1,484,-0.1551,320,-0.7902,688,0.50968,506,-0.1799
ENSG00000187730,GABRD,58,-1.4405,13,-3.5488,114,-0.4996,197,1.25049
ENSG00000067606,PRKCZ,161,-0.3577,161,-0.3604,198,-0.0446,217,0.24156
ENSG00000162585,FAAP20,58,0.59733,43,0.13982,56,0.70094,30,-0.8531
ENSG00000157933,SKI,58,0.84931,52,0.68695,47,0.64097,23,-1.1333
ENSG00000157916,RER1,58,0.31316,24,-1.0096,47,-0.0210,49,0.14803
ENSG00000157870,PRXL2B,58,0.07877,13,-2.0872,74,0.60994,52,-0.1710
ENSG00000177133,PRDM16-DT,58,1.50725,5,-2.0878,49,1.72769,10,-2.0781
ENSG00000158109,TPRG1L,58,-1.7850,69,-1.5164,156,-0.3477,238,0.99327
ENSG00000130764,LRRC47,58,-0.4039,34,-1.2063,56,-0.5316,91,0.80932
ENSG00000116198,CEP104,58,0.83341,64,1.00830,27,-0.4685,30,-0.4169
ENSG00000196581,AJAP1,58,0.39541,23,-1.0198,42,-0.1445,48,0.21229
ENSG00000069424,KCNAB2,58,-1.8571,41,-2.3486,294,0.82870,199,0.01653
ENSG00000116254,CHD5,58,-1.9811,41,-2.4915,260,0.37552,243,0.46955
ENSG00000116251,RPL22,561,-0.0459,880,0.67866,848,0.79880,420,-0.9215
ENSG00000116237,ICMT,58,0.62154,8,-2.2735,26,-0.7389,46,0.68492
ENSG00000097021,ACOT7,144,-0.6473,30,-2.9753,114,-1.1525,301,1.54468
ENSG00000171680,PLEKHG5,58,1.38166,3,-2.9323,26,0.09958,23,-0.2915
ENSG00000162408,NOL9,58,0.93061,29,-0.1740,40,0.40876,26,-0.6531
ENSG00000162413,KLHL21,58,0.98813,38,0.30927,42,0.58612,22,-0.9958
ENSG00000007923,DNAJC11,58,0.68256,29,-0.4095,37,-0.0267,36,-0.1253
ENSG00000171735,CAMTA1,115,-1.7519,210,-0.8485,331,-0.1864,438,0.73080
ENSG00000049245,VAMP3,58,1.10689,96,2.03858,33,0.26426,14,-1.8591
ENSG00000049246,PER3,58,0.52504,77,0.99185,51,0.42679,30,-0.9405
ENSG00000116288,PARK7,396,0.17706,134,-1.4777,435,0.41458,344,-0.0931
ENSG00000116285,ERRFI1,58,0.94582,32,0.00768,23,-0.5634,32,-0.0008
ENSG00000162426,SLC45A1,58,1.35336,1,-3.9730,16,-0.8457,28,0.40320
ENSG00000142599,RERE,58,-1.4157,258,0.91519,165,0.22407,136,-0.2514
ENSG00000074800,ENO1,58,-3.1542,275,-0.8541,673,0.69422,487,0.04945
ENSG00000171612,SLC25A33,58,0.24145,62,0.35544,91,1.35080,29,-1.4471
