Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-1.8800,20,-0.5828,45,0.72009,44,1.20518,18,-0.7232,12,-1.2811
ENSG00000188976,NOC2L,22,-1.0996,49,0.20895,42,-0.0277,61,0.98509,18,-1.3225,31,-0.5180
ENSG00000188290,HES4,12,-1.5476,37,0.33219,21,-0.5806,32,0.12744,36,0.27837,58,1.07063
ENSG00000187608,ISG15,27,-0.5491,19,-1.0277,5,-2.8719,51,0.79572,43,0.21268,52,0.51366
ENSG00000188157,AGRN,29,0.36851,32,0.49744,11,-1.2127,25,0.14453,16,-0.5990,19,-0.3138
ENSG00000078808,SDF4,59,0.07572,48,-0.2533,62,0.16808,51,-0.2212,67,0.28783,63,0.18221
ENSG00000176022,B3GALT6,11,-0.6954,8,-1.1405,21,0.42820,21,0.67014,16,-0.0589,12,-0.4117
ENSG00000160087,UBE2J2,26,-0.2516,42,0.53072,23,-0.4349,32,0.14999,19,-0.7369,38,0.35602
ENSG00000131584,ACAP3,62,-0.0344,134,1.26032,67,0.09267,53,-0.4176,33,-1.0096,65,0.03829
ENSG00000127054,INTS11,32,-0.2879,37,-0.0383,27,-0.5194,42,0.24417,31,-0.3156,53,0.51819
ENSG00000224051,CPTP,11,-0.5323,3,-2.3119,6,-1.3352,23,1.20709,9,-0.8046,18,0.33044
ENSG00000107404,DVL1,32,-0.4710,31,-0.4835,22,-1.0120,44,0.11282,51,0.31422,76,0.99279
ENSG00000175756,AURKAIP1,102,-0.7551,72,-1.2180,67,-1.3265,214,0.82398,150,-0.0858,232,0.63191
ENSG00000221978,CCNL2,58,-0.0695,108,0.95335,85,0.56066,51,-0.3816,62,0.03920,29,-1.1158
ENSG00000242485,MRPL20,121,-0.2203,50,-1.5349,90,-0.6659,162,0.41908,190,0.52285,154,0.18283
ENSG00000235098,ANKRD65,46,0.59432,18,-0.9586,19,-0.8297,30,-0.2286,26,-0.3980,58,0.90948
ENSG00000179403,VWA1,173,3.13643,25,-1.0755,29,-0.8249,6,-3.6506,32,-0.6988,45,-0.1841
ENSG00000197785,ATAD3A,11,-0.5453,20,0.47131,18,0.27825,17,0.33549,9,-0.7759,12,-0.2824
ENSG00000205090,TMEM240,5,-2.1168,14,-0.4893,16,-0.3212,31,1.28990,17,-0.2360,17,-0.2676
ENSG00000160075,SSU72,75,-0.9220,81,-0.7343,84,-0.6753,180,0.89992,129,-0.0050,132,0.02762
ENSG00000228594,FNDC10,4,-2.6057,14,-0.5565,0,-4.6656,30,1.09197,38,1.05301,23,0.17759
ENSG00000272106,AL691432.2,17,0.30154,5,-1.6748,13,-0.1974,19,0.62433,5,-1.6283,15,0.01560
ENSG00000197530,MIB2,19,-0.7410,34,0.26763,27,-0.1178,29,0.00204,25,-0.1945,49,0.88421
ENSG00000248333,CDK11B,69,0.67209,60,0.34737,42,-0.2227,44,-0.2015,46,-0.0839,20,-1.3249
ENSG00000189339,SLC35E2B,16,-0.2315,25,0.46619,17,-0.1314,17,-0.1994,19,0.00784,25,0.44610
ENSG00000008128,CDK11A,36,0.54413,50,1.05350,23,-0.2380,21,-0.5106,20,-0.4110,17,-0.7134
ENSG00000215790,SLC35E2A,11,-0.6503,16,0.05362,19,0.30552,14,-0.2819,16,0.01484,30,1.01531
ENSG00000008130,NADK,17,-0.4057,23,0.03859,18,-0.2750,23,0.11779,16,-0.5192,36,0.80972
ENSG00000078369,GNB1,245,-1.0370,224,-1.0893,406,-0.1690,534,0.42970,610,0.49313,647,0.59219
ENSG00000187730,GABRD,2,-5.9562,84,-0.7262,46,-1.6313,261,2.44447,80,-0.7865,72,-0.9622
ENSG00000067606,PRKCZ,85,-1.4232,154,-0.4100,161,-0.3417,268,0.79165,256,0.40150,186,-0.1122
ENSG00000162585,FAAP20,34,0.06197,29,-0.2110,15,-1.2287,27,-0.4380,59,0.96583,50,0.69078
ENSG00000157933,SKI,27,0.48661,48,1.38764,8,-1.3916,15,-0.6668,9,-1.2038,28,0.46483
ENSG00000157916,RER1,74,0.31742,54,-0.2174,53,-0.2578,69,0.24546,37,-0.8130,55,-0.1803
ENSG00000157911,PEX10,39,0.92298,7,-1.7995,12,-1.0252,24,-0.0186,9,-1.5528,40,0.80246
ENSG00000149527,PLCH2,24,1.31144,6,-1.0265,0,-3.9360,13,0.15091,7,-0.8583,9,-0.4529
ENSG00000157881,PANK4,6,-1.0582,0,-7.4463,10,-0.2255,19,1.28933,3,-1.7943,19,0.71956
ENSG00000157870,PRXL2B,13,-1.7733,33,-0.2403,30,-0.4189,56,0.99007,35,-0.1621,43,0.13986
ENSG00000177133,PRDM16-DT,10,-1.1913,51,1.59492,2,-3.3660,8,-1.7732,22,0.14066,75,2.38374
ENSG00000158109,TPRG1L,43,-2.1457,94,-0.8571,129,-0.3625,244,1.17146,176,0.12293,164,0.01586
ENSG00000116213,WRAP73,10,-0.5180,27,1.13039,21,0.68242,12,-0.2284,6,-1.2305,13,-0.0567
ENSG00000130764,LRRC47,40,-0.8711,85,0.37295,57,-0.2511,87,0.67016,36,-0.9753,67,0.00533
ENSG00000116198,CEP104,81,1.39387,68,0.84067,47,0.24323,18,-1.5785,34,-0.2912,22,-0.9161
ENSG00000196581,AJAP1,19,-1.2224,49,0.37936,92,1.46760,41,0.11651,23,-0.7994,24,-0.7405
ENSG00000069424,KCNAB2,20,-3.3125,90,-0.9588,140,-0.2716,266,1.40483,122,-0.4954,210,0.37140
ENSG00000116254,CHD5,33,-2.4311,208,0.52512,263,0.92675,161,0.16719,199,0.45451,125,-0.2918
