Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to13,Feature log2 fold change topic 11to13
ENSG00000228794,LINC01128,7,-2.2042,27,-0.1767,35,0.28113,33,0.16734,46,0.76643,17,-0.8275,11,-1.4188,32,0.14850
ENSG00000188976,NOC2L,23,-1.0004,24,-0.9664,83,1.26886,41,-0.1463,46,0.01604,24,-0.9790,42,-0.1305,32,-0.6244
ENSG00000188290,HES4,22,-1.4062,84,0.66426,49,-0.2441,49,-0.1902,25,-1.2646,88,0.74123,55,-0.0231,76,0.61139
ENSG00000187608,ISG15,45,0.32251,53,0.60788,32,-0.2433,58,0.74945,8,-2.3171,54,0.61841,25,-0.5714,42,0.27359
ENSG00000188157,AGRN,36,0.34901,50,0.85972,30,0.07761,11,-1.4507,35,0.30044,20,-0.5235,24,-0.2812,25,-0.2564
ENSG00000078808,SDF4,64,0.27091,53,-0.0199,61,0.25337,35,-0.6430,59,0.16626,51,-0.0937,67,0.33929,42,-0.4373
ENSG00000176022,B3GALT6,11,-1.0324,51,1.31872,26,0.28210,5,-2.1249,24,0.07832,24,0.09735,35,0.69370,14,-0.8694
ENSG00000160087,UBE2J2,21,-0.4115,26,-0.1493,28,0.00982,22,-0.3736,21,-0.4811,23,-0.3415,50,0.91822,33,0.27063
ENSG00000131584,ACAP3,43,-0.4406,83,0.57364,42,-0.5499,25,-1.2630,59,0.04667,35,-0.7428,95,0.79086,74,0.49143
ENSG00000127054,INTS11,32,-0.2879,19,-1.0567,46,0.33494,63,0.76048,35,-0.1896,20,-0.9901,14,-1.5228,50,0.46905
ENSG00000224051,CPTP,13,-0.6501,18,-0.1984,27,0.53624,24,0.29138,15,-0.4717,26,0.36262,5,-1.9586,22,0.17106
ENSG00000107404,DVL1,34,-0.3832,56,0.37279,18,-1.4966,29,-0.6128,22,-1.1371,80,0.96452,70,0.72919,68,0.88917
ENSG00000175756,AURKAIP1,137,-0.5504,78,-1.3950,246,0.44635,184,-0.0914,154,-0.3986,229,0.25117,173,-0.1922,232,0.32631
ENSG00000221978,CCNL2,54,0.12713,112,1.31403,54,0.12779,52,0.04948,35,-0.6004,28,-0.8760,50,-0.0117,41,-0.3378
ENSG00000242485,MRPL20,122,-0.5709,128,-0.4933,187,0.10460,131,-0.4588,114,-0.7149,181,0.03951,264,0.64163,227,0.48888
ENSG00000235098,ANKRD65,19,-0.3639,19,-0.3276,19,-0.4654,34,0.55463,19,-0.3757,27,0.16003,41,0.84321,26,0.16149
ENSG00000179403,VWA1,152,3.17118,10,-1.4711,13,-1.2690,0,-8.0822,18,-0.6519,30,0.15445,70,1.56104,5,-2.6679
ENSG00000205090,TMEM240,6,-2.0808,23,-0.0868,23,-0.1067,22,-0.1610,38,0.80335,12,-0.9965,13,-0.8559,31,0.48488
ENSG00000160075,SSU72,83,-0.9059,88,-0.8100,178,0.33564,180,0.28629,106,-0.5728,129,-0.2351,132,-0.1890,196,0.52844
ENSG00000228594,FNDC10,3,-2.8552,9,-1.3404,30,0.47569,55,1.38264,15,-0.7575,21,-0.1910,9,-1.3280,29,0.42142
ENSG00000272106,AL691432.2,18,-0.1007,18,-0.0948,15,-0.4125,15,-0.4062,23,0.33241,3,-2.6635,0,-6.7995,35,1.22622
ENSG00000197530,MIB2,14,-1.2428,29,-0.1422,30,-0.0610,41,0.42819,35,0.17501,19,-0.7259,47,0.62661,33,0.06881
ENSG00000248333,CDK11B,60,0.17909,89,0.81004,43,-0.4020,76,0.54943,67,0.37917,57,0.08710,46,-0.2437,36,-0.7179
ENSG00000189339,SLC35E2B,13,-0.7672,21,-0.0663,24,0.20196,39,0.91053,21,-0.0506,30,0.46993,6,-1.7930,20,-0.1629
ENSG00000008128,CDK11A,52,1.24418,39,0.75544,20,-0.2984,28,0.21375,21,-0.2571,25,0.07092,0,-6.6699,22,-0.1379
ENSG00000008130,NADK,12,-0.7314,8,-1.3200,19,-0.0304,12,-0.6742,23,0.29128,27,0.54462,38,1.06266,17,-0.2219
ENSG00000078369,GNB1,219,-1.3205,385,-0.4709,472,-0.1865,567,0.12961,452,-0.2416,596,0.20812,602,0.22457,699,0.57596
ENSG00000187730,GABRD,4,-5.6784,120,-0.7554,328,1.06755,370,1.02601,209,0.11234,65,-1.6572,28,-2.9090,186,-0.0953
ENSG00000067606,PRKCZ,64,-1.6123,100,-0.9381,198,0.12922,180,-0.0430,168,-0.1641,101,-0.9225,247,0.45621,261,0.68635
ENSG00000162585,FAAP20,38,0.17057,46,0.46635,27,-0.3940,62,0.95246,13,-1.4943,43,0.37345,31,-0.1451,38,0.21396
ENSG00000157933,SKI,19,-0.5219,60,1.29525,13,-1.2247,37,0.50794,22,-0.3334,60,1.31090,12,-1.1472,26,-0.0725
ENSG00000157916,RER1,70,0.36756,36,-0.6769,78,0.66736,64,0.22236,29,-1.0283,68,0.32029,28,-1.0391,55,-0.0306
ENSG00000157911,PEX10,34,0.84764,18,-0.1769,21,0.09589,13,-0.6905,10,-1.1208,40,1.10714,15,-0.3905,19,-0.0894
ENSG00000157870,PRXL2B,2,-4.1253,32,-0.0435,45,0.57272,20,-0.7953,32,-0.0876,30,-0.1673,25,-0.4578,42,0.47104
ENSG00000158109,TPRG1L,29,-2.6255,88,-1.0019,223,0.54149,140,-0.2855,153,-0.1622,132,-0.3825,171,0.02040,221,0.52153
ENSG00000130764,LRRC47,45,-0.6506,36,-0.9750,100,0.74892,89,0.40718,70,0.04007,60,-0.2066,38,-0.9126,62,-0.2007
ENSG00000116198,CEP104,62,1.18190,75,1.49753,14,-1.3057,29,-0.0256,26,-0.2184,26,-0.1910,40,0.43958,21,-0.6350
ENSG00000196581,AJAP1,20,-1.2435,54,0.24963,32,-0.6322,61,0.43696,89,1.20440,21,-1.1825,11,-2.1229,53,0.24934
ENSG00000069424,KCNAB2,15,-3.6731,91,-1.0631,242,0.54995,104,-0.8579,174,-0.0872,177,-0.0535,179,-0.0312,246,0.58372
ENSG00000116254,CHD5,34,-2.6887,354,0.84634,163,-0.4454,327,0.71641,310,0.70268,129,-0.7384,129,-0.7380,210,0.01370
ENSG00000116251,RPL22,1155,0.74924,556,-0.4067,350,-1.2549,582,-0.3376,547,-0.4650,906,0.35485,1558,1.25250,834,0.27341
ENSG00000116237,ICMT,14,-1.5024,28,-0.5240,52,0.54153,42,0.11945,41,0.07796,23,-0.8388,44,0.18690,40,0.05437
ENSG00000097021,ACOT7,66,-1.8634,69,-1.7852,456,1.52279,118,-1.0003,214,-0.0987,67,-1.8308,148,-0.6626,229,0.01814
ENSG00000215788,TNFRSF25,2,-2.7354,61,2.12683,16,-0.1859,6,-1.6381,12,-0.5476,6,-1.6138,9,-0.9141,23,0.55930
ENSG00000171680,PLEKHG5,5,-1.9872,26,0.49862,19,-0.0005,19,-0.0082,18,-0.1197,14,-0.5067,1,-4.3946,31,0.93287
ENSG00000162408,NOL9,9,-1.2685,28,0.46057,20,-0.0255,12,-0.7691,21,0.05291,19,-0.0921,33,0.75210,21,0.03545
ENSG00000162413,KLHL21,28,0.24535,18,-0.4166,25,0.10888,35,0.64040,12,-1.1106,16,-0.6032,38,0.77063,24,0.05653
ENSG00000041988,THAP3,15,-0.2628,7,-1.3838,22,0.47767,40,1.34763,9,-1.0018,23,0.43694,0,-7.2272,19,0.14673
ENSG00000007923,DNAJC11,18,-0.4430,21,-0.1985,17,-0.5864,25,0.09087,31,0.48037,28,0.23436,43,0.92564,20,-0.2791
ENSG00000171735,CAMTA1,154,-1.2859,376,0.06926,369,0.04566,806,1.31965,458,0.42173,257,-0.5202,194,-0.9465,289,-0.3954
ENSG00000049245,VAMP3,206,3.39617,15,-1.1527,8,-2.2275,6,-2.5347,24,-0.5488,41,0.31715,56,0.81877,13,-1.6113
ENSG00000049246,PER3,65,0.80494,67,0.85155,20,-1.1282,27,-0.5556,52,0.46508,62,0.71135,23,-0.8256,34,-0.2426
ENSG00000116288,PARK7,193,-1.0514,195,-1.0429,454,0.31546,396,0.04293,308,-0.3735,430,0.17275,402,0.06606,472,0.39152
ENSG00000116285,ERRFI1,20,-0.2948,36,0.60700,38,0.91800,32,0.42037,12,-1.0879,17,-0.5239,21,-0.2322,17,-0.6357
ENSG00000162426,SLC45A1,8,-1.9587,26,-0.1493,58,1.48795,15,-0.9971,33,0.22991,18,-0.7065,6,-2.2313,21,-0.5473
ENSG00000142599,RERE,159,0.33358,227,0.90714,92,-0.6018,132,0.04281,124,-0.0678,110,-0.2380,88,-0.5772,145,0.22036
ENSG00000074800,ENO1,340,-0.5290,222,-1.1723,645,0.58427,378,-0.3679,422,-0.2157,1051,1.28206,289,-0.7777,392,-0.3679
ENSG00000171612,SLC25A33,13,-1.7015,27,-0.6725,35,-0.3065,27,-0.6731,12,-1.8989,141,2.06040,50,0.29714,51,0.39685
ENSG00000171603,CLSTN1,133,-2.4639,494,-0.5201,991,0.71963,728,0.08033,1054,0.75156,324,-1.1561,428,-0.7351,601,-0.2587
ENSG00000178585,CTNNBIP1,18,-0.7665,32,0.13501,28,-0.1211,30,0.04701,12,-1.4646,46,0.69621,78,1.60140,24,-0.3418
ENSG00000162441,LZIC,107,0.84129,48,-0.4125,37,-0.9228,81,0.39433,49,-0.4291,99,0.72051,77,0.31558,66,0.09101
ENSG00000130939,UBE4B,31,-0.4260,53,0.38502,49,0.31796,44,0.09536,43,0.07957,27,-0.6571,55,0.45332,31,-0.4925
ENSG00000054523,KIF1B,488,0.66613,379,0.26069,302,-0.1171,266,-0.2915,401,0.38675,275,-0.2421,331,0.04591,243,-0.5009
ENSG00000142657,PGD,38,-0.7096,37,-0.7456,82,0.60163,124,1.16301,41,-0.6255,53,-0.1902,65,0.12279,46,-0.4761
ENSG00000241563,CORT,4,-4.8759,49,-1.1996,66,-0.8743,125,0.22412,13,-3.2508,40,-1.5101,22,-2.3526,315,2.75603
ENSG00000160049,DFFA,100,0.88823,62,0.12428,46,-0.4193,55,-0.0843,45,-0.3906,66,0.20608,80,0.52254,53,-0.1692
ENSG00000142655,PEX14,6,-1.5692,9,-1.0976,25,0.60839,13,-0.4764,21,0.23886,6,-1.6468,13,-0.5285,24,0.56688
ENSG00000120948,TARDBP,108,0.51303,118,0.65665,66,-0.2897,71,-0.1395,104,0.50253,72,-0.1194,31,-1.3783,68,-0.2353
ENSG00000116649,SRM,42,-0.5540,60,-0.0082,67,0.17638,54,-0.1926,56,-0.1343,65,0.10846,40,-0.6409,72,0.32648
ENSG00000171824,EXOSC10,59,0.71105,84,1.30511,39,0.04660,36,-0.0559,33,-0.2019,35,-0.1051,21,-0.8908,24,-0.7995
ENSG00000198793,MTOR,20,-1.2579,44,-0.0771,61,0.55685,42,-0.1486,61,0.47611,46,-0.0198,31,-0.6260,37,-0.3740
ENSG00000116661,FBXO2,76,-1.1695,79,-1.1101,187,0.25466,74,-1.1978,72,-1.3161,361,1.28677,122,-0.4562,238,0.74259
ENSG00000132879,FBXO44,29,-1.7574,70,-0.4433,126,0.60804,62,-0.6090,91,-0.0332,55,-0.7916,61,-0.6540,123,0.55228
ENSG00000011021,CLCN6,20,-1.5821,54,-0.0950,76,0.55604,71,0.33815,48,-0.2793,38,-0.6104,47,-0.3085,63,0.18322
ENSG00000116685,KIAA2013,48,0.81920,35,0.28677,27,-0.1255,31,0.14068,28,-0.0638,31,0.13660,40,0.50255,18,-0.8578
ENSG00000083444,PLOD1,28,0.89408,24,0.62080,14,-0.2960,21,0.42868,14,-0.2761,41,1.52052,4,-2.1121,8,-1.2401
ENSG00000116688,MFN2,52,-1.0207,89,-0.2106,130,0.47872,124,0.31867,92,-0.1685,61,-0.7865,97,-0.0676,108,0.11663
ENSG00000048707,VPS13D,23,-1.5817,82,0.33730,81,0.39313,80,0.30942,112,0.95798,67,0.01377,39,-0.7965,33,-1.1784
ENSG00000116731,PRDM2,126,-0.9077,359,0.71771,161,-0.6353,327,0.56600,412,1.07231,120,-0.9869,144,-0.7163,199,-0.2626
ENSG00000189337,KAZN,95,0.46451,81,0.20812,88,0.43725,92,0.41489,26,-1.5922,49,-0.5610,100,0.54495,62,-0.2499
ENSG00000142634,EFHD2,20,-2.0361,17,-2.2568,103,0.51445,74,-0.1015,84,0.10973,30,-1.4675,354,2.65580,18,-2.4137
ENSG00000116138,DNAJC16,17,-1.1016,33,-0.0797,51,0.76979,35,0.01232,41,0.28217,25,-0.5137,26,-0.4498,27,-0.4518
ENSG00000197312,DDI2,21,-0.8903,34,-0.1892,55,0.70679,46,0.28476,51,0.48443,30,-0.3820,28,-0.4958,25,-0.7732
ENSG00000116786,PLEKHM2,73,-0.4433,56,-0.8378,54,-1.0204,189,1.06804,68,-0.5923,78,-0.3499,140,0.57342,144,0.78536
ENSG00000065526,SPEN,270,0.65903,389,1.27388,81,-1.3460,296,0.81131,312,1.01791,114,-0.6906,86,-1.1003,98,-1.0407
ENSG00000116809,ZBTB17,22,0.29320,17,-0.1390,17,-0.1336,27,0.60629,12,-0.6254,35,1.01593,6,-1.6063,18,0.02122
ENSG00000037637,FBXO42,14,-0.3511,24,0.40881,25,0.62093,20,0.18435,10,-0.9406,9,-1.0259,30,0.80490,14,-0.4125
ENSG00000055070,SZRD1,58,1.36598,30,0.30675,9,-1.6622,13,-0.9382,17,-0.6054,61,1.45688,21,-0.2446,26,0.09647
ENSG00000159363,ATP13A2,15,-2.8078,59,-0.8450,191,1.30207,135,0.42698,75,-0.5346,87,-0.2707,78,-0.4235,82,-0.4183
ENSG00000117118,SDHB,60,-0.5655,28,-1.7169,125,0.71813,85,-0.0409,60,-0.6121,70,-0.3354,93,0.10729,100,0.27238
ENSG00000117115,PADI2,352,3.52992,16,-1.8414,8,-3.0342,8,-2.8543,31,-0.9406,87,0.73156,128,1.38076,12,-2.4022
ENSG00000179051,RCC2,16,-0.4815,30,0.47271,28,0.45449,22,-0.0173,11,-1.1106,28,0.35911,15,-0.5547,23,0.11100
ENSG00000117154,IGSF21,28,-1.4481,23,-1.7500,88,0.34389,34,-1.1617,112,0.75708,49,-0.6245,96,0.43132,78,0.13008
ENSG00000159423,ALDH4A1,21,0.20322,6,-1.6327,10,-0.9938,1,-3.7390,6,-1.7169,73,2.40178,18,-0.0468,25,0.62536
ENSG00000127481,UBR4,29,-0.3819,86,1.39153,43,0.29071,29,-0.3399,44,0.31627,22,-0.7803,23,-0.7193,24,-0.7518
ENSG00000127463,EMC1,17,-0.9045,40,0.43820,37,0.39965,35,0.23720,35,0.23906,33,0.11193,24,-0.3499,21,-0.6310
ENSG00000053372,MRTO4,19,-1.1593,40,-0.0356,35,-0.2953,25,-0.7463,47,0.22460,39,-0.0832,55,0.44204,53,0.48167
ENSG00000053371,AKR7A2,31,0.19413,11,-1.3865,28,0.05148,20,-0.4536,18,-0.6268,81,1.81344,16,-0.7507,24,-0.1877
ENSG00000077549,CAPZB,157,-0.6101,188,-0.3324,299,0.47927,206,-0.1923,220,-0.0999,203,-0.2182,198,-0.2544,249,0.12191
ENSG00000173436,MICOS10,289,-0.3634,141,-1.4391,314,-0.2792,274,-0.4471,210,-0.9043,341,-0.1105,881,1.44791,489,0.56983
ENSG00000158747,NBL1,47,-1.6886,129,-0.1775,169,0.29715,71,-1.0722,140,-0.0510,151,0.06905,134,-0.1112,186,0.49672
ENSG00000169914,OTUD3,9,-1.1787,27,0.43848,16,-0.4007,40,1.08282,31,0.76952,6,-1.6876,19,-0.0885,17,-0.3239
ENSG00000162545,CAMK2N1,1085,-1.0499,1735,-0.3382,724,-1.8361,1024,-1.1373,2230,0.05586,3569,0.80666,1212,-0.8835,4266,1.48280
ENSG00000090432,MUL1,13,-0.6889,16,-0.4153,21,0.06280,48,1.35271,31,0.68981,12,-0.7527,25,0.29418,10,-1.2594
ENSG00000158828,PINK1,150,-1.8176,232,-1.1689,697,0.65982,525,0.07407,383,-0.4442,309,-0.7410,846,0.84282,528,0.10205
ENSG00000244038,DDOST,24,-0.4630,32,0.01441,40,0.42984,20,-0.7012,34,0.11082,34,0.11056,29,-0.1676,29,-0.1480
ENSG00000117245,KIF17,1,-4.0419,8,-1.7440,38,0.71061,24,-0.1769,37,0.56801,3,-3.2150,51,1.04249,24,-0.2180
ENSG00000189410,SH2D5,0,-8.5446,29,-0.3234,39,0.18789,52,0.60579,43,0.32822,21,-0.7592,18,-0.9798,46,0.49245
ENSG00000127483,HP1BP3,480,0.95458,478,0.94864,162,-0.8629,430,0.77498,327,0.36355,283,0.10511,137,-1.0105,166,-0.8292
ENSG00000075151,EIF4G3,296,-0.3081,399,0.15411,443,0.39261,665,0.98185,533,0.68952,161,-1.2259,122,-1.6375,221,-0.8702
ENSG00000076864,RAP1GAP,30,-2.0029,53,-1.1425,145,0.47156,98,-0.2291,162,0.62913,50,-1.2310,182,0.75361,101,-0.2082
ENSG00000090686,USP48,132,0.84723,111,0.56727,63,-0.3715,128,0.80041,91,0.27489,40,-1.0128,31,-1.3726,65,-0.3215
