Feature ID,Feature Name,Feature count topic 1to10,Feature log2 fold change topic 1to10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,45,1.25360,19,-1.2536
ENSG00000188976,NOC2L,53,0.97707,27,-0.9770
ENSG00000188290,HES4,37,-0.2437,44,0.24370
ENSG00000187608,ISG15,38,-0.3379,49,0.33797
ENSG00000188157,AGRN,16,-0.7465,28,0.74659
ENSG00000078808,SDF4,55,-0.2448,65,0.24488
ENSG00000176022,B3GALT6,22,0.28452,18,-0.2845
ENSG00000160087,UBE2J2,35,0.40913,26,-0.4091
ENSG00000131584,ACAP3,69,0.24471,58,-0.2447
ENSG00000127054,INTS11,36,-0.0561,38,0.05617
ENSG00000224051,CPTP,18,1.33577,7,-1.3357
ENSG00000107404,DVL1,49,-0.4065,65,0.40658
ENSG00000175756,AURKAIP1,149,0.58563,99,-0.5856
ENSG00000221978,CCNL2,53,-0.6654,84,0.66549
ENSG00000242485,MRPL20,129,0.18363,114,-0.1836
ENSG00000235098,ANKRD65,24,-0.0528,25,0.05287
ENSG00000179403,VWA1,11,-2.7389,77,2.73891
ENSG00000205090,TMEM240,31,1.23937,13,-1.2393
ENSG00000160075,SSU72,133,0.85234,73,-0.8523
ENSG00000228594,FNDC10,28,0.52071,20,-0.5207
ENSG00000272106,AL691432.2,19,0.12397,18,-0.1239
ENSG00000197530,MIB2,30,0.50322,21,-0.5032
ENSG00000248333,CDK11B,34,-0.9291,64,0.92919
ENSG00000189339,SLC35E2B,19,0.16562,16,-0.1656
ENSG00000008128,CDK11A,20,-0.6547,32,0.65474
ENSG00000215790,SLC35E2A,30,-0.3493,39,0.34938
ENSG00000008130,NADK,24,0.19479,21,-0.1947
ENSG00000078369,GNB1,551,0.67929,344,-0.6792
ENSG00000187730,GABRD,197,3.08394,23,-3.0839
ENSG00000067606,PRKCZ,189,0.81806,107,-0.8180
ENSG00000162585,FAAP20,26,-0.2137,31,0.21372
ENSG00000157933,SKI,28,-1.1837,65,1.18375
ENSG00000157916,RER1,48,-0.1048,51,0.10482
ENSG00000157911,PEX10,17,-0.9415,33,0.94156
ENSG00000149527,PLCH2,12,-0.8114,21,0.81143
ENSG00000157881,PANK4,17,1.49956,6,-1.4995
ENSG00000157870,PRXL2B,51,1.24107,21,-1.2410
