Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,20,-0.7572,2,-3.9378,30,-0.0946,43,0.45820,63,1.11216,30,-0.1179,35,0.15827
ENSG00000188976,NOC2L,32,-0.8543,9,-2.7368,33,-0.7834,34,-0.7335,96,0.92464,57,0.07116,77,0.75815
ENSG00000188290,HES4,9,-2.2934,10,-2.0914,104,1.57983,12,-1.9150,63,0.68468,52,0.42378,38,-0.1993
ENSG00000187608,ISG15,1,-4.4240,44,0.46181,54,0.79402,2,-4.1467,11,-1.6286,66,1.40042,29,-0.2708
ENSG00000188157,AGRN,24,0.04242,18,-0.4266,30,0.37021,13,-0.8566,42,0.93928,22,-0.1129,22,-0.1821
ENSG00000078808,SDF4,77,0.47311,47,-0.3284,55,-0.0746,30,-1.0047,67,0.24012,49,-0.2778,68,0.33064
ENSG00000176022,B3GALT6,17,-0.3050,3,-2.8806,27,0.38509,14,-0.6911,27,0.35175,25,0.29763,25,0.34376
ENSG00000160087,UBE2J2,19,-0.8294,11,-1.6816,29,-0.2253,8,-2.1804,65,1.10520,41,0.40081,40,0.36647
ENSG00000131584,ACAP3,80,0.00896,50,-0.7031,141,0.96218,55,-0.5636,168,1.27331,61,-0.4691,59,-0.5784
ENSG00000127054,INTS11,29,-0.5769,29,-0.6099,41,-0.0429,30,-0.5296,89,1.24355,48,0.22633,37,-0.2909
ENSG00000107404,DVL1,36,-0.6540,20,-1.5136,142,1.63866,37,-0.6048,43,-0.3698,69,0.41015,44,-0.4175
ENSG00000175756,AURKAIP1,123,-0.6797,110,-0.8508,184,-0.0436,122,-0.6911,147,-0.4013,257,0.57737,231,0.43053
ENSG00000221978,CCNL2,56,0.07346,44,-0.3268,47,-0.2272,48,-0.1834,98,1.00103,33,-0.8382,60,0.22368
ENSG00000242485,MRPL20,106,-0.6565,69,-1.2968,157,-0.0371,93,-0.8502,111,-0.5775,246,0.82220,192,0.38792
ENSG00000235098,ANKRD65,46,0.51148,15,-1.2136,59,0.92905,12,-1.5704,28,-0.3134,39,0.28563,33,-0.0607
ENSG00000179403,VWA1,196,3.75766,33,0.03546,26,-0.3135,1,-4.5667,20,-0.7152,13,-1.4336,6,-2.6852
ENSG00000205090,TMEM240,1,-4.3281,6,-2.1577,32,0.41646,16,-0.6506,55,1.35787,24,-0.0156,29,0.36109
ENSG00000160075,SSU72,61,-1.2280,77,-0.8879,164,0.30617,88,-0.6783,130,-0.0696,173,0.44766,164,0.40708
ENSG00000228594,FNDC10,22,-0.4678,2,-4.0389,34,0.24535,7,-2.1518,30,0.00455,50,0.99905,34,0.29543
ENSG00000197530,MIB2,20,-0.9816,35,-0.1283,48,0.38601,14,-1.4518,49,0.43010,42,0.17854,42,0.25187
ENSG00000248333,CDK11B,108,0.41346,163,1.11845,83,-0.0052,128,0.70945,73,-0.2008,55,-0.6987,56,-0.7623
ENSG00000008128,CDK11A,81,1.13869,108,1.68005,31,-0.4500,41,0.00293,44,0.10180,22,-1.0514,20,-1.2653
ENSG00000215790,SLC35E2A,19,-0.4170,3,-2.9112,41,0.80122,17,-0.5869,21,-0.2925,32,0.46247,28,0.25350
ENSG00000008130,NADK,25,0.34152,5,-2.0499,27,0.48874,27,0.47434,9,-1.1133,17,-0.2323,24,0.37684
ENSG00000078369,GNB1,260,-1.0053,164,-1.7015,843,0.87681,386,-0.4006,344,-0.5807,721,0.70793,511,0.05669
ENSG00000187730,GABRD,10,-4.0430,6,-4.7362,96,-0.7797,162,0.03406,172,0.13216,193,0.35960,251,1.07687
ENSG00000067606,PRKCZ,72,-1.5436,79,-1.4183,153,-0.4087,175,-0.1980,223,0.19321,297,0.77270,228,0.30279
ENSG00000162585,FAAP20,43,0.19216,44,0.25448,94,1.55803,16,-1.3056,21,-0.9226,44,0.29232,24,-0.8598
ENSG00000157933,SKI,23,-0.4011,36,0.30055,51,0.88229,47,0.74573,67,1.38569,23,-0.4063,9,-2.0933
ENSG00000157916,RER1,61,0.23816,20,-1.4568,50,-0.0743,37,-0.5522,54,0.03134,50,-0.1146,69,0.57566
ENSG00000157911,PEX10,37,0.54171,29,0.11816,29,0.12196,13,-1.0793,33,0.36968,22,-0.3309,27,0.02734
ENSG00000157870,PRXL2B,5,-3.1403,14,-1.6328,85,1.23294,9,-2.1922,43,0.06834,48,0.31251,52,0.52157
ENSG00000158109,TPRG1L,63,-1.6460,42,-2.2401,165,-0.1837,178,-0.0649,201,0.13762,242,0.50652,238,0.55648
ENSG00000130764,LRRC47,18,-2.0018,10,-2.8912,52,-0.4439,99,0.60479,82,0.28896,77,0.21561,90,0.59934
ENSG00000116198,CEP104,57,0.51060,130,2.00601,23,-0.9248,50,0.30343,31,-0.4697,27,-0.7222,24,-1.0345
ENSG00000196581,AJAP1,23,-1.0314,19,-1.2997,41,-0.1168,120,1.71016,59,0.45075,19,-1.4131,49,0.18786
ENSG00000069424,KCNAB2,22,-3.4782,47,-2.3946,306,0.46196,217,-0.0942,283,0.33610,299,0.49156,276,0.38824
ENSG00000116254,CHD5,63,-2.1677,90,-1.6337,322,0.33450,507,1.11139,384,0.63149,271,0.06495,236,-0.2076
ENSG00000116251,RPL22,674,0.04133,1289,1.13602,876,0.47059,594,-0.1591,339,-1.0297,794,0.35095,402,-0.9281
ENSG00000116237,ICMT,32,0.05838,7,-2.2412,33,0.09559,7,-2.1677,7,-2.2725,44,0.65909,46,0.86021
ENSG00000097021,ACOT7,59,-2.1995,41,-2.7401,111,-1.2688,129,-1.0522,239,-0.0955,278,0.17050,466,1.51957
ENSG00000171680,PLEKHG5,2,-3.2199,3,-3.0746,39,0.78142,13,-0.9452,50,1.22188,18,-0.4717,32,0.64777
ENSG00000162408,NOL9,18,-0.2959,21,-0.0474,24,0.20692,5,-2.0679,14,-0.6832,38,1.09235,19,-0.2270
ENSG00000162413,KLHL21,16,-0.3301,8,-1.4307,17,-0.2795,9,-1.2445,23,0.21205,28,0.66199,23,0.34882
ENSG00000041988,THAP3,3,-2.5789,13,-0.5988,23,0.23411,14,-0.5284,29,0.58048,20,-0.0156,26,0.54991
ENSG00000007923,DNAJC11,16,-0.8874,16,-0.9039,22,-0.4232,25,-0.2564,42,0.56784,42,0.64613,30,0.02083
ENSG00000171735,CAMTA1,197,-0.8524,170,-1.0749,345,0.02461,573,0.86705,306,-0.1690,352,0.06407,368,0.16619
ENSG00000049245,VAMP3,122,2.52274,93,1.92323,28,-0.1489,10,-1.6223,9,-1.8995,11,-1.6051,8,-2.2423
ENSG00000049246,PER3,43,0.92956,36,0.65171,36,0.62733,27,0.18796,41,0.85853,10,-1.4916,13,-1.0800
ENSG00000116288,PARK7,141,-1.3315,181,-0.9557,361,0.11844,201,-0.7957,197,-0.8311,462,0.60569,448,0.64569
ENSG00000162426,SLC45A1,10,-1.4659,7,-1.8987,13,-1.0977,3,-3.2546,41,0.74416,20,-0.4304,49,1.55946
ENSG00000142599,RERE,235,0.59346,285,0.92381,153,-0.1064,281,0.89930,175,0.11025,106,-0.7393,98,-0.9675
ENSG00000074800,ENO1,208,-1.2347,255,-0.9268,624,0.49263,267,-0.8576,360,-0.3918,368,-0.3963,722,1.04342
ENSG00000171612,SLC25A33,22,0.20514,15,-0.3983,53,1.79232,0,-6.7715,1,-3.7604,11,-0.9482,26,0.67908
ENSG00000171603,CLSTN1,224,-1.7968,196,-1.9938,414,-0.8744,857,0.26979,889,0.32993,614,-0.2925,1147,1.07527
ENSG00000178585,CTNNBIP1,41,0.44033,12,-1.4268,55,0.93200,13,-1.3544,19,-0.8075,48,0.82349,26,-0.3909
ENSG00000162441,LZIC,116,1.06724,120,1.13275,77,0.38196,58,-0.0900,37,-0.7720,57,-0.1234,30,-1.3202
ENSG00000130939,UBE4B,59,0.48965,16,-1.4822,19,-1.2826,28,-0.6787,80,1.02161,42,-0.0479,49,0.26170
ENSG00000054523,KIF1B,610,0.65095,505,0.33682,311,-0.4401,627,0.69632,368,-0.1735,375,-0.1598,311,-0.5405
ENSG00000142657,PGD,41,-0.5269,22,-1.4836,63,0.13926,43,-0.4728,25,-1.2976,72,0.39922,80,0.73205
ENSG00000241563,CORT,264,2.52672,1,-6.1500,47,-0.5626,36,-0.9790,27,-1.3891,69,0.04285,54,-0.4463
ENSG00000160049,DFFA,155,1.45629,96,0.60709,68,0.05264,87,0.45212,63,-0.0861,37,-0.9974,39,-0.9625
ENSG00000142655,PEX14,8,-1.4327,10,-1.1149,14,-0.5884,9,-1.2496,42,1.18550,17,-0.3104,30,0.80814
ENSG00000120948,TARDBP,111,0.67455,70,-0.0697,74,0.01044,90,0.33346,95,0.42089,42,-0.9555,70,-0.0940
ENSG00000116649,SRM,54,-0.2362,35,-0.8969,97,0.69984,46,-0.5030,30,-1.1537,70,0.19685,76,0.40238
ENSG00000171824,EXOSC10,67,0.92317,32,-0.2983,38,-0.0285,34,-0.1791,97,1.58143,12,-1.9055,31,-0.4137
ENSG00000198793,MTOR,38,-0.1128,10,-2.0640,14,-1.6261,33,-0.3365,26,-0.6882,40,-0.0573,70,1.26337
ENSG00000116661,FBXO2,57,-1.8823,99,-1.0690,472,1.50357,36,-2.5535,99,-1.0621,244,0.39745,239,0.41764
ENSG00000132879,FBXO44,17,-2.8108,34,-1.7975,99,-0.1938,80,-0.5168,178,0.77090,107,-0.0833,165,0.88938
ENSG00000011021,CLCN6,34,-0.8777,24,-1.3741,71,0.25856,24,-1.4052,97,0.78699,67,0.19621,73,0.39710
ENSG00000116685,KIAA2013,37,0.32041,19,-0.7602,20,-0.6257,32,0.06401,56,0.99718,30,0.00484,27,-0.2620
ENSG00000116688,MFN2,81,-0.4350,100,-0.0971,77,-0.5086,75,-0.5513,88,-0.2972,95,-0.1996,151,0.78833
ENSG00000048707,VPS13D,66,-0.1189,42,-0.8210,61,-0.2517,70,-0.0211,72,0.00355,69,-0.0725,89,0.46483
ENSG00000116731,PRDM2,166,-0.7303,277,0.07076,196,-0.4712,681,1.63714,304,0.22085,225,-0.2843,191,-0.6312
ENSG00000189337,KAZN,141,1.22917,32,-1.1736,44,-0.6866,39,-0.8655,42,-0.7585,83,0.37867,72,0.11779
ENSG00000142634,EFHD2,41,-1.6214,92,-0.4066,54,-1.2174,184,0.72110,113,-0.0835,134,0.21494,146,0.43963
ENSG00000116138,DNAJC16,20,-0.5786,5,-2.5908,6,-2.2262,39,0.45359,54,1.01482,32,0.16032,35,0.36506
ENSG00000197312,DDI2,26,-0.3800,17,-1.0310,35,0.06876,36,0.14140,62,1.05298,27,-0.3685,34,0.04540
ENSG00000116786,PLEKHM2,60,-1.2554,134,-0.0259,214,0.73964,89,-0.6778,93,-0.6006,253,1.23128,90,-0.7996
ENSG00000065526,SPEN,427,1.33271,343,0.93800,159,-0.3248,418,1.29210,214,0.14814,78,-1.5135,78,-1.6479
ENSG00000116809,ZBTB17,31,0.64503,16,-0.4059,22,0.07659,12,-0.8965,44,1.22887,27,0.42930,11,-1.2252
ENSG00000055070,SZRD1,21,-0.2042,42,0.91897,47,1.11975,20,-0.2643,22,-0.1623,25,0.03762,13,-1.1196
ENSG00000159363,ATP13A2,36,-1.7267,33,-1.8512,86,-0.4153,60,-0.9581,126,0.19141,134,0.32575,170,0.96475
