Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,155,1.75280,13,-2.2927,18,-1.7920,31,-0.9818,51,-0.1912,80,0.64419,47,-0.3244,45,-0.4057
ENSG00000187608,ISG15,155,1.86449,28,-1.0110,56,0.04134,19,-1.6302,36,-0.6737,55,0.00419,36,-0.6710,53,-0.0484
ENSG00000078808,SDF4,155,1.63195,30,-1.1102,44,-0.5359,48,-0.3837,46,-0.4495,55,-0.2019,45,-0.4944,74,0.31917
ENSG00000160087,UBE2J2,155,2.09670,3,-4.0327,21,-1.3227,26,-1.0111,41,-0.3010,77,0.90667,21,-1.3363,22,-1.2491
ENSG00000131584,ACAP3,155,0.76927,59,-0.7912,70,-0.5270,79,-0.3433,63,-0.7019,126,0.49751,147,0.67591,54,-0.9132
ENSG00000127054,INTS11,155,2.03236,13,-2.0888,39,-0.4212,43,-0.2704,32,-0.6913,45,-0.1915,33,-0.6880,50,-0.0182
ENSG00000107404,DVL1,155,1.56243,11,-2.6462,52,-0.3239,40,-0.7365,20,-1.7663,68,0.11801,79,0.35497,80,0.38403
ENSG00000175756,AURKAIP1,155,0.48403,63,-0.9496,96,-0.2877,62,-0.9666,69,-0.8090,178,0.87152,63,-0.9539,174,0.68045
ENSG00000221978,CCNL2,155,1.18440,58,-0.4523,51,-0.6727,114,0.64414,90,0.25022,70,-0.1812,64,-0.2995,25,-1.7421
ENSG00000242485,MRPL20,155,0.64241,67,-0.7057,87,-0.3075,83,-0.3809,67,-0.7006,129,0.38810,70,-0.6418,160,0.69703
ENSG00000179403,VWA1,155,1.66082,30,-1.0647,105,0.92836,149,1.59108,2,-5.0086,18,-2.0020,37,-0.7767,30,-1.0714
ENSG00000160075,SSU72,155,0.49598,43,-1.4966,65,-0.8770,83,-0.5157,88,-0.4246,180,0.90855,82,-0.5374,155,0.49756
ENSG00000248333,CDK11B,155,1.36651,129,1.03312,79,0.18635,39,-0.9182,42,-0.8232,41,-0.9316,65,-0.1160,42,-0.8153
ENSG00000008128,CDK11A,155,1.99204,134,1.68748,44,-0.2520,25,-1.1258,20,-1.4829,18,-1.6965,33,-0.6796,16,-1.7652
ENSG00000078369,GNB1,155,-1.3266,109,-1.8441,179,-1.1078,199,-0.9454,358,-0.0224,627,1.12556,311,-0.2469,700,1.12506
ENSG00000187730,GABRD,155,0.42663,0,-8.2126,0,-10.342,5,-4.7323,136,0.21674,322,2.37975,64,-0.9791,71,-0.8092
ENSG00000067606,PRKCZ,155,-0.3215,48,-2.0832,110,-0.8482,99,-1.0083,177,-0.1105,349,1.27889,221,0.25230,194,0.04449
ENSG00000162585,FAAP20,155,2.09484,28,-0.8784,35,-0.5352,28,-0.8714,13,-1.9954,40,-0.3651,45,-0.1467,58,0.27609
ENSG00000157933,SKI,155,1.74694,29,-1.0710,36,-0.7216,47,-0.3208,31,-0.9881,36,-0.8254,94,0.81330,57,-0.0365
ENSG00000157916,RER1,155,1.65987,8,-3.0677,56,-0.1166,72,0.29258,42,-0.5693,50,-0.3398,15,-2.1243,96,0.77570
ENSG00000157870,PRXL2B,155,2.17327,11,-2.2267,7,-2.7720,7,-2.8303,43,-0.1608,61,0.47267,38,-0.3381,44,-0.1108
ENSG00000158109,TPRG1L,155,0.09892,31,-2.3643,37,-2.0882,40,-1.9644,139,-0.0689,324,1.76973,82,-0.9040,178,0.33339
ENSG00000130764,LRRC47,155,1.26809,25,-1.6712,31,-1.3347,62,-0.2743,86,0.24060,116,0.89740,16,-2.2857,59,-0.3568
ENSG00000116198,CEP104,155,1.18203,137,0.96485,72,-0.1097,136,0.95472,57,-0.4969,27,-1.7731,49,-0.7058,38,-1.1200
ENSG00000196581,AJAP1,155,1.73691,14,-2.1876,26,-1.2227,27,-1.2022,109,1.07500,54,-0.1402,47,-0.3246,37,-0.6934
ENSG00000069424,KCNAB2,155,0.62974,6,-4.1196,12,-3.2998,8,-3.8109,102,-0.0564,191,1.22749,95,-0.1812,193,1.01777
ENSG00000116254,CHD5,155,-0.9047,12,-4.5997,10,-4.8491,5,-5.8309,549,1.18817,417,0.82740,712,1.69038,198,-0.5196
ENSG00000116251,RPL22,155,-1.8807,719,0.52148,1108,1.29319,587,0.18207,329,-0.7391,348,-0.7247,270,-1.0435,860,0.83273
ENSG00000097021,ACOT7,155,0.41633,10,-3.6788,36,-1.8560,46,-1.4681,198,0.83675,224,1.29994,77,-0.7106,113,-0.1018
ENSG00000162408,NOL9,155,2.12021,14,-1.9253,12,-2.1299,52,0.11748,32,-0.6712,32,-0.7291,79,0.80959,30,-0.7463
ENSG00000162413,KLHL21,155,2.44574,7,-2.6788,10,-2.0816,70,0.83907,19,-1.2083,40,-0.0792,4,-3.2437,33,-0.3899
ENSG00000007923,DNAJC11,155,2.16810,11,-2.1806,30,-0.6923,31,-0.6555,37,-0.3930,36,-0.5097,61,0.42058,30,-0.7149
ENSG00000171735,CAMTA1,155,-1.2560,177,-1.0524,151,-1.2882,209,-0.7985,709,1.23664,492,0.68899,395,0.21652,336,-0.0464
ENSG00000049245,VAMP3,155,1.55958,62,-0.0422,154,1.55114,118,1.04622,9,-2.8924,9,-3.0330,10,-2.8127,46,-0.4952
ENSG00000049246,PER3,155,1.74606,40,-0.5781,50,-0.2381,85,0.62754,28,-1.1186,28,-1.2437,59,0.02925,49,-0.2619
ENSG00000116288,PARK7,155,-0.0250,80,-1.0518,203,0.42346,104,-0.6563,125,-0.3701,199,0.45696,69,-1.2876,280,0.98251
ENSG00000142599,RERE,155,-0.2092,287,0.82082,112,-0.7186,144,-0.3275,186,0.08984,127,-0.5831,292,0.85319,156,-0.1928
ENSG00000074800,ENO1,155,-1.0001,231,-0.3800,269,-0.1379,204,-0.5736,186,-0.7126,344,0.30642,175,-0.8083,726,1.60496
ENSG00000171603,CLSTN1,155,-1.4562,96,-2.1703,133,-1.6876,108,-1.9962,630,0.78240,876,1.76385,332,-0.2816,352,-0.1857
ENSG00000178585,CTNNBIP1,155,2.24008,15,-1.6754,31,-0.5985,20,-1.2453,21,-1.1711,46,0.01953,37,-0.3525,41,-0.1959
ENSG00000162441,LZIC,155,0.80014,160,0.85854,107,0.17022,152,0.76889,52,-0.9498,55,-0.9536,67,-0.5737,61,-0.7149
ENSG00000130939,UBE4B,155,1.67508,60,0.00344,38,-0.7035,89,0.65989,44,-0.4979,53,-0.2253,21,-1.5737,26,-1.2741
ENSG00000054523,KIF1B,155,-1.9859,746,0.46443,612,0.13581,748,0.47018,776,0.53283,491,-0.2480,530,-0.0971,518,-0.1342
ENSG00000142657,PGD,155,1.83259,19,-1.6380,39,-0.5376,44,-0.3525,52,-0.0994,54,-0.0487,30,-0.9439,51,-0.1234
