Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,8,-2.1650,21,-0.7635,38,0.42591,43,0.38450
ENSG00000188976,NOC2L,27,-0.7539,24,-0.9242,51,0.64587,40,-0.1716
ENSG00000188290,HES4,9,-1.7291,41,0.67238,33,0.74176,14,-1.1354
ENSG00000187608,ISG15,39,0.66984,28,0.11611,25,-0.1634,22,-0.2899
ENSG00000188157,AGRN,15,-0.2266,20,0.26993,19,0.55429,9,-1.0554
ENSG00000078808,SDF4,46,0.09288,42,-0.0604,48,0.35566,30,-0.6152
ENSG00000176022,B3GALT6,9,-1.2227,26,0.46685,20,0.02083,21,0.15691
ENSG00000160087,UBE2J2,19,-0.7307,26,-0.2717,37,0.64526,24,-0.4818
ENSG00000131584,ACAP3,39,-0.4232,46,-0.1610,57,0.45141,41,-0.3833
ENSG00000169972,PUSL1,12,0.34345,10,0.08298,10,0.27902,6,-0.7975
ENSG00000127054,INTS11,30,-0.2964,43,0.26193,40,0.28932,28,-0.4751
ENSG00000224051,CPTP,8,-0.9511,8,-1.1049,19,0.82174,13,-0.2833
ENSG00000107404,DVL1,31,-0.4588,77,1.02947,42,0.07705,26,-0.7736
ENSG00000175756,AURKAIP1,100,-0.5751,188,0.42673,165,0.52753,84,-0.9174
ENSG00000221978,CCNL2,56,0.11205,19,-1.5081,52,0.01565,66,0.43491
ENSG00000242485,MRPL20,99,-0.5731,194,0.49758,150,0.17663,119,-0.3297
ENSG00000235098,ANKRD65,34,0.56102,41,0.84653,25,0.07667,9,-1.5245
ENSG00000179403,VWA1,96,2.56557,28,0.27128,16,-1.0822,8,-1.7247
ENSG00000205090,TMEM240,8,-1.5266,10,-1.1316,24,0.30713,29,0.52646
ENSG00000160075,SSU72,66,-0.9292,136,0.21741,135,0.49798,90,-0.4895
ENSG00000228594,FNDC10,5,-2.1488,20,-0.0781,27,0.96214,14,-0.6763
