Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,120,1.55393,61,0.40757,42,-0.2662,44,-0.2513,8,-2.6828,21,-1.3214
ENSG00000188976,NOC2L,120,1.40133,39,-0.5731,43,-0.3492,68,0.55815,27,-1.0682,10,-2.5402
ENSG00000188290,HES4,120,1.84725,23,-1.0257,41,-0.0804,38,-0.2364,19,-1.2302,43,0.01934
ENSG00000187608,ISG15,120,1.64555,12,-2.1695,43,-0.1522,48,0.02253,30,-0.7333,65,0.51212
ENSG00000188157,AGRN,120,2.15570,39,0.09049,11,-1.7660,29,-0.4653,23,-0.7604,13,-1.6234
ENSG00000078808,SDF4,120,0.94633,64,-0.1272,41,-0.7968,68,-0.0213,79,0.22814,45,-0.6528
ENSG00000176022,B3GALT6,120,2.50329,17,-1.0744,19,-0.7829,28,-0.2850,8,-2.0526,22,-0.5665
ENSG00000160087,UBE2J2,120,1.59563,36,-0.5205,39,-0.3514,45,-0.1534,48,-0.0009,21,-1.2690
ENSG00000131584,ACAP3,120,0.11483,159,0.69029,69,-0.7731,96,-0.3324,139,0.34888,76,-0.6138
ENSG00000127054,INTS11,120,1.52006,33,-0.7242,17,-1.6270,47,-0.1550,63,0.37151,46,-0.1592
ENSG00000224051,CPTP,120,2.34043,24,-0.6058,18,-0.9855,30,-0.2634,15,-1.2369,15,-1.2333
ENSG00000107404,DVL1,120,1.05360,39,-0.8909,77,0.28856,51,-0.4783,48,-0.4749,106,0.82601
ENSG00000175756,AURKAIP1,120,-0.1896,64,-1.2801,104,-0.4177,201,0.97309,103,-0.4294,159,0.25908
ENSG00000221978,CCNL2,120,0.94088,90,0.51928,48,-0.5599,47,-0.7643,73,0.09210,57,-0.2893
ENSG00000242485,MRPL20,120,-0.0801,72,-0.9739,87,-0.5863,170,0.69085,129,0.03220,149,0.26320
ENSG00000235098,ANKRD65,120,2.27225,2,-3.9526,22,-0.7252,30,-0.3182,50,0.58355,29,-0.3189
ENSG00000179403,VWA1,120,1.67066,4,-3.8245,14,-1.8607,8,-2.9825,239,3.37402,16,-1.6484
ENSG00000205090,TMEM240,120,1.89186,41,-0.0566,42,0.00142,37,-0.2589,11,-2.0012,11,-1.9466
ENSG00000160075,SSU72,120,-0.2564,126,-0.2017,148,0.07941,174,0.48230,110,-0.3953,116,-0.3101
ENSG00000228594,FNDC10,120,1.55619,25,-1.1617,53,0.11779,53,0.15754,16,-1.7072,46,-0.1125
ENSG00000272106,AL691432.2,120,2.62893,10,-1.7412,10,-1.6773,28,-0.1677,3,-3.4915,35,0.23950
ENSG00000197530,MIB2,120,1.90059,32,-0.4774,34,-0.3414,36,-0.3104,31,-0.4466,19,-1.2366
ENSG00000248333,CDK11B,120,1.26120,79,0.61641,40,-0.5660,46,-0.4618,31,-0.9829,32,-0.9397
ENSG00000008128,CDK11A,120,2.63191,31,0.01548,9,-1.7926,13,-1.5435,26,-0.2458,17,-0.9002
ENSG00000215790,SLC35E2A,120,2.83350,10,-1.6135,29,0.05523,17,-0.9667,17,-0.7904,14,-1.0385
