Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to12,Feature log2 fold change topic 5to12
ENSG00000228794,LINC01128,16,-1.2978,28,-0.4294,44,0.95951
ENSG00000188976,NOC2L,26,-0.9648,45,-0.0967,53,0.58107
ENSG00000188290,HES4,23,-0.8134,43,0.25049,40,0.26127
ENSG00000187608,ISG15,22,-0.9374,68,1.00583,37,-0.3004
ENSG00000188157,AGRN,15,-0.3569,15,-0.3379,20,0.42258
ENSG00000078808,SDF4,68,0.16990,60,-0.0418,60,-0.0837
ENSG00000176022,B3GALT6,25,0.02590,25,0.01739,24,-0.0271
ENSG00000160087,UBE2J2,26,-0.3588,27,-0.2914,35,0.39579
ENSG00000131584,ACAP3,58,-0.3351,75,0.10828,72,0.12609
ENSG00000127054,INTS11,45,0.16426,31,-0.4699,42,0.15927
ENSG00000224051,CPTP,15,-0.3864,15,-0.3880,20,0.46975
ENSG00000107404,DVL1,57,0.10331,73,0.56529,48,-0.4462
ENSG00000175756,AURKAIP1,127,-0.4450,212,0.43779,164,-0.0511
ENSG00000221978,CCNL2,70,0.08038,29,-1.3557,75,0.60789
ENSG00000242485,MRPL20,134,-0.2924,197,0.37152,156,-0.0810
ENSG00000235098,ANKRD65,32,0.20588,32,0.22677,26,-0.2759
ENSG00000179403,VWA1,96,3.32123,10,-1.3239,9,-2.5130
ENSG00000205090,TMEM240,10,-1.6384,26,-0.1181,32,0.86017
ENSG00000160075,SSU72,82,-0.9084,205,0.65301,143,-0.0143
ENSG00000228594,FNDC10,19,-0.6073,45,0.86836,26,-0.3151
ENSG00000272106,AL691432.2,17,0.03113,19,0.24879,16,-0.1805
ENSG00000197530,MIB2,17,-1.0382,36,0.16933,36,0.41774
ENSG00000248333,CDK11B,56,0.28819,42,-0.2073,47,-0.0682
ENSG00000189339,SLC35E2B,17,-0.2570,25,0.39104,20,-0.1141
ENSG00000008128,CDK11A,44,0.94513,21,-0.3835,23,-0.4805
ENSG00000215790,SLC35E2A,12,-0.6370,25,0.59627,18,-0.0821
ENSG00000008130,NADK,25,-0.0183,21,-0.2915,26,0.18578
ENSG00000078369,GNB1,385,-0.4704,698,0.56896,492,-0.1381
ENSG00000187730,GABRD,16,-3.7378,200,0.13562,224,1.04639
ENSG00000067606,PRKCZ,104,-1.1113,274,0.51400,214,0.17539
ENSG00000162585,FAAP20,59,1.03909,59,1.03333,21,-1.4759
ENSG00000157933,SKI,50,0.89859,30,-0.0384,26,-0.6203
ENSG00000157916,RER1,62,0.00882,45,-0.5063,65,0.28519
ENSG00000157911,PEX10,33,0.88042,28,0.54122,15,-0.9684
