Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000228794,LINC01128,26,-0.4073,13,-1.3635,21,-0.6907,37,0.17988,40,0.66315
ENSG00000188976,NOC2L,30,-0.7365,6,-2.8569,69,0.66758,70,0.68976,50,0.36658
ENSG00000188290,HES4,75,0.09274,17,-2.0986,205,1.76314,47,-0.6230,62,-0.4147
ENSG00000187608,ISG15,29,-0.9150,18,-1.5101,217,2.58321,45,-0.1642,40,-0.6170
ENSG00000188157,AGRN,22,-0.0254,14,-0.6482,92,2.44479,14,-0.6751,15,-1.0514
ENSG00000078808,SDF4,60,0.12981,28,-1.0602,129,1.34969,55,-0.0451,49,-0.4273
ENSG00000176022,B3GALT6,28,0.46003,4,-2.5600,31,0.55188,28,0.39103,20,-0.2999
ENSG00000160087,UBE2J2,44,0.23338,22,-0.8437,48,0.32749,31,-0.3646,39,0.00570
ENSG00000131584,ACAP3,84,0.49832,38,-0.8320,112,0.87049,146,1.31159,43,-1.0899
ENSG00000127054,INTS11,29,-0.3180,13,-1.4059,67,1.04638,35,-0.0017,36,0.07801
ENSG00000107404,DVL1,119,1.62761,27,-1.1067,56,-0.0206,41,-0.4916,37,-1.1166
ENSG00000175756,AURKAIP1,175,0.13489,130,-0.3516,121,-0.4586,70,-1.2762,182,0.36545
ENSG00000221978,CCNL2,27,-1.3701,38,-0.6834,181,1.84902,112,1.00255,52,-0.3800
ENSG00000242485,MRPL20,167,0.05304,125,-0.3996,118,-0.4888,90,-0.8930,182,0.38800
ENSG00000235098,ANKRD65,38,0.60727,15,-0.8929,12,-1.2853,9,-1.6891,30,0.27373
ENSG00000205090,TMEM240,31,-0.1608,8,-2.0513,36,0.12036,45,0.45332,36,0.26252
ENSG00000160075,SSU72,196,0.62166,44,-1.7686,117,-0.3133,87,-0.7636,146,0.07106
ENSG00000228594,FNDC10,39,1.11588,1,-4.3113,7,-1.6296,41,0.95803,18,-0.5922
ENSG00000197530,MIB2,50,0.83180,17,-1.0337,31,-0.0977,38,0.19440,28,-0.4915
ENSG00000248333,CDK11B,41,0.27727,73,1.15252,21,-0.7806,67,1.01531,25,-0.8881
ENSG00000008128,CDK11A,25,0.22961,46,1.15725,35,0.72132,69,1.87522,9,-1.9810
ENSG00000215790,SLC35E2A,43,0.70039,2,-3.5887,40,0.44765,25,-0.2487,28,-0.2350
ENSG00000008130,NADK,29,0.03319,11,-1.3762,62,1.26565,21,-0.4487,27,-0.1672
ENSG00000078369,GNB1,746,0.57555,319,-0.8530,362,-0.6641,573,0.04453,536,-0.1193
ENSG00000187730,GABRD,72,-1.1457,5,-4.6870,65,-1.1559,85,-0.7638,207,1.72895
ENSG00000067606,PRKCZ,213,0.51874,68,-1.3279,104,-0.6987,209,0.38607,158,-0.1056
ENSG00000162585,FAAP20,77,1.35021,48,0.23615,55,0.46526,30,-0.4959,24,-1.3213
ENSG00000157933,SKI,69,1.17337,21,-0.9026,97,1.47963,35,-0.1485,21,-1.4774
ENSG00000157916,RER1,52,-0.3197,28,-1.1730,117,1.02985,43,-0.5394,65,0.18975
ENSG00000157911,PEX10,28,0.34280,20,-0.2444,39,0.79959,33,0.53683,18,-0.6635
ENSG00000149527,PLCH2,42,1.15463,0,-8.1805,23,-0.0607,41,0.87957,17,-0.8534
ENSG00000157870,PRXL2B,47,0.37392,10,-2.0119,28,-0.4943,5,-2.8910,46,0.56317
