Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.5752,30,0.18583,39,0.75856,29,0.15193,26,-0.0253,12,-1.2312,6,-2.0953
ENSG00000188976,NOC2L,64,0.60348,32,-0.5262,45,0.05720,63,0.56303,46,0.10392,27,-0.7519,35,-0.3676
ENSG00000188290,HES4,21,-0.8459,41,0.24676,28,-0.4525,52,0.59944,32,-0.2284,85,1.40758,11,-1.6946
ENSG00000187608,ISG15,17,-1.6193,75,0.68567,31,-0.8775,86,0.84152,33,-0.7634,123,1.44739,44,-0.2413
ENSG00000188157,AGRN,13,-0.8305,25,0.13111,28,0.40478,47,1.14665,17,-0.5589,16,-0.5497,15,-0.6441
ENSG00000078808,SDF4,73,0.21926,54,-0.2756,60,-0.0924,74,0.24091,53,-0.3173,99,0.71244,66,0.06098
ENSG00000176022,B3GALT6,30,0.33734,28,0.24650,28,0.25120,35,0.57330,21,-0.2798,15,-0.7028,10,-1.3817
ENSG00000160087,UBE2J2,42,0.24588,39,0.12004,42,0.30995,24,-0.6313,30,-0.3218,43,0.27125,29,-0.3421
ENSG00000131584,ACAP3,47,-0.3324,73,0.39063,70,0.35287,76,0.41847,45,-0.4835,32,-0.9145,56,-0.0742
ENSG00000127054,INTS11,70,0.63391,50,0.09934,45,-0.0929,55,0.24523,38,-0.3876,48,0.02146,43,-0.1240
ENSG00000224051,CPTP,16,-0.5961,26,0.14931,30,0.42408,25,0.02513,23,-0.1198,17,-0.5364,21,-0.1797
ENSG00000107404,DVL1,42,-0.2336,77,0.82594,53,0.16298,46,-0.0743,28,-0.9467,45,-0.1121,53,0.12540
ENSG00000175756,AURKAIP1,138,-0.2048,156,-0.0097,160,0.04002,167,0.09871,175,0.20864,133,-0.2603,129,-0.3039
ENSG00000221978,CCNL2,33,-1.0307,53,-0.3428,81,0.44956,64,-0.0159,68,0.10527,69,0.10531,56,-0.2100
ENSG00000242485,MRPL20,138,-0.3869,205,0.25967,164,-0.1349,193,0.14200,207,0.31307,130,-0.4752,135,-0.4220
ENSG00000235098,ANKRD65,8,-1.5367,24,0.02755,32,0.58651,22,-0.1401,14,-0.8752,15,-0.6488,52,1.29055
ENSG00000179403,VWA1,15,-1.1969,9,-2.0040,6,-2.7255,12,-1.4410,7,-2.4627,60,0.98484,247,4.19323
ENSG00000197785,ATAD3A,23,0.68833,16,0.15463,15,0.01405,14,-0.1103,10,-0.7036,20,0.49505,14,-0.1207
ENSG00000205090,TMEM240,35,0.45630,24,-0.1182,45,1.13536,19,-0.4914,19,-0.5825,14,-0.8995,6,-2.0467
ENSG00000160075,SSU72,80,-0.5432,128,0.20235,131,0.27203,172,0.66157,105,-0.1543,71,-0.7294,80,-0.5348
ENSG00000228594,FNDC10,15,-0.5202,19,-0.1462,22,0.06892,48,1.34840,17,-0.3397,28,0.45990,5,-2.1066
ENSG00000272106,AL691432.2,34,0.87600,12,-0.7572,24,0.35609,14,-0.5279,16,-0.3843,22,0.15038,23,0.25328
ENSG00000197530,MIB2,10,-1.4530,19,-0.5211,35,0.57820,40,0.65813,22,-0.3023,25,-0.0490,30,0.19451
ENSG00000248333,CDK11B,42,1.35295,12,-0.7382,9,-1.1251,14,-0.4067,14,-0.4527,47,1.53983,23,0.33441
ENSG00000189339,SLC35E2B,18,-0.4371,29,0.36706,25,0.08190,29,0.29673,19,-0.3857,31,0.40313,17,-0.5051
ENSG00000215790,SLC35E2A,39,0.22824,39,0.25798,28,-0.3190,65,1.05103,31,-0.1610,30,-0.1774,15,-1.2291
ENSG00000008130,NADK,31,0.47319,18,-0.3666,29,0.45391,33,0.57129,17,-0.5687,16,-0.5189,22,-0.1031
ENSG00000078369,GNB1,395,-0.3500,572,0.25368,470,-0.0973,639,0.40810,547,0.19726,432,-0.2123,275,-0.9012
ENSG00000187730,GABRD,92,-0.7187,178,0.34321,199,0.62227,172,0.25118,169,0.27517,24,-2.6958,12,-3.6333
ENSG00000067606,PRKCZ,144,-0.0941,184,0.32626,167,0.17149,222,0.59487,139,-0.1845,85,-0.8943,99,-0.6728
ENSG00000162585,FAAP20,28,0.18108,26,0.01319,13,-1.1927,37,0.60105,26,0.05555,32,0.36778,39,0.68993
ENSG00000157933,SKI,6,-1.7239,28,0.71865,21,0.24518,16,-0.2244,10,-1.0533,39,1.15961,14,-0.4352
ENSG00000157916,RER1,78,0.19350,52,-0.4851,73,0.10958,64,-0.1368,64,-0.1384,73,0.08152,100,0.58138
ENSG00000157911,PEX10,16,-0.4687,19,-0.1771,24,0.23755,18,-0.2544,19,-0.2084,24,0.16523,31,0.56730
ENSG00000149527,PLCH2,2,-3.1550,22,0.50505,26,0.90143,29,0.87657,9,-1.0665,9,-0.9533,12,-0.5125
ENSG00000157881,PANK4,20,0.45706,16,0.12719,18,0.32066,17,0.20608,14,-0.1085,5,-1.5755,10,-0.6386
ENSG00000157870,PRXL2B,12,-1.5586,36,0.13146,52,0.90235,42,0.33172,26,-0.4454,32,-0.0888,11,-1.6360
ENSG00000158109,TPRG1L,171,-0.1853,223,0.25250,228,0.33009,247,0.39479,183,-0.1044,164,-0.2529,55,-1.8894
ENSG00000116213,WRAP73,7,-1.1646,13,-0.3036,26,1.03091,17,0.08781,12,-0.5142,10,-0.7045,16,0.05455
ENSG00000130764,LRRC47,88,0.14560,74,-0.1183,87,0.16508,103,0.40689,84,0.09910,56,-0.5344,49,-0.7506
ENSG00000116198,CEP104,42,0.81885,13,-1.0321,15,-0.8983,16,-0.6911,21,-0.3031,51,1.13667,57,1.35269
ENSG00000198912,C1orf174,16,0.05045,18,0.27304,16,0.00137,15,-0.0885,15,-0.0529,15,-0.0533,12,-0.3484
ENSG00000196581,AJAP1,64,0.87655,30,-0.3399,52,0.67074,31,-0.2645,33,-0.1991,16,-1.2797,19,-1.0385
ENSG00000069424,KCNAB2,116,-0.5739,204,0.34111,205,0.39334,258,0.68868,171,0.02667,86,-1.0295,24,-2.9173
ENSG00000116254,CHD5,149,0.30494,139,0.21660,160,0.53696,136,0.15828,114,-0.1387,63,-1.0282,25,-2.3691
ENSG00000116251,RPL22,512,-0.2535,715,0.30227,519,-0.2802,543,-0.1622,521,-0.2714,802,0.45809,819,0.49246
ENSG00000116237,ICMT,26,-0.7998,41,-0.1285,62,0.66894,59,0.45516,40,-0.1721,35,-0.3576,23,-0.9836
ENSG00000097021,ACOT7,200,-0.4287,188,-0.5720,314,0.34234,350,0.44967,363,0.65187,128,-1.1048,83,-1.7466
ENSG00000215788,TNFRSF25,24,-0.2261,46,0.92670,48,1.21774,21,-0.4146,12,-1.3854,10,-1.5159,2,-3.5108
ENSG00000171680,PLEKHG5,22,0.16780,25,0.42306,31,0.96802,18,-0.1490,13,-0.6780,8,-1.2261,3,-2.5198
ENSG00000162408,NOL9,29,0.23373,29,0.29109,24,-0.0113,36,0.61946,17,-0.6546,19,-0.3564,28,0.20251
ENSG00000162413,KLHL21,21,-0.7457,23,-0.6009,34,0.03596,50,0.62696,33,-0.0647,45,0.44724,42,0.32606
ENSG00000116273,PHF13,6,-1.0492,11,-0.2988,19,0.70216,17,0.44010,10,-0.4715,14,0.11527,11,-0.2028
ENSG00000041988,THAP3,27,0.66328,17,-0.0848,17,-0.0210,27,0.69833,12,-0.6591,21,0.26506,14,-0.3428
ENSG00000007923,DNAJC11,24,-0.2337,24,-0.2077,35,0.50853,33,0.31156,22,-0.3625,37,0.46696,13,-1.1234
ENSG00000171735,CAMTA1,478,0.91938,230,-0.2773,268,-0.0233,277,0.03254,311,0.27039,191,-0.5411,110,-1.3672
ENSG00000049245,VAMP3,35,0.19907,22,-0.5341,8,-2.1246,12,-1.4334,6,-2.6283,71,1.37612,163,3.10273
ENSG00000049246,PER3,23,-0.4746,32,0.00442,30,-0.1296,27,-0.2462,23,-0.5944,61,1.05134,49,0.68355
ENSG00000116288,PARK7,362,-0.2597,469,0.16217,402,-0.1157,426,-0.0050,496,0.29421,387,-0.1547,321,-0.4451
ENSG00000116285,ERRFI1,12,-1.2545,16,-0.8705,40,0.74744,45,0.80186,28,0.00966,16,-0.8028,22,-0.3107
ENSG00000162426,SLC45A1,42,0.63732,18,-0.7639,30,0.14826,39,0.51052,32,0.26915,22,-0.4060,12,-1.3024
ENSG00000142599,RERE,130,0.21052,154,0.54482,101,-0.2232,120,0.08414,90,-0.4310,133,0.24831,100,-0.2018
ENSG00000074800,ENO1,535,0.17195,360,-0.4866,427,-0.2207,359,-0.4521,571,0.34382,840,0.90785,314,-0.6583
ENSG00000171612,SLC25A33,20,-0.4891,28,0.00469,24,-0.2868,19,-0.5758,32,0.29785,46,0.78902,24,-0.1954
