Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,50,0.55609,27,-0.4135,27,-0.4017,58,0.79221,37,0.07137,65,1.00496,26,-0.4765,29,-0.3207,20,-0.8517,33,-0.0904,16,-1.1810
ENSG00000188976,NOC2L,32,-0.1743,20,-0.8997,46,0.37276,50,0.52687,80,1.31562,36,0.01939,42,0.23726,22,-0.7820,21,-0.8554,26,-0.5186,23,-0.7051
ENSG00000188290,HES4,49,1.26161,3,-2.6799,23,0.00727,15,-0.6351,20,-0.2248,14,-0.6869,2,-3.1526,52,1.39940,40,0.91872,20,-0.1870,10,-1.1708
ENSG00000187608,ISG15,20,-0.7809,28,-0.2893,8,-2.1829,61,0.97507,56,0.82952,35,0.06821,28,-0.2928,61,0.96188,44,0.43884,10,-1.8110,19,-0.8613
ENSG00000188157,AGRN,8,-1.0233,13,-0.2246,21,0.50398,15,-0.0130,2,-2.9408,2,-3.0313,20,0.37025,19,0.35429,35,1.33925,12,-0.3486,23,0.61013
ENSG00000078808,SDF4,63,0.55012,24,-0.9378,55,0.32358,57,0.39078,46,0.05633,32,-0.5289,44,-0.0294,34,-0.4268,58,0.41109,52,0.25277,26,-0.8025
ENSG00000176022,B3GALT6,17,-0.1916,10,-1.0271,34,0.91946,25,0.44328,22,0.24671,21,0.14450,18,-0.0628,17,-0.1535,18,-0.0583,15,-0.4133,13,-0.6211
ENSG00000160087,UBE2J2,56,1.03283,16,-0.9030,48,0.75386,28,-0.1172,49,0.78848,16,-0.9380,27,-0.1498,25,-0.2672,17,-0.8668,33,0.17706,13,-1.2320
ENSG00000131584,ACAP3,56,0.05320,21,-1.4576,85,0.73014,52,-0.0610,51,-0.0976,28,-0.9847,54,-0.0059,67,0.34227,74,0.50217,52,-0.0570,55,0.03114
ENSG00000127054,INTS11,54,0.82937,18,-0.8790,47,0.57951,43,0.43848,50,0.69612,23,-0.5467,34,0.07177,31,-0.0629,22,-0.5766,20,-0.7106,15,-1.1966
ENSG00000224051,CPTP,18,-0.0079,16,-0.1594,24,0.43007,29,0.77098,21,0.27149,13,-0.4446,11,-0.7663,18,-0.0225,16,-0.2080,19,0.09956,13,-0.5219
ENSG00000107404,DVL1,43,-0.0154,29,-0.6247,73,0.85587,27,-0.7315,53,0.32274,31,-0.4938,22,-1.0443,36,-0.2753,78,0.95669,35,-0.3208,49,0.18870
ENSG00000175756,AURKAIP1,164,0.45589,184,0.64370,163,0.44437,135,0.14036,114,-0.1260,68,-0.9223,113,-0.1369,70,-0.8654,184,0.65163,63,-1.0434,100,-0.3294
ENSG00000221978,CCNL2,46,0.36438,19,-1.0161,40,0.16727,49,0.47917,30,-0.2764,29,-0.3226,51,0.55821,41,0.19432,36,-0.0018,42,0.24153,15,-1.3526
ENSG00000242485,MRPL20,175,0.59565,172,0.56860,171,0.56111,91,-0.4455,103,-0.2556,88,-0.4986,87,-0.5183,96,-0.3613,157,0.42496,88,-0.4922,102,-0.2616
ENSG00000235098,ANKRD65,32,0.39559,38,0.67946,45,0.95349,29,0.26946,11,-1.2549,7,-1.8019,14,-0.8166,19,-0.4236,35,0.53780,16,-0.7096,27,0.15674
ENSG00000179403,VWA1,36,1.25584,12,-0.5373,3,-2.2230,2,-2.9440,9,-0.9409,3,-2.4978,3,-2.3567,35,1.18800,45,1.67691,25,0.63086,11,-0.6225
ENSG00000205090,TMEM240,24,-0.1967,13,-1.1182,41,0.62773,29,0.08467,64,1.42126,40,0.61504,18,-0.6311,17,-0.6999,11,-1.3929,29,0.10025,15,-0.9320
ENSG00000160075,SSU72,154,0.37837,185,0.68240,121,-0.0082,78,-0.6944,117,-0.0616,114,-0.1018,110,-0.1583,109,-0.1726,162,0.45502,92,-0.4414,97,-0.3554
ENSG00000228594,FNDC10,29,0.18470,14,-0.9162,16,-0.7859,19,-0.5027,64,1.51238,15,-0.8358,31,0.27069,18,-0.5679,34,0.43465,16,-0.7128,30,0.22197
ENSG00000272106,AL691432.2,31,0.85540,20,0.16060,27,0.67718,16,-0.1539,18,0.02254,5,-1.9595,9,-1.0536,9,-1.0673,29,0.76073,21,0.28324,12,-0.5539
ENSG00000197530,MIB2,18,-0.1903,7,-1.5378,30,0.63793,20,-0.0032,30,0.65635,10,-0.9873,18,-0.1657,20,0.00027,24,0.29807,21,0.06057,22,0.15002
ENSG00000248333,CDK11B,33,-0.5486,51,0.09788,45,-0.0871,33,-0.5702,62,0.41140,45,-0.1012,34,-0.5357,105,1.31612,22,-1.1643,57,0.27483,38,-0.3443
ENSG00000008128,CDK11A,27,0.32930,15,-0.5784,9,-1.3959,5,-2.1589,31,0.54698,22,0.01684,16,-0.5287,80,2.26541,5,-2.2036,15,-0.5690,18,-0.3268
ENSG00000215790,SLC35E2A,20,-0.4489,21,-0.3735,21,-0.3885,24,-0.1779,33,0.29287,38,0.52574,33,0.32998,13,-1.1062,50,1.00463,17,-0.6744,27,-0.0021
ENSG00000008130,NADK,38,0.88315,26,0.26579,21,-0.0558,29,0.43321,18,-0.3157,18,-0.2703,18,-0.3030,26,0.29057,23,0.05928,14,-0.6748,10,-1.1883
ENSG00000078369,GNB1,611,0.53071,476,0.12518,525,0.28387,355,-0.3363,339,-0.4094,440,0.00025,295,-0.6201,315,-0.5208,694,0.74230,328,-0.4581,461,0.07269
ENSG00000187730,GABRD,134,-0.0822,134,-0.0862,258,0.98694,251,0.94013,161,0.20833,129,-0.1462,181,0.38998,59,-1.3415,81,-0.8674,92,-0.6638,77,-0.9378
ENSG00000067606,PRKCZ,132,-0.1009,133,-0.0874,253,0.96160,130,-0.1270,210,0.64063,123,-0.2111,106,-0.4512,54,-1.4724,164,0.24148,118,-0.2847,129,-0.1460
ENSG00000162585,FAAP20,27,-0.3240,15,-1.1657,11,-1.6817,11,-1.6235,40,0.30069,47,0.56309,13,-1.4442,58,0.90444,53,0.76837,39,0.24392,51,0.68810
ENSG00000157933,SKI,26,-0.4055,24,-0.5202,31,-0.1441,29,-0.2263,14,-1.3215,24,-0.4892,27,-0.3531,72,1.25340,52,0.69557,29,-0.2045,42,0.35755
ENSG00000157916,RER1,57,0.53456,26,-0.6859,47,0.23895,57,0.53624,43,0.08585,21,-0.9968,27,-0.5984,44,0.11557,65,0.76525,38,-0.1129,22,-0.9425
ENSG00000157911,PEX10,17,-0.1564,18,-0.0679,20,0.09086,16,-0.2200,17,-0.1891,14,-0.4415,6,-1.6933,32,0.85365,29,0.67659,20,0.06000,19,-0.0022
