Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,21,-0.7071,10,-1.7425,20,-0.7817,35,0.07753,59,0.94920,21,-0.7170,41,0.36401,41,0.47577
ENSG00000188976,NOC2L,33,-0.9016,31,-0.9700,11,-2.4409,33,-0.8886,60,0.04754,55,-0.1142,94,0.77744,90,0.97615
ENSG00000188290,HES4,6,-2.4277,23,-0.4361,39,0.37901,33,0.11781,17,-0.8679,55,0.94620,28,-0.1778,36,0.30941
ENSG00000187608,ISG15,28,-0.3957,32,-0.2089,48,0.44173,46,0.38253,16,-1.2375,23,-0.7005,94,1.64860,25,-0.6941
ENSG00000188157,AGRN,26,-0.0785,38,0.51200,34,0.34508,21,-0.4124,26,-0.1020,20,-0.4912,24,-0.2164,29,0.08782
ENSG00000078808,SDF4,60,0.01954,56,-0.1000,71,0.28150,42,-0.5235,53,-0.1711,75,0.37481,46,-0.3897,63,0.13615
ENSG00000176022,B3GALT6,9,-1.2367,32,0.78679,11,-0.9268,19,-0.0590,21,0.08653,14,-0.5386,16,-0.3017,25,0.53598
ENSG00000160087,UBE2J2,35,-0.0776,26,-0.5215,29,-0.3604,39,0.09300,32,-0.2176,20,-0.9212,44,0.29764,47,0.54360
ENSG00000131584,ACAP3,72,-0.0833,59,-0.4014,56,-0.4593,74,-0.0398,91,0.29721,46,-0.7647,29,-1.4389,110,0.84102
ENSG00000127054,INTS11,40,-0.1689,48,0.13372,38,-0.2245,28,-0.6911,42,-0.0856,57,0.41884,35,-0.3620,51,0.30698
ENSG00000224051,CPTP,6,-1.4734,15,-0.1938,11,-0.6868,19,0.13226,26,0.64102,23,0.46808,32,1.00901,13,-0.4707
ENSG00000107404,DVL1,14,-1.7407,48,0.10548,87,1.09272,70,0.71852,42,-0.1062,28,-0.7269,26,-0.8721,45,0.00824
ENSG00000175756,AURKAIP1,64,-1.5031,146,-0.2419,130,-0.4170,185,0.14296,87,-1.0328,243,0.58625,282,0.84198,186,0.19892
ENSG00000221978,CCNL2,102,0.88431,72,0.28901,33,-0.9170,27,-1.1977,54,-0.1602,46,-0.4045,39,-0.6830,75,0.49096
ENSG00000242485,MRPL20,70,-1.2251,146,-0.0870,147,-0.0719,187,0.30919,96,-0.7463,201,0.43277,131,-0.2523,188,0.42641
ENSG00000235098,ANKRD65,24,-0.0795,63,1.58992,21,-0.2457,28,0.15536,15,-0.7865,44,0.90974,14,-0.8358,14,-1.1002
ENSG00000179403,VWA1,115,1.69972,204,3.00442,18,-1.3062,11,-2.0929,8,-2.3920,34,-0.3515,12,-1.8569,9,-2.6369
ENSG00000197785,ATAD3A,4,-1.5855,3,-1.8188,4,-1.7523,14,0.21254,17,0.51930,25,1.15844,9,-0.5550,16,0.52446
ENSG00000205090,TMEM240,4,-2.3534,6,-1.7995,10,-1.0323,25,0.29404,31,0.65209,23,0.13693,19,-0.1662,30,0.80839
ENSG00000160075,SSU72,56,-1.5058,128,-0.2480,110,-0.4952,150,-0.0047,125,-0.2937,202,0.48143,193,0.41070,179,0.37931
ENSG00000228594,FNDC10,5,-2.7881,8,-1.9663,29,-0.1226,48,0.65337,29,-0.1597,40,0.34719,87,1.74857,24,-0.5290
ENSG00000272106,AL691432.2,14,-0.1099,27,0.95980,12,-0.3564,3,-2.2366,12,-0.2948,11,-0.4178,10,-0.5783,20,0.61910
ENSG00000197530,MIB2,23,-0.4528,14,-1.2168,31,-0.0027,40,0.40420,23,-0.4492,54,0.89667,22,-0.5366,35,0.22323
ENSG00000248333,CDK11B,92,0.64533,34,-0.9465,71,0.22672,70,0.18259,116,1.03905,30,-1.1172,77,0.35169,44,-0.6751
ENSG00000189339,SLC35E2B,24,0.59997,14,-0.2869,7,-1.2607,18,0.13538,13,-0.3856,13,-0.3013,15,-0.0990,20,0.41874
ENSG00000008128,CDK11A,64,0.85600,28,-0.4664,49,0.40761,21,-0.8671,78,1.21356,26,-0.5576,34,-0.1544,26,-0.7204
ENSG00000215790,SLC35E2A,12,-0.5351,13,-0.3348,27,0.75273,21,0.38979,26,0.73827,17,0.01314,12,-0.4864,13,-0.5015
ENSG00000008130,NADK,14,-0.8070,27,0.26459,13,-0.9192,29,0.35250,23,-0.0388,21,-0.1605,23,-0.0288,28,0.37072
ENSG00000078369,GNB1,144,-1.7560,329,-0.5086,503,0.16354,751,0.83232,378,-0.2942,542,0.28362,388,-0.2511,504,0.21543
ENSG00000187730,GABRD,4,-5.0199,16,-3.2089,47,-1.6789,182,0.40572,179,0.37652,156,0.15119,368,1.65559,155,0.18552
ENSG00000067606,PRKCZ,66,-1.6868,121,-0.7729,89,-1.2349,317,0.76988,199,-9.1406,215,0.12073,237,0.27946,249,0.48300
ENSG00000162585,FAAP20,21,-0.9246,82,1.24987,63,0.78893,62,0.73765,12,-1.7414,43,0.16471,30,-0.4110,26,-0.7931
ENSG00000157933,SKI,43,0.31291,35,0.00181,78,1.35211,42,0.29767,46,0.44997,32,-0.1162,11,-1.6732,21,-0.9746
ENSG00000157916,RER1,61,0.08504,76,0.44311,50,-0.2433,32,-0.9041,35,-0.7658,74,0.38415,49,-0.2594,68,0.32014
ENSG00000157911,PEX10,10,-1.2470,24,0.10921,33,0.61029,19,-0.3025,13,-0.8530,35,0.71171,13,-0.8816,27,0.34080
ENSG00000197921,HES5,2,-3.0065,0,-7.7316,48,1.93716,7,-1.1535,12,-0.4015,72,2.84279,5,-1.7186,4,-2.1878
ENSG00000157870,PRXL2B,7,-2.6327,15,-1.5892,50,0.22081,56,0.38033,49,0.18648,50,0.21589,58,0.43804,51,0.31920
ENSG00000177133,PRDM16-DT,5,-2.2534,10,-1.3641,51,1.24638,18,-0.4013,7,-1.8708,121,3.14224,7,-1.8297,7,-2.0355
ENSG00000142611,PRDM16,12,-0.1460,5,-1.5555,25,1.00409,11,-0.2640,10,-0.5126,55,2.54696,6,-1.2413,4,-2.0369
ENSG00000158109,TPRG1L,25,-2.6990,67,-1.2613,87,-0.8694,179,0.26739,143,-0.1011,159,0.07441,257,0.87026,201,0.61431
ENSG00000116213,WRAP73,16,0.08449,12,-0.3363,6,-1.2784,10,-0.6654,15,-0.0124,16,0.15684,12,-0.3479,21,0.72538
ENSG00000130764,LRRC47,33,-1.0722,64,-0.0576,52,-0.3879,44,-0.6349,59,-0.2039,62,-0.1116,80,0.28876,91,0.68281
ENSG00000116198,CEP104,96,1.46132,80,1.12051,48,0.26807,31,-0.4197,40,-0.0447,23,-0.8596,28,-0.5714,20,-1.2583
ENSG00000196581,AJAP1,9,-2.0602,26,-0.5661,33,-0.2168,36,-0.0807,106,1.79877,26,-0.5699,19,-1.0241,40,0.14592
ENSG00000069424,KCNAB2,18,-3.3179,43,-2.0922,142,-0.3018,259,0.67826,186,0.12437,150,-0.2101,271,0.75479,216,0.49396
ENSG00000116254,CHD5,57,-2.1798,36,-2.8339,328,0.50790,373,0.72258,516,1.29871,170,-0.5444,266,0.16396,219,-0.1893
ENSG00000116251,RPL22,481,-0.0334,882,0.97750,634,0.41686,758,0.71653,297,-0.7883,467,-0.0801,290,-0.8211,367,-0.5679
ENSG00000116237,ICMT,18,-1.2134,23,-0.8221,28,-0.5060,38,-0.0384,43,0.13994,44,0.20546,58,0.65218,46,0.35242
ENSG00000097021,ACOT7,25,-2.9692,47,-2.0416,49,-1.9693,108,-0.7872,85,-1.1541,125,-0.5583,296,0.83606,351,1.73807
ENSG00000215788,TNFRSF25,5,-1.7887,0,-8.4044,4,-2.0464,13,-0.4237,31,0.94016,10,-0.7924,2,-3.3079,37,1.92081
ENSG00000171680,PLEKHG5,0,-4.6417,6,-1.7026,11,-0.9496,26,0.35662,34,0.81038,22,0.12214,21,0.01553,28,0.70729
ENSG00000162408,NOL9,21,-0.2427,34,0.50994,15,-0.7642,27,0.13049,23,-0.1339,23,-0.0833,21,-0.2647,28,0.24089
ENSG00000162413,KLHL21,35,0.12291,34,0.10472,26,-0.2934,23,-0.5098,24,-0.4341,32,0.00761,27,-0.2553,39,0.44344
ENSG00000116273,PHF13,2,-2.2779,9,-0.5684,4,-1.7037,10,-0.4079,25,1.05861,28,1.26998,6,-1.1923,15,0.34202
ENSG00000041988,THAP3,8,-1.1565,27,0.69940,14,-0.3541,11,-0.6911,13,-0.3798,10,-0.7668,16,-0.1100,25,0.76860
ENSG00000007923,DNAJC11,19,-0.8126,27,-0.3076,25,-0.4163,40,0.33175,29,-0.1936,33,-0.0079,55,0.84279,33,0.02987
ENSG00000171735,CAMTA1,272,-0.5586,142,-1.5409,355,-0.1390,498,0.40708,635,0.81731,414,0.10565,541,0.54483,340,-0.2642
ENSG00000049245,VAMP3,89,1.31243,166,2.58640,40,-0.0602,17,-1.3508,9,-2.2008,18,-1.2708,15,-1.5570,19,-1.3794
ENSG00000049246,PER3,110,1.35214,60,0.31670,67,0.50476,39,-0.3708,51,0.06381,64,0.43192,14,-1.8598,29,-0.9844
ENSG00000116288,PARK7,101,-1.6034,296,0.04934,301,0.07510,288,0.00227,146,-1.0488,371,0.41467,317,0.15812,351,0.43223
ENSG00000116285,ERRFI1,11,-1.3413,23,-0.2198,26,-0.0324,17,-0.7039,17,-0.6794,22,-0.2832,43,0.77898,36,0.63967
ENSG00000162426,SLC45A1,8,-1.9242,6,-2.3346,9,-1.6882,15,-1.0262,17,-0.7864,35,0.31895,61,1.27156,45,1.05591
ENSG00000142599,RERE,211,0.60879,102,-0.5511,202,0.53405,176,0.31146,208,0.58366,148,0.02371,103,-0.5409,102,-0.6919
ENSG00000074800,ENO1,187,-1.5870,420,-0.3571,846,0.78751,273,-1.0171,243,-1.1953,1061,1.18507,450,-0.2483,592,0.25288
ENSG00000171612,SLC25A33,10,-1.8689,28,-0.3314,74,1.25592,29,-0.2806,7,-2.4556,83,1.47312,36,0.02868,28,-0.4530
ENSG00000171603,CLSTN1,175,-2.0493,270,-1.4059,340,-1.0560,472,-0.5550,859,0.39977,699,0.06326,808,0.29870,1031,0.99383
ENSG00000178585,CTNNBIP1,22,-0.4485,37,0.32495,34,0.19033,34,0.20030,11,-1.4711,32,0.09081,28,-0.1081,34,0.25913
ENSG00000162441,LZIC,122,1.06294,116,0.97609,106,0.81049,56,-0.2212,40,-0.7367,53,-0.3256,50,-0.4179,35,-1.1549
ENSG00000130939,UBE4B,52,0.05099,66,0.43072,19,-1.4764,27,-0.9895,43,-0.2520,46,-0.1409,53,0.05567,67,0.60557
ENSG00000054523,KIF1B,591,0.53360,544,0.39593,428,0.00467,394,-0.1263,502,0.26167,392,-0.1343,480,0.19105,312,-0.6105
ENSG00000284642,AL139424.2,7,-0.8845,9,-0.4723,6,-1.0699,5,-1.3303,10,-0.4628,6,-1.2250,27,1.19917,20,0.95187
ENSG00000142657,PGD,62,-0.2371,67,-0.1331,38,-1.0168,36,-1.0981,33,-1.1918,78,0.10858,133,1.00301,93,0.54651
ENSG00000241563,CORT,5,-3.0123,14,-1.4484,20,-0.9873,42,0.19734,19,-1.0245,44,0.24400,77,1.21882,51,0.68341
ENSG00000160049,DFFA,132,1.27612,104,0.85752,62,0.00092,55,-0.1843,39,-0.7058,60,-0.0451,60,-0.0648,36,-1.0223
ENSG00000142655,PEX14,8,-1.5967,17,-0.4640,8,-1.5288,14,-0.7011,26,0.21525,34,0.67702,30,0.43170,30,0.59844
ENSG00000120948,TARDBP,113,0.47123,86,0.03712,80,-0.0870,72,-0.2387,87,0.05356,83,-0.0178,62,-0.4799,86,0.05016
ENSG00000271895,AL109811.2,20,0.19811,21,0.29539,4,-2.2845,6,-1.5024,17,-0.0861,15,-0.3059,4,-2.1885,30,1.25643
ENSG00000116649,SRM,33,-0.9804,42,-0.6386,55,-0.2129,53,-0.2610,52,-0.2864,73,0.22838,64,0.02467,86,0.68253
ENSG00000171824,EXOSC10,45,0.21754,31,-0.3664,40,0.01535,8,-2.3780,46,0.26534,34,-0.2352,11,-1.9552,59,0.94704
ENSG00000198793,MTOR,35,-0.3288,29,-0.6555,34,-0.3993,32,-0.5019,38,-0.2285,79,0.98922,47,0.12370,47,0.18149
ENSG00000116661,FBXO2,69,-1.5479,125,-0.6504,486,1.62972,155,-0.3174,67,-1.5923,170,-0.1737,247,0.42757,192,0.02968
ENSG00000132879,FBXO44,16,-2.4603,20,-2.1539,55,-0.6257,66,-0.3511,105,0.39611,95,0.24080,88,0.11915,125,0.97505
ENSG00000116670,MAD2L2,17,0.20560,34,1.41455,17,0.20436,11,-0.4500,11,-0.4393,13,-0.1475,7,-1.0443,12,-0.3534
ENSG00000177000,MTHFR,22,0.04832,13,-0.7861,29,0.46642,34,0.77886,28,0.43051,19,-0.1536,14,-0.6265,18,-0.3242
ENSG00000011021,CLCN6,53,-0.4665,60,-0.2909,50,-0.5759,85,0.26933,51,-0.5364,79,0.14905,83,0.24411,86,0.37795
ENSG00000116685,KIAA2013,47,0.30754,55,0.57486,35,-0.1772,22,-0.8475,24,-0.7468,47,0.29542,34,-0.2123,41,0.13406
ENSG00000083444,PLOD1,25,0.27334,42,1.16148,18,-0.2607,9,-1.3076,12,-0.7986,33,0.72919,11,-1.0154,20,-0.0902
ENSG00000116688,MFN2,64,-0.9128,71,-0.7481,77,-0.6324,126,0.14441,96,-0.2833,139,0.30193,172,0.66046,135,0.34480
ENSG00000116691,MIIP,13,-0.0465,31,1.43239,17,0.40352,7,-1.0210,7,-0.8898,5,-1.3831,10,-0.3848,14,0.11014
ENSG00000048707,VPS13D,84,0.17009,28,-1.5011,58,-0.4213,60,-0.3785,79,0.06368,56,-0.4811,104,0.50448,97,0.52725
ENSG00000162496,DHRS3,44,0.96852,19,-0.4059,58,1.47040,5,-2.2194,8,-1.7170,54,1.33410,28,0.21441,9,-1.6574
ENSG00000116731,PRDM2,179,-0.3706,105,-1.1864,247,0.13874,281,0.34952,504,1.36497,127,-0.9025,236,0.06902,195,-0.2993
ENSG00000189337,KAZN,80,0.30940,82,0.34500,38,-0.8704,92,0.54152,57,-0.2214,46,-0.5784,84,0.39087,61,-0.1734
ENSG00000142634,EFHD2,25,-2.0711,72,-0.5071,22,-2.2563,115,0.24027,29,-1.8679,116,0.25407,114,0.22572,166,1.23075
ENSG00000116138,DNAJC16,29,-0.5014,26,-0.6598,26,-0.6181,30,-0.4384,46,0.25484,35,-0.2071,76,1.09986,42,0.14175
ENSG00000197312,DDI2,55,0.39289,16,-1.4657,29,-0.6320,29,-0.5977,61,0.58067,48,0.18427,55,0.40213,45,0.10895
ENSG00000116786,PLEKHM2,71,-0.8855,69,-0.9286,177,0.56009,320,1.62276,128,0.03424,156,0.35586,123,-0.0242,70,-1.0933
ENSG00000065526,SPEN,454,1.49271,147,-0.4109,306,0.78592,139,-0.4940,407,1.29031,96,-1.0663,102,-0.9623,84,-1.4853
ENSG00000116809,ZBTB17,22,-0.1259,30,0.38473,14,-0.7438,32,0.48114,16,-0.5449,40,0.85997,13,-0.9409,23,-0.0616
ENSG00000037637,FBXO42,26,0.14158,12,-0.9623,18,-0.3711,9,-1.4434,26,0.17148,28,0.31186,34,0.59168,27,0.28248
ENSG00000055070,SZRD1,32,0.06071,60,1.13328,55,0.98597,25,-0.3187,24,-0.3994,33,0.10782,17,-0.8905,20,-0.8062
