Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000237491,LINC01409,1,-2.8770,13,0.80813,11,0.41399,7,-0.1633,8,0.04502
ENSG00000228794,LINC01128,15,-1.2993,26,-0.5068,39,0.18484,48,0.50719,38,0.26223
ENSG00000188976,NOC2L,38,-0.0945,13,-1.6969,21,-1.0452,26,-0.7010,56,1.18326
ENSG00000187961,KLHL17,16,0.75140,6,-0.8536,12,0.26624,4,-1.3430,11,0.19036
ENSG00000188290,HES4,97,1.07897,44,-0.2754,44,-0.2722,41,-0.3678,48,-0.2478
ENSG00000187608,ISG15,62,0.76035,51,0.41459,22,-0.9138,45,0.21059,34,-0.3897
ENSG00000188157,AGRN,39,0.55809,12,-1.2863,20,-0.5101,18,-0.7286,34,0.58712
ENSG00000131591,C1orf159,10,0.04675,3,-1.6499,12,0.32210,2,-2.1960,13,0.86847
ENSG00000078808,SDF4,106,0.56028,64,-0.2810,70,-0.1506,37,-1.1406,83,0.26576
ENSG00000176022,B3GALT6,27,0.03222,17,-0.7032,24,-0.1866,16,-0.8048,33,0.61361
ENSG00000160087,UBE2J2,50,0.29951,31,-0.4873,45,0.10542,33,-0.4124,44,0.16087
ENSG00000162572,SCNN1D,16,0.78781,4,-1.2962,9,-0.1741,3,-1.8340,12,0.56263
ENSG00000131584,ACAP3,90,0.51417,33,-1.0998,97,0.64078,36,-0.9796,69,0.10592
ENSG00000169972,PUSL1,10,0.00657,10,-0.0818,8,-0.4002,8,-0.3316,11,0.32424
ENSG00000127054,INTS11,62,0.40225,29,-0.8258,37,-0.4598,28,-0.8693,59,0.58488
ENSG00000224051,CPTP,26,0.28487,17,-0.4352,17,-0.4359,9,-1.3723,27,0.63559
ENSG00000107404,DVL1,78,0.54152,58,0.02071,68,0.30188,44,-0.3986,52,-0.2675
ENSG00000175756,AURKAIP1,154,-0.2317,198,0.18294,156,-0.2053,172,-0.0492,185,0.11799
ENSG00000221978,CCNL2,82,-0.0402,57,-0.6227,94,0.19406,76,-0.1679,91,0.23037
ENSG00000224870,MRPL20-AS1,17,1.17439,9,0.16514,9,0.07505,10,0.23085,6,-0.9329
ENSG00000242485,MRPL20,112,-0.6759,242,0.58875,174,0.03110,202,0.27600,160,-0.1952
ENSG00000235098,ANKRD65,35,0.11780,31,-0.0363,41,0.40345,18,-0.9299,33,0.08569
ENSG00000179403,VWA1,85,2.29822,12,-1.1759,11,-1.3158,7,-2.0126,22,-0.3514
ENSG00000160072,ATAD3B,11,-0.1871,6,-1.1154,20,0.87448,4,-1.7492,14,0.45587
ENSG00000197785,ATAD3A,16,0.14846,2,-2.5211,11,-0.4285,6,-1.2914,20,1.14029
ENSG00000205090,TMEM240,40,0.85670,10,-1.3427,42,0.95068,9,-1.4809,23,-0.1380
ENSG00000160075,SSU72,110,-0.2787,162,0.35382,142,0.13185,120,-0.1441,128,-0.0551
ENSG00000228594,FNDC10,27,0.12368,24,-0.0829,12,-1.1783,20,-0.3699,30,0.51056
ENSG00000272106,AL691432.2,25,0.26878,17,-0.3268,43,1.20261,14,-0.6757,18,-0.4574
ENSG00000197530,MIB2,36,0.26810,25,-0.3550,23,-0.4921,22,-0.5521,35,0.41703
ENSG00000248333,CDK11B,32,1.29268,13,-0.2400,12,-0.3474,18,0.25800,12,-0.6696
ENSG00000189339,SLC35E2B,29,-0.4717,27,-0.5468,23,-0.8003,25,-0.6639,51,0.95056
ENSG00000008128,CDK11A,26,1.78256,8,-0.3495,14,0.62031,5,-1.0848,6,-1.0445
ENSG00000215790,SLC35E2A,23,0.05413,16,-0.5348,20,-0.1977,22,-0.0426,25,0.28087
ENSG00000008130,NADK,28,-0.0041,22,-0.3614,35,0.40443,23,-0.2969,28,0.06960
ENSG00000078369,GNB1,571,0.06484,660,0.30673,595,0.13174,475,-0.2382,523,-0.1358
ENSG00000187730,GABRD,107,-0.7091,116,-0.5888,165,-0.0224,219,0.44809,183,0.26900
ENSG00000067606,PRKCZ,128,-0.3014,155,0.00785,145,-0.1049,135,-0.2270,168,0.25742
ENSG00000162585,FAAP20,64,1.10199,55,0.80604,28,-0.3057,23,-0.6228,25,-0.7248
ENSG00000157933,SKI,57,1.83530,19,-0.1790,29,0.53658,9,-1.2723,13,-1.0688
ENSG00000272420,AL513477.2,2,-1.7260,4,-0.9527,13,0.71393,5,-0.6601,10,0.68865
ENSG00000157916,RER1,74,0.10726,51,-0.4817,57,-0.3020,63,-0.1578,77,0.32730
ENSG00000157911,PEX10,41,0.89577,33,0.54015,16,-0.6651,19,-0.3704,21,-0.3721
