Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,10,-1.8711,44,0.53049,49,0.58870,24,-0.6273,18,-1.0898
ENSG00000188976,NOC2L,21,-0.9751,54,0.93780,37,-0.1222,18,-1.1951,27,-0.6163
ENSG00000188290,HES4,5,-2.5019,27,-0.1123,21,-0.5603,29,0.03433,72,1.61810
ENSG00000187608,ISG15,41,0.22550,36,0.02539,19,-1.0987,38,0.09937,61,0.88821
ENSG00000188157,AGRN,14,-0.5298,22,0.27136,16,-0.3443,15,-0.3925,28,0.59074
ENSG00000078808,SDF4,58,-0.0668,69,0.35898,48,-0.4206,46,-0.4527,70,0.22371
ENSG00000176022,B3GALT6,13,-0.9541,29,0.47327,19,-0.3990,30,0.35986,21,-0.2209
ENSG00000160087,UBE2J2,31,-0.1147,31,-0.1535,33,0.00178,33,-0.0144,43,0.44696
ENSG00000131584,ACAP3,39,-0.8867,74,0.17465,71,0.02990,84,0.30734,64,-0.1319
ENSG00000127054,INTS11,31,-0.3312,44,0.40434,40,0.11023,27,-0.5320,27,-0.5222
ENSG00000224051,CPTP,9,-1.1015,21,0.44200,22,0.33079,7,-1.3702,18,0.03718
ENSG00000107404,DVL1,24,-1.0349,43,-0.2267,43,-0.1618,54,0.22287,88,1.05088
ENSG00000175756,AURKAIP1,87,-0.8616,190,0.65250,111,-0.5475,129,-0.2590,164,0.13244
ENSG00000221978,CCNL2,70,0.31511,61,0.12891,57,-0.0475,41,-0.5313,54,-0.1282
ENSG00000242485,MRPL20,119,-0.4650,189,0.48924,117,-0.5368,167,0.07723,153,-0.0617
ENSG00000235098,ANKRD65,56,0.90353,33,0.03669,26,-0.4033,28,-0.2458,25,-0.3962
ENSG00000179403,VWA1,151,3.29431,12,-1.7847,6,-2.4210,30,-0.0192,27,-0.1652
ENSG00000205090,TMEM240,1,-4.0862,28,0.63328,32,0.67218,14,-0.7308,11,-1.0736
ENSG00000160075,SSU72,78,-1.0441,201,0.82346,113,-0.5300,135,-0.1927,127,-0.2852
ENSG00000228594,FNDC10,4,-2.8149,32,0.59601,23,-0.1897,35,0.53031,19,-0.4856
ENSG00000272106,AL691432.2,26,0.12010,31,0.66932,15,-0.8756,26,0.08509,15,-0.7613
ENSG00000197530,MIB2,11,-1.1629,30,0.81988,21,-0.1450,28,0.34446,4,-2.6606
ENSG00000248333,CDK11B,56,0.93499,19,-1.1024,40,0.39945,34,0.06522,43,0.45518
ENSG00000008128,CDK11A,22,0.41673,12,-0.6899,26,0.84429,11,-0.6622,17,0.03071
ENSG00000215790,SLC35E2A,15,-0.4002,18,-0.2441,17,-0.2707,35,0.96025,22,0.16895
ENSG00000008130,NADK,17,-0.4824,28,0.49719,18,-0.4774,22,-0.0931,24,0.01850
ENSG00000078369,GNB1,267,-1.1774,586,0.08432,485,-0.2825,901,0.77810,623,0.15231
ENSG00000187730,GABRD,7,-4.6751,238,0.95379,219,0.44396,96,-0.9352,72,-1.3705
ENSG00000067606,PRKCZ,86,-1.1249,210,0.49553,174,-0.0232,236,0.48369,75,-1.3254
ENSG00000162585,FAAP20,29,-0.1680,27,-0.4422,16,-1.2268,50,0.70350,75,1.42563
ENSG00000157933,SKI,31,0.24416,15,-1.2024,31,0.25648,32,0.27554,55,1.23396
ENSG00000157916,RER1,49,-0.2241,71,0.62696,43,-0.4801,32,-0.9181,61,0.10649
ENSG00000157911,PEX10,25,0.12242,24,0.06751,14,-0.8570,25,0.10155,35,0.70931
ENSG00000157881,PANK4,9,-0.8175,24,1.34720,12,-0.4876,8,-1.0533,5,-1.6962
ENSG00000157870,PRXL2B,11,-2.1638,62,0.77615,44,-0.1370,45,-0.0899,36,-0.4571
ENSG00000177133,PRDM16-DT,3,-2.7548,18,-0.4787,9,-1.4874,29,0.50905,73,2.25443
ENSG00000158109,TPRG1L,65,-1.8665,283,0.76393,214,-0.0343,195,-0.1804,144,-0.6585
ENSG00000130764,LRRC47,41,-0.9621,89,0.44642,73,-0.0745,71,-0.1011,68,-0.1641
ENSG00000116198,CEP104,82,1.58153,15,-1.5950,47,0.69652,35,0.11474,24,-0.4717
ENSG00000198912,C1orf174,15,-0.1044,20,0.78005,13,-0.3620,10,-0.6358,8,-0.9497
ENSG00000196581,AJAP1,23,-1.0713,53,0.36076,69,0.76240,34,-0.5077,12,-2.0215
ENSG00000069424,KCNAB2,32,-2.7779,259,0.72476,180,-0.2095,253,0.36857,137,-0.6108
ENSG00000116254,CHD5,26,-2.8509,148,-0.3331,276,0.98764,260,0.71264,96,-0.8971
ENSG00000116251,RPL22,780,0.48564,481,-0.4619,386,-0.7211,964,0.85270,794,0.51724
ENSG00000116237,ICMT,23,-0.8601,49,0.51885,39,-0.0830,44,0.11269,26,-0.7316
ENSG00000097021,ACOT7,52,-2.3111,360,1.39521,211,-0.2085,128,-0.9613,83,-1.6229
ENSG00000215788,TNFRSF25,7,-1.5556,22,0.30099,27,0.56662,14,-0.5515,15,-0.3929
ENSG00000171680,PLEKHG5,0,-5.8468,38,1.31380,19,-0.4889,17,-0.6015,20,-0.3885
ENSG00000162408,NOL9,28,-0.0205,29,0.02369,29,0.02293,30,0.05442,26,-0.1395
ENSG00000162413,KLHL21,34,0.00373,36,0.12828,26,-0.4492,24,-0.5722,53,0.72807
ENSG00000116273,PHF13,11,-0.4723,17,0.43015,16,0.11587,14,-0.0998,7,-1.0286
ENSG00000041988,THAP3,14,-0.3401,17,-0.0124,21,0.29319,19,0.10422,14,-0.3370
ENSG00000007923,DNAJC11,21,-0.6809,34,0.08657,35,0.09043,26,-0.3658,44,0.45977
