sczgenenames,ensembl_names
MAD1L1,ENSG00000002822
KMT2E,ENSG00000005483
IBTK,ENSG00000005700
CRLF1,ENSG00000006016
NADK,ENSG00000008130
SEMA3G,ENSG00000010319
NISCH,ENSG00000010322
STAB1,ENSG00000010327
HIVEP2,ENSG00000010818
MVP,ENSG00000013364
CLK1,ENSG00000013441
POLA2,ENSG00000014138
MTMR11,ENSG00000014914
MATR3,ENSG00000015479
GLT8D1,ENSG00000016864
PLEKHO1,ENSG00000023902
HSD17B6,ENSG00000025423
NR1H3,ENSG00000025434
CUL3,ENSG00000036257
CTNNA1,ENSG00000044115
ITIH4,ENSG00000055955
HPF1,ENSG00000056050
PSD,ENSG00000059915
CTDP1,ENSG00000060069
CS,ENSG00000062485
SPA17,ENSG00000064199
BTBD1,ENSG00000064726
ANKRD44,ENSG00000065413
KDM4A,ENSG00000066135
NGEF,ENSG00000066248
MPPED2,ENSG00000066382
PRKCZ,ENSG00000067606
SMG6,ENSG00000070366
EPN2,ENSG00000072134
SREBF1,ENSG00000072310
NFATC3,ENSG00000072736
PDE8A,ENSG00000073417
ENO1,ENSG00000074800
BAZ2A,ENSG00000076108
NT5C2,ENSG00000076685
DGKD,ENSG00000077044
NFKB2,ENSG00000077150
GNB1,ENSG00000078369
KIF22,ENSG00000079616
MEF2C,ENSG00000081189
BZW1,ENSG00000082153
WDFY1,ENSG00000085449
DDHD2,ENSG00000085788
ATG16L1,ENSG00000085978
USP40,ENSG00000085982
IPO11,ENSG00000086200
TMED2,ENSG00000086598
SF3B2,ENSG00000087365
PITPNM2,ENSG00000090975
PUS7,ENSG00000091127
MYO15A,ENSG00000091536
MYL6,ENSG00000092841
DPYSL2,ENSG00000092964
CDC23,ENSG00000094880
SNU13,ENSG00000100138
TTLL1,ENSG00000100271
CACNA1I,ENSG00000100346
GRAP2,ENSG00000100351
RANGAP1,ENSG00000100401
TIMM9,ENSG00000100575
KIAA0586,ENSG00000100578
PPP1R16B,ENSG00000101445
NDFIP2,ENSG00000102471
VAC14,ENSG00000103043
SLC7A6OS,ENSG00000103061
RRN3P2,ENSG00000103472
MAZ,ENSG00000103495
CDIPT,ENSG00000103502
AP3B2,ENSG00000103723
HOMER2,ENSG00000103942
TRIM35,ENSG00000104228
TMEM59L,ENSG00000105696
SUGP1,ENSG00000105705
