gene_name,variant,ref85_selection_rule,ref85_source_note
ZNF823,rs72986630,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
THOC7,rs832190,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
FURIN,rs4702,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
FAM134A,rs6715064,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
ZFAND2B,rs13029742,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
CACNA1C,rs12311439,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
CNPPD1,rs6715064,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
ABCB6,rs2385395,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
INO80E,rs12445982,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
PCCB,rs10935184,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
CNTN4,rs34877519,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
RERE,rs11121178,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
CLCN3,rs1566522,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
B3GAT1,rs1440480,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
GATAD2A,rs4808955,SCZ CLPP > 0.01,Derived from Zeng et al. Fig. 6B / BREMA source data under SCZ-present rule
