Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,47,0.27235,55,0.52891,40,0.04075,41,0.05290,30,-0.4348,21,-0.9762
ENSG00000188976,NOC2L,48,-0.0674,50,-0.0275,62,0.57170,46,-0.1727,26,-1.0054,32,-0.6963
ENSG00000188290,HES4,23,-0.5893,12,-1.5409,29,-0.3570,48,0.64952,63,1.03181,30,-0.1619
ENSG00000187608,ISG15,8,-2.1377,6,-2.6115,34,0.03383,49,0.67469,27,-0.3393,62,0.99537
ENSG00000188157,AGRN,10,-1.2659,21,-0.1666,28,0.47214,24,0.04773,26,0.15774,14,-0.7822
ENSG00000078808,SDF4,29,-1.1141,39,-0.6504,55,-0.1927,58,-0.0352,109,1.00167,84,0.56979
ENSG00000176022,B3GALT6,33,0.41758,11,-1.2684,31,0.50608,26,0.05395,13,-1.0713,19,-0.4680
ENSG00000160087,UBE2J2,33,-0.2401,36,-0.0987,39,0.06734,44,0.24017,46,0.29748,22,-0.8361
ENSG00000131584,ACAP3,45,-0.8053,113,0.61915,81,0.13399,72,-0.0987,78,0.01729,60,-0.3809
ENSG00000127054,INTS11,28,-0.7634,45,-0.0091,48,0.15993,34,-0.4939,85,1.01432,34,-0.4662
ENSG00000224051,CPTP,27,0.37851,11,-0.9797,23,0.24906,20,-0.1038,13,-0.7296,26,0.31870
ENSG00000107404,DVL1,27,-1.0163,45,-0.2386,37,-0.8359,78,0.72188,90,0.86782,78,0.62918
ENSG00000175756,AURKAIP1,108,-0.6328,78,-1.1327,187,0.38616,192,0.29468,172,0.08985,115,-0.5461
ENSG00000221978,CCNL2,22,-1.4902,108,0.99586,62,0.12897,41,-0.6208,74,0.37263,53,-0.1690
ENSG00000242485,MRPL20,122,-0.3377,73,-1.1087,162,0.18249,175,0.26443,148,-0.0347,161,0.09807
ENSG00000235098,ANKRD65,9,-1.7813,13,-1.2789,31,0.04180,45,0.72884,35,0.21581,32,0.10654
ENSG00000179403,VWA1,2,-3.1667,14,-0.4683,9,-1.6240,17,-0.1981,43,1.32192,75,2.40653
ENSG00000205090,TMEM240,29,-0.1541,37,0.22171,36,0.34292,29,-0.1731,38,0.29314,9,-1.9358
ENSG00000160075,SSU72,114,-0.4792,110,-0.5361,157,0.03205,197,0.43651,167,0.11573,135,-0.2108
ENSG00000228594,FNDC10,29,-0.1103,16,-0.9685,35,0.37483,40,0.45593,8,-2.0118,30,-0.0259
ENSG00000197530,MIB2,27,-0.4359,25,-0.5138,44,0.65152,37,0.06572,26,-0.4710,16,-1.1607
ENSG00000248333,CDK11B,69,0.73940,88,1.15640,33,-0.6441,31,-0.5515,44,0.00423,50,0.21607
ENSG00000008128,CDK11A,32,0.47176,60,1.53110,13,-1.3304,17,-0.5269,51,1.24394,21,-0.2015
ENSG00000215790,SLC35E2A,33,-0.2824,20,-1.0584,44,0.23099,45,0.19300,41,0.03311,39,-0.0448
ENSG00000008130,NADK,26,-0.1124,25,-0.1681,30,0.21560,19,-0.6189,30,0.13602,36,0.39774
ENSG00000078369,GNB1,357,-0.5430,267,-0.9862,489,-0.0874,711,0.62617,523,0.05102,551,0.13406
ENSG00000187730,GABRD,229,0.03937,137,-0.7585,293,0.81655,159,-0.5802,241,0.11812,71,-1.7469
ENSG00000067606,PRKCZ,188,-0.3300,174,-0.4481,248,0.18060,307,0.51124,172,-0.4665,164,-0.5419
ENSG00000162585,FAAP20,14,-1.2840,23,-0.5349,33,-0.0076,54,0.92193,14,-1.2766,38,0.25846
ENSG00000157933,SKI,37,-0.2736,58,0.44952,30,-0.8564,40,-0.1531,69,0.74904,86,1.11290
ENSG00000157916,RER1,44,-0.4776,45,-0.4459,65,0.24932,34,-0.9325,110,1.00834,62,0.07380
ENSG00000157911,PEX10,5,-1.9351,11,-0.9081,17,-0.3780,30,0.74995,23,0.24029,34,0.88099
ENSG00000157870,PRXL2B,27,-0.7532,26,-0.8104,52,0.51921,46,0.10768,30,-0.5827,43,-0.0159
ENSG00000158109,TPRG1L,212,-0.1259,138,-0.7961,266,0.40419,242,0.09258,224,-0.0421,144,-0.7242
ENSG00000130764,LRRC47,64,-0.4675,79,-0.1518,106,0.57928,73,-0.2937,83,-0.0701,52,-0.7819
ENSG00000116198,CEP104,31,-0.1936,57,0.81639,27,-0.5611,26,-0.4675,49,0.55094,55,0.73482
ENSG00000196581,AJAP1,51,-0.2554,92,0.69470,68,0.37197,28,-1.2507,96,0.75889,22,-1.4895
ENSG00000069424,KCNAB2,158,-0.5740,154,-0.6076,262,0.38680,259,0.22897,208,-0.1431,161,-0.5394
