Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,16,-0.7626,18,-0.5724,21,-0.4356,26,-0.0569,38,0.63603,41,0.70412,17,-0.6650,32,0.26722
ENSG00000188976,NOC2L,31,-0.2309,24,-0.6328,35,-0.0207,44,0.33621,43,0.32739,41,0.20300,32,-0.1781,30,-0.2709
ENSG00000188290,HES4,47,0.82711,36,0.36604,34,0.31397,13,-1.1750,13,-1.2349,20,-0.5372,42,0.62464,32,0.19269
ENSG00000187608,ISG15,41,0.99527,33,0.63443,22,-0.0119,5,-2.1169,6,-2.0083,29,0.38578,31,0.53086,28,0.35333
ENSG00000188157,AGRN,22,0.72074,10,-0.5000,17,0.36355,8,-0.9139,9,-0.7099,16,0.24871,17,0.28573,15,0.07602
ENSG00000078808,SDF4,46,-0.2694,58,0.11254,65,0.32892,54,-0.0159,34,-0.7999,43,-0.3743,94,0.90440,51,-0.1041
ENSG00000176022,B3GALT6,12,-0.9397,21,-0.0438,21,-0.0485,35,0.81101,20,-0.1534,20,-0.0897,22,0.04087,24,0.14619
ENSG00000160087,UBE2J2,26,-0.2999,22,-0.5990,40,0.39588,19,-0.7999,38,0.31693,28,-0.2074,46,0.57528,24,-0.4738
ENSG00000162572,SCNN1D,15,0.09570,13,-0.1271,16,0.25720,22,0.72690,14,0.03217,11,-0.3886,12,-0.1801,6,-1.2373
ENSG00000131584,ACAP3,76,0.29064,55,-0.2299,57,-0.1984,63,-0.0143,64,0.02037,48,-0.4292,92,0.61418,58,-0.1337
ENSG00000127054,INTS11,51,0.57402,18,-1.0449,36,-0.0060,35,-0.0558,18,-1.1423,47,0.42697,67,1.03203,34,-0.0950
ENSG00000224051,CPTP,19,0.25013,8,-1.1551,16,-0.0961,15,-0.1620,14,-0.2886,32,1.09084,22,0.41669,11,-0.6660
ENSG00000107404,DVL1,54,0.35883,36,-0.2950,56,0.48849,19,-1.2817,37,-0.2648,25,-0.8552,68,0.75763,43,0.00993
ENSG00000175756,AURKAIP1,97,-0.3773,146,0.28133,136,0.18704,126,0.04051,125,0.03152,103,-0.2753,98,-0.3578,136,0.16439
ENSG00000221978,CCNL2,74,0.33066,46,-0.4381,64,0.10517,52,-0.2529,60,-0.0193,72,0.28479,55,-0.1522,58,-0.0583
ENSG00000242485,MRPL20,109,-0.3812,166,0.29025,142,0.05178,111,-0.3506,133,-0.0750,109,-0.3690,169,0.32189,170,0.33400
ENSG00000179403,VWA1,44,1.86239,31,1.20968,15,0.05258,5,-1.4642,7,-1.1234,5,-1.6343,10,-0.6313,9,-0.8314
ENSG00000160072,ATAD3B,10,-0.2662,2,-2.4310,19,0.81162,21,0.89906,9,-0.4591,6,-0.9663,19,0.73112,6,-0.9263
ENSG00000197785,ATAD3A,7,-0.2229,10,0.15641,10,0.18139,5,-0.7804,4,-1.0941,9,0.00589,16,0.94622,12,0.54760
ENSG00000205090,TMEM240,11,-1.5153,18,-0.7402,29,-0.0299,31,0.04700,48,0.93710,27,-0.1197,28,-0.0633,26,-0.2045
ENSG00000160075,SSU72,88,-0.6041,118,-0.1495,138,0.11832,123,-0.0810,146,0.21476,101,-0.3991,138,0.09579,160,0.34404
ENSG00000228594,FNDC10,21,-0.3287,33,0.43164,30,0.27143,22,-0.2448,29,0.23456,30,0.28659,19,-0.4610,12,-1.0921
ENSG00000272106,AL691432.2,10,-0.8615,27,0.65199,9,-1.1750,14,-0.3926,18,-0.0023,15,-0.2814,34,1.08273,25,0.57502
ENSG00000197530,MIB2,29,0.07085,15,-0.9188,28,0.03582,34,0.31029,31,0.22142,24,-0.2453,34,0.33536,22,-0.3429
ENSG00000248333,CDK11B,61,1.78266,14,-0.6607,10,-1.2832,35,0.77434,16,-0.5200,26,0.27146,16,-0.4934,14,-0.6752
ENSG00000189339,SLC35E2B,27,0.11805,17,-0.5683,24,-0.0733,16,-0.6413,40,0.92565,27,0.12324,13,-1.0440,21,-0.2934
ENSG00000008128,CDK11A,33,1.65076,2,-2.3002,5,-1.3672,10,-0.3943,17,0.55949,7,-0.9505,25,1.11851,4,-1.6138
ENSG00000215790,SLC35E2A,29,-0.1384,16,-0.9905,41,0.50700,24,-0.4285,32,0.04350,31,-0.0209,37,0.26267,30,-0.0693
