Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to11,Feature log2 fold change topic 7to11
ENSG00000228794,LINC01128,12,-1.4591,17,-0.8998,24,-0.4458,44,0.54090,19,-0.7907,57,0.95436,35,0.27265
ENSG00000188976,NOC2L,40,-0.1980,19,-1.2759,50,0.15212,32,-0.5396,46,0.02666,48,0.10514,52,0.41448
ENSG00000188290,HES4,30,-0.2843,87,1.44685,45,0.34367,15,-1.3725,14,-1.4882,33,-0.1725,36,-0.0603
ENSG00000187608,ISG15,36,0.02172,66,1.03519,39,0.15353,20,-0.8231,1,-4.6185,16,-1.1484,42,0.47661
ENSG00000188157,AGRN,23,0.31070,39,1.15120,32,0.83595,7,-1.4845,11,-0.8383,23,0.26992,15,-0.5583
ENSG00000078808,SDF4,64,0.33564,66,0.39024,68,0.43225,21,-1.3581,29,-0.9105,67,0.40965,51,-0.0389
ENSG00000176022,B3GALT6,17,-0.5247,26,0.09400,11,-1.2226,18,-0.5167,28,0.19801,24,-0.0612,29,0.50472
ENSG00000160087,UBE2J2,24,-0.3105,13,-1.2142,29,-0.0177,32,0.13598,45,0.68224,37,0.36239,29,-0.0674
ENSG00000131584,ACAP3,68,0.21148,66,0.15438,129,1.26971,40,-0.6258,26,-1.2902,105,0.90850,45,-0.6706
ENSG00000127054,INTS11,37,0.13400,31,-0.1576,33,-0.0368,24,-0.5323,11,-1.6629,36,0.07250,41,0.49201
ENSG00000224051,CPTP,13,-0.4278,19,0.10180,26,0.65849,13,-0.4491,6,-1.4995,19,0.13661,19,0.24063
ENSG00000107404,DVL1,38,-0.4005,92,0.99844,93,1.02084,37,-0.4765,46,-0.1173,39,-0.3686,41,-0.4983
ENSG00000175756,AURKAIP1,83,-1.0202,209,0.41559,208,0.41123,126,-0.3814,152,-0.0934,102,-0.7051,178,0.28133
ENSG00000221978,CCNL2,54,0.24187,24,-1.0149,82,0.93949,29,-0.6897,36,-0.3598,62,0.48713,44,-0.1284
ENSG00000242485,MRPL20,125,-0.3970,194,0.30200,160,-0.0119,184,0.21737,131,-0.3281,150,-0.1097,165,0.07053
ENSG00000235098,ANKRD65,27,-0.4797,41,0.15774,49,0.46120,52,0.56272,50,0.50270,29,-0.3511,31,-0.4052
ENSG00000179403,VWA1,184,3.47453,28,-0.1594,19,-0.7772,5,-2.5891,23,-0.5075,10,-1.7535,15,-1.5179
ENSG00000205090,TMEM240,2,-3.1750,20,-0.2646,25,0.09139,27,0.22305,9,-1.4502,28,0.28749,30,0.65391
ENSG00000160075,SSU72,53,-1.3878,113,-0.2440,236,0.95111,121,-0.1458,161,0.31540,108,-0.3147,133,0.00465
ENSG00000228594,FNDC10,12,-1.2640,43,0.64914,18,-0.6720,18,-0.6960,31,0.10857,40,0.54017,30,0.16484
ENSG00000272106,AL691432.2,29,0.80542,16,-0.0774,36,1.20460,7,-1.2573,8,-1.0784,21,0.31030,14,-0.4329
