Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,16,0.90112,7,-1.0975,13,0.21210,11,-0.1012
ENSG00000228794,LINC01128,46,0.95985,26,-0.5205,21,-0.6857,17,-0.9748
ENSG00000188976,NOC2L,68,0.75844,41,-0.4814,30,-0.8099,44,-0.2181
ENSG00000188290,HES4,24,0.06819,29,0.49850,14,-0.7665,10,-1.3318
ENSG00000187608,ISG15,33,0.08204,32,0.04957,34,0.12540,22,-0.5640
ENSG00000188157,AGRN,26,-0.1710,28,0.00837,34,0.30149,30,0.09746
ENSG00000078808,SDF4,57,-0.1075,57,-0.1272,78,0.42928,65,0.13256
ENSG00000176022,B3GALT6,26,0.32581,20,-0.2238,25,0.19203,15,-0.5897
ENSG00000160087,UBE2J2,38,0.14872,39,0.19077,24,-0.6423,27,-0.4246
ENSG00000131584,ACAP3,80,0.13474,64,-0.3751,94,0.35148,86,0.20770
ENSG00000127054,INTS11,37,0.19598,30,-0.2736,31,-0.1489,41,0.30177
ENSG00000224051,CPTP,17,0.29065,14,-0.2302,17,0.19011,11,-0.4349
ENSG00000107404,DVL1,39,-0.3231,42,-0.1459,84,1.04628,40,-0.1724
ENSG00000175756,AURKAIP1,183,0.41960,149,-0.0863,137,-0.1986,84,-0.9435
ENSG00000221978,CCNL2,67,0.34154,39,-0.8688,73,0.37202,87,0.65525
ENSG00000242485,MRPL20,127,-0.0950,153,0.36322,92,-0.5699,112,-0.2690
ENSG00000235098,ANKRD65,24,-0.4479,37,0.58637,17,-0.8812,34,0.22004
ENSG00000179403,VWA1,10,-2.2231,29,-0.4126,47,0.48984,142,2.62320
ENSG00000197785,ATAD3A,18,0.66647,10,-0.7684,16,0.19336,13,-0.1353
ENSG00000205090,TMEM240,35,0.86510,24,-0.1138,8,-1.6585,9,-1.5569
ENSG00000160075,SSU72,137,0.15430,144,0.27394,87,-0.6202,78,-0.7905
ENSG00000228594,FNDC10,34,0.47370,28,0.00085,30,0.06562,4,-2.8712
ENSG00000272106,AL691432.2,18,0.02010,19,0.06908,11,-0.7836,23,0.35563
ENSG00000197530,MIB2,27,-0.5098,48,0.91032,17,-1.0900,26,-0.4471
ENSG00000248333,CDK11B,53,-0.0852,42,-0.5786,64,0.24363,105,1.07053
ENSG00000189339,SLC35E2B,26,0.51675,22,0.08992,1,-3.7727,19,-0.1908
ENSG00000008128,CDK11A,17,-0.3015,11,-1.1147,27,0.57504,53,1.74645
ENSG00000008130,NADK,18,-0.5520,33,0.85499,10,-1.3498,24,-0.0162
ENSG00000078369,GNB1,425,-0.1073,534,0.46708,418,-0.1002,196,-1.2643
ENSG00000187730,GABRD,260,1.41957,123,-0.6126,72,-1.2480,17,-3.3240
ENSG00000067606,PRKCZ,275,0.37373,246,0.09158,152,-0.7021,136,-0.8707
ENSG00000162585,FAAP20,25,-0.9259,51,0.78342,37,-0.0547,42,0.14293
ENSG00000157933,SKI,23,-0.5005,29,0.03328,36,0.39723,42,0.62754
ENSG00000157916,RER1,54,0.19838,49,-0.0403,30,-0.8031,57,0.20332
ENSG00000157911,PEX10,15,-0.2185,16,-0.0687,20,0.25147,22,0.43140
ENSG00000157870,PRXL2B,50,0.45837,40,-0.1095,38,-0.1680,21,-1.0778
ENSG00000177133,PRDM16-DT,10,-1.2961,23,0.38854,52,1.63256,13,-0.6948
ENSG00000142611,PRDM16,8,-1.3411,15,-0.0561,50,2.01796,14,-0.1566
ENSG00000158109,TPRG1L,233,0.79997,163,-0.1390,93,-0.9741,55,-1.7408
ENSG00000116213,WRAP73,14,0.35460,12,-0.0592,2,-2.4215,16,0.41896
ENSG00000130764,LRRC47,82,0.34316,75,0.10680,28,-1.4226,60,-0.2748
ENSG00000116198,CEP104,28,-0.9107,38,-0.2682,52,0.32123,112,1.66101
ENSG00000198912,C1orf174,14,0.57555,10,-0.2560,3,-2.0083,13,0.24700
ENSG00000196581,AJAP1,46,0.52407,39,0.14329,15,-1.3890,17,-1.2111
ENSG00000069424,KCNAB2,177,0.31869,182,0.40259,93,-0.8059,27,-2.6151
ENSG00000116254,CHD5,303,0.58088,249,0.06397,148,-0.7714,70,-1.9004
ENSG00000116251,RPL22,338,-0.7742,584,0.49639,587,0.31933,545,0.19895
ENSG00000116237,ICMT,46,0.50236,37,-0.0662,17,-1.1868,29,-0.3783
ENSG00000097021,ACOT7,282,1.33575,143,-0.5172,61,-1.6482,37,-2.3913
ENSG00000215788,TNFRSF25,26,1.50206,9,-1.0440,8,-1.0918,8,-1.0080
ENSG00000171680,PLEKHG5,17,0.26328,19,0.48055,7,-1.1074,3,-2.1417
ENSG00000162408,NOL9,32,0.10465,28,-0.2251,43,0.53394,25,-0.3401
ENSG00000162413,KLHL21,27,-0.0841,28,-0.0544,28,-0.0212,35,0.35283
ENSG00000116273,PHF13,14,-0.0265,17,0.45224,0,-5.1454,18,0.35269
ENSG00000041988,THAP3,16,0.17558,14,-0.1615,12,-0.3712,18,0.26662
ENSG00000007923,DNAJC11,43,0.96907,20,-0.8086,17,-0.8515,30,0.00232
ENSG00000171735,CAMTA1,489,0.44846,402,-0.0495,320,-0.3927,221,-0.9658
ENSG00000049245,VAMP3,10,-1.9979,28,-0.0666,36,0.40103,98,2.21334
ENSG00000049246,PER3,40,-1.0297,52,-0.4766,184,1.82854,96,0.63280
ENSG00000116288,PARK7,268,0.14100,289,0.34139,154,-0.7737,145,-0.8672
ENSG00000116285,ERRFI1,35,0.82445,20,-0.5148,24,-0.0937,12,-1.1995
ENSG00000162426,SLC45A1,36,1.13734,17,-0.6732,11,-1.1003,14,-0.7656
ENSG00000142599,RERE,115,-0.0931,108,-0.2328,118,-0.0155,184,0.71656
ENSG00000074800,ENO1,455,0.06275,414,-0.1627,732,0.83179,227,-1.0435
ENSG00000171612,SLC25A33,22,-0.7431,38,0.54544,48,0.71094,21,-0.6039
ENSG00000188807,TMEM201,11,-0.1948,10,-0.2551,15,0.39062,17,0.62636
ENSG00000171603,CLSTN1,945,1.03212,559,-0.3621,326,-1.0864,208,-1.7548
ENSG00000178585,CTNNBIP1,19,-0.8808,41,0.98460,10,-1.5786,37,0.42119
ENSG00000162441,LZIC,46,-0.6354,51,-0.4442,95,0.71462,134,1.31550
ENSG00000130939,UBE4B,47,0.34962,36,-0.3018,19,-1.1300,58,0.56750
ENSG00000054523,KIF1B,471,-0.3052,559,0.09273,506,-0.0987,754,0.55117
ENSG00000142657,PGD,74,0.77286,43,-0.5790,43,-0.4096,45,-0.3200
ENSG00000241563,CORT,22,-2.1166,139,2.89042,19,-1.8931,4,-4.2085
ENSG00000160049,DFFA,38,-0.5563,39,-0.4670,87,0.97336,89,1.01722
ENSG00000142655,PEX14,18,0.25225,15,-0.1723,19,0.26596,11,-0.6102
ENSG00000120948,TARDBP,89,0.28470,62,-0.5413,85,0.12622,102,0.42128
ENSG00000271895,AL109811.2,20,0.34311,13,-0.6614,29,0.81858,14,-0.3255
ENSG00000116649,SRM,60,0.23944,47,-0.3244,71,0.44406,44,-0.3371
ENSG00000171824,EXOSC10,37,0.22790,25,-0.6509,38,0.16549,52,0.69788
ENSG00000198793,MTOR,46,0.60177,34,-0.1686,14,-1.4745,31,-0.2335
ENSG00000116661,FBXO2,147,-0.1773,166,0.11047,238,0.66095,97,-0.7700
ENSG00000132879,FBXO44,108,0.75943,68,-0.4164,77,-0.0847,34,-1.3469
ENSG00000116670,MAD2L2,10,-0.7319,15,0.14769,16,0.11634,27,0.99472
ENSG00000177000,MTHFR,26,-0.0135,26,-0.0163,23,-0.1807,30,0.23581
ENSG00000011021,CLCN6,88,0.41785,77,0.07078,42,-0.8813,45,-0.7944
ENSG00000116685,KIAA2013,32,-0.2553,33,-0.1620,42,0.27998,54,0.66059
ENSG00000083444,PLOD1,15,-0.2767,15,-0.2214,35,1.20738,13,-0.4123
ENSG00000116688,MFN2,131,0.43198,103,-0.1772,94,-0.2647,79,-0.5414
ENSG00000116691,MIIP,12,0.01120,11,-0.3100,20,0.74956,11,-0.1499
ENSG00000048707,VPS13D,94,0.68570,64,-0.2939,37,-1.0427,58,-0.3706
ENSG00000162496,DHRS3,20,-0.1589,14,-0.9160,59,1.74638,20,-0.1074
ENSG00000116731,PRDM2,250,0.16802,237,0.03693,202,-0.2305,185,-0.3717
ENSG00000189337,KAZN,61,-0.0120,53,-0.3430,55,-0.1682,103,0.85681
ENSG00000142634,EFHD2,107,0.19689,118,0.46558,50,-1.0459,36,-1.5542
ENSG00000116138,DNAJC16,46,0.65447,27,-0.5938,31,-0.2115,34,-0.0985
ENSG00000197312,DDI2,51,0.72021,30,-0.5768,31,-0.3523,34,-0.2104
ENSG00000116786,PLEKHM2,76,-0.7357,138,0.67476,137,0.39745,76,-0.5423
ENSG00000065526,SPEN,163,-0.3529,166,-0.3043,176,-0.1259,407,1.29324
ENSG00000116809,ZBTB17,17,-0.8124,24,-0.0758,56,1.35686,29,0.23781
ENSG00000037637,FBXO42,21,0.22816,16,-0.3201,24,0.37241,16,-0.2097
ENSG00000055070,SZRD1,16,-0.7649,20,-0.2964,27,0.27803,57,1.56679
ENSG00000157191,NECAP2,6,-1.7750,11,-0.5403,52,2.27477,26,0.91255
ENSG00000219481,NBPF1,13,-1.1522,24,0.00972,25,0.08965,62,1.67521
ENSG00000159363,ATP13A2,127,0.75752,88,-0.1908,64,-0.6361,33,-1.6282
ENSG00000117118,SDHB,50,0.20876,49,0.15901,41,-0.1862,23,-1.1044
ENSG00000117115,PADI2,20,-2.5674,59,-0.6372,143,0.97273,335,2.70340
ENSG00000179051,RCC2,21,0.28818,19,0.00668,6,-1.7522,22,0.27078
ENSG00000074964,ARHGEF10L,15,-0.1115,13,-0.4773,40,1.52563,8,-1.0119
ENSG00000117154,IGSF21,75,1.00867,47,-0.2573,16,-1.7973,20,-1.4888
ENSG00000159423,ALDH4A1,12,-1.3764,25,0.11496,64,1.70236,27,0.16612
ENSG00000127481,UBR4,45,0.13653,40,-0.1221,22,-1.0215,62,0.61382
ENSG00000127463,EMC1,38,0.67310,24,-0.4576,18,-0.7586,29,-0.0602
ENSG00000053372,MRTO4,44,0.40409,37,-0.0573,30,-0.3447,23,-0.7910
ENSG00000053371,AKR7A2,21,-0.2133,20,-0.2783,36,0.72161,29,0.36712
ENSG00000077549,CAPZB,160,0.42950,120,-0.2756,97,-0.5184,135,-0.0035
ENSG00000173436,MICOS10,232,-0.3147,357,0.78974,209,-0.3843,99,-1.5253
ENSG00000158747,NBL1,166,0.42769,138,-0.0347,123,-0.2065,63,-1.2324
ENSG00000169914,OTUD3,25,0.41190,21,-0.0090,22,0.08507,5,-2.0557
ENSG00000162545,CAMK2N1,1284,-0.4723,1938,0.52722,1929,0.32099,1005,-0.7111
ENSG00000090432,MUL1,21,0.34167,11,-0.9306,32,0.96225,19,0.07816
ENSG00000183114,FAM43B,19,-0.1755,27,0.76449,11,-0.9518,8,-1.2910
ENSG00000158828,PINK1,472,0.51787,389,0.01882,271,-0.5579,148,-1.4798
ENSG00000244038,DDOST,27,0.22818,26,0.13622,17,-0.5939,17,-0.5600
ENSG00000117245,KIF17,35,1.51916,17,-0.4200,0,-6.4760,2,-3.4991
ENSG00000189410,SH2D5,50,1.06329,33,-0.0804,3,-3.6284,7,-2.2867
ENSG00000127483,HP1BP3,241,-0.3030,248,-0.2437,335,0.31977,461,0.85340
ENSG00000075151,EIF4G3,316,0.65495,201,-0.4587,158,-0.6988,240,-0.0460
ENSG00000117298,ECE1,13,-0.9864,16,-0.5924,65,1.92011,32,0.61737
ENSG00000076864,RAP1GAP,154,0.80259,110,-0.0878,38,-1.6902,50,-1.2852
ENSG00000090686,USP48,94,0.32108,52,-0.9908,77,-0.1141,167,1.18165
ENSG00000070831,CDC42,202,0.54686,127,-0.5583,133,-0.3279,186,0.20654
ENSG00000133216,EPHB2,15,0.65533,8,-0.7513,1,-3.5143,23,1.11981
ENSG00000004487,KDM1A,74,0.73338,46,-0.4283,44,-0.3891,36,-0.6808
ENSG00000169641,LUZP1,215,1.00477,133,-0.2684,41,-1.9712,66,-1.2740
ENSG00000125944,HNRNPR,137,0.00808,127,-0.1725,124,-0.1551,187,0.50561
ENSG00000125945,ZNF436,16,0.41354,9,-0.8645,30,1.39212,4,-1.5782
ENSG00000142676,RPL11,215,-1.1145,465,0.63953,406,0.17299,525,0.59616
ENSG00000011007,ELOA,29,0.11263,24,-0.3853,24,-0.2366,44,0.74537
ENSG00000057757,PITHD1,183,0.74408,127,-0.2058,41,-1.8595,106,-0.4246
ENSG00000011009,LYPLA2,27,0.58577,17,-0.5522,32,0.59901,9,-1.2971
ENSG00000117305,HMGCL,12,-0.4714,16,0.27974,18,0.33828,15,0.07574
ENSG00000189266,PNRC2,52,-0.2287,48,-0.3852,107,1.06145,63,0.17136
ENSG00000188529,SRSF10,75,0.25576,53,-0.5271,70,0.05747,93,0.51302
ENSG00000001461,NIPAL3,137,-0.2200,128,-0.3701,102,-0.6147,343,1.41078
ENSG00000133226,SRRM1,192,-0.3287,146,-0.8903,290,0.44237,570,1.64242
ENSG00000169504,CLIC4,11,-2.5812,36,-0.5843,64,0.50664,214,2.91329
ENSG00000117614,SYF2,95,-0.5301,137,0.32271,128,0.09686,149,0.33949
ENSG00000117616,RSRP1,67,-0.0065,44,-0.8973,114,0.88225,112,0.85683
ENSG00000183726,TMEM50A,75,0.27178,55,-0.4452,83,0.33362,69,0.04035
ENSG00000204178,MACO1,74,0.37943,44,-0.7877,76,0.29643,87,0.51346
ENSG00000117643,MAN1C1,41,1.09522,25,-0.2008,2,-3.5140,10,-1.5831
ENSG00000162430,SELENON,17,-0.9433,31,0.44282,39,0.65656,31,0.26985
ENSG00000117640,MTFR1L,74,0.52054,58,-0.0980,34,-0.9053,43,-0.5321
