Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,50,0.97857,26,-0.5885,10,-1.7872,31,-0.1501
ENSG00000188976,NOC2L,64,0.74197,28,-1.0443,27,-0.8489,64,0.52092
ENSG00000188290,HES4,32,-0.1184,43,0.60788,9,-1.8722,30,-0.1896
ENSG00000187608,ISG15,21,-0.8133,58,1.79670,29,-0.1290,1,-5.2484
ENSG00000188157,AGRN,13,-0.3032,18,0.38381,12,-0.2964,15,-0.0073
ENSG00000078808,SDF4,63,0.07944,64,0.12021,53,-0.2165,54,-0.2100
ENSG00000176022,B3GALT6,25,0.28088,19,-0.2740,12,-0.9632,27,0.34834
ENSG00000160087,UBE2J2,50,0.72766,32,-0.3296,26,-0.5910,29,-0.4613
ENSG00000131584,ACAP3,62,-0.6109,66,-0.4912,45,-0.9408,179,1.51958
ENSG00000127054,INTS11,50,0.39467,33,-0.5186,40,-0.0881,47,0.16908
ENSG00000224051,CPTP,23,0.79893,13,-0.5544,7,-1.2542,16,-0.0067
ENSG00000107404,DVL1,32,-0.7699,70,1.03878,27,-0.8452,40,-0.2629
ENSG00000175756,AURKAIP1,130,-0.1854,191,0.75236,95,-0.6250,89,-0.7856
ENSG00000221978,CCNL2,69,-0.1769,45,-1.0158,79,0.10500,142,1.25655
ENSG00000242485,MRPL20,116,-0.1429,178,0.92044,75,-0.7840,57,-1.2677
ENSG00000235098,ANKRD65,30,-0.2478,45,0.75238,52,0.70477,8,-2.2545
ENSG00000179403,VWA1,21,-1.0731,28,-0.5223,156,2.70075,21,-0.8788
ENSG00000205090,TMEM240,33,0.28985,18,-0.9224,2,-3.5410,56,1.26766
ENSG00000160075,SSU72,162,0.33411,163,0.34989,65,-1.1935,91,-0.7320
ENSG00000228594,FNDC10,42,0.90228,24,-0.4236,2,-3.4980,29,-0.0568
ENSG00000272106,AL691432.2,16,-0.1462,18,0.11079,13,-0.4262,20,0.24650
ENSG00000197530,MIB2,30,-0.0465,36,0.37318,10,-1.6677,32,0.05875
ENSG00000248333,CDK11B,52,-0.2877,27,-1.5329,71,0.27966,134,1.63283
ENSG00000189339,SLC35E2B,22,0.03735,22,0.06436,17,-0.3616,22,0.02222
ENSG00000008128,CDK11A,21,-0.9127,8,-2.5170,61,0.98597,94,2.23375
ENSG00000215790,SLC35E2A,24,0.16971,24,0.15223,12,-0.9428,21,-0.1085
ENSG00000008130,NADK,32,0.64247,22,-0.2169,15,-0.7236,19,-0.4270
ENSG00000078369,GNB1,529,0.16007,680,0.80983,183,-1.5147,206,-1.4322
ENSG00000187730,GABRD,197,1.25724,105,-0.3659,3,-5.4797,77,-0.7993
ENSG00000067606,PRKCZ,223,0.37686,199,0.09990,73,-1.4652,167,-0.2300
ENSG00000162585,FAAP20,27,-0.5654,51,0.94727,40,0.20940,18,-1.1063
ENSG00000157933,SKI,28,-0.7249,37,-0.1240,31,-0.3875,72,1.13585
ENSG00000157916,RER1,68,0.59345,54,0.00154,53,-0.0283,24,-1.2804
ENSG00000157911,PEX10,16,-0.4144,30,1.05743,23,0.21450,5,-1.9974
ENSG00000157870,PRXL2B,54,0.59925,41,-0.0703,20,-1.1048,32,-0.4593
ENSG00000177133,PRDM16-DT,7,-1.8114,34,1.75955,5,-1.7764,18,-0.0935
ENSG00000158109,TPRG1L,198,0.64962,168,0.23553,25,-2.7011,92,-0.8467
ENSG00000130764,LRRC47,106,0.92469,62,-0.3905,40,-0.9585,52,-0.6091
ENSG00000116198,CEP104,33,-0.4328,19,-1.4505,78,1.06909,80,1.31619
ENSG00000198912,C1orf174,23,0.94750,14,-0.2422,11,-0.5285,7,-1.2552
ENSG00000196581,AJAP1,38,0.05066,32,-0.3509,15,-1.4033,58,0.82425
ENSG00000069424,KCNAB2,211,0.75971,176,0.29387,10,-4.0482,77,-1.1627
ENSG00000116254,CHD5,288,0.47450,172,-0.6711,18,-3.8278,373,0.85240
ENSG00000116251,RPL22,312,-0.9555,692,0.83318,749,0.66064,360,-0.5544
ENSG00000116237,ICMT,41,0.33391,32,-0.2740,23,-0.6484,40,0.17374
ENSG00000097021,ACOT7,200,1.24510,112,-0.2636,22,-2.6171,60,-1.2363
ENSG00000215788,TNFRSF25,21,0.06314,9,-1.5571,0,-5.4637,52,1.94618
ENSG00000171680,PLEKHG5,21,-0.1641,28,0.54437,0,-4.6454,25,0.20329
