Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,11,-1.7568,30,-0.0946,53,0.95280,30,-0.1179,35,0.15827
ENSG00000188976,NOC2L,20,-1.6392,33,-0.7834,65,0.31173,57,0.07116,77,0.75815
ENSG00000188290,HES4,9,-2.3234,104,1.57983,37,-0.1861,52,0.42378,38,-0.1993
ENSG00000187608,ISG15,23,-0.6446,54,0.79402,6,-2.5507,66,1.40042,29,-0.2708
ENSG00000188157,AGRN,21,-0.1971,30,0.37021,28,0.28474,22,-0.1129,22,-0.1821
ENSG00000078808,SDF4,62,0.13095,55,-0.0746,49,-0.3032,49,-0.2778,68,0.33064
ENSG00000176022,B3GALT6,10,-1.2124,27,0.38509,20,-0.1053,25,0.29763,25,0.34376
ENSG00000160087,UBE2J2,15,-1.2973,29,-0.2253,36,0.14736,41,0.40081,40,0.36647
ENSG00000131584,ACAP3,65,-0.3450,141,0.96218,112,0.64909,61,-0.4691,59,-0.5784
ENSG00000127054,INTS11,29,-0.6529,41,-0.0429,60,0.63571,48,0.22633,37,-0.2909
ENSG00000107404,DVL1,28,-1.1160,142,1.63866,40,-0.5337,69,0.41015,44,-0.4175
ENSG00000175756,AURKAIP1,116,-0.8353,184,-0.0436,134,-0.5952,257,0.57737,231,0.43053
ENSG00000221978,CCNL2,50,-0.1292,47,-0.2272,73,0.57273,33,-0.8382,60,0.22368
ENSG00000242485,MRPL20,87,-1.0294,157,-0.0371,102,-0.7766,246,0.82220,192,0.38792
ENSG00000235098,ANKRD65,31,-0.1637,59,0.92905,20,-0.9001,39,0.28563,33,-0.0607
ENSG00000179403,VWA1,114,3.24096,26,-0.3135,11,-1.7754,13,-1.4336,6,-2.6852
ENSG00000205090,TMEM240,3,-3.0250,32,0.41646,36,0.69250,24,-0.0156,29,0.36109
ENSG00000160075,SSU72,69,-1.1392,164,0.30617,109,-0.3852,173,0.44766,164,0.40708
