Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,8,-2.1650,21,-0.7635,36,0.07781,40,0.35114,34,-0.0327,51,0.64558
ENSG00000188976,NOC2L,27,-0.7539,24,-0.9242,59,0.55282,47,0.19536,46,0.09084,33,-0.4373
ENSG00000188290,HES4,9,-1.7291,41,0.67238,37,0.57676,30,0.25670,19,-0.5627,8,-1.7392
ENSG00000187608,ISG15,39,0.66984,28,0.11611,9,-1.7787,33,0.61165,24,-0.1474,20,-0.3812
ENSG00000188157,AGRN,15,-0.2266,20,0.26993,20,0.31785,19,0.29649,11,-0.7115,7,-1.2772
ENSG00000078808,SDF4,46,0.09288,42,-0.0604,52,0.32340,46,0.11442,28,-0.6861,33,-0.4399
ENSG00000176022,B3GALT6,9,-1.2227,26,0.46685,20,0.07432,19,-0.0295,26,0.44197,17,-0.2247
ENSG00000160087,UBE2J2,19,-0.7307,26,-0.2717,41,0.49630,34,0.23955,29,-0.1171,18,-0.8280
ENSG00000131584,ACAP3,39,-0.4232,46,-0.1610,95,1.25001,38,-0.6418,55,0.14107,26,-1.0275
ENSG00000169972,PUSL1,12,0.34345,10,0.08298,11,0.21643,10,0.12114,10,0.00750,2,-2.0991
ENSG00000127054,INTS11,30,-0.2964,43,0.26193,39,0.11005,40,0.20505,41,0.19226,14,-1.4230
ENSG00000224051,CPTP,8,-0.9511,8,-1.1049,21,0.50392,19,0.37916,15,-0.1252,12,-0.3941
ENSG00000107404,DVL1,31,-0.4588,77,1.02947,65,0.87887,31,-0.6525,31,-0.4514,21,-1.0058
ENSG00000175756,AURKAIP1,100,-0.5751,188,0.42673,138,-0.0859,178,0.54530,66,-1.2214,103,-0.5310
ENSG00000221978,CCNL2,56,0.11205,19,-1.5081,57,0.17390,50,-0.1053,104,1.15663,28,-0.9591
ENSG00000242485,MRPL20,99,-0.5731,194,0.49758,133,-0.1317,158,0.25577,101,-0.5499,136,-0.0757
ENSG00000235098,ANKRD65,34,0.56102,41,0.84653,24,-0.0435,25,0.10428,8,-1.6604,11,-1.2044
ENSG00000179403,VWA1,96,2.56557,28,0.27128,23,-0.0770,13,-1.2152,10,-1.3275,6,-1.9517
ENSG00000205090,TMEM240,8,-1.5266,10,-1.1316,24,0.19600,23,0.16195,36,0.80782,22,0.03058
ENSG00000160075,SSU72,66,-0.9292,136,0.21741,122,0.04558,141,0.43602,80,-0.6331,100,-0.2714
ENSG00000228594,FNDC10,5,-2.1488,20,-0.0781,35,0.91244,23,0.14922,19,-0.1649,9,-1.2339
ENSG00000272106,AL691432.2,14,-0.2364,15,-0.1618,20,0.31682,20,0.40674,10,-0.7863,9,-0.8963
ENSG00000197530,MIB2,7,-1.4682,31,0.71038,18,-0.2028,25,0.50122,22,0.12498,7,-1.5920
ENSG00000248333,CDK11B,110,0.86672,28,-1.2586,74,0.24640,36,-1.2244,112,0.90076,107,0.82681
ENSG00000189339,SLC35E2B,14,-0.7768,39,0.81208,29,0.38868,21,-0.2493,31,0.45075,9,-1.4880
ENSG00000008128,CDK11A,73,0.99239,19,-1.1204,29,-0.5494,25,-1.0114,102,1.60982,49,0.33179
ENSG00000215790,SLC35E2A,11,-1.2791,32,0.36318,31,0.35891,23,-0.1837,39,0.69547,16,-0.6518
ENSG00000008130,NADK,15,-0.2778,25,0.50028,19,0.04391,22,0.43959,9,-1.0567,9,-1.0848
ENSG00000078369,GNB1,168,-1.5561,710,0.70901,495,0.12673,531,0.35059,277,-0.7973,350,-0.4362
ENSG00000187730,GABRD,7,-4.1497,55,-1.1759,98,-0.3186,181,1.24689,80,-0.6026,117,-0.0160
ENSG00000067606,PRKCZ,83,-1.2141,169,-0.1194,297,0.95300,176,-0.0782,171,-0.0967,98,-0.9555
ENSG00000162585,FAAP20,44,0.52189,63,1.11578,31,-0.0728,29,-0.1934,20,-0.7406,14,-1.2155
ENSG00000157933,SKI,39,0.55446,40,0.62032,34,0.38138,18,-0.9132,30,0.13064,27,-0.0277
ENSG00000157916,RER1,45,-0.1261,48,-0.0140,48,-0.0367,61,0.57775,31,-0.6774,23,-1.1149
ENSG00000157911,PEX10,25,0.49019,41,1.35031,10,-0.9925,19,0.09974,14,-0.4378,7,-1.4107
ENSG00000149527,PLCH2,14,0.71811,19,1.23453,5,-0.8885,10,0.31215,3,-1.4572,2,-1.9758
