interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
IGF1_ITGA6_ITGB4,IGF,IGF1,ITGA6_ITGB4,,IGF antagonist,,,PMID: 28190785; PMID: 28873464,Secreted Signaling,IGF1 - (ITGA6+ITGB4),FALSE,IGF1,Insulin,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, Alternative splicing, Deafness, 3D-structure",growth factor,FALSE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
IGF2_ITGA6_ITGB4,IGF,IGF2,ITGA6_ITGB4,,IGF antagonist,,,PMID: 28190785; PMID: 28873464,Secreted Signaling,IGF2 - (ITGA6+ITGB4),FALSE,IGF2,Insulin,Secreted,"Disulfide bond, Secreted, Growth factor, Alternative splicing, Hormone, Glycoprotein, Disease variant, Signal, Reference proteome, Glucose metabolism, Mitogen, Direct protein sequencing, Cleavage on pair of basic residues, Osteogenesis, 3D-structure, Dwarfism, Carbohydrate metabolism",growth factor;hormone,FALSE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
MIF_CD74_CXCR4,MIF,MIF,CD74_CXCR4,,,,,PMID: 29637711; PMID: 24760155,Secreted Signaling,MIF - (CD74+CXCR4),FALSE,MIF,MIF,"Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation",,NA,"CD74, CXCR4",G-protein coupled receptor 1,"Golgi apparatus, Cell membrane, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome, Late endosome, Early endosome, Cell junction","Immunity, Membrane, Alternative initiation, Disulfide bond, Transmembrane, Signal-anchor, Alternative splicing, Adaptive immunity, Endoplasmic reticulum, Glycoprotein, Chaperone, Lysosome, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Golgi apparatus, 3D-structure, Endosome, Proteoglycan, Host-virus interaction, Host cell receptor for virus entry, Receptor, Disease variant, Transducer, Sulfation, G-protein coupled receptor, Isopeptide bond, Cell junction, Ubl conjugation","Unclassified, Receptors","Unclassified, GPCR;Rhodopsin",,,TRUE,CellChatDB v1
MIF_CD74_CD44,MIF,MIF,CD74_CD44,,,,,PMID: 29637711; PMID: 26175090,Secreted Signaling,MIF - (CD74+CD44),FALSE,MIF,MIF,"Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation",,NA,"CD44, CD74",,"Cell membrane, Microvillus, Cell projection, Golgi apparatus, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Blood group antigen, Glycoprotein, Cell projection, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Proteoglycan, Immunity, Alternative initiation, Signal-anchor, Adaptive immunity, Endoplasmic reticulum, Chaperone, Lysosome, Golgi apparatus, Endosome",Unclassified,Unclassified,,,TRUE,CellChatDB v1
MIF_CD74_CXCR2,MIF,MIF,CD74_CXCR2,,,,,PMID: 29637711; PMID: 26175090,Secreted Signaling,MIF - (CD74+CXCR2),FALSE,MIF,MIF,"Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation",,NA,"CXCR2, CD74",G-protein coupled receptor 1,"Cell membrane, Golgi apparatus, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome","Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Chemotaxis, G-protein coupled receptor, 3D-structure, Glycoprotein, Immunity, Alternative initiation, Signal-anchor, Alternative splicing, Adaptive immunity, Endoplasmic reticulum, Chaperone, Lysosome, Direct protein sequencing, Golgi apparatus, Endosome, Proteoglycan","Unclassified, Receptors","Unclassified, GPCR;Rhodopsin",,,TRUE,CellChatDB v1
CX3CL1_CX3CR1,CX3C,CX3CL1,CX3CR1,,,,,KEGG: hsa04060,Secreted Signaling,CX3CL1 - CX3CR1,FALSE,CX3CL1,Intercrine delta,"Cell membrane, Secreted","Membrane, Signal, Reference proteome, Host-virus interaction, Cell membrane, Transmembrane helix, Disulfide bond, Secreted, Transmembrane, Cytokine, Chemotaxis, 3D-structure, Inflammatory response, Cell adhesion, Glycoprotein",cytokine,TRUE,CX3CR1,G-protein coupled receptor 1,Cell membrane,"Immunity, Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Adaptive immunity, Transducer, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Innate immunity, Age-related macular degeneration, G-protein coupled receptor, 3D-structure, Inflammatory response",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
IL34_CSF1R,CSF,IL34,CSF1R,,,,,KEGG: hsa04060,Secreted Signaling,IL34 - CSF1R,FALSE,IL34,IL-34,Secreted,"Immunity, Signal, Reference proteome, Innate immunity, Secreted, Growth factor, Alternative splicing, 3D-structure, Inflammatory response, Cytokine, Glycoprotein",cytokine;growth factor,FALSE,CSF1R,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Immunity, Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Innate immunity, Transmembrane helix, Proto-oncogene, Phosphoprotein, 3D-structure, Nucleotide-binding, Inflammatory response, Ubl conjugation",Receptors,Kinase;PDGFR,,,TRUE,CellChatDB v1
CSF1_CSF1R,CSF,CSF1,CSF1R,,,,,KEGG: hsa04060,Secreted Signaling,CSF1 - CSF1R,FALSE,CSF1,CSF,"Cell membrane, Secreted, Extracellular space","Immunity, Membrane, Secreted, Disulfide bond, Transmembrane, Growth factor, Alternative splicing, Cytokine, Glycoprotein, Signal, Reference proteome, Cell membrane, Innate immunity, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Inflammatory response, Proteoglycan",cytokine;growth factor,TRUE,CSF1R,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Immunity, Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Innate immunity, Transmembrane helix, Proto-oncogene, Phosphoprotein, 3D-structure, Nucleotide-binding, Inflammatory response, Ubl conjugation",Receptors,Kinase;PDGFR,,,TRUE,CellChatDB v1
TNFSF10_TNFRSF10A,TRAIL,TNFSF10,TNFRSF10A,,,,TRAIL inhibition receptor,KEGG: hsa04060; PMID: 18813321,Secreted Signaling,TNFSF10 - TNFRSF10A,FALSE,TNFSF10,Tumor necrosis factor,"Secreted, Cell membrane","Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Secreted, Metal-binding, Transmembrane, Signal-anchor, Apoptosis, Alternative splicing, Zinc, 3D-structure, Cytokine",cytokine,TRUE,TNFRSF10A,,"Cytoplasm, Cell membrane, Membrane raft, Cytosol","Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Apoptosis, Receptor, Cytoplasm, Repeat, 3D-structure, Methylation, Glycoprotein",Receptors,Other_receptors;TNFNGF,,,TRUE,CellChatDB v1
TNFSF10_TNFRSF10B,TRAIL,TNFSF10,TNFRSF10B,,,,TRAIL inhibition receptor,KEGG: hsa04060; PMID: 18813321,Secreted Signaling,TNFSF10 - TNFRSF10B,FALSE,TNFSF10,Tumor necrosis factor,"Secreted, Cell membrane","Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Secreted, Metal-binding, Transmembrane, Signal-anchor, Apoptosis, Alternative splicing, Zinc, 3D-structure, Cytokine",cytokine,TRUE,TNFRSF10B,,"Cytoplasm, Cell membrane, Membrane raft, Cytosol","Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Apoptosis, Receptor, Cytoplasm, Repeat, 3D-structure, Methylation, Glycoprotein",Receptors,Other_receptors;TNFNGF,,,TRUE,CellChatDB v1
CD40LG_ITGAM_ITGB2,CD40,CD40LG,ITGAM_ITGB2,,,,,PMID: 28676852,Secreted Signaling,CD40LG - (ITGAM+ITGB2),FALSE,CD40LG,Tumor necrosis factor,"Cell membrane, Soluble form]: Secreted, Cell surface, [CD40 ligand","Disease variant, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Direct protein sequencing, 3D-structure, Cytokine, Glycoprotein",cytokine,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
C3_C3AR1,COMPLEMENT,C3,C3AR1,,,,,KEGG: hsa04080,Secreted Signaling,C3 - C3AR1,FALSE,C3,,Secreted,"Complement pathway, Immunity, Secreted, Disulfide bond, Thioester bond, Fatty acid metabolism, Glycoprotein, Disease variant, Complement alternate pathway, Reference proteome, Signal, Innate immunity, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Hemolytic uremic syndrome, Cleavage on pair of basic residues, Age-related macular degeneration, 3D-structure, Inflammatory response",secreted,FALSE,C3AR1,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Sulfation, Transmembrane, Receptor, Chemotaxis, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
C3_CR2,COMPLEMENT,C3,CR2,,,,,PMID: 16234578,Secreted Signaling,C3 - CR2,FALSE,C3,,Secreted,"Complement pathway, Immunity, Secreted, Disulfide bond, Thioester bond, Fatty acid metabolism, Glycoprotein, Disease variant, Complement alternate pathway, Reference proteome, Signal, Innate immunity, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Hemolytic uremic syndrome, Cleavage on pair of basic residues, Age-related macular degeneration, 3D-structure, Inflammatory response",secreted,FALSE,CR2,Receptors of complement activation (RCA),Cell membrane,"Systemic lupus erythematosus, Immunity, Complement pathway, Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Cell membrane, Innate immunity, Transmembrane helix, Direct protein sequencing, Sushi, 3D-structure, Repeat",Unclassified,Unclassified,,,TRUE,CellChatDB v1
C3_ITGAM_ITGB2,COMPLEMENT,C3,ITGAM_ITGB2,,,,,PMID: 16234578,Secreted Signaling,C3 - (ITGAM+ITGB2),FALSE,C3,,Secreted,"Complement pathway, Immunity, Secreted, Disulfide bond, Thioester bond, Fatty acid metabolism, Glycoprotein, Disease variant, Complement alternate pathway, Reference proteome, Signal, Innate immunity, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Hemolytic uremic syndrome, Cleavage on pair of basic residues, Age-related macular degeneration, 3D-structure, Inflammatory response",secreted,FALSE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
C3_ITGAX_ITGB2,COMPLEMENT,C3,ITGAX_ITGB2,,,,,PMID: 16234578,Secreted Signaling,C3 - (ITGAX+ITGB2),FALSE,C3,,Secreted,"Complement pathway, Immunity, Secreted, Disulfide bond, Thioester bond, Fatty acid metabolism, Glycoprotein, Disease variant, Complement alternate pathway, Reference proteome, Signal, Innate immunity, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Hemolytic uremic syndrome, Cleavage on pair of basic residues, Age-related macular degeneration, 3D-structure, Inflammatory response",secreted,FALSE,"ITGAX, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane, Membrane raft, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Cell membrane, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
SST_SSTR1,SOMATOSTATIN,SST,SSTR1,,,,,KEGG: hsa04080,Secreted Signaling,SST - SSTR1,TRUE,SST,Somatostatin,Secreted,"Signal, Reference proteome, Pharmaceutical, Disulfide bond, Amidation, Secreted, Cleavage on pair of basic residues, 3D-structure, Hormone",hormone,FALSE,SSTR1,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
SST_SSTR2,SOMATOSTATIN,SST,SSTR2,,,,,KEGG: hsa04080,Secreted Signaling,SST - SSTR2,TRUE,SST,Somatostatin,Secreted,"Signal, Reference proteome, Pharmaceutical, Disulfide bond, Amidation, Secreted, Cleavage on pair of basic residues, 3D-structure, Hormone",hormone,FALSE,SSTR2,G-protein coupled receptor 1,"Cytoplasm, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Cytoplasm, Alternative splicing, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
SST_SSTR3,SOMATOSTATIN,SST,SSTR3,,,,,KEGG: hsa04080,Secreted Signaling,SST - SSTR3,TRUE,SST,Somatostatin,Secreted,"Signal, Reference proteome, Pharmaceutical, Disulfide bond, Amidation, Secreted, Cleavage on pair of basic residues, 3D-structure, Hormone",hormone,FALSE,SSTR3,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
SST_SSTR4,SOMATOSTATIN,SST,SSTR4,,,,,KEGG: hsa04080,Secreted Signaling,SST - SSTR4,TRUE,SST,Somatostatin,Secreted,"Signal, Reference proteome, Pharmaceutical, Disulfide bond, Amidation, Secreted, Cleavage on pair of basic residues, 3D-structure, Hormone",hormone,FALSE,SSTR4,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
SST_SSTR5,SOMATOSTATIN,SST,SSTR5,,,,,KEGG: hsa04080,Secreted Signaling,SST - SSTR5,TRUE,SST,Somatostatin,Secreted,"Signal, Reference proteome, Pharmaceutical, Disulfide bond, Amidation, Secreted, Cleavage on pair of basic residues, 3D-structure, Hormone",hormone,FALSE,SSTR5,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
CORT_SSTR1,SOMATOSTATIN,CORT,SSTR1,,,,,KEGG: hsa04080,Secreted Signaling,CORT - SSTR1,FALSE,CORT,Somatostatin,Secreted,"Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, 3D-structure, Disulfide bond, Hormone",hormone,FALSE,SSTR1,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
CORT_SSTR2,SOMATOSTATIN,CORT,SSTR2,,,,,KEGG: hsa04080,Secreted Signaling,CORT - SSTR2,FALSE,CORT,Somatostatin,Secreted,"Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, 3D-structure, Disulfide bond, Hormone",hormone,FALSE,SSTR2,G-protein coupled receptor 1,"Cytoplasm, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Cytoplasm, Alternative splicing, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
CORT_SSTR3,SOMATOSTATIN,CORT,SSTR3,,,,,KEGG: hsa04080,Secreted Signaling,CORT - SSTR3,FALSE,CORT,Somatostatin,Secreted,"Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, 3D-structure, Disulfide bond, Hormone",hormone,FALSE,SSTR3,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
CORT_SSTR4,SOMATOSTATIN,CORT,SSTR4,,,,,KEGG: hsa04080,Secreted Signaling,CORT - SSTR4,FALSE,CORT,Somatostatin,Secreted,"Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, 3D-structure, Disulfide bond, Hormone",hormone,FALSE,SSTR4,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
CORT_SSTR5,SOMATOSTATIN,CORT,SSTR5,,,,,KEGG: hsa04080,Secreted Signaling,CORT - SSTR5,FALSE,CORT,Somatostatin,Secreted,"Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, 3D-structure, Disulfide bond, Hormone",hormone,FALSE,SSTR5,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v1
ADCYAP1_ADCYAP1R1,PACAP,ADCYAP1,ADCYAP1R1,,,,,PMID: 21350482,Secreted Signaling,ADCYAP1 - ADCYAP1R1,FALSE,ADCYAP1,Glucagon,Secreted,"Signal, Reference proteome, Amidation, Secreted, Cleavage on pair of basic residues, Neurogenesis, 3D-structure, Hormone",hormone,FALSE,ADCYAP1R1,G-protein coupled receptor 2,Cell membrane,"Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Spermatogenesis, Alternative splicing, Glycoprotein, Transducer, Signal, Developmental protein, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, 3D-structure",Receptors,GPCR;Secretin,,,TRUE,CellChatDB v1
BDNF_NTRK2,NT,BDNF,NTRK2,,,NGFR activation receptor,,PMID: 27908981,Secreted Signaling,BDNF - NTRK2,FALSE,BDNF,NGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Alternative promoter usage, Direct protein sequencing, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,FALSE,NTRK2,"Protein kinase superfamily, Tyr protein kinase","Cell membrane, Cell projection, Axon, Perinuclear region, Dendrite, Endosome membrane, Cytoplasm, Early endosome membrane, Postsynaptic density","Membrane, Leucine-rich repeat, Disulfide bond, Differentiation, Kinase, Transmembrane, ATP-binding, Receptor, Neurogenesis, Cytoplasm, Alternative splicing, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Disease variant, Cell projection, Developmental protein, Signal, Reference proteome, Immunoglobulin domain, Obesity, Transmembrane helix, Cell membrane, Epilepsy, Phosphoprotein, Synapse, 3D-structure, Nucleotide-binding, Endosome, Ubl conjugation",Receptors,Kinase;neutrophin,,,TRUE,CellChatDB v1
KLK6_F2R,KLK,KLK6,F2R,,,,,PMID: 35102281,Secreted Signaling,KLK6 - F2R,FALSE,KLK6,Peptidase S1,"Cytoplasm, Secreted, Nucleus, Nucleolus, Microsome, Mitochondrion","Mitochondrion, Secreted, Protease, Disulfide bond, Cytoplasm, Alternative splicing, Endoplasmic reticulum, Glycoprotein, Microsome, Hydrolase, Reference proteome, Signal, Nucleus, Direct protein sequencing, Cleavage on pair of basic residues, Zymogen, 3D-structure, Serine protease, Autocatalytic cleavage",,NA,F2R,G-protein coupled receptor 1,Cell membrane,"Transducer, Blood coagulation, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Hemostasis, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
KLK6_F2RL1,KLK,KLK6,F2RL1,,,,,PMID: 35102281,Secreted Signaling,KLK6 - F2RL1,FALSE,KLK6,Peptidase S1,"Cytoplasm, Secreted, Nucleus, Nucleolus, Microsome, Mitochondrion","Mitochondrion, Secreted, Protease, Disulfide bond, Cytoplasm, Alternative splicing, Endoplasmic reticulum, Glycoprotein, Microsome, Hydrolase, Reference proteome, Signal, Nucleus, Direct protein sequencing, Cleavage on pair of basic residues, Zymogen, 3D-structure, Serine protease, Autocatalytic cleavage",,NA,F2RL1,G-protein coupled receptor 1,Cell membrane,"Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Transducer, Signal, Reference proteome, Lipoprotein, Cell membrane, Innate immunity, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, 3D-structure, Palmitate, Inflammatory response, Ubl conjugation",Receptors,GPCR;Rhodopsin,,,NA,CellChatDB v2
BDNF_SORT1,NT,BDNF,SORT1,,,,,uniprot,Secreted Signaling,BDNF - SORT1,FALSE,BDNF,NGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Alternative promoter usage, Direct protein sequencing, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,FALSE,SORT1,VPS10-related sortilin,"Golgi apparatus, Golgi stack membrane, Lysosome membrane, Cell membrane, Nucleus membrane, Endosome membrane, Endoplasmic reticulum membrane","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Alternative splicing, Endoplasmic reticulum, Glycoprotein, Lysosome, Endocytosis, Developmental protein, Signal, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Nucleus, Phosphoprotein, Transport, Direct protein sequencing, Golgi apparatus, Cleavage on pair of basic residues, Osteogenesis, 3D-structure, Palmitate, Endosome, Repeat",Receptors,Other_receptors;VPS10R,,,TRUE,CellChatDB v2
BDNF_NGFR,NT,BDNF,NGFR,,,,,uniprot,Secreted Signaling,BDNF - NGFR,FALSE,BDNF,NGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Alternative promoter usage, Direct protein sequencing, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,FALSE,NGFR,,"Perikaryon, Cell projection, Growth cone, Cell membrane, Dendritic spine","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Glycoprotein, Cell projection, Developmental protein, Signal, Biological rhythms, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Apoptosis, Synapse, 3D-structure, Repeat",Receptors,Other_receptors;TNFNGF,,,TRUE,CellChatDB v2
