Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,18,-0.9943,18,-1.0134,35,0.04287,35,0.01518,53,0.71492,39,0.18807,41,0.26347,49,0.58470,30,-0.2129,26,-0.4185
ENSG00000188976,NOC2L,20,-0.8743,32,-0.1567,41,0.22838,45,0.39920,35,-0.0159,36,0.02966,57,0.79348,44,0.36614,25,-0.5353,18,-1.0658
ENSG00000188290,HES4,59,-0.1527,118,1.00382,24,-1.4854,76,0.26821,89,0.52536,85,0.43701,60,-0.1288,46,-0.5312,64,-0.0254,26,-1.4136
ENSG00000187608,ISG15,67,0.37907,76,0.60885,23,-1.2904,55,0.07778,41,-0.4092,61,0.24690,49,-0.1168,51,-0.0367,84,0.76384,19,-1.5181
ENSG00000188157,AGRN,27,-0.0595,23,-0.2593,30,0.12245,29,0.09525,39,0.56234,27,-0.0402,37,0.45959,30,0.14322,18,-0.6665,16,-0.8259
ENSG00000131591,C1orf159,10,-0.0327,4,-1.3878,20,1.01064,8,-0.4477,11,0.11605,9,-0.2865,12,0.13143,20,1.03395,3,-1.6522,9,-0.2752
ENSG00000078808,SDF4,80,0.13792,82,0.17800,104,0.57846,77,0.08934,77,0.08618,85,0.24964,50,-0.5777,70,-0.0747,61,-0.2791,44,-0.7849
ENSG00000176022,B3GALT6,11,-1.1865,22,-0.2056,11,-1.1760,34,0.48835,30,0.30420,42,0.86157,31,0.33774,32,0.41146,16,-0.6251,19,-0.4308
ENSG00000160087,UBE2J2,41,0.03218,38,-0.0781,35,-0.1841,52,0.42205,57,0.58145,37,-0.1009,33,-0.3090,40,-0.0113,45,0.19906,21,-0.9915
ENSG00000162572,SCNN1D,11,0.32957,11,0.32398,14,0.62667,12,0.43992,9,0.05541,7,-0.4506,11,0.27217,9,0.01622,5,-0.9739,2,-2.0349
ENSG00000131584,ACAP3,59,-0.2681,73,0.05608,99,0.55443,87,0.34794,98,0.54355,74,0.07028,59,-0.2689,62,-0.2076,48,-0.5918,44,-0.7226
ENSG00000169972,PUSL1,1,-2.6439,15,0.59701,7,-0.6296,20,1.09612,9,-0.1739,12,0.22841,9,-0.1038,19,1.02463,7,-0.6495,3,-1.8134
ENSG00000127054,INTS11,46,-0.0993,38,-0.3925,54,0.13972,41,-0.2804,55,0.18643,74,0.66507,45,-0.1392,58,0.27780,44,-0.1618,35,-0.5100
ENSG00000224051,CPTP,15,-0.7195,29,0.32066,16,-0.6625,27,0.20359,24,0.00976,31,0.42375,29,0.28493,38,0.75100,19,-0.3777,12,-1.0770
ENSG00000107404,DVL1,50,0.10826,68,0.61305,46,-0.0272,64,0.50814,41,-0.1988,46,-0.0108,45,-0.0450,44,-0.0706,43,-0.1250,18,-1.4128
ENSG00000175756,AURKAIP1,108,-0.8699,221,0.25961,142,-0.4512,217,0.23018,201,0.10026,173,-0.1400,218,0.23812,177,-0.1033,230,0.31876,199,0.08575
ENSG00000221978,CCNL2,80,0.13264,64,-0.2309,61,-0.3058,65,-0.1911,89,0.29392,77,0.06145,83,0.17883,114,0.71434,67,-0.1525,39,-0.9841
ENSG00000224870,MRPL20-AS1,12,0.49843,6,-0.6183,4,-0.9780,11,0.30236,14,0.72671,9,0.11090,7,-0.4028,8,-0.1302,6,-0.6115,11,0.33605
ENSG00000242485,MRPL20,148,-0.4980,187,-0.1299,125,-0.7572,184,-0.1526,192,-0.0925,235,0.23850,190,-0.1067,208,0.04245,253,0.35983,307,0.67929
ENSG00000235098,ANKRD65,33,0.25838,37,0.46485,17,-0.7672,39,0.54469,29,0.07906,21,-0.4129,17,-0.7672,27,-0.0635,24,-0.1972,34,0.31132
ENSG00000179403,VWA1,113,2.42440,21,-0.5380,48,0.78448,13,-1.1974,15,-0.9996,14,-1.0924,11,-1.5382,8,-2.0298,20,-0.5982,34,0.21980
ENSG00000160072,ATAD3B,14,0.03588,8,-0.8024,11,-0.4291,14,0.00828,19,0.47684,21,0.66204,18,0.37575,16,0.19146,11,-0.4023,8,-0.7616
ENSG00000197785,ATAD3A,14,0.01943,16,0.24234,4,-1.8378,15,0.13685,18,0.47685,16,0.26490,14,0.07292,11,-0.3268,15,0.19080,12,-0.1102
ENSG00000205090,TMEM240,5,-2.2267,32,0.47920,30,0.39404,37,0.70329,36,0.64801,34,0.57431,12,-0.9816,23,-0.0357,14,-0.8412,15,-0.7396
ENSG00000160075,SSU72,95,-0.5902,141,0.04198,119,-0.2336,165,0.29196,136,-0.0192,139,0.00997,133,-0.0562,120,-0.2234,194,0.55603,137,-0.0121
ENSG00000228594,FNDC10,12,-1.1460,26,0.08366,19,-0.4325,17,-0.5706,22,-0.2047,43,0.88170,40,0.76857,23,-0.1218,29,0.25741,18,-0.4701
ENSG00000272106,AL691432.2,19,-0.0367,24,0.32256,27,0.50053,21,0.06694,28,0.55662,10,-0.9980,22,0.14176,19,-0.0670,14,-0.5579,14,-0.5239
ENSG00000197530,MIB2,26,-0.2563,26,-0.2271,39,0.39146,29,-0.0677,31,0.02570,37,0.32111,40,0.44017,29,-0.0544,18,-0.8361,29,-0.0755
ENSG00000248333,CDK11B,34,1.51364,31,1.29927,12,-0.2980,10,-0.5842,14,0.04766,5,-1.4383,5,-1.6353,4,-1.8477,9,-0.6244,17,0.27401
ENSG00000189339,SLC35E2B,14,-0.8674,16,-0.7108,21,-0.2489,34,0.49671,20,-0.3891,31,0.30561,20,-0.3462,35,0.50883,23,-0.1278,38,0.66565
ENSG00000008128,CDK11A,20,1.10077,16,0.72114,10,-0.0261,5,-0.8946,9,-0.1894,11,0.14125,7,-0.6160,5,-1.0186,8,-0.3360,10,-0.0074
ENSG00000215790,SLC35E2A,27,-0.5978,39,-0.0351,52,0.45144,31,-0.3548,28,-0.5088,42,0.08921,35,-0.1872,56,0.57508,35,-0.1935,49,0.35356
ENSG00000008130,NADK,26,0.03353,26,0.02928,18,-0.4953,30,0.23703,30,0.27506,20,-0.3445,29,0.22717,27,0.07063,17,-0.6601,31,0.33520
ENSG00000078369,GNB1,297,-0.7869,622,0.38536,474,-0.0559,421,-0.2436,443,-0.1647,628,0.40085,576,0.25764,458,-0.1110,512,0.06704,478,-0.0408
ENSG00000187730,GABRD,25,-2.5255,121,-0.1741,67,-1.0847,182,0.49069,236,0.92853,215,0.77177,88,-0.6723,176,0.43215,193,0.58514,46,-1.6516
ENSG00000067606,PRKCZ,78,-1.0418,145,-0.0846,169,0.16224,167,0.13914,149,-0.0401,143,-0.1069,155,0.01748,222,0.61182,160,0.07080,142,-0.1235
ENSG00000162585,FAAP20,42,0.31994,56,0.77842,39,0.17171,29,-0.2881,13,-1.4413,43,0.35239,29,-0.2694,23,-0.6204,46,0.47026,26,-0.4597
ENSG00000157933,SKI,35,0.94958,29,0.64684,14,-0.4855,20,0.06663,27,0.49255,15,-0.3594,14,-0.4660,18,-0.1348,17,-0.2018,5,-1.9456
ENSG00000157916,RER1,76,0.09844,70,-0.0364,59,-0.3117,59,-0.3151,101,0.57022,80,0.18014,62,-0.2191,91,0.38090,60,-0.2816,58,-0.3323
ENSG00000157911,PEX10,29,0.43195,32,0.58526,16,-0.5396,19,-0.2797,16,-0.5540,30,0.44001,21,-0.0855,19,-0.2897,23,0.00640,21,-0.1322
ENSG00000149527,PLCH2,14,-0.7409,27,0.24290,1,-4.0996,45,1.11247,45,1.10948,33,0.58960,7,-1.7690,29,0.34474,28,0.31848,1,-3.8291
ENSG00000157881,PANK4,7,-1.3176,11,-0.5890,11,-0.6431,19,0.20507,28,0.83983,22,0.46011,19,0.24647,23,0.53662,19,0.17582,7,-1.2946
ENSG00000197921,HES5,4,-2.2968,71,2.29523,6,-1.7657,28,0.53588,15,-0.4665,19,-0.0504,18,-0.1780,12,-0.7885,16,-0.3629,10,-0.9641
ENSG00000157873,TNFRSF14,6,-1.1667,19,0.71795,0,-4.7338,20,0.77396,24,1.11456,22,0.90725,9,-0.5436,16,0.41041,8,-0.6395,0,-5.7604
ENSG00000157870,PRXL2B,17,-1.2598,57,0.58817,35,-0.1921,35,-0.2058,54,0.49292,60,0.67639,39,-0.0333,33,-0.2850,40,-0.0022,27,-0.5922
ENSG00000177133,PRDM16-DT,26,0.06437,54,1.29395,28,0.14778,24,-0.0986,14,-0.9007,25,0.01493,14,-0.9326,11,-1.2274,25,-0.0321,31,0.33277
ENSG00000142611,PRDM16,8,-0.2458,21,1.40082,8,-0.2239,2,-1.8202,4,-1.2455,11,0.32022,11,0.27288,5,-0.8692,12,0.43256,9,-0.0417
ENSG00000158109,TPRG1L,73,-1.4237,135,-0.5021,165,-0.1850,188,0.02517,172,-0.1238,234,0.37391,248,0.47181,254,0.51512,185,-0.0083,201,0.13062
ENSG00000116213,WRAP73,15,-0.0535,13,-0.2306,23,0.63579,8,-1.0278,16,0.04042,17,0.12507,26,0.80469,17,0.10830,15,-0.0091,6,-1.4791
ENSG00000130764,LRRC47,62,-0.3969,61,-0.4052,65,-0.3033,80,0.01598,93,0.25392,96,0.30302,96,0.30763,73,-0.1358,95,0.28557,72,-0.1397
ENSG00000116198,CEP104,46,1.33090,9,-1.2651,30,0.59291,12,-0.7753,25,0.29539,15,-0.4453,25,0.32507,13,-0.7579,13,-0.7230,19,-0.1587
ENSG00000198912,C1orf174,8,-1.0109,5,-1.5906,15,-0.0863,15,-0.0770,17,0.14219,20,0.35147,19,0.27463,26,0.78220,14,-0.1962,19,0.31477
ENSG00000196581,AJAP1,20,-0.8034,35,0.05185,37,0.16532,46,0.51669,58,0.89980,35,0.07027,29,-0.2080,35,0.04810,20,-0.8122,21,-0.7389
ENSG00000131697,NPHP4,10,-0.2580,11,-0.2076,8,-0.6358,12,-0.0994,23,0.99136,11,-0.2152,9,-0.5164,23,0.97768,8,-0.6358,10,-0.3556
ENSG00000069424,KCNAB2,59,-1.6714,170,-0.0663,195,0.15695,241,0.50309,191,0.11882,194,0.14430,241,0.50605,161,-0.1468,172,-0.0470,146,-0.3060
ENSG00000116254,CHD5,37,-1.8004,114,-0.0860,163,0.49640,139,0.23103,138,0.22694,147,0.32290,122,0.02564,128,0.10148,117,-0.0415,97,-0.3379
ENSG00000116251,RPL22,778,0.48670,739,0.40176,526,-0.1499,616,0.10410,347,-0.7982,421,-0.4998,333,-0.8607,482,-0.2873,732,0.38569,802,0.53651
ENSG00000158286,RNF207,1,-2.3022,2,-2.1777,7,-0.3110,13,0.66057,13,0.66650,8,-0.0630,15,0.89044,14,0.82949,7,-0.3062,5,-0.8460
ENSG00000116237,ICMT,23,-1.0409,32,-0.5558,31,-0.5936,47,0.04032,83,0.99263,57,0.36283,48,0.09440,48,0.08851,47,0.03763,40,-0.2177
ENSG00000097021,ACOT7,71,-2.0984,159,-0.8805,220,-0.3815,239,-0.2547,314,0.18301,502,0.97234,422,0.67393,380,0.49790,216,-0.4082,279,-0.0070
ENSG00000215788,TNFRSF25,5,-2.4859,27,-0.0061,14,-1.0407,76,1.79542,43,0.75594,27,-0.0142,15,-0.8922,31,0.23425,18,-0.6505,15,-0.9032
ENSG00000171680,PLEKHG5,4,-2.5499,27,0.12946,18,-0.5009,45,0.96079,48,1.07944,41,0.79874,15,-0.7555,23,-0.1525,15,-0.7991,14,-0.8619
ENSG00000162408,NOL9,24,-0.1811,25,-0.1672,26,-0.0969,31,0.19388,33,0.29397,25,-0.1590,27,-0.0163,34,0.35249,28,0.06514,21,-0.4323
ENSG00000204859,ZBTB48,12,0.17596,13,0.29146,6,-0.7690,12,0.28332,12,0.23332,11,0.10249,14,0.42467,14,0.41612,6,-0.7816,5,-1.1806
ENSG00000162413,KLHL21,65,0.72112,62,0.65382,30,-0.5195,40,-0.0735,32,-0.4052,38,-0.1427,43,0.04189,38,-0.1258,32,-0.3949,36,-0.2194
ENSG00000116273,PHF13,18,0.20489,17,0.17094,16,0.08501,20,0.39364,17,0.16931,15,-0.0029,14,-0.1243,21,0.47319,10,-0.5928,5,-1.5379
ENSG00000041988,THAP3,21,0.07361,18,-0.1209,11,-0.8455,21,0.09867,27,0.51377,26,0.47057,19,-0.0339,19,-0.0152,21,0.12333,12,-0.7297
ENSG00000007923,DNAJC11,20,-0.5516,32,0.20418,18,-0.7097,39,0.54382,20,-0.5139,48,0.89024,32,0.19247,30,0.11964,15,-0.9401,27,-0.0827
ENSG00000171735,CAMTA1,168,-0.6061,296,0.28789,355,0.58974,238,-0.0636,242,-0.0370,276,0.17827,192,-0.4001,287,0.24003,266,0.11695,155,-0.7353
ENSG00000049245,VAMP3,103,2.23083,30,0.00653,35,0.23498,17,-0.8536,10,-1.6450,15,-1.0391,9,-1.8050,11,-1.4672,20,-0.5967,48,0.77484
ENSG00000049246,PER3,85,1.25834,60,0.66951,32,-0.3456,39,-0.0430,44,0.16340,23,-0.8265,27,-0.6093,48,0.28354,19,-1.1222,23,-0.8819
ENSG00000116288,PARK7,352,-0.4514,545,0.24714,260,-0.9157,518,0.16452,313,-0.6323,401,-0.2473,422,-0.1640,683,0.62051,576,0.33646,610,0.43178
ENSG00000116285,ERRFI1,27,-0.1542,20,-0.5682,28,-0.1099,29,-0.0542,34,0.20410,36,0.32539,37,0.34189,31,0.04709,26,-0.2064,29,-0.0070
ENSG00000162426,SLC45A1,13,-1.1047,26,-0.1021,18,-0.6863,36,0.39418,36,0.38872,39,0.53685,37,0.46874,33,0.28964,29,0.05364,12,-1.3062
ENSG00000142599,RERE,119,0.27425,136,0.48424,71,-0.5546,93,-0.1220,117,0.24542,110,0.13889,86,-0.2502,95,-0.0898,78,-0.4043,102,0.01990
ENSG00000074800,ENO1,614,0.15317,938,0.86096,525,-0.0990,439,-0.3790,443,-0.3673,443,-0.3649,651,0.24785,580,0.06125,515,-0.1281,435,-0.3942
ENSG00000171612,SLC25A33,44,0.11670,91,1.36871,28,-0.5593,28,-0.5595,25,-0.7328,39,-0.0519,47,0.23823,40,-0.0218,37,-0.1618,26,-0.6775
ENSG00000188807,TMEM201,10,-0.1312,11,-0.0471,7,-0.7482,5,-1.0934,9,-0.2788,13,0.20451,15,0.47507,16,0.54556,9,-0.3205,17,0.63118
ENSG00000171608,PIK3CD,3,-1.8921,3,-1.9061,12,0.25612,6,-0.6766,5,-0.9771,19,0.96784,19,0.97250,13,0.41078,8,-0.2965,14,0.51940
ENSG00000171603,CLSTN1,282,-1.5998,596,-0.4612,746,-0.1088,802,0.00662,949,0.27954,1260,0.75454,843,0.08852,1173,0.63269,693,-0.2255,639,-0.3530
ENSG00000178585,CTNNBIP1,36,-0.1596,35,-0.1771,41,0.05476,18,-1.1948,17,-1.2665,57,0.60146,75,1.06451,31,-0.3566,48,0.32701,36,-0.1478
ENSG00000162441,LZIC,107,1.13658,58,0.09844,69,0.37632,32,-0.7975,41,-0.4267,33,-0.7712,41,-0.4389,37,-0.5865,56,0.03871,69,0.38445
ENSG00000162444,RBP7,61,3.70644,0,-5.8578,14,0.53645,0,-7.8657,1,-3.0776,1,-3.4130,1,-3.2977,0,-5.9062,1,-2.8596,22,1.30579
ENSG00000130939,UBE4B,36,-0.1293,35,-0.1864,50,0.40359,28,-0.4949,29,-0.4574,41,0.08613,52,0.44592,56,0.59469,32,-0.2946,31,-0.3726
ENSG00000054523,KIF1B,436,0.41293,279,-0.3043,439,0.42772,265,-0.3842,254,-0.4515,356,0.08230,383,0.20330,330,-0.0397,252,-0.4641,386,0.21453
ENSG00000284642,AL139424.2,14,0.01424,6,-1.3296,20,0.52679,11,-0.3855,13,-0.0983,23,0.76190,14,0.03699,17,0.27420,10,-0.5102,13,-0.0874
ENSG00000142657,PGD,41,-0.2289,39,-0.2761,59,0.36280,34,-0.4904,34,-0.5066,62,0.43458,62,0.45879,56,0.28627,52,0.16635,31,-0.6700
ENSG00000175279,CENPS,9,-0.7223,17,0.21085,5,-1.5824,22,0.63651,14,-0.0263,19,0.44714,9,-0.7312,15,-0.0111,25,0.85735,12,-0.3464
ENSG00000241563,CORT,35,-1.0376,85,0.34798,135,1.12582,49,-0.5178,58,-0.2777,77,0.17913,29,-1.3219,50,-0.4880,124,0.97539,46,-0.6381
ENSG00000160049,DFFA,54,0.66891,38,0.10999,44,0.31367,24,-0.6464,29,-0.3263,39,0.12722,39,0.12434,27,-0.4442,31,-0.2215,34,-0.0816
ENSG00000142655,PEX14,13,-0.7811,17,-0.4114,17,-0.4170,30,0.47496,17,-0.4344,37,0.82564,21,-0.1107,28,0.36537,24,0.08119,20,-0.2147
ENSG00000120948,TARDBP,91,0.26371,86,0.18067,98,0.38613,67,-0.2204,86,0.16542,68,-0.1954,76,-0.0161,76,-0.0253,66,-0.2570,58,-0.4578
ENSG00000271895,AL109811.2,13,-0.3057,11,-0.5345,18,0.24838,15,-0.1066,25,0.74661,14,-0.2187,23,0.62515,14,-0.1671,15,-0.0466,9,-0.8416
ENSG00000116649,SRM,42,-0.5091,83,0.60274,40,-0.5545,86,0.64744,64,0.17507,51,-0.2044,46,-0.3491,62,0.12941,64,0.15962,38,-0.6478
ENSG00000171824,EXOSC10,47,0.41645,33,-0.1553,51,0.53921,33,-0.1520,39,0.10041,32,-0.1987,41,0.18006,42,0.20880,20,-0.9040,27,-0.4787
ENSG00000198793,MTOR,32,-0.7663,46,-0.1832,31,-0.8140,50,-0.0549,76,0.63320,95,1.00556,59,0.19971,41,-0.3741,49,-0.0807,40,-0.4156
