Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,22,-0.3161,4,-2.8917,21,-0.4067,49,1.47228,30,0.15080,21,-0.4451
ENSG00000188976,NOC2L,15,-1.4087,29,-0.4463,5,-2.9966,55,0.86767,40,0.08419,47,0.39073
ENSG00000188290,HES4,33,-0.1662,16,-1.3799,10,-1.9580,44,0.38644,82,1.37105,39,0.10723
ENSG00000187608,ISG15,43,0.42128,35,0.13851,11,-1.6060,25,-0.5179,42,0.37668,43,0.51362
ENSG00000188157,AGRN,22,-0.0385,24,0.07047,2,-3.4425,28,0.44310,21,-0.1370,26,0.21087
ENSG00000078808,SDF4,38,-0.8055,64,-0.0013,6,-3.4007,77,0.36247,146,1.39302,48,-0.5158
ENSG00000160087,UBE2J2,35,-0.0746,21,-0.9199,12,-1.6068,41,0.25530,73,1.15619,39,0.13807
ENSG00000131584,ACAP3,65,-0.3362,48,-0.8909,24,-1.8511,112,0.72204,104,0.40853,92,0.23839
ENSG00000127054,INTS11,38,-0.1668,39,-0.1267,10,-2.1890,53,0.49842,48,0.20212,44,0.08317
ENSG00000107404,DVL1,25,-1.4286,37,-0.8991,29,-1.1949,61,-0.0794,123,1.09740,101,0.88078
ENSG00000175756,AURKAIP1,70,-0.9509,112,-0.2418,59,-1.2054,142,0.20302,140,0.13736,184,0.67940
ENSG00000221978,CCNL2,79,0.64569,61,0.24801,13,-2.0909,61,0.28559,60,0.19763,38,-0.6021
ENSG00000242485,MRPL20,75,-0.7367,111,-0.1532,94,-0.3913,132,0.18449,118,-0.0323,151,0.41758
ENSG00000235098,ANKRD65,25,0.37430,30,0.83894,0,-4.8984,18,-0.2098,19,-0.0257,19,-0.0675
ENSG00000179403,VWA1,51,-0.2007,195,3.01193,11,-2.5304,10,-2.9237,58,-0.0110,20,-1.6944
ENSG00000205090,TMEM240,5,-1.9412,8,-1.3293,5,-1.8984,32,1.28876,16,-0.2522,24,0.45800
ENSG00000160075,SSU72,55,-1.2355,64,-1.0785,27,-2.2948,169,0.73551,200,0.82134,150,0.38727
ENSG00000228594,FNDC10,7,-1.5569,6,-1.8844,7,-1.6835,31,0.84271,13,-0.7547,40,1.23460
ENSG00000197530,MIB2,20,-0.8079,25,-0.5353,0,-5.3629,44,0.57858,55,0.79685,40,0.32477
ENSG00000248333,CDK11B,94,1.24213,50,0.20989,75,0.84644,31,-0.6773,11,-2.1027,37,-0.3446
ENSG00000008128,CDK11A,66,1.46263,32,0.26232,22,-0.3924,28,0.01367,21,-0.4665,11,-1.5154
ENSG00000008130,NADK,17,-0.3471,15,-0.5581,16,-0.4043,30,0.79302,23,0.12333,17,-0.3607
