Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,9,-2.1499,47,0.32352,42,0.16116
ENSG00000188976,NOC2L,15,-2.0291,63,0.21999,61,0.24846
ENSG00000188290,HES4,2,-3.6182,15,-1.1540,39,1.69804
ENSG00000187608,ISG15,21,-0.8850,16,-1.5112,50,1.53102
ENSG00000188157,AGRN,13,-1.2678,26,-0.2521,34,0.57797
ENSG00000078808,SDF4,45,-0.4531,56,-0.1325,65,0.26938
ENSG00000176022,B3GALT6,5,-2.0142,14,-0.6387,25,1.05736
ENSG00000160087,UBE2J2,17,-1.2386,29,-0.5346,47,0.82607
ENSG00000131584,ACAP3,45,-0.9112,74,-0.2025,92,0.45535
ENSG00000127054,INTS11,19,-1.4644,32,-0.8222,63,1.12744
ENSG00000224051,CPTP,5,-2.1041,16,-0.4503,25,0.89451
ENSG00000107404,DVL1,13,-2.1759,42,-0.5554,70,1.00173
ENSG00000175756,AURKAIP1,77,-1.2295,102,-0.9667,220,1.19855
ENSG00000221978,CCNL2,76,0.28861,59,-0.1596,64,0.01930
ENSG00000242485,MRPL20,82,-0.9378,105,-0.6965,185,0.89444
ENSG00000235098,ANKRD65,44,0.44201,19,-1.0568,39,0.62395
ENSG00000179403,VWA1,142,2.90535,11,-1.7961,22,-0.9570
ENSG00000205090,TMEM240,11,-1.4664,22,-0.5437,36,0.88051
ENSG00000160075,SSU72,51,-1.5312,99,-0.6536,173,0.99137
ENSG00000228594,FNDC10,1,-4.6652,15,-1.1541,40,1.74564
ENSG00000197530,MIB2,7,-2.2205,21,-0.8044,41,1.23825
ENSG00000248333,CDK11B,46,-0.4876,96,0.97374,49,-0.7608
ENSG00000189339,SLC35E2B,28,0.48631,26,0.53101,16,-0.6838
ENSG00000008128,CDK11A,44,0.91774,38,0.93734,15,-1.3173
ENSG00000215790,SLC35E2A,19,-0.0731,18,-0.1393,21,0.14806
ENSG00000008130,NADK,16,-0.5606,25,0.15107,24,0.04526
ENSG00000078369,GNB1,194,-1.5673,451,-0.3496,639,0.72212
ENSG00000187730,GABRD,2,-6.5561,116,-0.8023,236,1.42904
ENSG00000067606,PRKCZ,66,-1.8094,169,-0.4874,265,0.88795
ENSG00000162585,FAAP20,27,-0.7220,19,-1.4886,58,1.45508
ENSG00000157933,SKI,51,0.51706,45,0.40565,31,-0.5810
ENSG00000157916,RER1,47,-0.1526,35,-0.7500,60,0.67927
ENSG00000157911,PEX10,28,0.30277,11,-1.2862,29,0.85002
