Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,18,-0.9958,17,-1.1354,16,-1.1871,42,0.27461,44,0.48730,42,0.38460
ENSG00000188976,NOC2L,30,-0.9594,28,-1.0462,28,-1.0627,67,0.30148,63,0.26499,71,0.54068
ENSG00000188290,HES4,66,0.57107,77,0.83172,29,-0.7325,20,-1.2658,34,-0.6022,57,0.43104
ENSG00000187608,ISG15,54,-0.0081,86,0.74967,26,-1.1256,45,-0.2948,57,0.07165,55,0.00726
ENSG00000188157,AGRN,26,0.11671,17,-0.5375,12,-1.1173,42,0.90894,14,-1.0456,35,0.80470
ENSG00000078808,SDF4,48,-0.1983,95,0.93209,18,-1.6536,43,-0.3460,44,-0.4056,68,0.50296
ENSG00000176022,B3GALT6,19,-0.3167,25,0.07857,13,-0.9287,10,-1.2640,25,0.11208,31,0.62030
ENSG00000160087,UBE2J2,27,-0.4592,28,-0.4034,27,-0.4305,21,-0.8469,46,0.55928,39,0.17656
ENSG00000131584,ACAP3,63,-0.0325,53,-0.3047,61,-0.0873,121,1.05037,41,-0.8476,74,0.29994
ENSG00000127054,INTS11,47,0.18722,45,0.09837,16,-1.4270,37,-0.2079,39,-0.1598,53,0.49587
ENSG00000224051,CPTP,14,-0.2438,8,-0.9864,11,-0.6572,15,-0.0874,14,-0.3602,25,0.93477
ENSG00000107404,DVL1,97,1.28533,73,0.78644,36,-0.3630,27,-0.7828,41,-0.1821,32,-0.6741
ENSG00000175756,AURKAIP1,296,0.87183,165,-0.0957,102,-0.8333,101,-0.8496,125,-0.6516,237,0.67175
ENSG00000221978,CCNL2,30,-0.8129,64,0.36666,23,-1.2231,73,0.57624,63,0.45134,44,-0.3003
ENSG00000242485,MRPL20,220,0.57479,164,0.09451,132,-0.2485,73,-1.1525,117,-0.5407,202,0.58465
ENSG00000235098,ANKRD65,66,1.40856,21,-0.4504,15,-0.9699,16,-0.9290,21,-0.5702,35,0.41865
ENSG00000179403,VWA1,32,0.33888,87,2.15316,26,-0.0141,1,-4.5997,26,-0.0104,12,-1.3508
ENSG00000205090,TMEM240,18,-0.4995,7,-1.9372,18,-0.4687,35,0.55950,15,-0.8614,41,1.18226
ENSG00000160075,SSU72,225,0.75582,106,-0.4698,87,-0.7696,124,-0.2189,103,-0.6289,191,0.65194
ENSG00000228594,FNDC10,28,-0.1091,17,-0.8707,22,-0.4715,15,-1.0847,35,0.32188,38,0.49482
ENSG00000197530,MIB2,33,0.08757,30,-0.0965,13,-1.3735,41,0.43701,27,-0.2813,39,0.44027
ENSG00000248333,CDK11B,41,-0.8085,66,-0.0620,103,0.67139,115,0.86222,67,-0.0432,53,-0.5043
ENSG00000008128,CDK11A,21,-1.0283,52,0.36864,38,-0.1098,73,0.95932,33,-0.4301,43,0.07174
ENSG00000008130,NADK,26,0.38187,21,0.00349,22,0.07389,40,1.10167,12,-1.0379,21,0.02320
ENSG00000078369,GNB1,657,0.46144,487,-0.0267,561,0.20109,277,-0.9034,441,-0.2344,549,0.21766
