Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,46,0.38030,36,-0.1444,51,0.61479,12,-1.8331,13,-1.7172
ENSG00000188976,NOC2L,43,-0.0931,76,0.90826,55,0.47161,18,-1.3755,14,-1.7670
ENSG00000078808,SDF4,38,-0.5017,51,0.08438,53,0.20178,60,0.35598,52,0.11156
ENSG00000131584,ACAP3,52,-0.9289,164,1.13563,99,0.34710,57,-0.6120,85,0.01564
ENSG00000127054,INTS11,31,-0.2331,54,0.73897,38,0.16566,30,-0.2625,23,-0.6191
ENSG00000107404,DVL1,48,-0.2358,18,-1.6537,59,0.22449,58,0.12795,84,0.76108
ENSG00000175756,AURKAIP1,112,-0.3285,90,-0.6061,193,0.93291,66,-1.0763,112,-0.2519
ENSG00000221978,CCNL2,32,-1.1117,70,0.34259,72,0.53699,78,0.52175,53,-0.1274
ENSG00000242485,MRPL20,132,0.06203,99,-0.4144,148,0.31850,90,-0.5609,126,-0.0291
ENSG00000160075,SSU72,115,-0.0332,100,-0.2458,143,0.46054,64,-0.9521,114,-0.0440
ENSG00000248333,CDK11B,56,-0.3188,106,0.81023,53,-0.4497,121,1.04049,36,-0.9303
ENSG00000078369,GNB1,565,0.35449,343,-0.5458,532,0.21312,194,-1.4151,520,0.11810
ENSG00000187730,GABRD,165,0.08920,89,-0.9133,272,1.41046,7,-4.5835,21,-3.0656
ENSG00000067606,PRKCZ,216,0.19773,149,-0.4454,269,0.72707,89,-1.2442,86,-1.2940
ENSG00000157933,SKI,43,-0.4521,123,1.45309,35,-0.8497,27,-1.0585,98,1.03200
ENSG00000157916,RER1,32,-0.8772,12,-2.1127,83,1.28716,48,-0.0559,46,-0.1538
ENSG00000157870,PRXL2B,70,0.86950,37,-0.4333,39,-0.4315,26,-0.9463,47,-0.0686
ENSG00000158109,TPRG1L,274,0.85630,132,-0.5910,210,0.19857,53,-1.9833,91,-1.1585
ENSG00000130764,LRRC47,72,-0.0661,26,-1.6057,114,1.06605,32,-1.3195,52,-0.5595
ENSG00000116198,CEP104,32,-0.7501,78,0.85641,38,-0.4195,96,1.23248,37,-0.3886
ENSG00000196581,AJAP1,43,-0.8728,160,1.53378,89,0.67240,30,-1.2527,16,-2.2011
ENSG00000069424,KCNAB2,188,0.53001,127,-0.2685,176,0.36865,29,-2.4686,97,-0.6811
ENSG00000116254,CHD5,365,0.18650,626,1.06147,382,0.28903,24,-3.9217,130,-1.4751
ENSG00000116251,RPL22,582,0.03720,286,-1.0886,422,-0.6180,1108,1.13136,746,0.43677
ENSG00000097021,ACOT7,179,-0.0030,96,-0.9849,310,1.43244,24,-3.0535,30,-2.7273
ENSG00000162408,NOL9,38,-0.1406,55,0.51771,46,0.27727,33,-0.3395,25,-0.7552
ENSG00000007923,DNAJC11,45,0.24102,36,-0.1760,44,0.23439,14,-1.5813,43,0.10486
ENSG00000171735,CAMTA1,503,0.15036,629,0.48270,574,0.45829,181,-1.4762,187,-1.4343
ENSG00000049246,PER3,26,-0.9137,61,0.63129,43,0.08747,51,0.33592,54,0.43824
ENSG00000116288,PARK7,251,0.18153,92,-1.4261,253,0.19786,178,-0.4203,300,0.42602
ENSG00000142599,RERE,134,-0.1852,176,0.30655,132,-0.2112,174,0.28621,167,0.21601
ENSG00000074800,ENO1,276,-0.6374,299,-0.3734,388,0.06001,236,-0.7442,874,1.46597
ENSG00000171603,CLSTN1,593,-0.2102,787,0.30157,978,0.98843,128,-2.4854,264,-1.4106
ENSG00000162441,LZIC,59,-0.2473,54,-0.3409,43,-0.8568,165,1.58262,75,0.19313
ENSG00000130939,UBE4B,45,0.27543,45,0.22528,32,-0.4452,54,0.50773,27,-0.6041
ENSG00000054523,KIF1B,511,-0.2872,745,0.39707,538,-0.1798,876,0.67285,504,-0.2414
ENSG00000142657,PGD,44,-0.1151,45,-0.0278,60,0.60311,34,-0.4835,25,-0.9385
ENSG00000241563,CORT,42,-0.1267,34,-0.4074,57,0.58900,23,-1.0314,45,0.02571
ENSG00000160049,DFFA,53,-0.4582,51,-0.4153,53,-0.4325,120,1.00781,105,0.77572
ENSG00000120948,TARDBP,76,-0.1627,97,0.26755,76,-0.1542,112,0.51975,73,-0.1946
ENSG00000116649,SRM,53,0.61163,13,-1.7159,39,-0.0702,31,-0.4112,45,0.14879
ENSG00000198793,MTOR,34,-0.4176,78,1.04174,46,0.18361,18,-1.3350,43,0.03549
ENSG00000116661,FBXO2,105,-0.6116,47,-1.7079,134,-0.1338,89,-0.7389,430,2.00355
ENSG00000132879,FBXO44,62,-0.3336,69,-0.0643,114,1.14527,28,-1.4689,26,-1.5553
ENSG00000011021,CLCN6,53,-0.4652,53,-0.3610,87,0.61053,53,-0.3576,74,0.17443
ENSG00000116685,KIAA2013,22,-1.2533,29,-0.6231,63,0.92859,57,0.45607,45,0.09183
ENSG00000116688,MFN2,134,0.03656,179,0.50424,135,0.05189,89,-0.6192,111,-0.2723
ENSG00000048707,VPS13D,72,-0.4341,137,0.72007,104,0.35565,57,-0.7022,78,-0.2083
ENSG00000116731,PRDM2,308,0.11765,472,0.80787,296,0.02940,176,-0.7975,168,-0.8752
ENSG00000189337,KAZN,72,-0.3567,75,-0.2142,89,0.09604,132,0.72694,79,-0.1349
ENSG00000142634,EFHD2,91,0.41072,61,-0.3378,76,-0.0089,44,-0.8418,78,0.03551
ENSG00000116138,DNAJC16,31,-0.4045,58,0.74629,42,0.26838,34,-0.1481,25,-0.6191
