Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,12,-1.4591,17,-0.8998,24,-0.4458,44,0.54090,19,-0.7907,57,0.95436,29,-0.1637,39,0.43313
ENSG00000188976,NOC2L,40,-0.1980,19,-1.2759,50,0.15212,32,-0.5396,46,0.02666,48,0.10514,42,-0.1178,59,0.56135
ENSG00000188290,HES4,30,-0.2843,87,1.44685,45,0.34367,15,-1.3725,14,-1.4882,33,-0.1725,37,0.02217,35,-0.0933
ENSG00000187608,ISG15,36,0.02172,66,1.03519,39,0.15353,20,-0.8231,1,-4.6185,16,-1.1484,30,-0.2523,49,0.70702
ENSG00000188157,AGRN,23,0.31070,39,1.15120,32,0.83595,7,-1.4845,11,-0.8383,23,0.26992,8,-1.4216,20,0.08652
ENSG00000078808,SDF4,64,0.33564,66,0.39024,68,0.43225,21,-1.3581,29,-0.9105,67,0.40965,44,-0.2868,56,0.14962
ENSG00000176022,B3GALT6,17,-0.5247,26,0.09400,11,-1.2226,18,-0.5167,28,0.19801,24,-0.0612,21,-0.2836,35,0.75396
ENSG00000160087,UBE2J2,24,-0.3105,13,-1.2142,29,-0.0177,32,0.13598,45,0.68224,37,0.36239,11,-1.5305,40,0.65678
ENSG00000131584,ACAP3,68,0.21148,66,0.15438,129,1.26971,40,-0.6258,26,-1.2902,105,0.90850,32,-1.0310,54,-0.2044
ENSG00000127054,INTS11,37,0.13400,31,-0.1576,33,-0.0368,24,-0.5323,11,-1.6629,36,0.07250,26,-0.4557,50,0.83103
