Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,11,-1.5943,24,-0.4840,31,-0.0877,31,-0.0951,31,-0.0753,30,-0.1555,33,0.03200,41,0.35456,34,0.06899,41,0.34713,43,0.47683
ENSG00000188976,NOC2L,10,-2.4314,20,-1.3573,47,-0.0949,49,-0.0453,22,-1.2424,50,0.00060,46,-0.1482,86,0.86502,47,-0.0989,75,0.63840,75,0.73164
ENSG00000188290,HES4,34,-0.3320,74,0.89932,46,0.13377,77,0.95318,61,0.57758,15,-1.5519,23,-0.9570,27,-0.6745,47,0.15695,30,-0.5155,38,-0.2110
ENSG00000187608,ISG15,51,0.40930,47,0.27128,31,-0.3810,18,-1.1980,54,0.51375,17,-1.2404,11,-1.8539,80,1.16087,76,1.07530,23,-0.8073,31,-0.3640
ENSG00000188157,AGRN,27,0.11827,27,0.15653,22,-0.1489,53,1.22671,10,-1.3796,9,-1.4284,20,-0.3501,16,-0.6750,19,-0.3710,44,0.92357,25,0.00703
ENSG00000078808,SDF4,50,-0.0587,73,0.54302,29,-0.8865,62,0.27408,37,-0.5374,24,-1.1932,71,0.48488,33,-0.6971,60,0.22271,61,0.25888,63,0.31918
ENSG00000176022,B3GALT6,6,-1.7452,25,0.43752,25,0.44843,12,-0.7079,9,-1.0677,15,-0.2899,9,-1.0083,21,0.18473,26,0.49830,14,-0.4261,31,0.93108
ENSG00000160087,UBE2J2,32,-0.0284,32,-0.0293,22,-0.5524,26,-0.3378,24,-0.4492,27,-0.2746,26,-0.3165,32,-0.0305,37,0.22944,48,0.63654,40,0.39884
ENSG00000131584,ACAP3,74,0.15243,82,0.30990,24,-1.5555,185,1.69834,36,-0.9368,51,-0.4125,68,0.02725,43,-0.6909,39,-0.8505,101,0.64777,52,-0.4320
ENSG00000127054,INTS11,25,-0.6541,44,0.19332,20,-0.9882,79,1.17331,22,-0.8648,35,-0.1656,13,-1.6043,40,0.05219,47,0.32661,56,0.58517,41,0.10703
ENSG00000224051,CPTP,14,-0.2658,13,-0.3451,17,0.06322,18,0.09854,3,-2.2931,13,-0.3934,10,-0.8193,23,0.50306,20,0.26098,19,0.16091,25,0.74397
ENSG00000107404,DVL1,64,0.51455,125,1.67154,44,-0.0805,35,-0.4257,32,-0.5462,38,-0.2756,24,-0.9858,27,-0.8222,39,-0.2465,65,0.56011,29,-0.7341
ENSG00000175756,AURKAIP1,146,-0.4002,233,0.33099,204,0.11371,144,-0.4294,160,-0.2601,106,-0.8863,181,-0.0711,175,-0.1201,258,0.49366,195,0.04212,235,0.38266
ENSG00000221978,CCNL2,45,-0.2328,39,-0.4656,18,-1.6057,159,1.87926,38,-0.4908,39,-0.4700,41,-0.3844,66,0.36808,53,0.00168,23,-1.2362,55,0.07245
ENSG00000242485,MRPL20,83,-1.0204,236,0.61464,209,0.41366,117,-0.5001,199,0.33977,71,-1.2405,144,-0.1693,112,-0.5668,225,0.53473,161,0.00100,187,0.26629
ENSG00000235098,ANKRD65,24,0.10233,47,1.22411,14,-0.6649,9,-1.2767,4,-2.3065,13,-0.8436,39,0.90081,5,-2.0979,16,-0.4685,41,0.96867,27,0.32795
ENSG00000179403,VWA1,57,2.33975,25,0.87058,2,-2.8673,22,0.61045,0,-7.1368,1,-3.4823,35,1.40057,3,-2.2894,9,-0.6598,9,-0.6566,7,-1.2278
ENSG00000205090,TMEM240,3,-2.9193,21,0.01215,22,0.08040,42,1.11689,8,-1.3718,24,0.22150,28,0.42565,10,-1.1210,26,0.29869,22,0.08225,23,0.17963
ENSG00000160075,SSU72,70,-1.1407,162,0.14037,174,0.25159,149,0.01282,120,-0.3249,79,-0.9670,163,0.15119,138,-0.1059,208,0.54131,161,0.13313,176,0.30801
ENSG00000228594,FNDC10,33,0.56417,49,1.21561,22,-0.1062,16,-0.5505,10,-1.2522,14,-0.7734,14,-0.7433,34,0.58736,34,0.59929,9,-1.4554,22,-0.0834
ENSG00000197530,MIB2,28,-0.0751,43,0.57432,22,-0.4748,32,0.09360,21,-0.5630,21,-0.5420,29,-0.0464,12,-1.3355,29,-0.0266,47,0.72374,37,0.38105
ENSG00000248333,CDK11B,59,0.14334,26,-1.1219,47,-0.2069,86,0.76011,62,0.22724,91,0.85172,78,0.59655,57,0.08948,22,-1.3671,53,-0.0364,32,-0.8384
ENSG00000008128,CDK11A,47,0.54860,12,-1.4723,15,-1.1646,72,1.28168,24,-0.4656,77,1.38538,29,-0.1907,27,-0.3191,20,-0.7597,17,-0.9696,28,-0.2940
ENSG00000215790,SLC35E2A,21,-0.0550,33,0.70292,28,0.43815,43,1.13543,14,-0.6008,14,-0.6454,7,-1.5381,13,-0.7594,19,-0.2172,28,0.42340,18,-0.2909
