Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,10,-1.6935,36,0.24250,14,-1.1960,16,-0.9485,14,-1.1812,73,1.42209,40,0.38647,26,-0.2714,29,-0.0840,29,-0.0868,40,0.39664,44,0.54340
ENSG00000188976,NOC2L,25,-0.8815,40,-0.1688,23,-0.9802,27,-0.7954,53,0.27399,26,-0.8538,82,0.96981,30,-0.6129,40,-0.1794,71,0.73494,61,0.47659,60,0.47435
ENSG00000188290,HES4,14,-1.1316,14,-1.2203,21,-0.5896,59,1.05265,45,0.62104,14,-1.1467,34,0.15457,27,-0.2105,38,0.35598,58,1.02432,34,0.16595,10,-1.6947
ENSG00000187608,ISG15,23,0.10239,3,-2.7147,9,-1.3222,19,-0.2078,8,-1.5360,33,0.67088,78,2.18090,14,-0.6618,33,0.64418,13,-0.7887,11,-1.0067,18,-0.3028
ENSG00000188157,AGRN,27,0.36975,6,-1.8881,23,0.16464,26,0.33793,15,-0.4733,11,-1.0328,30,0.54627,4,-2.3713,26,0.34990,10,-1.1015,60,1.76132,14,-0.5928
ENSG00000078808,SDF4,27,-1.1727,62,0.06875,76,0.39455,51,-0.2349,80,0.47947,32,-0.9452,69,0.24677,48,-0.3306,65,0.13496,43,-0.5105,96,0.77157,63,0.09114
ENSG00000160087,UBE2J2,19,-0.7911,20,-0.7213,43,0.43565,14,-1.2497,37,0.22119,44,0.48248,15,-1.1250,41,0.37692,37,0.21871,18,-0.9098,51,0.73751,48,0.63821
ENSG00000131584,ACAP3,77,0.21792,93,0.52529,65,-0.0398,64,-0.0715,71,0.10847,16,-2.1153,41,-0.7512,28,-1.2884,114,0.86651,78,0.25599,88,0.44523,64,-0.0521
ENSG00000127054,INTS11,30,-0.3901,20,-1.0219,28,-0.4921,35,-0.1440,61,0.73173,39,0.01291,37,-0.0542,39,-0.0016,62,0.74580,36,-0.0921,35,-0.1667,42,0.13625
ENSG00000107404,DVL1,31,-0.7554,22,-1.2482,64,0.38107,72,0.57676,66,0.43650,42,-0.2821,48,-0.0630,38,-0.4369,87,0.88960,61,0.31090,53,0.09142,18,-1.5120
