Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,108,1.54014,12,-1.9247,29,-0.5667,22,-0.9854,35,-0.3350,31,-0.5981,71,0.80673,93,1.27358,16,-1.5025
ENSG00000188976,NOC2L,108,1.31926,16,-1.6600,47,-0.0298,16,-1.6254,41,-0.2654,69,0.72484,14,-1.8647,70,0.59787,19,-1.3877
ENSG00000188290,HES4,108,1.74999,16,-1.2760,44,0.23185,36,-0.1056,35,-0.1334,49,0.51919,22,-0.8456,1,-4.4556,11,-1.7959
ENSG00000078808,SDF4,108,0.98697,59,0.00157,67,0.20822,72,0.33242,64,0.14956,71,0.36868,30,-1.0318,16,-1.8972,12,-2.3680
ENSG00000160087,UBE2J2,108,1.54895,22,-1.0256,42,-0.0354,30,-0.5202,33,-0.3999,50,0.33707,17,-1.3885,51,0.27430,23,-0.9308
ENSG00000131584,ACAP3,108,0.48467,47,-0.7981,134,0.83686,92,0.22689,92,0.24776,101,0.48263,9,-3.1449,30,-1.4689,48,-0.7892
ENSG00000127054,INTS11,108,1.41349,27,-0.8258,73,0.73704,53,0.23459,28,-0.8094,68,0.80992,0,-6.6815,24,-0.9624,6,-2.9884
ENSG00000107404,DVL1,108,1.00811,17,-1.8327,35,-0.7799,125,1.26199,95,0.91362,35,-0.9106,38,-0.6431,41,-0.5207,36,-0.7172
ENSG00000175756,AURKAIP1,108,-0.2553,103,-0.3269,51,-1.3858,142,0.17304,176,0.57867,156,0.40714,163,0.39330,89,-0.5512,51,-1.3927
ENSG00000221978,CCNL2,108,0.88800,42,-0.5965,157,1.53551,53,-0.2444,43,-0.6016,73,0.31081,12,-2.3816,30,-1.1083,39,-0.7040
ENSG00000242485,MRPL20,108,-0.2884,76,-0.8326,101,-0.3951,147,0.19300,186,0.64623,145,0.21254,155,0.27893,75,-0.8494,92,-0.5368
ENSG00000235098,ANKRD65,108,1.98682,43,0.39743,31,-0.1308,43,0.40410,30,-0.1947,35,0.06097,0,-5.6250,8,-2.0686,5,-2.6446
ENSG00000205090,TMEM240,108,1.79353,8,-2.2848,19,-0.9873,37,-0.0006,41,0.15768,42,0.22752,24,-0.6847,37,0.00452,6,-2.6080
ENSG00000160075,SSU72,108,-0.2976,73,-0.8999,68,-0.9915,152,0.23514,171,0.47349,176,0.59790,101,-0.4000,102,-0.3795,97,-0.4633
ENSG00000197530,MIB2,108,1.85978,10,-1.9248,48,0.44035,52,0.58275,48,0.52344,32,-0.1969,8,-2.1516,4,-3.1002,8,-2.1727
ENSG00000248333,CDK11B,108,0.84971,66,0.06707,85,0.46262,41,-0.6573,41,-0.7141,16,-2.3146,173,1.67887,79,0.34484,81,0.38362
ENSG00000215790,SLC35E2A,108,1.76332,18,-1.1190,23,-0.7788,54,0.56191,26,-0.6160,33,-0.2363,37,-0.0276,36,-0.0807,26,-0.5535
ENSG00000078369,GNB1,1246,1.25198,230,-1.4194,306,-0.9885,728,0.35167,653,0.19681,567,-0.0552,711,0.31530,388,-0.6313,385,-0.6444
ENSG00000187730,GABRD,108,-0.8398,1,-7.5379,116,-0.7303,69,-1.5082,239,0.43706,283,0.87262,172,-0.1271,302,0.77772,144,-0.3992
ENSG00000067606,PRKCZ,108,-0.8186,83,-1.2147,50,-1.9568,145,-0.3725,259,0.61466,271,0.80189,105,-0.8568,205,0.16945,182,-0.0203
ENSG00000162585,FAAP20,108,1.57831,30,-0.5157,18,-1.2672,69,0.79916,27,-0.7125,35,-0.3170,80,1.05071,29,-0.5532,8,-2.3899
ENSG00000157933,SKI,108,1.28893,25,-1.0361,93,1.02290,71,0.57511,51,0.06416,27,-1.0262,54,0.15314,29,-0.7893,26,-0.9403
ENSG00000157916,RER1,108,1.11872,68,0.35871,19,-1.5399,57,0.08249,44,-0.3694,82,0.84675,5,-3.3282,30,-0.8974,31,-0.8426
ENSG00000157870,PRXL2B,108,1.26258,3,-4.1120,85,0.85232,39,-0.3950,55,0.17504,60,0.37369,10,-2.3271,42,-0.2726,22,-1.2649
