Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000237491,LINC01409,8,-0.2321,32,1.98630,13,0.43689,7,-0.5199,4,-1.2112,4,-1.3578,10,0.00482
ENSG00000228794,LINC01128,39,0.16435,46,0.40296,39,0.14481,41,0.34144,11,-1.7638,26,-0.4994,20,-0.8829
ENSG00000188976,NOC2L,76,1.16069,45,0.04269,32,-0.4744,37,-0.3785,20,-1.1413,30,-0.5712,28,-0.7017
ENSG00000188290,HES4,25,0.10189,27,0.19243,13,-0.9312,15,-0.9049,35,0.60802,49,1.15627,33,0.53963
ENSG00000187608,ISG15,70,1.40989,15,-1.2717,22,-0.7573,20,-1.1810,39,0.12808,34,-0.0831,49,0.47209
ENSG00000188157,AGRN,27,0.45347,34,0.76624,25,0.22930,13,-0.9609,29,0.46508,24,0.18183,17,-0.3068
ENSG00000078808,SDF4,56,0.50085,58,0.45380,35,-0.3395,33,-0.6080,53,0.29921,56,0.40784,31,-0.5347
ENSG00000176022,B3GALT6,22,0.39224,18,0.01910,20,0.14047,16,-0.3053,18,-0.0083,15,-0.2461,18,0.01049
ENSG00000160087,UBE2J2,31,0.33851,30,0.19141,15,-0.8182,25,-0.1179,19,-0.5281,30,0.21711,29,0.14886
ENSG00000131584,ACAP3,58,0.18996,123,1.37549,63,0.27784,29,-1.2341,52,-0.0374,73,0.51596,58,0.13812
ENSG00000127054,INTS11,50,1.09317,39,0.43330,15,-1.0101,17,-1.1310,26,-0.1752,40,0.49515,28,-0.0812
ENSG00000224051,CPTP,24,0.92592,14,-0.1103,15,-0.0556,11,-0.6910,19,0.38615,12,-0.3152,10,-0.6330
ENSG00000107404,DVL1,35,-0.0998,31,-0.2765,44,0.28011,24,-0.8638,67,0.95798,70,1.01600,41,0.17238
ENSG00000175756,AURKAIP1,202,0.56482,124,-0.3019,115,-0.4285,120,-0.5060,134,-0.1893,235,0.69943,154,0.02405
ENSG00000221978,CCNL2,55,0.29524,93,1.10906,63,0.45458,32,-0.7767,64,0.48796,36,-0.3930,27,-0.8410
ENSG00000242485,MRPL20,178,0.62101,95,-0.4715,90,-0.5682,109,-0.3910,109,-0.2624,190,0.60926,125,-0.0632
ENSG00000235098,ANKRD65,26,0.13189,15,-0.7364,33,0.45871,18,-0.6504,36,0.59676,41,0.79337,25,0.04782
ENSG00000179403,VWA1,8,-1.1753,5,-1.7151,40,1.53092,15,-0.0319,32,1.11725,12,-0.4452,15,-0.0657
ENSG00000197785,ATAD3A,14,0.55385,14,0.40843,6,-0.8805,6,-1.1281,14,0.39456,19,0.86342,14,0.39270
ENSG00000205090,TMEM240,24,0.46600,18,-0.0986,19,-0.0189,17,-0.2032,4,-2.0897,31,0.75870,16,-0.2807
ENSG00000160075,SSU72,167,0.55323,107,-0.2486,82,-0.6620,109,-0.3213,114,-0.1490,179,0.55993,108,-0.2371
ENSG00000228594,FNDC10,42,0.76968,23,-0.2970,15,-0.9283,21,-0.6310,24,-0.2611,50,0.89665,26,-0.1626
ENSG00000272106,AL691432.2,17,0.42908,8,-0.7973,6,-1.1959,13,-0.1330,17,0.30286,15,0.08200,17,0.31836
ENSG00000197530,MIB2,32,0.37221,33,0.36478,20,-0.3878,15,-1.1592,55,1.16657,31,0.25204,33,0.36637
ENSG00000248333,CDK11B,35,-0.7490,54,0.00255,57,0.09965,72,0.73463,40,-0.4662,42,-0.3881,44,-0.3104
ENSG00000189339,SLC35E2B,11,0.38418,15,0.75212,10,0.17411,5,-1.1835,19,1.10156,7,-0.3240,10,0.05564
ENSG00000008128,CDK11A,16,-0.0452,16,-0.0690,20,0.27884,17,0.08415,20,0.27396,11,-0.6281,15,-0.1887
ENSG00000215790,SLC35E2A,13,-0.3591,17,0.10905,29,0.95859,13,-0.4597,20,0.38522,24,0.62330,13,-0.2800
ENSG00000008130,NADK,24,0.29209,22,0.11135,28,0.53673,13,-0.9223,28,0.53730,28,0.52106,20,0.02607
ENSG00000078369,GNB1,446,-0.1022,322,-0.5866,369,-0.3776,456,-0.0757,477,0.02115,711,0.65717,627,0.45190
ENSG00000187730,GABRD,296,1.16573,143,-0.2632,77,-1.1898,145,-0.3501,76,-1.2174,140,-0.3014,156,-0.1331
ENSG00000067606,PRKCZ,230,0.26836,169,-0.2627,147,-0.4698,207,0.07866,119,-0.7896,201,0.00770,239,0.28170
ENSG00000162585,FAAP20,23,-0.3419,11,-1.3470,10,-1.5289,25,-0.2539,39,0.55105,47,0.84937,60,1.25174
ENSG00000157933,SKI,11,-1.0600,17,-0.3260,41,1.04034,14,-0.8006,49,1.35135,34,0.71823,29,0.50249
ENSG00000157916,RER1,60,0.69832,33,-0.3666,28,-0.6201,35,-0.3681,53,0.37819,48,0.20485,26,-0.6983
ENSG00000157911,PEX10,17,-0.0197,10,-0.7859,20,0.19828,14,-0.5317,36,1.16859,29,0.81878,11,-0.6470
ENSG00000157870,PRXL2B,52,0.52561,39,-0.0043,24,-0.7237,34,-0.3144,26,-0.6551,57,0.57646,40,0.02930
ENSG00000177133,PRDM16-DT,5,-1.3325,2,-2.1832,12,0.10796,4,-1.8574,61,3.02410,28,1.45455,8,-0.4880
ENSG00000158109,TPRG1L,253,0.33450,167,-0.3758,132,-0.7295,218,0.05227,134,-0.7093,249,0.24897,237,0.16622
ENSG00000116213,WRAP73,14,0.51382,18,0.83718,10,-0.0366,8,-0.4546,15,0.59136,2,-2.2668,7,-0.5572
ENSG00000130764,LRRC47,96,0.51652,57,-0.3913,52,-0.5241,80,0.19334,54,-0.4720,50,-0.5717,56,-0.4194
ENSG00000116198,CEP104,21,-0.8838,50,0.56331,48,0.50280,40,0.32536,41,0.23923,28,-0.3515,25,-0.5215
ENSG00000198912,C1orf174,17,0.57735,13,0.00565,6,-0.9906,11,-0.3587,21,0.76884,9,-0.5021,11,-0.2440
ENSG00000196581,AJAP1,41,0.06813,39,-0.0183,50,0.36929,42,0.12470,24,-0.7339,47,0.26225,22,-0.8672
ENSG00000069424,KCNAB2,252,0.68607,147,-0.2989,117,-0.6468,145,-0.4644,137,-0.4134,278,0.70650,163,-0.1435
